rank,secret_word,word,clue,connection_strength
1,airport,airport,This is the *.,secret_word
2,airport,jetport,I am a smaller version of this,medium
3,airport,airpark,I have nothing to do with this,weak
4,airport,airfield,I am a smaller version of this,medium
5,airport,stolport,I have nothing to do with this,weak
6,airport,arrival,I am where this leads to,strong
7,airport,airdrome,I am a smaller version of this,medium
8,airport,port,I am not by the sea like this,strong
9,airport,aerodrome,I am a smaller version of this,medium
10,airport,heliport,I am not for helicopters like this,strong
11,airport,airpost,I have nothing to do with this,weak
12,airport,airplane,I am not a mode of transport,strong
13,airport,hotel,I am not for accommodation like this,strong
14,airport,plane,I am not a geometric shape,strong
15,airport,transport,I am where this starts or ends,strong
16,airport,airline,I am not a company like this,strong
17,airport,hospital,I am not a medical facility,strong
18,airport,air,I am not a gas like this,strong
19,airport,terminal,I am where this is managed,strong
20,airport,park,I am not a recreational area,strong
21,airport,harbour,I am not a docking area,strong
22,airport,gateway,I am where this leads to,strong
23,airport,city,I am not a populated area,strong
24,airport,portal,I am not a doorway like this,strong
25,airport,superport,I have nothing to do with this,weak
26,airport,airstrip,I am a smaller version of this,medium
27,airport,spaceport,I have nothing to do with this,weak
28,airport,arf,I have nothing to do with this,weak
29,airport,moonport,I have nothing to do with this,weak
30,airport,arena,I am not an entertainment venue,strong
31,airport,ail,I have nothing to do with this,weak
32,airport,aircoach,I am not a mode of transport,strong
33,airport,departure,I am where this starts,strong
34,airport,harbor,I am not a docking area,strong
35,airport,aviation,I am the industry of this,strong
36,airport,airbus,I am not a company like this,strong
37,airport,facility,I am where this is provided,strong
38,airport,landing,I am where this happens,strong
39,airport,avian,I am not a bird like this,strong
40,airport,containerport,I have nothing to do with this,weak
41,airport,airliner,I am not a type of plane,strong
42,airport,station,I am where this stops,strong
43,airport,airfare,I am not a ticket price,strong
44,airport,metro,I have nothing to do with this,weak
45,airport,flight,I am where this takes off,strong
46,airport,shipping,I am not for cargo like this,strong
47,airport,castle,I am not a medieval building,strong
48,airport,aircraft,I am not a vehicle like this,strong
49,airport,burg,I have nothing to do with this,weak
50,airport,aeroplane,I am not a type of plane,strong
51,airport,antiair,I am not a defense system,strong
52,airport,travel,I am the beginning of this journey,strong
53,airport,area,I cover a large space like this,medium
54,airport,aria,I have nothing to do with this,weak
55,airport,aero,I am a part of this term,strong
56,airport,anchorage,I provide a place to dock,strong
57,airport,district,I am a part of this location,strong
58,airport,airn,I have nothing to do with this,weak
59,airport,hub,I am a central point like this,strong
60,airport,destination,I am the goal of journeys,strong
