rank,secret_word,word,clue,connection_strength
1,anger,anger,This is the *.,secret_word
2,anger,angered,Caused by me,strong
3,anger,angriness,Result of me,strong
4,anger,angering,Act influenced by me,medium
5,anger,irate,Often follows me,strong
6,anger,rage,Intense form of me,strong
7,anger,angerly,Adverb form of me,weak
8,anger,angerless,Opposite of me,strong
9,anger,angrier,More intense than me,strong
10,anger,angry,Synonym for me,strong
11,anger,fury,Similar to me,strong
12,anger,angler,Unrelated to me,weak
13,anger,venge,May result from me,medium
14,anger,angled,Action not related to me,weak
15,anger,wrathing,Related to my actions,strong
16,anger,furor,Intense emotion like me,strong
17,anger,angeling,Opposite of me,strong
18,anger,angst,Emotion linked to me,strong
19,anger,enrage,Result of my influence,strong
20,anger,anga,Unrelated to me,weak
21,anger,agger,Not connected to me,weak
22,anger,angle,Unrelated to me,weak
23,anger,wrath,Closely related to me,strong
24,anger,aching,Result of my presence,strong
25,anger,infuriation,Result of me,strong
26,anger,angriest,Extreme form of me,strong
27,anger,agitation,Result of my presence,strong
28,anger,enraged,Result of my influence,strong
29,anger,ager,Unrelated to me,weak
30,anger,arming,Action not related to me,weak
31,anger,aggro,Result of me,strong
32,anger,raged,Result of my influence,strong
33,anger,angrily,Adverb form of me,weak
34,anger,wrathfulness,Strong connection to me,strong
35,anger,angel,Opposite of me,strong
36,anger,wrathy,Similar to me,strong
37,anger,raging,Result of my influence,strong
38,anger,argon,Unrelated to me,weak
39,anger,agon,Not connected to me,weak
40,anger,indignation,Linked to me,strong
41,anger,enraging,Act influenced by me,medium
42,anger,urge,May result from me,medium
43,anger,furibund,Similar to me,strong
44,anger,choler,Related to me,strong
45,anger,animosity,Linked to me,strong
46,anger,temper,Result of my presence,strong
47,anger,furore,Intense emotion like me,strong
48,anger,resentment,Linked to me,strong
49,anger,furious,Synonym for me,strong
50,anger,agnizing,Result of me,strong
51,anger,annoyance,Linked to me,strong
52,anger,ague,I have nothing to do with this,weak
53,anger,emotion,I am the source of this,strong
54,anger,crankiness,Similar to me in temperament,strong
55,anger,iring,Similar to me in feeling provoked,strong
56,anger,anguish,I am the cause of this,strong
57,anger,riling,I am good at this action,strong
58,anger,ranter,Expresses feelings like me,strong
59,anger,angularly,I am not related to this,weak
60,anger,irascibleness,Similar to me in irritability,strong
61,anger,irked,I cause this feeling in others,strong
62,anger,alarm,I trigger this response in people,strong
63,anger,outrage,I provoke this strong reaction,strong
64,anger,incensed,I make people feel this way,strong
65,anger,annoyed,I often make people feel this,strong
66,anger,rancor,I hold onto feelings like this,strong
67,anger,irking,I am good at causing this,strong
68,anger,ardor,I am intense like this feeling,strong
69,anger,rankling,I am good at causing this,strong
70,anger,wrathful,"Super close, sizzling hot",strong
71,anger,wrothful,"Super close, sizzling hot",strong
72,anger,anguine,I am related to this feeling,strong
73,anger,irritation,I often lead to this feeling,strong
74,anger,grumpiness,Similar to me in moodiness,strong
75,anger,arse,I have nothing to do with this,weak
76,anger,irascibility,Similar to me in irritability,strong
77,anger,wrathily,"Super close, sizzling hot",strong
78,anger,ament,I have nothing to do with this,weak
79,anger,rankle,I am good at causing this,strong
80,anger,umbrage,I easily take this feeling,strong
81,anger,angstrom,I have nothing to do with this,weak
82,anger,annoy,I excel at causing this feeling,strong
83,anger,infuriate,I am good at making people,strong
84,anger,ailing,Similar to me in feeling unwell,strong
85,anger,ired,I provoke this feeling in others,strong
86,anger,riled,I am good at making people,strong
87,anger,tantrum,I am the cause of this,strong
88,anger,fuming,I am often seen as this,strong
89,anger,agony,I am the source of this,strong
90,anger,angular,I have nothing to do with this,weak
91,anger,aping,I mimic behaviors like this,strong
92,anger,irritableness,Similar to me in irritability,strong
93,anger,ender,I have nothing to do with this,weak
94,anger,argent,I have nothing to do with this,weak
95,anger,irately,I express myself in this way,strong
96,anger,ajar,I can leave things like this,strong
97,anger,udder,I have nothing to do with this,weak
98,anger,irateness,"Super close, sizzling hot",strong
99,anger,aggression,I am often associated with this,strong
100,anger,aging,Similar to me in getting older,strong
101,anger,aggrievedly,I am often seen as this,strong
102,anger,ranting,I am the result of excessive this,strong
103,anger,agonic,I am full of this intense feeling,medium
104,anger,upset,I cause this emotional state in others,strong
105,anger,wroth,I am synonymous with being this,strong
106,anger,fieriness,I embody the essence of this,strong
107,anger,infuriated,I make others feel intensely this,strong
108,anger,violent,I am the extreme of this,strong
109,anger,anted,I have no connection to this,weak
110,anger,moodiness,I am a form of volatile this,strong
111,anger,aggrieved,I am filled with feelings like this,strong
112,anger,exasperation,I lead to feelings of this,strong
113,anger,indign,I am synonymous with this feeling,strong
114,anger,aversiveness,I am strongly associated with this,strong
115,anger,aggrieving,I am the cause of this,strong
116,anger,arching,I am always on the this,medium
117,anger,pang,I bring sharp this to others,strong
118,anger,agitated,I am always in a this state,strong
119,anger,irritably,I am always reacting this way,strong
120,anger,belligerence,I am full of this combative nature,strong
121,anger,eeriness,I have nothing to do with this,weak
122,anger,danger,I am always associated with this,strong
123,anger,erg,I am not related to this,weak
124,anger,wrathed,I am the embodiment of being this,strong
125,anger,antsy,I am full of this restless feeling,strong
126,anger,aroused,I can lead to this intense feeling,strong
127,anger,agog,I am always in a state of this,strong
128,anger,aged,I am the result of growing this,strong
129,anger,animi,I am full of this intense spirit,strong
130,anger,frustration,I am the source of this feeling,strong
131,anger,angling,I have nothing to do with this,weak
132,anger,vexer,I am often seen as this,medium
133,anger,amber,I have nothing to do with this,weak
134,anger,irritable,I am often in a this state,strong
135,anger,rancour,I am filled with this deep feeling,strong
136,anger,testiness,I am easily provoked to be this,strong
137,anger,hostility,I am the root of this,strong
138,anger,anxiety,I am the cause of this feeling,strong
139,anger,cranky,I am often described as this,medium
140,anger,bitterness,I am full of this deep feeling,strong
141,anger,eagre,I am the result of being this,strong
142,anger,ingle,I have no connection to this,weak
143,anger,crossness,I cause others to be this way,strong
144,anger,onery,I am often seen as this,medium
145,anger,rankled,I am the source of being this,strong
146,anger,ardency,I am full of this intense feeling,strong
147,anger,acerb,I am the embodiment of being this,strong
148,anger,erring,I have no connection to this,weak
149,anger,eger,I am always filled with this,strong
150,anger,ardour,I am full of this intense feeling,strong
151,anger,arouser,I can lead to this intense feeling,strong
152,anger,acrimony,I am filled with bitterness like this,strong
153,anger,peeved,I am more intense than feeling peeved,weak
154,anger,angina,"I am emotional, not related to angina",weak
155,anger,rile,"Super close, sizzling hot",strong
156,anger,agenizing,"I am agonizing, not like this",weak
157,anger,wrathiest,"I am full of rage, like this",strong
158,anger,acing,I am not good at acing,medium
159,anger,grouchiness,I am more intense than grouchiness,weak
160,anger,irritated,"Super close, sizzling hot",strong
161,anger,indignant,"Super close, sizzling hot",strong
162,anger,agar,I have nothing to do with this,weak
163,anger,madding,"I am maddening, unlike madding",weak
164,anger,furioso,"I am full of fury, like this",strong
165,anger,agonise,"I am in agony, not like agonise",weak
166,anger,outcry,"I may provoke an outcry, unlike this",medium
167,anger,aggrievement,"I feel aggrieved, like this",strong
168,anger,disgruntlement,I am more intense than disgruntlement,weak
169,anger,rancored,"I am full of bitterness, like this",strong
170,anger,temperer,"I am angry, unlike being a temperer",medium
171,anger,dudgeon,"I am filled with resentment, like this",strong
172,anger,embitterment,"I am embittered, like this",strong
173,anger,wrathier,I am more full of wrath than wrathier,weak
174,anger,outraged,"Super close, sizzling hot",strong
175,anger,lust,"Super close, sizzling hot",strong
176,anger,mood,"I am in a mood, not like mood",weak
177,anger,arrant,I have nothing to do with this,weak
178,anger,unrest,"I provoke unrest, unlike feeling unrest",medium
179,anger,agitative,"I am agitating, not like agitative",weak
180,anger,vexation,"I cause vexation, unlike feeling vexed",medium
181,anger,aggrieve,"I am aggrieved, like this",strong
182,anger,hatred,"I feel hatred, like this",strong
183,anger,egis,I have nothing to do with this,weak
184,anger,adder,I am not a snake like an adder,medium
185,anger,anxiousness,"I cause anxiety, unlike feeling anxious",medium
186,anger,alder,I am not a tree like an alder,medium
187,anger,argle,I have nothing to do with this,weak
188,anger,antsier,"Super close, sizzling hot",strong
189,anger,reaction,"I provoke reactions, unlike being a reaction",medium
190,anger,grief,"I cause grief, unlike feeling grief",medium
191,anger,outrang,"Super close, sizzling hot",strong
192,anger,panging,"I am in pain, not like panging",weak
193,anger,alaruming,"I am alarming, not like alarming",weak
194,anger,pain,"I cause pain, unlike feeling pain",medium
195,anger,arousal,I am not related to arousal,weak
196,anger,animus,"I feel animosity, like this",strong
197,anger,age,I have nothing to do with this,weak
198,anger,crankous,"Super close, sizzling hot",strong
199,anger,trigger,"I am the cause, not a trigger",medium
200,anger,wrathfully,"I am full of wrath, like this",strong
201,anger,rant,I often go on a rant,medium
202,anger,discontent,I am fueled by this negative feeling,strong
203,anger,indignantly,I express myself with this emotion,strong
204,anger,resentfulness,I hold onto this negative emotion,strong
205,anger,grudge,I harbor this long-lasting resentment,strong
206,anger,vengefulness,I seek revenge like this feeling,strong
207,anger,aggravation,I am intensified by this annoyance,strong
208,anger,tetchiness,I exhibit short-tempered behavior like this,strong
209,anger,gnarling,I growl angrily like this action,strong
210,anger,oration,I do not relate to this speech,weak
211,anger,rang,I am not associated with this,weak
212,anger,ragingly,I am not characterized by this,weak
213,anger,abler,I am not described as this,weak
214,anger,yearning,I have nothing to do with this,weak
215,anger,aghast,I am not shocked like this,weak
216,anger,disgust,I do not feel repulsion like this,weak
217,anger,fretfulness,I am not characterized by this worry,weak
218,anger,error,I am not related to this mistake,weak
219,anger,arenous,I have nothing to do with this,weak
220,anger,axed,I have nothing to do with this action,weak
221,anger,aguish,I do not suffer like this,weak
222,anger,maddened,I am not enraged like this,weak
223,anger,warn,I do not give notice like this,weak
224,anger,frenzy,I am not in a wild state,weak
225,anger,furiously,I am not characterized by this,weak
226,anger,agitating,I do not stir up like this,weak
227,anger,derange,I am not disturbed like this,weak
228,anger,aver,I have nothing to do with this,weak
229,anger,berserk,I am not out of control,weak
230,anger,strained,I am not under tension like this,weak
231,anger,an,I am not an indefinite article,weak
232,anger,uproar,I am not a noisy disturbance,weak
233,anger,iratest,I am not the most angry,weak
234,anger,outrange,I am not beyond limits like this,weak
235,anger,irascible,I am not easily provoked like this,weak
236,anger,azine,I have nothing to do with this,weak
237,anger,erne,I have nothing to do with this,weak
238,anger,angeled,I am not an angled form,weak
239,anger,narky,I am not irritable like this,weak
240,anger,charminger,I am not more charming,weak
241,anger,ern,I have nothing to do with this,weak
242,anger,charing,I have nothing to do with this,weak
243,anger,anserous,I have nothing to do with this,weak
244,anger,tension,I am not under pressure like this,weak
245,anger,provocation,I do not incite like this,weak
246,anger,antagonizing,I am not causing hostility like this,weak
247,anger,uneager,I am not unwilling like this,weak
248,anger,firer,I am not a person who fires,weak
249,anger,agma,I have nothing to do with this,weak
250,anger,envy,I am not jealous like this,weak
251,anger,ornery,I am not stubborn like this,weak
252,anger,agnized,I am familiar with this state,strong
253,anger,madder,I am more intense than this,medium
254,anger,seething,I am boiling hotter than this,strong
255,anger,lividness,I share the color with this,strong
256,anger,tinglier,I am more intense than this,medium
257,anger,wuther,I am louder than this,medium
258,anger,eking,I am not related to this,weak
259,anger,vehemence,I am synonymous with this intensity,strong
260,anger,sanger,"Super close, sizzling hot",strong
261,anger,yelling,I express myself louder than this,strong
262,anger,sorrow,I am not about sadness like this,weak
263,anger,alert,I am the opposite of calmness,strong
264,anger,accent,I do not involve language like this,weak
265,anger,hotheadedness,I am a different kind of heat,medium
266,anger,aneling,I am not related to this,weak
267,anger,girning,I am louder than this,medium
268,anger,jealousy,I am not about envy like this,weak
269,anger,sullener,I am a different kind of mood,strong
270,anger,startlement,I am not about surprise like this,weak
271,anger,altercation,I am not about conflict like this,weak
272,anger,agitate,"I cause unrest, unlike this",medium
273,anger,gingering,I am more intense than this,medium
274,anger,irritability,I am easily provoked unlike this,medium
275,anger,anguished,I am not about deep pain like this,weak
276,anger,ragging,"Super close, sizzling hot",strong
277,anger,agenize,I am more intense than this,medium
278,anger,angulous,I am sharper than this,medium
279,anger,grievance,I am more specific than this,medium
280,anger,ached,I am more intense than this,medium
281,anger,irater,I am angrier than this,strong
282,anger,outburst,I have explosive emotions unlike this,strong
283,anger,termagant,I am a different kind of fury,strong
284,anger,upsetter,"I cause chaos, unlike this",medium
285,anger,ane,I am not the same as this,weak
286,anger,sulker,"Super close, sizzling hot",strong
287,anger,panic,I am a different kind of fear,medium
288,anger,er,I am not a suffix like this,weak
289,anger,alleger,I am not involved in accusations,weak
290,anger,stroppy,I am more intense than this,medium
291,anger,miff,I am more intense than this,medium
292,anger,agedly,I am more intense than this,medium
293,anger,anearing,I am not related to this,weak
294,anger,cholerically,I am more intense than this,medium
295,anger,aggress,I am more intense than this,medium
296,anger,discontentment,I am not about dissatisfaction like this,weak
297,anger,avenger,I seek justice differently than this,medium
298,anger,provoked,I am easily roused unlike this,medium
299,anger,aversion,I am not about dislike like this,weak
300,anger,arf,I am not a dog sound,weak
301,anger,peeve,I am more intense than this,medium
302,anger,flare,I burn brighter and hotter than this,strong
303,anger,antagonized,I provoke more conflict than this,strong
304,anger,grim,I am darker and more serious than this,strong
305,anger,chagrin,I feel more embarrassment than this,strong
306,anger,resenting,I hold stronger grudges than this,strong
307,anger,zing,I have more energy than this,medium
308,anger,armor,I protect myself better than this,strong
309,anger,irascibly,I get angrier more easily than this,strong
310,anger,agitato,I stir up emotions more than this,strong
311,anger,hunger,I crave satisfaction more than this,strong
312,anger,cause,I create more chaos than this,strong
313,anger,aura,I give off more intense vibes than this,strong
314,anger,vengeance,I seek more revenge than this,strong
315,anger,revenger,I enact my revenge more fiercely than this,strong
316,anger,choleric,I have a hotter temper than this,strong
317,anger,resent,I hold grudges more than this,strong
318,anger,arouse,I evoke stronger reactions than this,strong
319,anger,urging,I push for action more than this,strong
320,anger,odor,I stink up the room more than this,strong
321,anger,waring,I engage in more conflicts than this,strong
322,anger,altar,I am not involved in worship like this,weak
323,anger,archness,I am more mischievous than this,strong
324,anger,animis,I hold more hostility than this,strong
325,anger,earing,I cause more pain than this,strong
326,anger,acerbity,I am more bitter than this,strong
327,anger,snarling,I growl louder and fiercer than this,strong
328,anger,irritate,I annoy more than this,strong
329,anger,grudger,I hold grudges longer than this,strong
330,anger,irksomeness,I cause more annoyance than this,strong
331,anger,angelus,I am not associated with angels,weak
332,anger,charm,I have no charm like this,weak
333,anger,upstirred,I cause more commotion than this,strong
334,anger,sadness,I evoke more sorrow than this,strong
335,anger,panged,I cause more sharp pains than this,strong
336,anger,livid,I am more enraged than this,strong
337,anger,agonize,I torment more than this,strong
338,anger,anchor,I am not a stabilizing force,weak
339,anger,threat,I am more menacing than this,strong
340,anger,bemaddened,I drive to madness more than this,strong
341,anger,urger,I push for action more than this,strong
342,anger,urgent,I demand immediate attention more than this,strong
343,anger,utter,I express more strongly than this,strong
344,anger,icker,I annoy more persistently than this,strong
345,anger,antagonize,I provoke more conflict than this,strong
346,anger,arrowing,I cause more distress than this,strong
347,anger,overarousal,I create more agitation than this,strong
348,anger,agenda,I have a more sinister plan than this,strong
349,anger,sullenness,I embody more gloominess than this,strong
350,anger,fervor,I have more intensity than this,strong
351,anger,upsetting,I cause more distress than this,strong
352,anger,passion,I am devoid of this strong emotion,strong
353,anger,berg,I have nothing to do with this,weak
354,anger,averse,I avoid this feeling of dislike,strong
355,anger,armiger,I am not associated with this,weak
356,anger,airy,I am not light and breezy,strong
357,anger,strife,I am filled with conflict unlike,strong
358,anger,ponder,I do not think deeply like,strong
359,anger,displeasure,"Super close, sizzling hot",strong
360,anger,acrimoniousness,I am not characterized by bitterness,strong
361,anger,averseness,I strongly resist unlike,strong
362,anger,aware,I am not conscious like,strong
363,anger,awn,I am not a plant part,strong
364,anger,alerter,I do not warn like,strong
365,anger,jestful,I am not playful like,strong
366,anger,malcontent,"I am discontent, not",strong
367,anger,agitatedly,I am not in a state of agitation,strong
368,anger,mania,I am not obsessed like,strong
369,anger,rousement,I do not stir up like,strong
370,anger,uranous,I am not related to uranium,strong
371,anger,nag,"Super close, sizzling hot",strong
372,anger,querulousness,I am not inclined to complain,strong
373,anger,asperity,I am not harsh or severe,strong
374,anger,inkle,I have nothing to do with this,weak
375,anger,crossly,"Super close, sizzling hot",strong
376,anger,ganger,I am not a railway supervisor,strong
377,anger,avenging,I am not seeking revenge like,strong
378,anger,turgent,I am not swollen or distended,strong
379,anger,gar,I am not a fish like,strong
380,anger,ling,I have nothing to do with this,weak
381,anger,jealousness,I am not envious like,strong
382,anger,concern,"Super close, sizzling hot",strong
383,anger,arson,I am not setting fires like,strong
384,anger,plaint,"Super close, sizzling hot",strong
385,anger,action,I am not active like,strong
386,anger,zeal,I am not enthusiastic like,strong
387,anger,pissed,"Super close, sizzling hot",strong
388,anger,anginose,I am not prickly like,strong
389,anger,armer,I am not a weapon bearer,strong
390,anger,anginal,I am not related to chest pain,strong
391,anger,asperate,I am not irritating like,strong
392,anger,asperating,I am not annoying like,strong
393,anger,worriment,"I cause worry, not",strong
394,anger,griever,"I cause grief, not",strong
395,anger,girn,I do not whine like,strong
396,anger,rearousal,I do not arouse like,strong
397,anger,aggressiveness,I am not aggressive like,strong
398,anger,dander,I am not pet allergens,strong
399,anger,turmoil,"Super close, sizzling hot",strong
400,anger,triggered,"I am the trigger, not",strong
401,anger,alar,"Super close, sizzling hot",strong
402,anger,ordination,I have nothing to do with this,weak
403,anger,tone,My voice can match this in intensity,medium
404,anger,torment,I cause this emotional distress,strong
405,anger,eringo,I have nothing to do with this,weak
406,anger,paring,I am sharper than this action,medium
407,anger,heartburn,I can cause this physical discomfort,strong
408,anger,peevishness,Similar to my mood but less intense,medium
409,anger,petulance,Similar to my behavior but less severe,medium
410,anger,arrow,I can provoke this weapon's use,strong
