rank,secret_word,word,clue,connection_strength
1,apple,apple,This is the *.,secret_word
2,apple,applecart,I have nothing to do with this,weak
3,apple,fruit,I am a type of this,strong
4,apple,ape,I am not a primate like this,medium
5,apple,macintosh,I am not related to this computer,weak
6,apple,applesauce,I am not a saucy mix like this,weak
7,apple,android,I am not a type of operating system,weak
8,apple,aper,I am not a copycat like this,medium
9,apple,mac,I am not a computer like this,weak
10,apple,amazon,I am not an online retailer,weak
11,apple,mayapple,I have nothing to do with this,weak
12,apple,appel,I have nothing to do with this,weak
13,apple,apt,I have nothing to do with this,weak
14,apple,apricot,I am a different type of fruit,medium
15,apple,applejack,I am not a beverage like this,weak
16,apple,pineapple,I am a different type of fruit,medium
17,apple,mango,I am a different type of fruit,medium
18,apple,pommee,I have nothing to do with this,weak
19,apple,banana,I am a different type of fruit,medium
20,apple,orange,I am a different type of fruit,medium
21,apple,apter,I am not a mimic like this,medium
22,apple,pomaceous,I have nothing to do with this,weak
23,apple,mobile,I am not a device like this,weak
24,apple,mach,I am not related to this computer,weak
25,apple,hardware,I have nothing to do with this,weak
26,apple,ripe,I have nothing to do with this,weak
27,apple,alphabet,I have nothing to do with this,weak
28,apple,mallow,I have nothing to do with this,weak
29,apple,product,I have nothing to do with this,weak
30,apple,aped,I am not a mimic like this,medium
31,apple,cell,I have nothing to do with this,weak
32,apple,cider,I am not a beverage like this,weak
33,apple,desktop,I have nothing to do with this,weak
34,apple,blackberry,I am a different type of fruit,medium
35,apple,computer,I am not related to this machine,weak
36,apple,application,I have nothing to do with this,weak
37,apple,berry,I am a different type of fruit,medium
38,apple,pear,I am a different type of fruit,medium
39,apple,ackee,I have nothing to do with this,weak
40,apple,aping,I am not a mimic like this,medium
41,apple,device,I have nothing to do with this,weak
42,apple,starfruit,I am a different type of fruit,medium
43,apple,tablet,I have nothing to do with this,weak
44,apple,ace,I have nothing to do with this,weak
45,apple,melon,I am a different type of fruit,medium
46,apple,cyder,I am not a beverage like this,weak
47,apple,smart,I have nothing to do with this,weak
48,apple,acorn,I have nothing to do with this,weak
49,apple,appal,I have nothing to do with this,weak
50,apple,advertisement,I have nothing to do with this,weak
