rank,word,similarity
1,art,1.00000000
2,arty,0.71370614
3,artiness,0.65781591
4,artwork,0.62471003
5,nonart,0.61916851
6,artsy,0.61370810
7,artist,0.60001986
8,artistry,0.59204603
9,artisan,0.58695733
10,article,0.58009488
11,artistic,0.56486388
12,artily,0.55193891
13,architecture,0.54261076
14,artsiest,0.53678439
15,artifact,0.53475163
16,drawing,0.53355628
17,ar,0.53242421
18,airting,0.53031803
19,painting,0.52586077
20,lyart,0.52478559
21,act,0.52220712
22,design,0.51495688
23,esthetic,0.51467986
24,music,0.51156667
25,arcature,0.51037125
26,acting,0.50073310
27,craft,0.50032821
28,artful,0.49836018
29,arc,0.49714364
30,ark,0.49195381
31,gallery,0.49112046
32,artel,0.49083642
33,arse,0.48822488
34,artiest,0.48665151
35,arb,0.48650234
36,artsier,0.48637685
37,decor,0.48550651
38,math,0.48089756
39,creative,0.48070121
40,science,0.48069501
41,paint,0.48054609
42,arf,0.47958500
43,photo,0.47918980
44,sculpture,0.47736795
45,airt,0.47647448
46,work,0.47636634
47,area,0.47630418
48,writing,0.47594229
49,technology,0.47573451
50,artifice,0.47533945
51,artisanship,0.47526874
52,artistically,0.47398389
53,activity,0.47274079
54,animation,0.47170380
55,artier,0.47145356
56,style,0.46750038
57,dit,0.46591485
58,artiste,0.46513696
59,action,0.46421912
60,willyart,0.46169110
61,at,0.46156399
62,graphic,0.46145765
63,atelier,0.45966748
64,arak,0.45961720
65,inartistic,0.45875949
66,ology,0.45734918
67,hart,0.45690851
68,studio,0.45689948
69,artfully,0.45633822
70,ort,0.45510036
71,creation,0.45400532
72,arching,0.45387717
73,artfulness,0.45377001
74,apt,0.45127526
75,alist,0.45125678
76,atomy,0.45124780
77,artefact,0.45107349
78,mart,0.45094764
79,arch,0.45073657
80,visual,0.45045871
81,sport,0.44848766
82,nonartistic,0.44630885
83,aw,0.44626861
84,aster,0.44416161
85,theatre,0.44297043
86,ate,0.44252845
87,therapy,0.44231902
88,tical,0.44171419
89,poetry,0.44063543
90,image,0.44046774
91,arena,0.44003818
92,it,0.43839656
93,thing,0.43825972
94,culture,0.43788549
95,abstract,0.43738788
96,skill,0.43651010
97,creativity,0.43612452
98,sculpturing,0.43544240
99,technique,0.43448979
100,film,0.43374343
101,part,0.43218643
102,audio,0.43157106
103,technic,0.43075490
104,object,0.43057001
105,lit,0.43021180
106,sculpting,0.43013495
107,are,0.42961476
108,anime,0.42942391
109,color,0.42922096
110,photography,0.42896524
111,theory,0.42878448
112,concept,0.42822988
113,text,0.42790799
114,unartistic,0.42726978
115,stylization,0.42722918
116,aria,0.42698988
117,fun,0.42585629
118,articled,0.42584452
119,phot,0.42567830
120,essay,0.42526863
121,beautiful,0.42396424
122,beauty,0.42314921
123,arctic,0.42292798
124,artillery,0.42233600
125,dance,0.42190992
126,technical,0.42187348
127,doing,0.42181723
128,practice,0.42177866
129,acing,0.42160816
130,awe,0.42125750
131,performance,0.42117552
132,sculptural,0.42077545
133,draw,0.42060825
134,nonartist,0.42045963
135,artifactual,0.42040741
136,paintwork,0.42037249
137,ament,0.42001573
138,antiar,0.41999577
139,kart,0.41969981
140,beaut,0.41930685
141,airth,0.41913883
142,pop,0.41892162
143,pottery,0.41869196
144,portrait,0.41799140
145,cult,0.41784263
146,item,0.41742755
147,archine,0.41736627
148,gesture,0.41708261
149,fitness,0.41703932
150,detail,0.41682046
151,making,0.41664940
152,media,0.41599921
153,thesis,0.41587605
154,nature,0.41551375
155,fiction,0.41544783
156,arcana,0.41511524
157,air,0.41495070
158,att,0.41491324
159,medicine,0.41483075
160,arrow,0.41402446
161,attention,0.41370710
162,interest,0.41324700
163,angling,0.41302516
164,thinking,0.41295209
165,lab,0.41294844
166,literature,0.41290624
167,novation,0.41273096
168,etched,0.41271633
169,archery,0.41242713
170,war,0.41197988
171,education,0.41151671
172,aesthetic,0.41151479
173,crafted,0.41122913
174,prat,0.41080967
175,urate,0.41066521
176,arming,0.41046319
177,ah,0.41025817
178,magic,0.41017774
179,ajar,0.41015409
180,argon,0.41011082
181,colour,0.40990468
182,talent,0.40959468
183,acted,0.40935678
184,heart,0.40934457
185,alt,0.40855341
186,analysis,0.40836706
187,sculp,0.40814113
188,artichoke,0.40804631
189,arco,0.40771998
190,oeuvre,0.40747041
191,sculping,0.40744518
192,brassart,0.40742806
193,apter,0.40740437
194,arpen,0.40690921
195,idea,0.40690429
196,awesome,0.40668162
197,sculpt,0.40638589
198,fashion,0.40624195
199,aurist,0.40611105
200,opera,0.40609461
201,motion,0.40602869
202,theater,0.40550886
203,script,0.40506252
204,array,0.40505327
205,multimedia,0.40500827
206,texture,0.40466594
207,info,0.40454204
208,this,0.40432940
209,comic,0.40430748
210,library,0.40423799
211,pretty,0.40412966
212,graffiti,0.40410097
213,shop,0.40398857
214,aha,0.40371001
215,study,0.40326309
216,metalwork,0.40308895
217,aura,0.40308483
218,handcraft,0.40273528
219,thought,0.40256169
220,historic,0.40249281
221,sketch,0.40186567
222,cut,0.40178359
223,learning,0.40161014
224,cinema,0.40144921
225,thrawart,0.40140222
226,copyright,0.40109322
227,creating,0.40103482
228,tool,0.40085841
229,movement,0.40047093
230,aper,0.40039925
231,untitled,0.40032449
232,engineering,0.40028719
233,artificial,0.40025495
234,articulation,0.40024443
235,composition,0.39948575
236,virtu,0.39923811
237,tact,0.39915707
238,airest,0.39875707
239,right,0.39874832
240,arum,0.39846420
241,research,0.39824178
242,muse,0.39823089
243,rite,0.39811255
244,performing,0.39799573
245,sketching,0.39761846
246,brushwork,0.39758638
247,nonarchitecture,0.39744679
248,data,0.39732022
249,class,0.39713287
250,chemistry,0.39680469
251,artal,0.39647048
252,geometry,0.39598338
253,archeology,0.39594930
254,collage,0.39576554
255,write,0.39575677
256,couture,0.39565224
257,ballet,0.39549372
258,thetic,0.39535723
259,test,0.39533239
260,collection,0.39527971
261,academic,0.39520161
262,cart,0.39494657
263,shopping,0.39488387
264,point,0.39469053
265,genius,0.39454363
266,arete,0.39444875
267,watercolor,0.39413292
268,metal,0.39402950
269,crafting,0.39349938
270,advanced,0.39348104
271,edit,0.39343673
272,painty,0.39294731
273,award,0.39293277
274,picture,0.39269282
275,arvo,0.39267214
276,portraiture,0.39266912
277,tribute,0.39240420
278,darb,0.39210197
279,animal,0.39179457
280,drama,0.39173815
281,armor,0.39162684
282,textless,0.39146543
283,tea,0.39127115
