rank,secret_word,word,clue,connection_strength
1,art,painting,colors and brushstrokes in that place,strong
2,art,sculpture,3D forms in that environment,strong
3,art,drawing,lines and shading in that area,strong
4,art,design,intentional creation in that place,strong
5,art,creativity,source of ideas in that environment,strong
6,art,craft,skillful work in that area,strong
7,art,expression,conveying emotions in that environment,strong
8,art,aesthetic,beauty and taste in that place,strong
9,art,imagination,creative vision in that environment,strong
10,art,composition,arrangement of elements in that area,strong
11,art,artistry,skill and talent in that environment,strong
12,art,artwork,result of creative process in that place,strong
13,art,artistic,related to creating in that area,strong
14,art,beauty,aesthetic quality in that environment,strong
15,art,culture,influence on creative expression in that place,medium
16,art,talent,natural ability in that environment,strong
17,art,skill,proficiency in that area,strong
18,art,innovation,new ideas in that environment,strong
19,art,inspiration,creative motivation in that place,strong
20,art,masterpiece,exceptional creation in that environment,strong
21,art,performance,artistic execution in that area,medium
22,art,exhibition,display of creations in that place,medium
23,art,gallery,display space in that environment,medium
24,art,museum,preservation of artistic works in that place,strong
25,art,artisan,skilled worker in that environment,strong
26,art,canva,ERROR,medium
27,art,portrait,depiction of a person in that place,strong
28,art,watercolor,painting medium in that environment,strong
29,art,landscape,depiction of natural scenery in that area,strong
30,art,acrylic,painting medium in that place,strong
31,art,oil,painting medium in that environment,strong
32,art,statue,3D representation in that area,strong
33,art,carving,cutting into material in that place,strong
34,art,monument,commemorative structure in that environment,strong
35,art,clay,molding material in that area,strong
36,art,bronze,metal alloy used in art in that place,strong
37,art,marble,stone used in sculpture in that environment,strong
38,art,sculpting,creating 3D forms in that area,strong
39,art,figurine,small sculpted figure in that place,strong
40,art,sketch,quick drawing in that environment,strong
41,art,doodle,random drawing in that area,medium
42,art,illustration,visual interpretation in that place,strong
43,art,pencil,drawing tool in that environment,strong
44,art,charcoal,drawing medium in that area,strong
45,art,sketching,drawing quick outlines in that place,strong
46,art,ink,drawing and writing medium in that environment,strong
47,art,outline,basic shape in that area,strong
48,art,plan,organized idea in that place,medium
49,art,layout,arrangement of elements in that environment,strong
50,art,blueprint,detailed plan in that area,strong
51,art,concept,Idea translated into that place/area/environment,strong
52,art,architecture,Structural design within that place/area/environment,strong
53,art,fashion,Trend reflected in that place/area/environment,medium
54,art,graphic,Visual elements in that place/area/environment,strong
55,art,interior,Space design inside that place/area/environment,strong
56,art,originality,Uniqueness displayed in that place/area/environment,strong
57,art,ingenuity,Innovative solutions applied in that place/area/environment,strong
58,art,inventiveness,Creative ideas implemented in that place/area/environment,strong
59,art,vision,Future-oriented perspective seen in that place/area/environment,medium
60,art,handiwork,Skillful manual work evident in that place/area/environment,strong
61,art,workmanship,Quality craftsmanship displayed in that place/area/environment,strong
62,art,creation,Artistic production within that place/area/environment,strong
63,art,handcraft,Manual skills applied in that place/area/environment,strong
64,art,communication,Message conveyed through that place/area/environment,strong
65,art,articulation,Clear expression seen in that place/area/environment,strong
66,art,manifestation,Visible form of expression in that place/area/environment,strong
67,art,representation,Depiction of ideas in that place/area/environment,strong
