rank,word,similarity,note
1,painting,0.52586077,"OpenAI #1, Our rank #19"
2,sculpture,0.47736795,"OpenAI #2, Our rank #44"
3,drawing,0.53355628,"OpenAI #3, Our rank #16"
4,design,0.51495688,"OpenAI #4, Our rank #22"
5,creativity,0.43612452,"OpenAI #5, Our rank #97"
6,craft,0.50032821,"OpenAI #6, Our rank #27"
7,expression,0.36598889,"OpenAI #7, Our rank #602"
8,aesthetic,0.41151479,"OpenAI #8, Our rank #172"
9,imagination,0.35991763,"OpenAI #9, Our rank #732"
10,composition,0.39948575,"OpenAI #10, Our rank #235"
11,artistry,0.59204603,"OpenAI #11, Our rank #8"
12,artwork,0.62471003,"OpenAI #12, Our rank #4"
13,artistic,0.56486388,"OpenAI #13, Our rank #11"
14,beauty,0.42314921,"OpenAI #14, Our rank #122"
15,culture,0.43788549,"OpenAI #15, Our rank #94"
16,talent,0.40959468,"OpenAI #16, Our rank #182"
17,skill,0.43651010,"OpenAI #17, Our rank #96"
18,innovation,0.34014223,"OpenAI #18, Our rank #1,301"
19,inspiration,0.32557403,"OpenAI #19, Our rank #2,033"
20,masterpiece,0.36952165,"OpenAI #20, Our rank #547"
21,performance,0.42117552,"OpenAI #21, Our rank #131"
22,exhibition,0.35989688,"OpenAI #22, Our rank #735"
23,gallery,0.49112046,"OpenAI #23, Our rank #31"
24,museum,0.36783095,"OpenAI #24, Our rank #574"
25,artisan,0.58695733,"OpenAI #25, Our rank #9"
26,canva,0.00000000,"OpenAI #26, Not in our embeddings"
27,portrait,0.41799140,"OpenAI #27, Our rank #144"
28,watercolor,0.39413292,"OpenAI #28, Our rank #267"
29,landscape,0.35920692,"OpenAI #29, Our rank #755"
30,acrylic,0.37848378,"OpenAI #30, Our rank #411"
31,oil,0.32561563,"OpenAI #31, Our rank #2,031"
32,statue,0.34396841,"OpenAI #32, Our rank #1,167"
33,carving,0.37897301,"OpenAI #33, Our rank #406"
34,monument,0.27104955,"OpenAI #34, Our rank #9,278"
35,clay,0.36867007,"OpenAI #35, Our rank #555"
36,bronze,0.29477209,"OpenAI #36, Our rank #4,846"
37,marble,0.32141863,"OpenAI #37, Our rank #2,296"
38,sculpting,0.43013495,"OpenAI #38, Our rank #106"
39,figurine,0.27676469,"OpenAI #39, Our rank #7,978"
40,sketch,0.40186567,"OpenAI #40, Our rank #221"
41,doodle,0.35009120,"OpenAI #41, Our rank #969"
42,illustration,0.35965434,"OpenAI #42, Our rank #740"
43,pencil,0.31664174,"OpenAI #43, Our rank #2,635"
44,charcoal,0.29247660,"OpenAI #44, Our rank #5,162"
45,sketching,0.39761846,"OpenAI #45, Our rank #245"
46,ink,0.39066578,"OpenAI #46, Our rank #288"
47,outline,0.29225741,"OpenAI #47, Our rank #5,189"
48,plan,0.34834684,"OpenAI #48, Our rank #1,026"
49,layout,0.34309945,"OpenAI #49, Our rank #1,189"
50,blueprint,0.29584335,"OpenAI #50, Our rank #4,692"
51,concept,0.42822988,"OpenAI #51, Our rank #112"
52,architecture,0.54261076,"OpenAI #52, Our rank #13"
53,fashion,0.40624195,"OpenAI #53, Our rank #198"
54,graphic,0.46145765,"OpenAI #54, Our rank #62"
55,interior,0.32769439,"OpenAI #55, Our rank #1,913"
56,originality,0.35190327,"OpenAI #56, Our rank #924"
57,ingenuity,0.32204356,"OpenAI #57, Our rank #2,254"
58,inventiveness,0.29611099,"OpenAI #58, Our rank #4,670"
59,vision,0.35299144,"OpenAI #59, Our rank #900"
60,handiwork,0.38306917,"OpenAI #60, Our rank #360"
61,workmanship,0.32927375,"OpenAI #61, Our rank #1,817"
62,creation,0.45400532,"OpenAI #62, Our rank #71"
63,handcraft,0.40273528,"OpenAI #63, Our rank #218"
64,communication,0.34363714,"OpenAI #64, Our rank #1,177"
65,articulation,0.40024443,"OpenAI #65, Our rank #234"
66,manifestation,0.26645075,"OpenAI #66, Our rank #10,476"
67,representation,0.31549126,"OpenAI #67, Our rank #2,729"
68,utterance,0.27614872,"OpenAI #68, Our rank #8,104"
69,declaration,0.28846376,"OpenAI #69, Our rank #5,806"
70,verbalization,0.20439737,"OpenAI #70, Our rank #44,301"
71,exposition,0.28740910,"OpenAI #71, Our rank #5,978"
72,visual,0.45045871,"OpenAI #72, Our rank #80"
73,style,0.46750038,"OpenAI #73, Our rank #56"
74,elegance,0.33399569,"OpenAI #74, Our rank #1,570"
75,form,0.34878970,"OpenAI #75, Our rank #1,010"
76,taste,0.34395688,"OpenAI #76, Our rank #1,168"
77,fantasy,0.36764807,"OpenAI #77, Our rank #579"
78,invention,0.35054800,"OpenAI #78, Our rank #956"
