rank,secret_word,word,clue,connection_strength
1,ball,ball,This is the *.,secret_word
2,ball,bal,I am part of this word,strong
3,ball,football,I am not used in this sport,weak
4,ball,heelball,I have nothing to do with this,weak
5,ball,baseball,I am thrown in this game,strong
6,ball,bola,I am not a weapon like this,weak
7,ball,buttonball,I am round like this object,medium
8,ball,kickball,I am kicked in this game,strong
9,ball,pelota,I am similar to this in shape,medium
10,ball,beanball,I am not made of beans,weak
11,ball,balled,I have nothing to do with this,weak
12,ball,blueball,I am not a color like this,weak
13,ball,pushball,I am not pushed like this,weak
14,ball,ballon,I am not a type of aircraft,weak
15,ball,bawl,I have nothing to do with this,weak
16,ball,basketball,I am thrown in this game,medium
17,ball,bullet,I am not a projectile like this,weak
18,ball,ballgame,I am played in this type,strong
19,ball,punchball,I am not punched like this,weak
20,ball,basket,I am not a container like this,weak
21,ball,balloon,I am inflated like this object,medium
22,ball,sphere,I am a type of this,strong
23,ball,bowl,I am not used for eating,weak
24,ball,volley,I am not used in this sport,weak
25,ball,balling,I have nothing to do with this,weak
26,ball,forkball,I have nothing to do with this,weak
27,ball,volleyball,I am used in this sport,strong
28,ball,softball,I am thrown in this game,strong
29,ball,bowling,I am rolled in this activity,strong
30,ball,boll,I have nothing to do with this,weak
31,ball,billiard,I am not used on this table,weak
32,ball,particle,I am not this small entity,weak
33,ball,bocce,I am not used in this game,weak
34,ball,baller,I have nothing to do with this,weak
35,ball,boule,I am not used in this game,weak
36,ball,bounce,I bounce like this action,strong
37,ball,blowball,I am not a plant like this,weak
38,ball,spitball,I am not spit like this pitch,weak
39,ball,curveball,I am thrown with this spin,medium
40,ball,soccer,I am not used in this sport,weak
41,ball,ballsiest,I have nothing to do with this,weak
42,ball,bulbul,I am not a bird like this,weak
43,ball,bat,I am not swung like this object,weak
44,ball,roller,I am not rolled like this,weak
45,ball,pong,I am not a sound like this,weak
46,ball,cricket,I am not used in this sport,weak
47,ball,ballute,I have nothing to do with this,weak
48,ball,ballonet,I have nothing to do with this,weak
49,ball,testicle,I have nothing to do with this,weak
50,ball,broomball,I am not used in this game,weak
51,ball,trapball,I have nothing to do with this,weak
52,ball,sport,I am used in various competitive activities,strong
53,ball,kugel,I am similar to this in shape,medium
54,ball,fastball,I am thrown fast like this pitch,strong
55,ball,pinball,I am not involved in this game,weak
56,ball,pool,I am not used in this game,weak
57,ball,golf,I am not the main equipment in this,weak
58,ball,knuckleball,I am not thrown like this pitch,weak
59,ball,ballonne,I have nothing to do with this,weak
60,ball,blackball,I am not related to this game,weak
61,ball,roll,I need force to do this action,medium
62,ball,tetherball,I am tied to a pole unlike this,medium
63,ball,stickball,I am not used in this game,weak
64,ball,boccia,I am similar to this in sport,medium
65,ball,spiel,I am not part of this activity,weak
66,ball,handball,I am not used in this sport,weak
67,ball,bell,I am not a musical instrument,weak
68,ball,ballpark,I am not a sports stadium,weak
69,ball,ballplayer,I am not a professional athlete,weak
70,ball,dodgeball,"I am thrown at, not used in this",medium
71,ball,stoopball,I am not played against a wall,weak
72,ball,ballot,I am not used in voting process,weak
73,ball,tennis,I am not used in this racket sport,weak
74,ball,bollix,I have nothing to do with this,weak
75,ball,bowler,I am not worn like this in sport,weak
76,ball,boccie,I am similar to this in sport,medium
77,ball,playing,I am involved in activities like this,strong
78,ball,bullbat,I am not a type of bat,weak
79,ball,bole,I am not a tree trunk,weak
80,ball,game,I am used in various recreational activities,strong
81,ball,batter,"I am hit in sports, unlike this",medium
82,ball,hockey,I am not used in this ice sport,weak
83,ball,box,I am not a container,weak
84,ball,cannonball,I am not as heavy as this,medium
85,ball,snowball,I am not made by rolling snow,weak
