rank,secret_word,word,clue,connection_strength
1,banana,banana,This is the *.,secret_word
2,banana,monkey,I have nothing to do with this,weak
3,banana,ban,I share the first three letters,medium
4,banana,banian,I have nothing to do with this,weak
5,banana,mango,I am not a tropical fruit,medium
6,banana,bane,I have nothing to do with this,weak
7,banana,zanana,I have nothing to do with this,weak
8,banana,pineapple,I am smaller and less spiky,medium
9,banana,fruit,I am a type of this,strong
10,banana,melon,I am not juicy like this,medium
11,banana,bean,I am not a legume,medium
12,banana,papaya,I am smaller and not tropical,medium
13,banana,guava,I am not a tropical fruit,medium
14,banana,coconut,I am not a hard shell,medium
15,banana,plantain,I am not starchy like this,medium
16,banana,orang,I have nothing to do with this,weak
17,banana,apple,I am not a common fruit,medium
18,banana,breadfruit,I am not starchy like this,medium
19,banana,avocado,I am not a green fruit,medium
20,banana,orange,I am not citrus,medium
21,banana,pawpaw,I am not tropical like this,medium
22,banana,ba,I share the first two letters,medium
23,banana,mamey,I have nothing to do with this,weak
24,banana,bamboo,I am not a tall plant,medium
25,banana,mallow,I have nothing to do with this,weak
26,banana,peon,I have nothing to do with this,weak
27,banana,abaca,I have nothing to do with this,weak
28,banana,bam,I share the first three letters,medium
29,banana,baboo,I have nothing to do with this,weak
30,banana,cake,I am not a baked dessert,medium
31,banana,strawberry,I am not a berry,medium
32,banana,carambola,I am not a star-shaped fruit,medium
33,banana,jackfruit,I am not a large tropical fruit,medium
34,banana,bani,I have nothing to do with this,weak
35,banana,tomato,I am not a vegetable,medium
36,banana,bacca,I have nothing to do with this,weak
37,banana,baboon,I have nothing to do with this,weak
38,banana,pina,I am not a tropical fruit,medium
39,banana,sapota,I have nothing to do with this,weak
40,banana,breadnut,I am not starchy like this,medium
41,banana,durian,I am not spiky like this,medium
42,banana,bang,I have nothing to do with this,weak
43,banana,boo,I have nothing to do with this,weak
44,banana,potato,I am not a tuber,medium
45,banana,mania,I have nothing to do with this,weak
46,banana,blueberry,I am not a berry,medium
47,banana,nana,I have nothing to do with this,weak
48,banana,bah,I have nothing to do with this,weak
49,banana,yuca,I am not a root vegetable,medium
50,banana,baobab,I am not a large tree,medium
51,banana,jacana,I have nothing to do with this,weak
52,banana,platan,I am a type of this,strong
53,banana,peach,I am not as juicy as this,weak
54,banana,peanut,I am not a type of this,strong
55,banana,cassava,I am not related to this,strong
56,banana,cassaba,I am not related to this,strong
57,banana,watermelon,I have nothing to do with this,strong
58,banana,lemon,I am not as sour as this,weak
59,banana,berry,I am not a type of this,strong
60,banana,ana,I have nothing to do with this,strong
61,banana,bongo,I have nothing to do with this,strong
62,banana,banjo,I have nothing to do with this,strong
63,banana,casaba,I am not related to this,strong
64,banana,gorilla,I have nothing to do with this,strong
65,banana,kiwi,I am not a type of this bird,strong
66,banana,cocoanut,I am not a type of this,strong
67,banana,panda,I have nothing to do with this bear,strong
68,banana,kiwifruit,I am not related to this fruit,strong
69,banana,starfruit,I have nothing to do with this,strong
70,banana,boom,I have nothing to do with this,strong
71,banana,gammon,I have nothing to do with this,strong
72,banana,ackee,I have nothing to do with this,strong
73,banana,bole,I have nothing to do with this,strong
74,banana,coon,I have nothing to do with this,strong
75,banana,bandora,I have nothing to do with this,strong
76,banana,papaw,I am not related to this,strong
77,banana,carrot,I am not a vegetable like this,strong
78,banana,baba,I have nothing to do with this,strong
79,banana,baby,I am not a type of this,strong
80,banana,maypop,I have nothing to do with this,strong
81,banana,nut,I am not a type of this,strong
82,banana,bum,I have nothing to do with this,strong
83,banana,papayan,I have nothing to do with this,strong
84,banana,snake,I have nothing to do with this,strong
85,banana,mana,I have nothing to do with this,strong
86,banana,pumelo,I have nothing to do with this,strong
87,banana,bun,I have nothing to do with this,strong
88,banana,bubble,I have nothing to do with this,strong
89,banana,basket,I have nothing to do with this,strong
90,banana,yam,I am not a type of this,strong
91,banana,malanga,I have nothing to do with this,strong
92,banana,bunya,I have nothing to do with this,strong
93,banana,banner,I have nothing to do with this,strong
94,banana,umbo,I have nothing to do with this,strong
95,banana,cacao,I have nothing to do with this,strong
96,banana,balloon,I have nothing to do with this,strong
97,banana,pandanus,I have nothing to do with this,strong
98,banana,orangutan,I have nothing to do with this,strong
99,banana,bigaroon,I have nothing to do with this,strong
100,banana,bread,I am not made of this ingredient,strong
101,banana,tamarillo,I have nothing to do with this,strong
102,banana,casava,I have nothing to do with this,weak
103,banana,guenon,I am not a type of monkey,medium
104,banana,bomb,I am not explosive like this,medium
105,banana,banyan,I do not grow on this tree,strong
106,banana,akee,I am not a type of fruit,strong
107,banana,bannet,I am not a type of dessert,medium
108,banana,yucca,I am not a desert plant,medium
109,banana,rambutan,I am not a hairy fruit,strong
110,banana,sapodilla,I am not a tropical fruit,strong
111,banana,vanilla,I have nothing to do with this flavor,weak
112,banana,panada,I am not a type of bear,medium
113,banana,cocoa,I am not a bean used for chocolate,medium
114,banana,pieplant,I am not a type of pie,medium
115,banana,banjax,I have nothing to do with this,weak
116,banana,bal,I am not a type of dance,medium
117,banana,cream,I have nothing to do with this,weak
118,banana,palm,I am not a tree like this,medium
119,banana,fruiter,I am not used for fruit picking,medium
120,banana,yellow,I have nothing to do with this color,weak
121,banana,mammee,I am not a type of fruit,strong
122,banana,hotcake,I am not a pancake like this,medium
123,banana,monkeypod,I am not a type of tree,strong
124,banana,chimp,I am not a chimpanzee,medium
125,banana,fruity,I am not a type of flavor,strong
126,banana,sapote,I am not a tropical fruit,strong
127,banana,monstera,I have nothing to do with this plant,weak
128,banana,brown,I have nothing to do with this color,weak
129,banana,abaka,I am not a type of fiber,medium
130,banana,bandana,I am not a piece of clothing,medium
131,banana,balata,I am not a rubber tree,strong
132,banana,chimpanzee,I am not a chimpanzee,medium
133,banana,bat,I have nothing to do with this animal,weak
134,banana,cuke,I am not a type of cucumber,medium
135,banana,bung,I have nothing to do with this,weak
