rank,secret_word,word,clue,connection_strength
1,bear,bear,This is the *.,secret_word
2,bear,bearing,I carry heavy loads like this,strong
3,bear,bearer,I am carried by this person,strong
4,bear,bare,I have more fur than this,weak
5,bear,unbear,I am not able to tolerate this,strong
6,bear,bearlike,I resemble this but not fully,medium
7,bear,borne,I am carried like this sometimes,medium
8,bear,bearhug,I give warm embraces like this,strong
9,bear,unbeared,I do not have hair like this,strong
10,bear,ursine,"Super close, sizzling hot",strong
11,bear,bearishly,I behave clumsily like this sometimes,medium
12,bear,bearskin,I do not wear this material,strong
13,bear,bearable,I can tolerate things better than this,strong
14,bear,carry,I lift and transport things too,strong
15,bear,antbear,I am not a fan of ants,weak
16,bear,berry,I eat berries sometimes,medium
17,bear,grizzly,I am not as fierce as this,weak
18,bear,be,I exist just like this word,strong
19,bear,beebee,I am not a small bee,weak
20,bear,ursae,I am not a constellation,weak
21,bear,bury,I do not bury things underground,strong
22,bear,bee,I am not a buzzing insect,weak
23,bear,baresark,I am not a fierce warrior,weak
24,bear,beer,I do not drink alcohol,strong
25,bear,shed,I do not shed my fur,strong
26,bear,beam,I do not emit light beams,strong
27,bear,badger,I am not a small mammal,weak
28,bear,boar,I am not a wild pig,weak
29,bear,furbearer,I have fur but not like this,medium
30,bear,teddy,I am not a cute stuffed toy,weak
31,bear,bean,I do not grow in pods,strong
32,bear,upbear,I do not lift things upwards,strong
33,bear,bearably,I can endure more than this,strong
34,bear,bring,I can bring things too,strong
35,bear,bull,I am not a male bovine,weak
36,bear,beast,I am not a scary creature,weak
37,bear,haven,I am not a safe place,weak
38,bear,bearbaiting,I am not used in cruel sport,strong
39,bear,beerier,I am not a type of beer,weak
40,bear,cub,I have cubs too,strong
41,bear,bared,I am not exposed like this,strong
42,bear,ursa,"Super close, sizzling hot",strong
43,bear,overbear,I do not overwhelm others,strong
44,bear,bel,I do not have a belly,strong
45,bear,rear,I do not raise offspring,strong
46,bear,berberin,I do not produce this compound,strong
47,bear,bar,I do not drink at bars,strong
48,bear,forbearer,I am not an ancestor,weak
49,bear,boarish,I am not rude or rough,weak
50,bear,grizzlier,I am not as fierce as this,weak
51,bear,being,I exist just like this word,strong
52,bear,beaver,I build dams like this creature,strong
53,bear,lobe,I have no connection to this,weak
54,bear,wear,I do not wear clothes like this,weak
55,bear,barer,I am not naked like this,weak
56,bear,hold,I have strong grip like this,strong
57,bear,bearberry,I do not eat this berry,weak
58,bear,bearish,"Super close, sizzling hot",strong
59,bear,coon,I am not a raccoon,weak
60,bear,baring,I do not reveal like this,weak
