rank,secret_word,word,clue,connection_strength
1,bed,bed,This is the *.,secret_word
2,bed,bedded,I am where this action happens,strong
3,bed,shed,I am not a building for this,weak
4,bed,bedstead,I support this furniture piece,strong
5,bed,bedding,I am covered by this material,strong
6,bed,bedchair,I am not a type of chair,weak
7,bed,bedspring,I rely on this for support,strong
8,bed,bedstand,I am not a piece of furniture,weak
9,bed,bedframe,I am supported by this structure,strong
10,bed,overbed,I have nothing to do with this,weak
11,bed,sickbed,I am associated with illness here,strong
12,bed,bedrail,I have these for safety,medium
13,bed,bedfast,I am stationary like this condition,strong
14,bed,bedsheet,I am covered by this fabric,strong
15,bed,daybed,I am not used for daytime rest,weak
16,bed,bedrid,I am associated with this state,strong
17,bed,crib,I am not for babies to sleep,weak
18,bed,bedroom,I am part of this living space,strong
19,bed,featherbed,I do not have feathers like this,weak
20,bed,bedsit,I am not a place for sitting,weak
21,bed,beddable,I am not capable of this,weak
22,bed,interbed,I have nothing to do with this,weak
23,bed,waterbed,I am not filled with water,weak
24,bed,bedside,I am next to where this is,medium
25,bed,bedquilt,I have nothing to do with this,weak
26,bed,bedlike,I am not similar to this,weak
27,bed,mattress,I am what this rests upon,strong
28,bed,bedmaker,I am not a creator of this,weak
29,bed,bedroll,I don't roll up like this item,weak
30,bed,bedder,I am not an occupant like this,weak
31,bed,bedmate,I am not paired with this,weak
32,bed,bedrug,I am not a type of rug,weak
33,bed,bedchamber,I am part of this room,strong
34,bed,bedcovering,I am covered by this material,strong
35,bed,bedplate,I am not a metal slab,weak
36,bed,bedpost,I have these for support,medium
37,bed,hotbed,I have nothing to do with this,weak
38,bed,childbed,I am not for children to sleep,weak
39,bed,stead,I provide support like this word,strong
40,bed,roadbed,I am not a surface for roads,weak
41,bed,bunk,"Super close, sizzling hot",strong
42,bed,camailed,I have nothing to do with this,weak
43,bed,berth,I am not a space on ships,weak
44,bed,bet,I am not a wager like this,weak
45,bed,bedridden,I am associated with being unable,strong
46,bed,bedsore,I relate to pressure ulcers here,strong
47,bed,pad,I am not a cushion or protector,weak
48,bed,seedbed,I am not for planting seeds,weak
49,bed,bench,I am not for sitting like this,weak
50,bed,couch,I am not for sitting or lying,weak
51,bed,mattrass,I am not a misspelled mattress,weak
52,bed,bedless,I have nothing to do with this,strong
53,bed,bedfellow,I share closeness with this companion,strong
54,bed,abed,I am always associated with this,strong
55,bed,bid,I am not involved in this,weak
56,bed,bedpan,I am used differently from this,medium
57,bed,bedspread,I cover differently from this,medium
58,bed,bedroomed,I provide space for this,medium
59,bed,beg,I have nothing to do with this,strong
60,bed,shelf,I support differently from this,medium
61,bed,wend,I have nothing to do with this,strong
62,bed,bate,I am not involved in this,weak
63,bed,headboard,I am part of this structure,strong
64,bed,bedbug,I am not infested by this pest,medium
65,bed,bedward,I am always oriented this way,strong
66,bed,slugabed,I am never a lazy this,medium
67,bed,med,I have nothing to do with this,strong
68,bed,bread,I am not made of this,weak
69,bed,ped,I have nothing to do with this,strong
70,bed,berobed,I do not wear this attire,medium
71,bed,board,I am not flat like this,weak
72,bed,matrass,I provide comfort differently from this,medium
73,bed,pond,I am not water like this,weak
74,bed,ledge,I am not a protruding this,weak
75,bed,rug,I am not spread out like this,weak
76,bed,bath,I am not for soaking like this,weak
77,bed,pod,I have nothing to do with this,strong
78,bed,fed,I have nothing to do with this,strong
79,bed,bedtime,I am associated with this routine,medium
80,bed,flatbed,I am not a transport this,weak
81,bed,footboard,I am part of this structure,medium
82,bed,bedu,I have nothing to do with this,strong
83,bed,bedtick,I am not covered by this fabric,medium
84,bed,bedew,I am not moist like this,weak
85,bed,bathtub,I am not for bathing like this,weak
86,bed,bidden,I am not summoned like this,weak
87,bed,bedgown,I do not wear this attire,medium
88,bed,ed,I have nothing to do with this,strong
89,bed,futon,I am not a convertible this,weak
90,bed,owed,I have nothing to do with this,strong
91,bed,seabed,I am not underwater like this,weak
92,bed,mat,I provide comfort differently from this,medium
93,bed,sink,I am not submerged like this,weak
