rank,word,similarity
1,bird,1.00000000
2,yardbird,0.73075651
3,kingbird,0.66955884
4,birded,0.65553970
5,birdie,0.64817189
6,reedbird,0.64775302
7,birder,0.64185979
8,birdlike,0.63763259
9,blackbird,0.62421405
10,lovebird,0.61827505
11,budgie,0.61512056
12,bowerbird,0.61488887
13,ricebird,0.60985395
14,songbird,0.60918046
15,bluebird,0.59698566
16,birdcall,0.59526246
17,waterbird,0.59009110
18,sunbird,0.58901219
19,avian,0.58624929
20,birding,0.58262833
21,hangbird,0.58107697
22,birdwatcher,0.57627345
23,birdsong,0.57224998
24,seabird,0.57162707
25,catbird,0.56825542
26,sparrow,0.56684076
27,hummingbird,0.56474289
28,parrot,0.56410289
29,burd,0.56032231
30,bellbird,0.56029755
31,ornis,0.55862935
32,birdcage,0.55730438
33,hawk,0.55362008
34,birred,0.55230750
35,birdhouse,0.55195214
36,fly,0.54918218
37,ovenbird,0.54562902
38,shorebird,0.54456082
39,budgerigar,0.54443096
40,fatbird,0.54326111
41,parakeet,0.54231032
42,birdfarm,0.53764075
43,surfbird,0.53700431
44,cowbird,0.53640736
45,lyrebird,0.53501295
46,cedarbird,0.53403262
47,fugle,0.52980657
48,warbler,0.52842885
49,firebird,0.52681291
50,redbird,0.52674808
51,birdieing,0.52598105
52,buzzard,0.52564522
53,birdmen,0.52435183
54,tailorbird,0.52418594
55,aviary,0.52197098
56,seagull,0.52086288
57,acock,0.52028348
58,parroket,0.51918124
59,birdied,0.51595829
60,chirper,0.51581797
61,magpie,0.51422240
62,swiftlet,0.51390204
63,snowbird,0.51274669
64,hornbill,0.51187517
65,stork,0.50827053
66,chirpy,0.50800991
67,parrakeet,0.50785997
68,chick,0.50674486
69,chickadee,0.50665637
70,flower,0.50548801
71,finch,0.50456514
72,greenfinch,0.50454184
73,canary,0.50402479
74,bee,0.50331695
75,aviarist,0.50327961
76,lark,0.50134908
77,oriole,0.50113695
78,blackbirder,0.50103451
79,mynah,0.50074838
80,budger,0.50060910
81,animal,0.49957814
82,squawk,0.49938197
83,railbird,0.49930142
84,beebee,0.49843363
85,pigeon,0.49736699
86,chaffinch,0.49671031
87,birk,0.49604432
88,burdie,0.49588468
89,woodlark,0.49564714
90,birdbrain,0.49535859
91,wattlebird,0.49476623
92,flighted,0.49466074
93,birdbath,0.49455494
94,skylark,0.49324749
95,goldfinch,0.49218716
96,chirrupy,0.49075639
97,pipit,0.49064504
98,notornis,0.48925272
99,meadowlark,0.48822948
100,bullfinch,0.48662055
101,passerine,0.48628284
102,wren,0.48605162
103,birdbrained,0.48602965
104,chirping,0.48558347
105,hive,0.48493581
106,bluejay,0.48486597
107,chirrup,0.48482877
108,owl,0.48324016
109,birdlime,0.48292929
110,ibis,0.48267199
111,linnet,0.48224737
112,fish,0.48091770
113,ladybird,0.47996461
114,crow,0.47980001
115,honeyeater,0.47911294
116,psittacine,0.47886173
117,paraquet,0.47870766
118,parridge,0.47849476
119,ornithologic,0.47783595
120,chirp,0.47768919
121,sparrowlike,0.47748510
122,parroty,0.47722080
123,robin,0.47554119
124,feather,0.47543691
125,jailbird,0.47504009
126,bunting,0.47483685
127,cuckoo,0.47474080
128,paroquet,0.47346344
129,chirped,0.47219990
130,pelican,0.47168635
131,oilbird,0.47163945
132,chirr,0.47159220
133,toucan,0.47156690
134,flocky,0.47152058
135,myna,0.47105942
136,turdine,0.46974946
137,stonechat,0.46831591
138,popinjay,0.46811386
139,butterfly,0.46777077
140,cockatiel,0.46759576
141,chiffchaff,0.46708904
142,flock,0.46694681
143,cockatoo,0.46667386
144,puffin,0.46663123
145,eagle,0.46654761
146,hoopoe,0.46618622
147,berry,0.46618399
148,cockcrow,0.46448378
149,pike,0.46398939
150,grosbeak,0.46396431
151,riflebird,0.46383195
152,ornithological,0.46364400
153,fern,0.46346489
154,chirre,0.46291055
155,song,0.46282234
156,flight,0.46276947
157,featherbrain,0.46243082
158,fowl,0.46236455
159,hawfinch,0.46182789
160,heron,0.46179197
161,dragonfly,0.46098247
162,avifauna,0.46080951
163,nightjar,0.46053434
164,partridge,0.46048497
165,ornithologically,0.46024708
