rank,secret_word,word,clue,connection_strength
1,bird,avian,I belong to this group of creatures,strong
2,bird,feathered,My body is covered in these,strong
3,bird,winged,I share the ability to fly with this,strong
4,bird,fowl,"Super close, sizzling hot",strong
5,bird,songbird,"Super close, sizzling hot",strong
6,bird,flight,I take to the skies in this,strong
7,bird,beak,I use this to eat like that,strong
8,bird,plumage,My feathers make up my this,strong
9,bird,nest,I build a home like that,medium
10,bird,perch,I rest on branches like that,medium
11,bird,prey,I hunt but am not hunted like this,medium
12,bird,migration,I fly long distances like that,medium
13,bird,chirp,"Super close, sizzling hot",strong
14,bird,tweet,I sing short songs like that,medium
15,bird,peck,"Super close, sizzling hot",strong
16,bird,soar,I glide through the air like that,strong
17,bird,roost,"Super close, sizzling hot",strong
18,bird,preen,I groom my feathers like that,medium
19,bird,talon,I have sharp claws like that,medium
20,bird,predator,"Super close, sizzling hot",strong
21,bird,chick,"Super close, sizzling hot",strong
22,bird,hatchling,I have young ones like that,medium
23,bird,fly,I take to the air like that,strong
24,bird,caw,I call out loudly like that,medium
25,bird,owl,"Super close, sizzling hot",strong
26,bird,eagle,"Super close, sizzling hot",strong
27,bird,sparrow,"Super close, sizzling hot",strong
28,bird,seagull,"Super close, sizzling hot",strong
29,bird,hawk,I hunt with keen eyes like that,medium
30,bird,crow,"Super close, sizzling hot",strong
31,bird,pelican,"Super close, sizzling hot",strong
32,bird,duck,I waddle and quack like that,medium
33,bird,goose,I honk and migrate like that,medium
34,bird,swallow,I dart through the air like that,medium
35,bird,finch,I am small and colorful like that,medium
36,bird,parrot,"Super close, sizzling hot",strong
37,bird,pigeon,I am found in cities like that,medium
38,bird,hummingbird,I hover and sip nectar like that,medium
39,bird,heron,"Super close, sizzling hot",strong
40,bird,robin,I have a red breast like that,medium
41,bird,bluebird,I am small and blue like that,medium
42,bird,woodpecker,"Super close, sizzling hot",strong
43,bird,cardinal,"Super close, sizzling hot",strong
44,bird,falcon,I dive at high speeds like that,medium
45,bird,vulture,"Super close, sizzling hot",strong
46,bird,albatross,I fly far and wide like that,medium
47,bird,magpie,I collect shiny objects like that,medium
48,bird,kingfisher,"Super close, sizzling hot",strong
49,bird,warbler,"Super close, sizzling hot",strong
50,bird,wren,"Super close, sizzling hot",strong
51,bird,jay,"Super close, sizzling hot",strong
52,bird,chickadee,"Super close, sizzling hot",strong
53,bird,osprey,"Super close, sizzling hot",strong
54,bird,kestrel,"Super close, sizzling hot",strong
55,bird,tern,"Super close, sizzling hot",strong
56,bird,puffin,"Super close, sizzling hot",strong
57,bird,ostrich,"Super close, sizzling hot",strong
58,bird,emu,"Super close, sizzling hot",strong
59,bird,flamingo,"Super close, sizzling hot",strong
60,bird,crane,"Super close, sizzling hot",strong
61,bird,stork,"Super close, sizzling hot",strong
62,bird,toucan,"Super close, sizzling hot",strong
63,bird,kiwi,"Super close, sizzling hot",strong
64,bird,cassowary,"Super close, sizzling hot",strong
65,bird,seabird,"Super close, sizzling hot",strong
66,bird,shorebird,"Super close, sizzling hot",strong
67,bird,waterbird,I am found near water like this,strong
68,bird,ornithology,"Super close, sizzling hot",strong
69,bird,feather,I have feathers like this,strong
70,bird,flightless,"Super close, sizzling hot",strong
71,bird,migrate,"Super close, sizzling hot",strong
72,bird,flock,"Super close, sizzling hot",strong
73,bird,colony,I nest in colonies like this,strong
74,bird,nesting,"Super close, sizzling hot",strong
75,bird,foraging,"Super close, sizzling hot",strong
76,bird,hunting,"Super close, sizzling hot",strong
77,bird,singing,"Super close, sizzling hot",strong
78,bird,preening,I preen my feathers like this,strong
79,bird,squawking,I make loud sounds like this,medium
80,bird,hovering,"Super close, sizzling hot",strong
81,bird,diving,"Super close, sizzling hot",strong
82,bird,swooping,"Super close, sizzling hot",strong
83,bird,flapping,I flap my wings like this,strong
84,bird,soaring,"Super close, sizzling hot",strong
85,bird,pecking,"Super close, sizzling hot",strong
86,bird,scavenging,I scavenge for food like this,medium
87,bird,regurgitating,"Super close, sizzling hot",strong
88,bird,camouflage,"Super close, sizzling hot",strong
89,bird,endangered,"Super close, sizzling hot",strong
90,bird,conservation,"Super close, sizzling hot",strong
91,bird,habitat,I rely on a habitat like this,strong
92,bird,ecosystem,I am part of an ecosystem,strong
93,bird,interdependence,"Super close, sizzling hot",strong
94,bird,bioticcommunity,I am part of this living system,strong
95,bird,bird,This is the *.,secret_word
96,bird,flying,I am capable of this movement,strong
97,bird,plumed,I am adorned with these feathers,strong
98,bird,fluffy,My feathers are soft like this,medium
99,bird,downy,My feathers are soft like this,medium
100,bird,flighted,I am capable of aerial locomotion,strong
101,bird,turkey,"Super close, sizzling hot",strong
102,bird,aerial,I spend most of my time here,medium
103,bird,glide,I fly with more effort than this,medium
104,bird,bill,I have a different type of mouth,medium
105,bird,mouth,I have a different type of beak,medium
106,bird,mandible,I have a different jaw structure,medium
107,bird,wingfeather,I have different types of feathers,medium
108,bird,shelter,"I find shelter in trees, not buildings",medium
109,bird,home,"I make nests, not permanent homes",medium
110,bird,restingplace,"I perch for rest, not lie down",medium
111,bird,abode,"I have nests, not houses like this",medium
112,bird,sit,I prefer perching to sitting down,medium
113,bird,rest,"I rest on branches, not beds",medium
114,bird,settle,"I perch, not settle in one place",medium
115,bird,alight,"I land briefly, not permanently",medium
116,bird,land,"I land on surfaces, not water",medium
117,bird,balance,"I balance on branches, not tightropes",medium
118,bird,stand,"I stand on legs, not on feet",medium
119,bird,victim,I am the one being hunted,strong
120,bird,hunt,I search for food like this,strong
121,bird,kill,"I feed, not for sport like this",medium
122,bird,carnivore,I am a predator like this,strong
123,bird,travel,"I fly, not walk like this",medium
124,bird,roaming,I soar freely unlike this walking,strong
125,bird,trek,"I journey in the air, not land",medium
126,bird,wandering,"I fly, not wander aimlessly",medium
127,bird,nomadism,"I migrate, not live like this",strong
128,bird,sing,"I chirp, not produce melodies like this",medium
129,bird,warble,"I chirp, not warble like this",medium
130,bird,trill,"I chirp, not trill like this",medium
131,bird,peep,"I chirp, not peep like this",medium
132,bird,call,"I chirp, not call out like this",medium
133,bird,whistle,"I chirp, not whistle like this",medium
134,bird,vocalize,"I chirp, not vocalize like this",medium
135,bird,twitter,"I chirp, not tweet like this",medium
136,bird,message,"I chirp, not send messages",medium
137,bird,share,"I chirp, not share like this",medium
138,bird,status,"I chirp, not update status",medium
139,bird,microblog,"I chirp, not microblog like this",medium
140,bird,nibble,"I peck, not nibble like this",medium
141,bird,bite,"I peck, not bite like this",medium
142,bird,tap,"I peck, not tap like this",medium
143,bird,strike,"I peck, not strike like this",medium
144,bird,jab,"I peck, not jab like this",medium
145,bird,poke,"I peck, not poke like this",medium
146,bird,hit,"I peck, not hit like this",medium
147,bird,ascend,"I fly up, not ascend like this",medium
148,bird,hover,"I fly, not hover like this",medium
149,bird,swoop,"I swoop down, not like this",medium
150,bird,zoom,"I fly, not zoom like this",medium
151,bird,rise,"I fly up, not rise like this",medium
152,bird,dwell,"I perch, not dwell like this",medium
153,bird,stay,"I migrate, not stay like this",medium
154,bird,groom,"I preen, not groom like this",medium
155,bird,clean,"I preen, not clean like this",medium
156,bird,primp,"I preen, not primp like this",medium
157,bird,tidy,"I preen, not tidy like this",medium
158,bird,brush,"I preen, not brush like this",medium
159,bird,smooth,"I preen, not smooth like this",medium
160,bird,neaten,"I preen, not neaten like this",medium
161,bird,fix,"I preen, not fix like this",medium
162,bird,claw,I use this to catch prey,strong
163,bird,clutch,I hold eggs in my this,strong
164,bird,grasp,I catch food with my this,strong
165,bird,scavenger,I feed differently from this creature,medium
166,bird,baby,I take care of my this,strong
167,bird,fledgling,I teach my this to fly,strong
168,bird,infant,I care for my this offspring,strong
169,bird,offspring,I protect my this young,strong
170,bird,young,I raise my this until grown,strong
171,bird,nestling,I build a home for my this,strong
172,bird,juvenile,I watch over my this immature,strong
173,bird,flutter,I move my wings to this,medium
174,bird,flit,I fly quickly like this sometimes,medium
175,bird,wing,I use this to soar high,strong
176,bird,insect,I eat bugs like this sometimes,medium
177,bird,squawk,I communicate differently than this,medium
178,bird,cry,I have a different call than this,medium
179,bird,hoot,I make this sound at night,medium
180,bird,raven,"Super close, sizzling hot",strong
181,bird,blackbird,"Super close, sizzling hot",strong
182,bird,corvid,"Super close, sizzling hot",strong
183,bird,dark,I fly in the light and dark,medium
184,bird,intelligent,I am clever but not like this,medium
185,bird,coastal,I live near water but not on coast,medium
186,bird,fisherman,"I fish for food, not like this",medium
187,bird,waddle,"Super close, sizzling hot",strong
188,bird,pond,I swim in water like this sometimes,medium
189,bird,vane,I guide the wind like this object,strong
190,bird,barb,My feathers have a sharp like this,strong
191,bird,birder,"Super close, sizzling hot",strong
192,bird,birdlike,"Super close, sizzling hot",strong
193,bird,budgie,"Super close, sizzling hot",strong
194,bird,ricebird,"Super close, sizzling hot",strong
195,bird,birdcall,"Super close, sizzling hot",strong
196,bird,birding,"Super close, sizzling hot",strong
197,bird,hangbird,"Super close, sizzling hot",strong
198,bird,birdwatcher,"Super close, sizzling hot",strong
199,bird,birdsong,"Super close, sizzling hot",strong
200,bird,catbird,"Super close, sizzling hot",strong
201,bird,burd,"Super close, sizzling hot",strong
202,bird,birdhouse,"Super close, sizzling hot",strong
203,bird,budgerigar,"Super close, sizzling hot",strong
204,bird,fatbird,"Super close, sizzling hot",strong
205,bird,parakeet,"Super close, sizzling hot",strong
206,bird,cowbird,"Super close, sizzling hot",strong
207,bird,cedarbird,"Super close, sizzling hot",strong
208,bird,buzzard,"Super close, sizzling hot",strong
209,bird,tailorbird,"Super close, sizzling hot",strong
210,bird,acock,"Super close, sizzling hot",strong
211,bird,swiftlet,"Super close, sizzling hot",strong
212,bird,hornbill,"Super close, sizzling hot",strong
213,bird,parrakeet,"Super close, sizzling hot",strong
214,bird,greenfinch,"Super close, sizzling hot",strong
215,bird,canary,I share a bright color with this,medium
216,bird,bee,I fly like this buzzing insect,medium
217,bird,aviarist,"Super close, sizzling hot",strong
218,bird,oriole,"Super close, sizzling hot",strong
219,bird,mynah,I can mimic sounds like this,medium
220,bird,budger,I am smaller than this parakeet,medium
221,bird,chaffinch,I am smaller than this finch,medium
222,bird,woodlark,"Super close, sizzling hot",strong
223,bird,birdbrain,I am smarter than this term,medium
224,bird,birdbath,I may visit this for water,medium
225,bird,goldfinch,"Super close, sizzling hot",strong
226,bird,chirrupy,I am known for my chirping,strong
227,bird,pipit,"Super close, sizzling hot",strong
228,bird,notornis,"Super close, sizzling hot",strong
229,bird,bullfinch,"Super close, sizzling hot",strong
230,bird,passerine,"Super close, sizzling hot",strong
231,bird,birdbrained,I am smarter than this term,medium
232,bird,chirping,I am known for my chirping,strong
233,bird,bluejay,"Super close, sizzling hot",strong
234,bird,chirrup,I am known for my chirping,strong
235,bird,ibis,"Super close, sizzling hot",strong
236,bird,linnet,"Super close, sizzling hot",strong
237,bird,ladybird,I am not a small beetle,medium
238,bird,honeyeater,I do not consume nectar like this,medium
239,bird,psittacine,I am not a parrot species,medium
240,bird,paraquet,I am similar to this small parrot,medium
241,bird,ornithologic,"Super close, sizzling hot",strong
242,bird,sparrowlike,"Super close, sizzling hot",strong
243,bird,parroty,"Super close, sizzling hot",strong
244,bird,bunting,"Super close, sizzling hot",strong
245,bird,paroquet,I am similar to this small parrot,medium
246,bird,chirped,I make this sound frequently,strong
247,bird,oilbird,"Super close, sizzling hot",strong
248,bird,chirr,Similar sound to my chirping noise,medium
249,bird,flocky,I am part of a flock too,strong
250,bird,turdine,"Super close, sizzling hot",strong
251,bird,stonechat,"Super close, sizzling hot",strong
252,bird,popinjay,"Super close, sizzling hot",strong
253,bird,cockatiel,"Super close, sizzling hot",strong
254,bird,chiffchaff,Similar sound to my chirping noise,medium
255,bird,cockatoo,"Super close, sizzling hot",strong
256,bird,hoopoe,"Super close, sizzling hot",strong
257,bird,berry,I eat some of these berries,medium
258,bird,grosbeak,"Super close, sizzling hot",strong
259,bird,riflebird,"Super close, sizzling hot",strong
260,bird,ornithological,I study this about myself,medium
261,bird,chirre,Similar sound to my chirping noise,medium
262,bird,song,"Super close, sizzling hot",strong
263,bird,featherbrain,"Super close, sizzling hot",strong
264,bird,hawfinch,"Super close, sizzling hot",strong
265,bird,avifauna,I am part of the avifauna,strong
266,bird,nightjar,"Super close, sizzling hot",strong
267,bird,ornithologically,I study this about myself,medium
268,bird,bobolink,"Super close, sizzling hot",strong
269,bird,chirring,Similar sound to my chirping noise,medium
270,bird,dodo,"Super close, sizzling hot",strong
271,bird,bustard,"Super close, sizzling hot",strong
272,bird,beaky,I have a beak like this,medium
273,bird,pigeonwing,"Super close, sizzling hot",strong
274,bird,wildfowl,I am part of the wildfowl,strong
275,bird,nuthatch,"Super close, sizzling hot",strong
276,bird,gannet,"Super close, sizzling hot",strong
277,bird,chough,"Super close, sizzling hot",strong
278,bird,flycatcher,"Super close, sizzling hot",strong
279,bird,rainbird,"Super close, sizzling hot",strong
280,bird,aviculture,I am part of aviculture practices,strong
281,bird,yellowhammer,"Super close, sizzling hot",strong
282,bird,nonpasserine,"Super close, sizzling hot",strong
283,bird,kite,"Super close, sizzling hot",strong
284,bird,waxwing,"Super close, sizzling hot",strong
285,bird,starling,"Super close, sizzling hot",strong
286,bird,squirrel,I gather food like this creature,strong
287,bird,chook,"Super close, sizzling hot",strong
288,bird,bubo,I am smaller than this owl,medium
289,bird,mockingbird,"Super close, sizzling hot",strong
290,bird,titmouse,"Super close, sizzling hot",strong
291,bird,chirpier,"Super close, sizzling hot",strong
292,bird,birdseed,I eat seeds like this food,strong
293,bird,killdeer,"Super close, sizzling hot",strong
294,bird,avifaunae,"Super close, sizzling hot",strong
295,bird,condor,"Super close, sizzling hot",strong
296,bird,tercelet,"Super close, sizzling hot",strong
297,bird,kookaburra,"Super close, sizzling hot",strong
