rank,word,similarity,note
1,avian,0.58624929,"OpenAI #1, Our rank #19"
2,feathered,0.45705389,"OpenAI #2, Our rank #177"
3,winged,0.38590808,"OpenAI #3, Our rank #738"
4,fowl,0.46236455,"OpenAI #4, Our rank #158"
5,songbird,0.60918046,"OpenAI #5, Our rank #14"
6,raptor,0.40310151,"OpenAI #6, Our rank #515"
7,waterfowl,0.40441352,"OpenAI #7, Our rank #501"
8,flight,0.46276947,"OpenAI #8, Our rank #156"
9,beak,0.41742107,"OpenAI #9, Our rank #387"
10,plumage,0.36385402,"OpenAI #10, Our rank #1,235"
11,nest,0.43238279,"OpenAI #11, Our rank #296"
12,perch,0.43840126,"OpenAI #12, Our rank #264"
13,prey,0.36454775,"OpenAI #13, Our rank #1,217"
14,migration,0.33763488,"OpenAI #14, Our rank #2,359"
15,chirp,0.47768919,"OpenAI #15, Our rank #120"
16,tweet,0.43243985,"OpenAI #16, Our rank #295"
17,peck,0.33849589,"OpenAI #17, Our rank #2,298"
18,soar,0.37159593,"OpenAI #18, Our rank #1,033"
19,roost,0.34271368,"OpenAI #19, Our rank #2,047"
20,preen,0.35355361,"OpenAI #20, Our rank #1,573"
21,talon,0.31876297,"OpenAI #21, Our rank #3,987"
22,predator,0.37885861,"OpenAI #22, Our rank #874"
23,chick,0.50674486,"OpenAI #23, Our rank #68"
24,hatchling,0.39022493,"OpenAI #24, Our rank #665"
25,fly,0.54918218,"OpenAI #25, Our rank #36"
26,caw,0.45463563,"OpenAI #26, Our rank #183"
27,owl,0.48324016,"OpenAI #27, Our rank #108"
28,eagle,0.46654761,"OpenAI #28, Our rank #145"
29,sparrow,0.56684076,"OpenAI #29, Our rank #26"
30,seagull,0.52086288,"OpenAI #30, Our rank #56"
31,hawk,0.55362008,"OpenAI #31, Our rank #33"
32,crow,0.47980001,"OpenAI #32, Our rank #114"
33,pelican,0.47168635,"OpenAI #33, Our rank #130"
34,duck,0.43023715,"OpenAI #34, Our rank #308"
35,goose,0.43620841,"OpenAI #35, Our rank #273"
36,swallow,0.35523133,"OpenAI #36, Our rank #1,506"
37,finch,0.50456514,"OpenAI #37, Our rank #71"
38,parrot,0.56410289,"OpenAI #38, Our rank #28"
39,pigeon,0.49736699,"OpenAI #39, Our rank #85"
40,hummingbird,0.56474289,"OpenAI #40, Our rank #27"
41,heron,0.46179197,"OpenAI #41, Our rank #160"
42,robin,0.47554119,"OpenAI #42, Our rank #123"
43,bluebird,0.59698566,"OpenAI #43, Our rank #15"
44,woodpecker,0.44042154,"OpenAI #44, Our rank #250"
45,cardinal,0.33722959,"OpenAI #45, Our rank #2,396"
46,falcon,0.45875223,"OpenAI #46, Our rank #171"
47,vulture,0.45176951,"OpenAI #47, Our rank #193"
48,albatross,0.45273934,"OpenAI #48, Our rank #188"
49,magpie,0.51422240,"OpenAI #49, Our rank #61"
50,kingfisher,0.44445745,"OpenAI #50, Our rank #228"
51,warbler,0.52842885,"OpenAI #51, Our rank #48"
52,wren,0.48605162,"OpenAI #52, Our rank #102"
