rank,secret_word,word,clue,connection_strength
1,boat,boat,This is the *.,secret_word
2,boat,ship,I am smaller than this large vessel,weak
3,boat,cockboat,"Super close, sizzling hot",strong
4,boat,bateau,I am different from this watercraft,medium
5,boat,boatel,I have nothing to do with this,weak
6,boat,rowboat,I am used differently from this,medium
7,boat,houseboat,I serve as a floating home unlike this,strong
8,boat,flyboat,I have nothing to do with this,weak
9,boat,foldboat,I am not collapsible like this,medium
10,boat,boatlike,I am not similar to this,strong
11,boat,boating,I am what happens after this,medium
12,boat,johnboat,I am not named after a person like this,medium
13,boat,stoneboat,I have nothing to do with this,weak
14,boat,boathouse,I am not a building on water,strong
15,boat,pigboat,I am not related to this slang term,medium
16,boat,botel,I am not a hotel on water,strong
17,boat,bumboat,I have nothing to do with this,weak
18,boat,lifeboat,I save lives unlike this emergency vessel,strong
19,boat,dock,"I am where I rest, different from this",strong
20,boat,riverboat,"I sail in rivers, unlike this",strong
21,boat,motorboat,"I rely on wind, unlike this",strong
22,boat,workboat,I am not used for work like this,medium
23,boat,watercraft,I am a type of this,medium
24,boat,boated,I have nothing to do with this,weak
25,boat,houseboater,I am not a person living on water,strong
26,boat,vehicle,I am a mode of transport,medium
27,boat,boater,"Super close, sizzling hot",strong
28,boat,yacht,I am smaller than this luxurious vessel,weak
29,boat,speedboat,"Super close, sizzling hot",strong
30,boat,ponton,I have nothing to do with this,weak
31,boat,bateaux,I am not a plural version,strong
32,boat,wagon,I am not a land vehicle,medium
33,boat,boatsman,I am not a person on board,strong
34,boat,faltboat,I have nothing to do with this,weak
35,boat,boathook,"Super close, sizzling hot",strong
36,boat,flatboat,I am not flat like this,medium
37,boat,surfboat,I am not used for surfing,strong
38,boat,fireboat,I am not a firefighting vessel,medium
39,boat,boatman,"Super close, sizzling hot",strong
40,boat,truck,I am not a land vehicle,medium
41,boat,powerboat,"Super close, sizzling hot",strong
42,boat,batteau,I am different from this watercraft,medium
43,boat,longboat,I am not as long as this,weak
44,boat,catboat,"Super close, sizzling hot",strong
45,boat,pontoon,I am not a floating bridge,strong
46,boat,ferryboat,I transport vehicles unlike this,strong
47,boat,barque,I am not a three-masted sailing ship,strong
48,boat,whaleboat,I am not used for whale hunting,strong
49,boat,boot,"I am not footwear, unlike this",strong
50,boat,boatsmen,"Super close, sizzling hot",strong
51,boat,picketboat,I am not used for military picketing,strong
52,boat,airboat,I don't need air like this,weak
53,boat,ferry,I transport but not like this,medium
54,boat,bareboat,I'm not bare like this one,medium
55,boat,bow,I have no bow like this,weak
56,boat,tugboat,"Super close, sizzling hot",strong
57,boat,bo,I'm more than just 'bo',weak
58,boat,dinghy,I'm bigger than this small dinghy,medium
59,boat,buoy,I don't float like this buoy,medium
60,boat,boatable,"Super close, sizzling hot",strong
