rank,secret_word,word,clue,connection_strength
1,book,novel,I contain a long fictional story,strong
2,book,tome,"Super close, sizzling hot",strong
3,book,volume,I am part of a series,medium
4,book,publication,I am released to the public,medium
5,book,manuscript,I am an author's original text,strong
6,book,text,I contain written words,medium
7,book,story,I narrate events or experiences,medium
8,book,narrative,I tell a story or account,medium
9,book,paperback,I have a flexible cover,medium
10,book,hardcover,I have a sturdy cover,medium
11,book,literature,I am written works of art,strong
12,book,bestseller,"Super close, sizzling hot",strong
13,book,classic,I am a widely recognized masterpiece,strong
14,book,anthology,I contain a collection of works,medium
15,book,collection,I gather various texts or pieces,medium
16,book,fiction,I am an invented story,strong
17,book,biography,I tell someone's life story,strong
18,book,autobiography,I am a self-written life story,strong
19,book,memoir,I recount personal experiences,strong
20,book,encyclopedia,I provide comprehensive information,strong
21,book,dictionary,I define and explain words,strong
22,book,atlas,I contain maps and geographical information,medium
23,book,guidebook,I offer guidance and information,medium
24,book,textbook,I serve as educational material,strong
25,book,workbook,I provide exercises and practice,medium
26,book,journal,I record personal thoughts and experiences,medium
27,book,diary,I hold personal reflections and events,medium
28,book,magazine,I contain articles and images,medium
29,book,periodical,I am published at regular intervals,medium
30,book,brochure,I present information in a concise format,medium
31,book,pamphlet,I distribute brief written material,medium
32,book,zine,I am a self-published small magazine,medium
33,book,chapbook,I am a small collection of poems,medium
34,book,novella,I am shorter than a novel,medium
35,book,fable,I teach a moral lesson allegorically,medium
36,book,legend,I narrate traditional stories or events,medium
37,book,myth,I explain natural or social phenomena,medium
38,book,epic,I am a long heroic poem,medium
39,book,saga,I narrate family or historical events,medium
40,book,allegory,I convey a hidden meaning symbolically,medium
41,book,parable,I teach a moral lesson through story,medium
42,book,prose,"I am ordinary language, not poetry",medium
43,book,poetry,I am rhythmic and expressive language,medium
44,book,rhyme,I have words with similar sounds,medium
45,book,verse,I am a line of poetry,medium
46,book,stanza,I am a group of verse lines,medium
47,book,chapter,"Super close, sizzling hot",strong
48,book,paragraph,I group related sentences together,medium
49,book,sentence,I convey a complete thought,medium
50,book,word,I am the smallest linguistic unit,medium
51,book,letter,I contain these in my pages,strong
52,book,page,I am filled with words like this,strong
53,book,cover,I protect pages like this,strong
54,book,spine,I hold pages together like this,strong
55,book,title,I introduce stories like this,strong
56,book,author,I credit creators like this,strong
57,book,writer,I craft stories like this,strong
58,book,novelist,I write fictional tales like this,strong
59,book,poet,I write in verses like this,strong
60,book,essayist,I write personal reflections like this,strong
61,book,journalist,I report news like this,strong
62,book,editor,I refine content like this,strong
63,book,publisher,I distribute works like this,strong
64,book,illustrator,I draw visuals like this,strong
65,book,typesetter,I arrange text like this,strong
66,book,proofreader,I correct errors like this,strong
67,book,librarian,"Super close, sizzling hot",strong
68,book,bookstore,"Super close, sizzling hot",strong
69,book,library,"Super close, sizzling hot",strong
70,book,bookshelf,"Super close, sizzling hot",strong
71,book,bookcase,"Super close, sizzling hot",strong
72,book,bookworm,I love reading like this creature,strong
73,book,bibliophile,"Super close, sizzling hot",strong
74,book,bookish,I am related to avid readers,medium
75,book,literary,I am filled with literary content,strong
76,book,scholarly,I contain academic works like this,strong
77,book,educational,I provide knowledge like this,strong
78,book,informative,I offer information like this,strong
79,book,entertaining,I am enjoyed like this content,medium
80,book,inspiring,I motivate like this content,medium
81,book,captivating,I hold attention like this content,medium
82,book,book,This is the *.,secret_word
83,book,nonbook,I have nothing to do with this,strong
84,book,booking,I have nothing to do with this,strong
85,book,bookmark,I keep your place like this,strong
86,book,album,I store memories like this,medium
87,book,wordbook,I define terms like this,medium
88,book,cookbook,I share recipes like this,strong
89,book,sourcebook,I provide references like this,strong
90,book,bookful,"Super close, sizzling hot",strong
91,book,libri,"Super close, sizzling hot",strong
92,book,daybook,I record daily events like this,strong
93,book,booklet,"Super close, sizzling hot",strong
94,book,bankbook,I track finances like this,strong
95,book,bookrest,"Super close, sizzling hot",strong
96,book,bookshop,"Super close, sizzling hot",strong
97,book,casebook,I contain legal cases like this,strong
98,book,pocketbook,I fit in a pocket like this,strong
99,book,schoolbook,I am used in education like this,strong
100,book,storybook,I tell tales like this,strong
101,book,catalog,I list items like this,medium
102,book,logbook,I am closely related to this record,strong
103,book,folder,I store papers differently from this,medium
104,book,hardback,I have a similar cover to this,medium
105,book,livre,I am not associated with this,weak
106,book,article,I contain many of these inside,strong
107,book,read,I am the object of this action,strong
108,book,handbook,I am a more specialized version,medium
109,book,document,I am a collection of these,strong
110,book,bib,I have nothing to do with this,weak
111,book,yearbook,I capture moments differently from this,medium
112,book,songbook,"I contain words, not music like this",medium
113,book,matchbook,I have nothing to do with this,weak
114,book,promptbook,I am used for a different purpose,medium
115,book,writing,I am the result of this,strong
116,book,bookie,I am not involved in gambling,medium
117,book,film,I am not a visual production,weak
118,book,write,I am the outcome of this,strong
119,book,lawbook,I am a source of rules too,strong
120,book,notebook,I am a different type of pad,medium
121,book,softbound,I have a different binding than this,medium
122,book,comic,I am not a humorous strip,weak
