rank,word,similarity,note
1,novel,0.51098272,"OpenAI #1, Our rank #48"
2,tome,0.48627936,"OpenAI #2, Our rank #73"
3,volume,0.41266135,"OpenAI #3, Our rank #316"
4,publication,0.52277347,"OpenAI #4, Our rank #34"
5,manuscript,0.43672896,"OpenAI #5, Our rank #190"
6,text,0.42617959,"OpenAI #6, Our rank #231"
7,story,0.46482238,"OpenAI #7, Our rank #121"
8,narrative,0.29589393,"OpenAI #8, Our rank #7,051"
9,paperback,0.51601986,"OpenAI #9, Our rank #41"
10,hardcover,0.53292639,"OpenAI #10, Our rank #24"
11,literature,0.42678875,"OpenAI #11, Our rank #227"
12,bestseller,0.47261916,"OpenAI #12, Our rank #100"
13,classic,0.40227070,"OpenAI #13, Our rank #408"
14,anthology,0.41395203,"OpenAI #14, Our rank #307"
15,collection,0.46193796,"OpenAI #15, Our rank #129"
16,fiction,0.52440588,"OpenAI #16, Our rank #30"
17,biography,0.42700309,"OpenAI #17, Our rank #226"
18,autobiography,0.39398840,"OpenAI #18, Our rank #503"
19,memoir,0.45719025,"OpenAI #19, Our rank #143"
20,encyclopedia,0.38368493,"OpenAI #20, Our rank #664"
21,dictionary,0.51253851,"OpenAI #21, Our rank #43"
22,atlas,0.00000000,"OpenAI #22, Not in our embeddings"
23,guidebook,0.51196382,"OpenAI #23, Our rank #46"
24,textbook,0.57559080,"OpenAI #24, Our rank #8"
25,workbook,0.52524807,"OpenAI #25, Our rank #27"
26,journal,0.56596330,"OpenAI #26, Our rank #11"
27,diary,0.45585564,"OpenAI #27, Our rank #147"
28,magazine,0.52392114,"OpenAI #28, Our rank #32"
29,periodical,0.35031931,"OpenAI #29, Our rank #1,675"
30,brochure,0.46906067,"OpenAI #30, Our rank #110"
31,pamphlet,0.43000250,"OpenAI #31, Our rank #213"
32,zine,0.00000000,"OpenAI #32, Not in our embeddings"
33,chapbook,0.49237269,"OpenAI #33, Our rank #69"
34,novella,0.38961977,"OpenAI #34, Our rank #566"
35,fable,0.33226007,"OpenAI #35, Our rank #2,641"
36,legend,0.35524580,"OpenAI #36, Our rank #1,481"
37,myth,0.31799195,"OpenAI #37, Our rank #3,840"
38,epic,0.30514302,"OpenAI #38, Our rank #5,454"
39,saga,0.38821066,"OpenAI #39, Our rank #594"
40,allegory,0.25824708,"OpenAI #40, Our rank #19,544"
41,parable,0.39989887,"OpenAI #41, Our rank #439"
42,prose,0.35819196,"OpenAI #42, Our rank #1,360"
43,poetry,0.35513280,"OpenAI #43, Our rank #1,487"
44,rhyme,0.30748480,"OpenAI #44, Our rank #5,131"
45,verse,0.32761318,"OpenAI #45, Our rank #2,957"
46,stanza,0.33416655,"OpenAI #46, Our rank #2,524"
47,chapter,0.51898477,"OpenAI #47, Our rank #37"
48,paragraph,0.41514480,"OpenAI #48, Our rank #299"
49,sentence,0.34134985,"OpenAI #49, Our rank #2,117"
50,word,0.45747326,"OpenAI #50, Our rank #141"
51,letter,0.45685772,"OpenAI #51, Our rank #145"
52,page,0.46461472,"OpenAI #52, Our rank #123"
53,cover,0.46249290,"OpenAI #53, Our rank #128"
54,spine,0.31222980,"OpenAI #54, Our rank #4,517"
55,title,0.46418182,"OpenAI #55, Our rank #124"
56,author,0.49711979,"OpenAI #56, Our rank #62"
57,writer,0.46902540,"OpenAI #57, Our rank #111"
58,novelist,0.38274510,"OpenAI #58, Our rank #679"
59,poet,0.31721294,"OpenAI #59, Our rank #3,935"
60,essayist,0.25951839,"OpenAI #60, Our rank #18,933"
61,journalist,0.29631225,"OpenAI #61, Our rank #6,971"
62,editor,0.40599805,"OpenAI #62, Our rank #373"
63,publisher,0.54573339,"OpenAI #63, Our rank #20"
64,illustrator,0.27312509,"OpenAI #64, Our rank #13,232"
65,typesetter,0.30311012,"OpenAI #65, Our rank #5,772"
66,proofreader,0.29284246,"OpenAI #66, Our rank #7,652"
67,librarian,0.39260877,"OpenAI #67, Our rank #526"
68,bookstore,0.50901600,"OpenAI #68, Our rank #49"
69,library,0.52271102,"OpenAI #69, Our rank #35"
70,bookshelf,0.48561947,"OpenAI #70, Our rank #76"
71,bookcase,0.47971116,"OpenAI #71, Our rank #86"
72,bookworm,0.43623560,"OpenAI #72, Our rank #191"
73,bibliophile,0.38297451,"OpenAI #73, Our rank #676"
74,bookish,0.46929744,"OpenAI #74, Our rank #109"
75,literary,0.33483871,"OpenAI #75, Our rank #2,484"
76,scholarly,0.26711097,"OpenAI #76, Our rank #15,560"
77,educational,0.26254233,"OpenAI #77, Our rank #17,549"
78,informative,0.27963059,"OpenAI #78, Our rank #11,015"
79,entertaining,0.27590401,"OpenAI #79, Our rank #12,221"
80,inspiring,0.25418574,"OpenAI #80, Our rank #21,782"
81,captivating,0.25225689,"OpenAI #81, Our rank #22,892"
82,book,1.00000000,Our original rank #1
83,nonbook,0.63341378,Our original rank #2
84,booking,0.62632886,Our original rank #3
85,bookmark,0.60873267,Our original rank #4
86,album,0.59688869,Our original rank #5
87,wordbook,0.57878051,Our original rank #6
88,cookbook,0.57712086,Our original rank #7
89,sourcebook,0.57033940,Our original rank #9
90,bookful,0.56712766,Our original rank #10
91,libri,0.56340954,Our original rank #12
92,daybook,0.56337889,Our original rank #13
93,booklet,0.56314263,Our original rank #14
94,bankbook,0.56168682,Our original rank #15
95,bookrest,0.55888545,Our original rank #16
96,bookshop,0.55659061,Our original rank #17
97,casebook,0.55479609,Our original rank #18
98,pocketbook,0.55229719,Our original rank #19
99,schoolbook,0.54282309,Our original rank #21
100,storybook,0.54087717,Our original rank #22
101,catalog,0.53782805,Our original rank #23
102,logbook,0.53128432,Our original rank #25
103,folder,0.52824478,Our original rank #26
104,hardback,0.52513057,Our original rank #28
105,livre,0.52447280,Our original rank #29
106,article,0.52432570,Our original rank #31
107,read,0.52374665,Our original rank #33
108,handbook,0.52080829,Our original rank #36
109,document,0.51818353,Our original rank #38
110,bib,0.51759087,Our original rank #39
111,yearbook,0.51639944,Our original rank #40
112,songbook,0.51408088,Our original rank #42
113,matchbook,0.51236543,Our original rank #44
114,promptbook,0.51202773,Our original rank #45
115,writing,0.51165622,Our original rank #47
116,bookie,0.50761899,Our original rank #50
117,film,0.50700664,Our original rank #51
118,write,0.50579691,Our original rank #52
119,lawbook,0.50329630,Our original rank #53
120,notebook,0.50263935,Our original rank #54
121,softbound,0.50224922,Our original rank #55
122,comic,0.50214156,Our original rank #56
123,file,0.50016190,Our original rank #57
124,booked,0.50006517,Our original rank #58
125,movie,0.49955245,Our original rank #59
126,publish,0.49909900,Our original rank #60
127,doc,0.49804999,Our original rank #61
128,paper,0.49642070,Our original rank #63
129,bookmarker,0.49532960,Our original rank #64
130,paperbound,0.49496997,Our original rank #65
131,bookmen,0.49456579,Our original rank #66
132,reading,0.49438318,Our original rank #67
133,published,0.49248352,Our original rank #68
134,bookrack,0.48925933,Our original rank #70
135,hardbound,0.48734543,Our original rank #71
136,prebook,0.48689932,Our original rank #72
137,box,0.48627383,Our original rank #74
138,monograph,0.48610882,Our original rank #75
139,essay,0.48514635,Our original rank #77
140,shelf,0.48459642,Our original rank #78
141,bluebook,0.48301951,Our original rank #79
142,bible,0.48252441,Our original rank #80
143,booklouse,0.48190730,Our original rank #81
144,folio,0.48166484,Our original rank #82
145,bookseller,0.48156839,Our original rank #83
146,bookable,0.48075529,Our original rank #84
147,back,0.48056114,Our original rank #85
148,bookmaking,0.47966708,Our original rank #87
149,codebook,0.47916500,Our original rank #88
150,calendar,0.47847725,Our original rank #89
151,account,0.47841101,Our original rank #90
152,boxed,0.47707385,Our original rank #91
153,sketchbook,0.47669814,Our original rank #92
154,scrapbook,0.47581603,Our original rank #93
155,board,0.47567319,Our original rank #94
156,note,0.47463139,Our original rank #95
157,browse,0.47432317,Our original rank #96
158,booker,0.47399711,Our original rank #97
159,reader,0.47383103,Our original rank #98
160,download,0.47275689,Our original rank #99
161,thesis,0.47242239,Our original rank #101
162,memo,0.47190869,Our original rank #102
163,playbook,0.47186910,Our original rank #103
164,review,0.47080061,Our original rank #104
165,stylebook,0.47065560,Our original rank #105
166,bank,0.47029678,Our original rank #106
167,bag,0.47016283,Our original rank #107
168,study,0.46953510,Our original rank #108
169,ticket,0.46895031,Our original rank #112
170,cashbook,0.46790993,Our original rank #113
171,booklore,0.46786348,Our original rank #114
172,edition,0.46782579,Our original rank #115
173,copybook,0.46748100,Our original rank #116
174,catalogue,0.46738839,Our original rank #117
175,bookselling,0.46707395,Our original rank #118
176,kindle,0.46663065,Our original rank #119
177,boat,0.46596332,Our original rank #120
178,bookstall,0.46467316,Our original rank #122
179,look,0.46398253,Our original rank #125
180,sheet,0.46311794,Our original rank #126
181,scribe,0.46275700,Our original rank #127
182,passbook,0.46147522,Our original rank #130
183,listing,0.46124596,Our original rank #131
184,softcover,0.46114027,Our original rank #132
185,codex,0.46062129,Our original rank #133
186,unread,0.46031721,Our original rank #134
187,bookman,0.45972446,Our original rank #135
188,bibliography,0.45956571,Our original rank #136
189,softback,0.45920399,Our original rank #137
190,defter,0.45888210,Our original rank #138
191,buy,0.45821015,Our original rank #139
192,cahier,0.45818814,Our original rank #140
193,bookend,0.45724035,Our original rank #142
194,directory,0.45690449,Our original rank #144
195,archive,0.45657021,Our original rank #146
196,psalmbook,0.45559747,Our original rank #148
197,blaubok,0.45483509,Our original rank #149
198,item,0.45417027,Our original rank #150
199,recipe,0.45415686,Our original rank #151
200,printed,0.45395249,Our original rank #152
201,record,0.45379202,Our original rank #153
202,newsletter,0.45309777,Our original rank #154
203,good,0.45262119,Our original rank #155
204,card,0.45190711,Our original rank #156
205,hymnbook,0.45188565,Our original rank #157
206,bonus,0.45183132,Our original rank #158
207,portfolio,0.45080854,Our original rank #159
208,game,0.45071250,Our original rank #160
209,reference,0.45061608,Our original rank #161
210,bo,0.45022865,Our original rank #162
211,worksheet,0.44992449,Our original rank #163
212,reitbok,0.44983861,Our original rank #164
213,bookbinder,0.44907428,Our original rank #165
214,copy,0.44895567,Our original rank #166
215,home,0.44741844,Our original rank #167
216,open,0.44684372,Our original rank #168
217,budget,0.44678114,Our original rank #169
218,shop,0.44540405,Our original rank #170
219,checkout,0.44490784,Our original rank #171
220,program,0.44475571,Our original rank #172
221,boo,0.44468189,Our original rank #173
222,school,0.44461375,Our original rank #174
223,resume,0.44421966,Our original rank #175
224,listed,0.44333278,Our original rank #176
225,binder,0.44277573,Our original rank #177
226,database,0.44258427,Our original rank #178
227,index,0.44235409,Our original rank #179
228,checkbook,0.44204117,Our original rank #180
229,list,0.44117473,Our original rank #181
230,button,0.44111268,Our original rank #182
231,copyright,0.44090620,Our original rank #183
232,self,0.43839089,Our original rank #184
233,nook,0.43825656,Our original rank #185
234,guide,0.43823929,Our original rank #186
235,reservation,0.43820396,Our original rank #187
236,binding,0.43715455,Our original rank #188
237,unbookish,0.43711258,Our original rank #189
238,deck,0.43580401,Our original rank #192
239,boot,0.43487783,Our original rank #193
240,bookplate,0.43481374,Our original rank #194
241,textbookish,0.43449199,Our original rank #195
242,chronicle,0.43385183,Our original rank #196
243,work,0.43383046,Our original rank #197
244,paperbacked,0.43349973,Our original rank #198
245,report,0.43324710,Our original rank #199
246,software,0.43320632,Our original rank #200
247,browser,0.43295785,Our original rank #201
248,new,0.43269941,Our original rank #202
249,dybbuk,0.43264212,Our original rank #203
250,written,0.43249903,Our original rank #204
251,invoice,0.43227997,Our original rank #205
252,car,0.43216554,Our original rank #206
253,loan,0.43192611,Our original rank #207
254,apter,0.43161508,Our original rank #208
255,bookbinding,0.43140174,Our original rank #209
256,bundle,0.43105688,Our original rank #210
257,blurb,0.43053392,Our original rank #211
258,model,0.43031628,Our original rank #212
259,clothbound,0.42958119,Our original rank #214
260,club,0.42949694,Our original rank #215
261,product,0.42918060,Our original rank #216
262,repository,0.42917028,Our original rank #217
263,english,0.42909434,Our original rank #218
264,business,0.42888250,Our original rank #219
265,playlist,0.42884312,Our original rank #220
266,voucher,0.42832629,Our original rank #221
267,plan,0.42821857,Our original rank #222
268,press,0.42775980,Our original rank #223
269,shirt,0.42745957,Our original rank #224
270,cite,0.42740982,Our original rank #225
271,keep,0.42640851,Our original rank #228
272,lookup,0.42634424,Our original rank #229
273,registration,0.42633499,Our original rank #230
274,college,0.42610849,Our original rank #232
275,publishing,0.42577905,Our original rank #233
276,handlist,0.42555874,Our original rank #234
277,hotel,0.42533613,Our original rank #235
278,picture,0.42531358,Our original rank #236
279,toolbox,0.42506164,Our original rank #237
280,computer,0.42498761,Our original rank #238
281,bole,0.42496210,Our original rank #239
282,label,0.42493442,Our original rank #240
283,fund,0.42471586,Our original rank #241
284,phone,0.42466618,Our original rank #242
285,bookmaker,0.42464744,Our original rank #243
286,hook,0.42395858,Our original rank #244
287,bidden,0.42366654,Our original rank #245
288,table,0.42339307,Our original rank #246
289,brook,0.42338340,Our original rank #247
290,clipboard,0.42311880,Our original rank #248
291,gallery,0.42300596,Our original rank #249
292,award,0.42257549,Our original rank #250
293,cloth,0.42217069,Our original rank #251
294,poster,0.42215506,Our original rank #252
295,store,0.42205440,Our original rank #253
296,body,0.42198973,Our original rank #254
297,tool,0.42169468,Our original rank #255
298,borrow,0.42153566,Our original rank #256
299,ate,0.42129119,Our original rank #257
300,music,0.42098563,Our original rank #258
301,libretto,0.42078403,Our original rank #259
302,backup,0.42061555,Our original rank #260
303,rebook,0.42061381,Our original rank #261
304,bet,0.42023049,Our original rank #262
305,call,0.42021859,Our original rank #263
306,certificate,0.42012516,Our original rank #264
307,brief,0.41984737,Our original rank #265
308,carnet,0.41960521,Our original rank #266
309,kobo,0.41945991,Our original rank #267
310,bro,0.41945312,Our original rank #268
311,episode,0.41938881,Our original rank #269
312,studbook,0.41917744,Our original rank #270
313,waitress,0.41909914,Our original rank #271
314,friend,0.41898042,Our original rank #272
315,collect,0.41895628,Our original rank #273
316,bock,0.41880845,Our original rank #274
317,fil,0.41873380,Our original rank #275
318,leaflet,0.41871528,Our original rank #276
319,tablet,0.41866915,Our original rank #277
320,documentation,0.41851527,Our original rank #278
321,travelogue,0.41844253,Our original rank #279
322,free,0.41808968,Our original rank #280
323,titre,0.41771372,Our original rank #281
324,package,0.41741756,Our original rank #282
325,blank,0.41734638,Our original rank #283
326,made,0.41709565,Our original rank #284
327,saved,0.41698945,Our original rank #285
328,bookbindery,0.41679287,Our original rank #286
329,playbill,0.41668079,Our original rank #287
330,newspaper,0.41660726,Our original rank #288
331,face,0.41658822,Our original rank #289
332,play,0.41631435,Our original rank #290
333,amazon,0.41581015,Our original rank #291
334,check,0.41578734,Our original rank #292
335,doctor,0.41573957,Our original rank #293
336,building,0.41567782,Our original rank #294
337,day,0.41562120,Our original rank #295
338,cope,0.41528887,Our original rank #296
339,post,0.41520844,Our original rank #297
340,bookishly,0.41518881,Our original rank #298
341,category,0.41509874,Our original rank #300
342,scribed,0.41500279,Our original rank #301
343,coat,0.41473334,Our original rank #302
344,build,0.41436393,Our original rank #303
345,basket,0.41406854,Our original rank #304
346,figure,0.41401807,Our original rank #305
347,year,0.41397921,Our original rank #306
348,baby,0.41362667,Our original rank #308
349,paged,0.41354813,Our original rank #309
350,subtitle,0.41354261,Our original rank #310
351,stuff,0.41301055,Our original rank #311
352,spiel,0.41300900,Our original rank #312
353,rock,0.41290325,Our original rank #313
354,own,0.41289382,Our original rank #314
355,watch,0.41286127,Our original rank #315
356,potboiler,0.41245863,Our original rank #317
357,bill,0.41231434,Our original rank #318
358,chart,0.41223829,Our original rank #319
359,opened,0.41205003,Our original rank #320
360,inscription,0.41189342,Our original rank #321
361,market,0.41187115,Our original rank #322
362,dit,0.41174737,Our original rank #323
363,bad,0.41174563,Our original rank #324
364,case,0.41150241,Our original rank #325
365,dog,0.41140067,Our original rank #326
366,broker,0.41132627,Our original rank #327
367,billing,0.41124198,Our original rank #328
368,overbook,0.41106723,Our original rank #329
369,combo,0.41096022,Our original rank #330
370,holiday,0.41091572,Our original rank #331
371,prebooking,0.41067855,Our original rank #332
372,advisor,0.41056868,Our original rank #333
373,quantity,0.41055405,Our original rank #334
374,menu,0.41049905,Our original rank #335
375,doctrine,0.41046139,Our original rank #336
376,backlist,0.41045054,Our original rank #337
377,collector,0.41042926,Our original rank #338
378,appoint,0.41022005,Our original rank #339
379,headline,0.41018416,Our original rank #340
380,reserve,0.41002854,Our original rank #341
381,notated,0.40986200,Our original rank #342
382,citation,0.40976970,Our original rank #343
383,design,0.40963158,Our original rank #344
384,boom,0.40954150,Our original rank #345
385,trade,0.40935924,Our original rank #346
386,pack,0.40909670,Our original rank #347
387,interest,0.40908589,Our original rank #348
388,fanzine,0.40908434,Our original rank #349
389,keeping,0.40893447,Our original rank #350
390,format,0.40889325,Our original rank #351
391,drawer,0.40865029,Our original rank #352
392,prep,0.40862751,Our original rank #353
393,bold,0.40853401,Our original rank #354
394,called,0.40840739,Our original rank #355
395,bid,0.40831428,Our original rank #356
396,exam,0.40831129,Our original rank #357
397,order,0.40814790,Our original rank #358
398,registry,0.40812077,Our original rank #359
399,cart,0.40797408,Our original rank #360
400,question,0.40775874,Our original rank #361
401,prebooked,0.40746259,Our original rank #362
402,act,0.40743129,Our original rank #363
403,keyboard,0.40716334,Our original rank #364
404,cake,0.40709406,Our original rank #365
405,search,0.40701289,Our original rank #366
406,log,0.40643246,Our original rank #367
407,font,0.40636763,Our original rank #368
408,draft,0.40636161,Our original rank #369
409,make,0.40617370,Our original rank #370
410,commend,0.40610530,Our original rank #371
411,chap,0.40607183,Our original rank #372
412,device,0.40575839,Our original rank #374
413,sale,0.40575238,Our original rank #375
414,form,0.40567363,Our original rank #376
415,coupon,0.40515744,Our original rank #377
416,register,0.40514304,Our original rank #378
417,month,0.40513999,Our original rank #379
418,buster,0.40501230,Our original rank #380
419,calling,0.40492847,Our original rank #381
420,caption,0.40491179,Our original rank #382
421,firm,0.40487543,Our original rank #383
422,making,0.40480759,Our original rank #384
423,excel,0.40466647,Our original rank #385
424,biblist,0.40460679,Our original rank #386
425,nota,0.40459124,Our original rank #387
426,receipt,0.40455832,Our original rank #388
427,blurbed,0.40454249,Our original rank #389
428,save,0.40432025,Our original rank #390
429,printing,0.40430784,Our original rank #391
430,hefter,0.40411821,Our original rank #392
431,link,0.40403483,Our original rank #393
432,best,0.40388688,Our original rank #394
433,dock,0.40344906,Our original rank #395
434,code,0.40343792,Our original rank #396
435,vehicle,0.40324544,Our original rank #397
436,learning,0.40313273,Our original rank #398
437,course,0.40301468,Our original rank #399
438,tab,0.40292910,Our original rank #400
439,bout,0.40290688,Our original rank #401
440,info,0.40289311,Our original rank #402
441,alphabet,0.40286272,Our original rank #403
442,thing,0.40276689,Our original rank #404
443,deposit,0.40272881,Our original rank #405
444,here,0.40255404,Our original rank #406
445,boob,0.40248770,Our original rank #407
446,cancel,0.40226053,Our original rank #409
447,credit,0.40211693,Our original rank #410
448,boy,0.40191814,Our original rank #411
449,bibliotheca,0.40184803,Our original rank #412
450,tutorial,0.40181249,Our original rank #413
451,ordered,0.40173085,Our original rank #414
452,compendium,0.40170964,Our original rank #415
453,language,0.40166985,Our original rank #416
454,drug,0.40164938,Our original rank #417
455,consult,0.40162196,Our original rank #418
456,leaf,0.40147361,Our original rank #419
457,object,0.40138747,Our original rank #420
458,project,0.40131781,Our original rank #421
459,band,0.40101940,Our original rank #422
460,deal,0.40093280,Our original rank #423
461,grammar,0.40090098,Our original rank #424
462,contract,0.40067500,Our original rank #425
463,marc,0.40060831,Our original rank #426
464,ready,0.40053657,Our original rank #427
465,revision,0.40037764,Our original rank #428
466,week,0.40034833,Our original rank #429
467,unpublished,0.40022104,Our original rank #430
468,monographing,0.40020068,Our original rank #431
469,print,0.40016946,Our original rank #432
470,plate,0.40012835,Our original rank #433
471,bond,0.40011853,Our original rank #434
472,bird,0.40003195,Our original rank #435
473,number,0.40001271,Our original rank #436
474,name,0.40001226,Our original rank #437
475,almanac,0.40000370,Our original rank #438
476,nob,0.39977789,Our original rank #440
477,posting,0.39972753,Our original rank #441
478,group,0.39956837,Our original rank #442
479,camera,0.39932575,Our original rank #443
480,formatted,0.39918618,Our original rank #444
481,dated,0.39909410,Our original rank #445
482,something,0.39889092,Our original rank #446
483,lock,0.39881282,Our original rank #447
484,registered,0.39873455,Our original rank #448
485,catalo,0.39856798,Our original rank #449
486,volunteer,0.39847703,Our original rank #450
487,quote,0.39829403,Our original rank #451
488,stock,0.39826170,Our original rank #452
489,rebooked,0.39822976,Our original rank #453
490,botel,0.39807003,Our original rank #454
491,enate,0.39799782,Our original rank #455
492,help,0.39792555,Our original rank #456
493,dialog,0.39775316,Our original rank #457
494,jacket,0.39769825,Our original rank #458
495,cheap,0.39762680,Our original rank #459
496,schoolbag,0.39734436,Our original rank #460
497,wrote,0.39725463,Our original rank #461
498,close,0.39725345,Our original rank #462
499,description,0.39708891,Our original rank #463
500,biblike,0.39703812,Our original rank #464
501,bound,0.39690433,Our original rank #465
502,it,0.39689940,Our original rank #466
503,begin,0.39689856,Our original rank #467
504,shoe,0.39683976,Our original rank #468
505,nicely,0.39674391,Our original rank #469
506,apple,0.39666528,Our original rank #470
507,drawing,0.39662141,Our original rank #471
508,class,0.39642466,Our original rank #472
509,leased,0.39631137,Our original rank #473
510,compiled,0.39630260,Our original rank #474
511,prepare,0.39623801,Our original rank #475
512,finish,0.39621187,Our original rank #476
513,opening,0.39621179,Our original rank #477
514,company,0.39587534,Our original rank #478
515,module,0.39583822,Our original rank #479
516,bike,0.39583451,Our original rank #480
517,house,0.39577337,Our original rank #481
518,passport,0.39555989,Our original rank #482
519,countdown,0.39548459,Our original rank #483
520,markdown,0.39542493,Our original rank #484
521,backpack,0.39537805,Our original rank #485
522,into,0.39527159,Our original rank #486
523,banknote,0.39527125,Our original rank #487
524,finished,0.39518604,Our original rank #488
525,available,0.39515767,Our original rank #489
526,script,0.39513149,Our original rank #490
527,blob,0.39509824,Our original rank #491
528,video,0.39507514,Our original rank #492
529,mark,0.39481592,Our original rank #493
530,rule,0.39468110,Our original rank #494
531,hold,0.39460845,Our original rank #495
532,travelog,0.39458460,Our original rank #496
533,bung,0.39438147,Our original rank #497
534,forme,0.39436207,Our original rank #498
535,programming,0.39432637,Our original rank #499
536,container,0.39427602,Our original rank #500
537,booth,0.39417424,Our original rank #501
538,about,0.39407676,Our original rank #502
539,bibliothecal,0.39398085,Our original rank #504
540,subscription,0.39397826,Our original rank #505
541,noun,0.39394227,Our original rank #506
542,fabric,0.39392220,Our original rank #507
543,holding,0.39383096,Our original rank #508
544,place,0.39377198,Our original rank #509
545,bulletin,0.39376610,Our original rank #510
546,crap,0.39369668,Our original rank #511
547,block,0.39329361,Our original rank #512
548,advertisement,0.39328906,Our original rank #513
549,price,0.39325336,Our original rank #514
550,oft,0.39319388,Our original rank #515
551,markup,0.39309716,Our original rank #516
552,fresh,0.39293603,Our original rank #517
553,designation,0.39292510,Our original rank #518
554,kook,0.39287695,Our original rank #519
555,bah,0.39277953,Our original rank #520
556,ordering,0.39273687,Our original rank #521
557,bibliopole,0.39272917,Our original rank #522
558,bloke,0.39271244,Our original rank #523
559,membership,0.39267959,Our original rank #524
560,theory,0.39265398,Our original rank #525
561,topic,0.39256005,Our original rank #527
562,schema,0.39254574,Our original rank #528
563,by,0.39248902,Our original rank #529
564,bibliographical,0.39244821,Our original rank #530
565,my,0.39231755,Our original rank #531
566,bed,0.39228821,Our original rank #532
567,each,0.39227443,Our original rank #533
568,subscribe,0.39225214,Our original rank #534
569,quiz,0.39221224,Our original rank #535
570,football,0.39218447,Our original rank #536
571,handbill,0.39199002,Our original rank #537
572,today,0.39198828,Our original rank #538
573,learn,0.39195550,Our original rank #539
574,ball,0.39180899,Our original rank #540
575,cup,0.39176495,Our original rank #541
576,hotpress,0.39176134,Our original rank #542
577,subject,0.39161632,Our original rank #543
578,bread,0.39153370,Our original rank #544
579,edit,0.39152400,Our original rank #545
580,bibliographic,0.39150283,Our original rank #546
581,peon,0.39145924,Our original rank #547
582,lot,0.39145239,Our original rank #548
583,did,0.39126270,Our original rank #549
584,birthday,0.39115503,Our original rank #550
585,abstract,0.39096197,Our original rank #551
586,interesting,0.39095886,Our original rank #552
587,intro,0.39092553,Our original rank #553
588,dossier,0.39078247,Our original rank #554
589,stamp,0.39077825,Our original rank #555
590,unfinished,0.39049114,Our original rank #556
591,proposal,0.39029097,Our original rank #557
592,campaign,0.39027580,Our original rank #558
593,buck,0.39023928,Our original rank #559
594,big,0.39021829,Our original rank #560
595,instance,0.39005022,Our original rank #561
596,staw,0.38991688,Our original rank #562
597,information,0.38982380,Our original rank #563
598,weep,0.38978938,Our original rank #564
599,hobbit,0.38977063,Our original rank #565
600,boa,0.38960702,Our original rank #567
601,easy,0.38948561,Our original rank #568
602,bibliomaniac,0.38947977,Our original rank #569
603,job,0.38941727,Our original rank #570
604,shopping,0.38928081,Our original rank #571
605,definition,0.38925198,Our original rank #572
606,array,0.38918355,Our original rank #573
607,desktop,0.38914455,Our original rank #574
608,blood,0.38912383,Our original rank #575
609,remember,0.38911133,Our original rank #576
610,banner,0.38906241,Our original rank #577
611,aper,0.38902927,Our original rank #578
612,copublished,0.38884043,Our original rank #579
613,adult,0.38876361,Our original rank #580
614,player,0.38871108,Our original rank #581
615,bind,0.38869474,Our original rank #582
616,bang,0.38865106,Our original rank #583
617,calender,0.38863192,Our original rank #584
618,alist,0.38860507,Our original rank #585
619,programme,0.38857581,Our original rank #586
620,bar,0.38857267,Our original rank #587
621,found,0.38855805,Our original rank #588
622,notepaper,0.38855292,Our original rank #589
623,talk,0.38844474,Our original rank #590
624,gift,0.38843035,Our original rank #591
625,song,0.38833293,Our original rank #592
626,cyclopedia,0.38822028,Our original rank #593
627,rebooking,0.38812244,Our original rank #595
628,concept,0.38806165,Our original rank #596
629,petto,0.38805062,Our original rank #597
630,conference,0.38802220,Our original rank #598
631,biz,0.38799644,Our original rank #599
632,style,0.38796982,Our original rank #600
633,academic,0.38791221,Our original rank #601
634,detail,0.38778776,Our original rank #602
