rank,secret_word,word,clue,connection_strength
1,box,box,This is the *.,secret_word
2,box,boxed,I am the result of being closed,strong
3,box,toolbox,I hold tools inside of me,strong
4,box,bandbox,I am not related to bands,weak
5,box,unbox,I am the opposite of this,strong
6,box,boxing,I have nothing to do with this,weak
7,box,woodbox,I am made of different material,medium
8,box,mailbox,I receive letters inside of me,strong
9,box,boxy,My shape is not like this,medium
10,box,cube,I am a different geometric shape,medium
11,box,boite,I am not French like this,weak
12,box,boxboard,I am not a type of board,weak
13,box,container,I can be inside a container,medium
14,box,econobox,I am not associated with economy,weak
15,box,sandbox,I am not for playing in sand,weak
16,box,strongbox,I am not as secure as this,medium
17,box,boxlike,"Super close, sizzling hot",strong
18,box,hotbox,I am not heated like this,weak
19,box,unboxed,I am in a different state,medium
20,box,shadowbox,I am not for displaying shadows,weak
21,box,hatbox,I do not hold hats inside,weak
22,box,basket,I am not woven like this,weak
23,box,boxer,I am not a fighter like this,weak
24,box,breadbox,I do not store bread inside,weak
25,box,boxiness,I am not described as this,weak
26,box,outboxed,I am not surpassed in competition,weak
27,box,boombox,I do not play music like this,weak
28,box,soundbox,I am not a source of sound,weak
29,box,matchbox,I do not contain matches inside,weak
30,box,boxier,"Super close, sizzling hot",strong
31,box,boxiest,"Super close, sizzling hot",strong
32,box,postbox,I receive mail but am not this,medium
33,box,rectangle,I am a different shape than this,strong
34,box,square,I am not perfectly equal like this,medium
35,box,unboxing,I am not being opened like this,weak
36,box,body,I am not a human body,weak
37,box,coffret,"Super close, sizzling hot",strong
38,box,shadowboxed,I do not contain displayed shadows,weak
39,box,lockbox,I am not as secure as this,medium
40,box,teabox,I am not associated with tea,weak
41,box,feedbox,I do not dispense feed,weak
42,box,combo,I am not a combination like this,weak
43,box,firebox,I am not for containing fire,weak
44,box,workbox,I do not hold work-related items,weak
45,box,wrapper,I am not a wrapping material,weak
46,box,pack,I am not a group of items,weak
47,box,coalbox,I do not store coal inside,weak
48,box,console,I am not an electronic console,weak
49,box,saltbox,I do not store salt inside,weak
50,box,quare,I am not a square shape,weak
51,box,button,I am not a clothing fastener,weak
52,box,package,I contain items like this,strong
53,box,locker,I store things like this securely,strong
54,box,icebox,I am not cold like this,weak
55,box,cashbox,I hold money like this,strong
56,box,buster,I am not a breaker like this,weak
57,box,bo,I am not a short form like this,weak
58,box,cardboard,I am made of different material,strong
59,box,pod,I am not a seed like this,weak
60,box,widget,I am not a small gadget like this,weak
61,box,bullet,I am not a projectile like this,weak
62,box,bin,I am similar to this storage,medium
63,box,cubical,I have corners like this shape,medium
64,box,book,I do not contain stories like this,weak
65,box,board,I am not flat like this,weak
66,box,boxful,I am not full like this,weak
67,box,outboxing,"Super close, sizzling hot",strong
68,box,carton,I am similar to this packaging,medium
69,box,cased,I am not enclosed like this,weak
70,box,cart,I can be used as this,medium
71,box,ax,I am not a tool like this,weak
72,box,outbox,"Super close, sizzling hot",strong
73,box,switch,I am not an electrical component,weak
74,box,pyxis,"Super close, sizzling hot",strong
75,box,bole,I am not a tree trunk like this,weak
76,box,packing,I am used for this purpose,medium
77,box,bucket,I am not a container like this,weak
78,box,compact,I am not a small car like this,weak
79,box,lox,I am not a fish like this,weak
80,box,boat,I am not a vessel like this,weak
81,box,cuber,I am not a shape like this,weak
82,box,shell,I am not a protective covering,weak
83,box,case,I am similar to this container,medium
84,box,shelf,I am placed on this furniture,medium
85,box,crate,I am similar to this container,medium
86,box,cub,I am not a young bear,weak
87,box,cage,I am not for restraining animals,weak
88,box,jar,I am not a glass container,weak
89,box,stuff,I am not filled like this,weak
90,box,bundle,I am not tied together like this,weak
91,box,folder,I am not for organizing papers,weak
92,box,booth,I am not a small enclosed space,weak
93,box,boot,I am not footwear like this,weak
94,box,wagon,I am not a vehicle like this,weak
95,box,coder,I am not a programmer like this,weak
96,box,cubby,I am not a small compartment,weak
97,box,label,I am not a tag like this,weak
98,box,heelball,I am not a shoe accessory,weak
99,box,bag,I can be used as this,medium
100,box,blob,I am not a shapeless mass,weak
101,box,bot,I am not a robot like this,weak
102,box,bottom,I support things from below,medium
103,box,system,I am part of this organized structure,strong
104,box,packed,I can be tightly filled like this,strong
105,box,ox,I am not a strong animal,weak
106,box,instance,I am a singular occurrence,weak
107,box,kit,I contain tools like this,strong
108,box,base,I provide foundation like this,strong
109,box,packer,I am used to pack items,strong
110,box,desktop,I am not a computer surface,weak
111,box,hellbox,I do not relate to this,weak
112,box,cab,I am not a type of vehicle,weak
113,box,ball,I can't roll like this object,weak
114,box,tube,I am not a cylindrical container,weak
115,box,unpack,I am the opposite of this action,strong
116,box,boom,I am not a sudden growth,weak
117,box,skybox,I have nothing to do with this,weak
118,box,bar,I am not a place to drink,weak
119,box,packet,I am a small container like this,strong
120,box,boss,I am not a person in charge,weak
121,box,object,"I can hold things, unlike this",strong
122,box,boxhauled,I am not related to this,weak
123,box,pegbox,I am not a part of an instrument,weak
124,box,block,I am not a solid cube,weak
125,box,cup,I am not a drinking vessel,weak
126,box,fox,I am not a cunning animal,weak
127,box,hub,I connect things differently from this,strong
128,box,cuboid,I am not a rectangular solid,weak
129,box,panel,I am not a flat surface,weak
130,box,cell,I am not a biological unit,weak
131,box,ousel,I have nothing to do with this,weak
132,box,soapbox,I am not a platform for speaking,weak
133,box,tinderbox,I am not a fire-starting container,weak
134,box,option,I am not a choice like this,weak
135,box,device,I can't operate like this tool,weak
136,box,pouch,I am not a small bag,weak
137,box,toy,I am not a plaything,weak
138,box,center,I am not the middle point,weak
139,box,shape,I can't change form like this,weak
140,box,gearbox,I am not part of a transmission,weak
141,box,plus,I am not a mathematical symbol,weak
142,box,bulbul,I have nothing to do with this,weak
143,box,tub,I am not a container for bathing,weak
144,box,sphere,I am not a perfectly round object,weak
145,box,corner,I am not a meeting point,weak
146,box,dex,I am not related to this,weak
147,box,chest,I am not a body part,weak
148,box,dock,I am not a place to moor,weak
149,box,platform,I am not a raised surface,weak
150,box,border,I don't define edges like this,strong
151,box,fix,I am not a solution,weak
152,box,cartoned,I am usually found in one,medium
153,box,machine,I am not a complex one,weak
154,box,array,I can be arranged in one,medium
155,box,basic,I am simpler than this,strong
156,box,unit,I can be a single one,medium
157,box,mix,I can contain various things inside,strong
158,box,zap,I am not used to zap,weak
159,box,jukebox,I have no music like this,weak
160,box,extra,I am not considered as extra,weak
161,box,deck,I am not a part of this,weak
162,box,lock,I can have a secure one,medium
163,box,inside,Things can be placed inside me,strong
164,box,cajon,I am different from a cajon,weak
165,box,letterboxing,"Super close, sizzling hot",strong
166,box,boxcar,I am not a mode of transportation,weak
167,box,code,I can have a secret one,medium
168,box,ocker,I have nothing to do with this,weak
169,box,oxcart,I am not pulled by oxen,weak
170,box,computer,I am not a type of computer,weak
171,box,listing,Items can be put in a listing,medium
172,box,bracket,I can be enclosed in one,medium
173,box,rounded,I am not rounded like this,weak
174,box,coon,I have nothing to do with this,weak
175,box,controller,I can be controlled by one,medium
176,box,quad,I am different from a quad,weak
177,box,bootstrap,I have nothing to do with this,weak
178,box,game,I can contain a game inside,strong
179,box,oxo,I have nothing to do with this,weak
180,box,pickup,I am not a type of pickup,weak
181,box,bout,I have nothing to do with this,weak
182,box,drawer,I can have drawers inside me,strong
183,box,bowpot,I have nothing to do with this,weak
184,box,lobe,I am not a part of a lobe,weak
185,box,dummy,I am not a type of dummy,weak
186,box,check,I can have checks inside me,strong
187,box,queue,Things can be placed in a queue,strong
188,box,concept,I am not a conceptual one,weak
189,box,connector,I can connect things with a connector,strong
190,box,boxhauling,I have nothing to do with this,weak
191,box,palette,I can have colors on a palette,strong
192,box,mach,I am not a type of mach,weak
193,box,xis,I have nothing to do with this,weak
194,box,comic,I can contain comics inside me,strong
195,box,bonus,I am not considered as a bonus,weak
196,box,expo,I have nothing to do with this,weak
197,box,blocky,I am not as blocky as this,weak
198,box,tool,I can contain tools inside me,strong
199,box,bomb,I am not a type of bomb,weak
200,box,squarer,I am not as squarer as this,weak
201,box,boxberry,I have nothing to do with this,weak
202,box,pac,I am a part of this,strong
203,box,encloser,I am used as this,strong
204,box,thing,I can hold this,medium
205,box,blank,I am not filled like this,medium
206,box,stack,I can be stacked like this,strong
207,box,mod,I can be modified like this,medium
208,box,receiver,I can be the recipient like this,medium
209,box,tank,I can contain liquid like this,strong
210,box,poxing,I have nothing to do with this,weak
211,box,bollix,I am tangled like this,strong
212,box,formula,I can be mixed like this,medium
213,box,bott,I can hold this,medium
214,box,cartoning,I can be packaged like this,strong
215,box,contained,I can be inside this,medium
216,box,caster,I can roll like this,strong
217,box,vox,I have nothing to do with this,weak
218,box,compartment,I can have sections like this,strong
219,box,onus,I am responsible like this,medium
220,box,saucebox,I am not related to this,weak
221,box,mode,I can have different states like this,strong
222,box,build,I can be constructed like this,strong
223,box,buttoner,I can fasten like this,medium
224,box,trap,I can catch things like this,medium
225,box,locked,I can be secured like this,strong
226,box,matrix,I can be part of this,medium
227,box,test,I can be examined like this,medium
228,box,combination,I can be mixed like this,medium
229,box,quadrat,I have nothing to do with this,weak
230,box,bold,I can be highlighted like this,strong
231,box,placeholder,I can hold the place like this,medium
232,box,built,I am constructed like this,strong
233,box,cubbyhole,I can have small compartments like this,strong
234,box,bubble,I can be inflated like this,medium
235,box,bus,I can transport like this,strong
236,box,empty,I can be filled like this,medium
237,box,sub,I am a part of this,strong
238,box,truck,I can transport like this,strong
239,box,model,I can be a representation like this,medium
240,box,caption,I can describe like this,medium
241,box,hut,I am a shelter like this,strong
242,box,player,I can be part of this,medium
243,box,hutch,I can contain like this,strong
244,box,byte,I am made of bits like this,strong
245,box,arc,I can have a curve like this,strong
246,box,hardware,I can be part of this,strong
247,box,slot,I can hold something like this,strong
248,box,pillbox,I can dispense like this,strong
249,box,buttony,I can have buttons like this,strong
250,box,abler,I have nothing to do with this,weak
251,box,contain,I can hold like this,strong
252,box,divider,I separate things like this,strong
253,box,opt,I am a choice like this,medium
254,box,ex,I am not this abbreviation,weak
255,box,cover,I protect things like this,strong
256,box,boche,I have no relation to this,weak
257,box,window,I contain things like this,strong
258,box,album,I store memories like this,medium
259,box,setup,I am arranged differently from this,weak
260,box,something,I am not this undefined thing,weak
261,box,module,I am part of a system like this,strong
262,box,plug,I connect things like this,strong
263,box,envelope,I enclose things like this,strong
264,box,cager,I have no relation to this,weak
265,box,petto,I am not this body part,weak
266,box,coded,I am not this encrypted message,weak
267,box,zip,I fasten things like this,strong
268,box,car,I transport things like this,strong
269,box,put,I position things like this,strong
270,box,browser,I search through data like this,strong
271,box,big,I am not this size descriptor,weak
272,box,set,"I am a group, unlike this",medium
273,box,open,I reveal things like this,strong
274,box,mini,I am not this small version,weak
275,box,self,I am not this individual,weak
276,box,out,I am not this direction,weak
277,box,bazoo,I have no relation to this,weak
278,box,tester,I examine things like this,strong
279,box,bod,I am not this slang term,weak
280,box,round,I am not this shape,weak
281,box,posit,I affirm things like this,strong
282,box,bock,I have no relation to this,weak
283,box,bound,I restrict things like this,strong
284,box,triangle,I am not this geometric figure,weak
285,box,example,I illustrate things like this,strong
286,box,panier,I have no relation to this,weak
287,box,dialog,I converse differently from this,weak
288,box,form,I shape things like this,strong
289,box,hypercube,I am not this multi-dimensional object,weak
290,box,cubed,I am not this mathematical operation,weak
291,box,cubage,I measure differently from this,weak
292,box,boff,I have no relation to this,weak
293,box,mouse,I am not this rodent creature,weak
294,box,figure,I represent things like this,strong
295,box,tray,I hold things like this,strong
296,box,blue,I am not this color,weak
297,box,space,I create room like this,strong
298,box,shack,I have no relation to this,weak
299,box,zone,I define areas like this,strong
300,box,icon,I symbolize things like this,strong
301,box,cat,I am not this feline creature,weak
302,box,keyboard,I have keys like this for input,strong
303,box,sock,I have no relation to this,weak
304,box,pone,I have nothing to do with this,weak
305,box,duct,I transport nothing like this,medium
306,box,make,I am not used for creating,medium
307,box,clipboard,I hold nothing like this,medium
308,box,wrap,I do not cover like this,medium
309,box,mask,I am not worn like this,medium
310,box,boyla,I am not familiar with this,weak
311,box,experiment,I am not tested like this,medium
312,box,chooser,I do not select like this,medium
313,box,ponent,I am not a component like this,medium
314,box,into,I do not transform like this,medium
315,box,soap,I have no relation to this,weak
316,box,beanbag,I do not provide comfort like this,medium
317,box,size,I am not measured like this,medium
