rank,secret_word,word,clue,connection_strength
1,bread,bread,This is the *.,secret_word
2,bread,breadstuff,I have nothing to do with this,weak
3,bread,bready,I am like a close relative,strong
4,bread,cake,I am not as sweet as this,medium
5,bread,brioche,I am not as fancy as this,medium
6,bread,breadbasket,I hold more than this container,weak
7,bread,beebread,I am not made by bees,medium
8,bread,loaf,I am a smaller version,medium
9,bread,cornbread,I am not made from corn,medium
10,bread,baguette,I am not as long as this,medium
11,bread,bakery,I am a single product,weak
12,bread,bun,I am not as round as this,medium
13,bread,bran,I am not as healthy as this,medium
14,bread,meal,I am not a complete dish,weak
15,bread,breaded,I am not coated in crumbs,weak
16,bread,showbread,I am not displayed in temples,weak
17,bread,cloth,I am not used for wrapping,weak
18,bread,wheat,I am made from a different grain,strong
19,bread,sweetbread,I am not sweet like this,medium
20,bread,focaccia,"Super close, sizzling hot",strong
21,bread,sowbread,I am not grown in gardens,medium
22,bread,food,I am a specific type,weak
23,bread,toast,I am not cooked in a toaster,medium
24,bread,pastry,I am a different category,strong
25,bread,dough,"Super close, sizzling hot",strong
26,bread,flour,I am made from a different ingredient,strong
27,bread,bake,I am the result of this,weak
28,bread,biscuit,I am not as crunchy as this,medium
29,bread,crumb,I am a part of a whole,weak
30,bread,pizza,I am not as cheesy as this,medium
31,bread,roti,I am not the same type,strong
32,bread,crispbread,I am not as crispy as this,medium
33,bread,brie,I am not a type of cheese,weak
34,bread,shewbread,I am not used in religious rituals,weak
35,bread,baked,I am the result of this,weak
36,bread,breadfruit,I am not a tropical fruit,medium
37,bread,basket,I am not a container like this,medium
38,bread,seedcake,I am not made with seeds,medium
39,bread,brick,I am not hard like this,medium
40,bread,zwieback,I am not twice baked,medium
41,bread,friedcake,I am not fried like this,medium
42,bread,pasta,I am not a noodle dish,medium
43,bread,fruit,I am not a natural produce,medium
44,bread,bed,I am not for sleeping on,medium
45,bread,baking,I am the process before me,weak
46,bread,corn,I am not a vegetable type,strong
47,bread,brew,I am not a drink like this,medium
48,bread,challah,"Super close, sizzling hot",strong
49,bread,panada,I am not a meat pie,medium
50,bread,pita,"Super close, sizzling hot",strong
51,bread,breading,"Super close, sizzling hot",strong
52,bread,board,I am sliced on this,strong
53,bread,babka,I am not sweet like this,weak
54,bread,sourdough,My flavor is different from this,medium
55,bread,shortbread,I am not as crumbly as this,weak
56,bread,bagel,I am not as dense as this,weak
57,bread,breadnut,I am not related to this,weak
58,bread,cereal,I am not eaten for breakfast like this,weak
59,bread,matzah,I am not unleavened like this,weak
60,bread,piecrust,I am not used for pies like this,weak
61,bread,rotis,I am not flat like this,weak
62,bread,torte,I am not a dessert like this,weak
63,bread,chapatti,I am not flat like this,weak
64,bread,matzoh,"Super close, sizzling hot",medium
65,bread,kuchen,"I am plain, not fancy like this",weak
66,bread,hardtack,I am softer than this,weak
67,bread,rice,I am not a grain like this,weak
68,bread,farina,I am not a flour like this,weak
69,bread,fabric,I am not made of material like this,weak
70,bread,matzoth,I am not unleavened like this,weak
71,bread,prebaked,I am not already baked like this,weak
72,bread,crust,"I am part of a loaf, not this",weak
73,bread,fruitcake,I am not a sweet like this,weak
74,bread,fried,"I am baked, not fried like this",weak
75,bread,crustless,"I have a crust, unlike this",weak
76,bread,lekvar,I am not a spread like this,weak
77,bread,butter,I am not a spread like this,weak
78,bread,chapatis,I am not flat like this,weak
79,bread,bakeshop,"I am made at home, not there",weak
80,bread,breakfast,"I am eaten anytime, not just morning",weak
81,bread,hotcake,I am not cooked on a griddle like this,weak
82,bread,rye,I am not a grain like this,weak
83,bread,sandwich,"I am part of a sandwich, not this",strong
84,bread,naan,I am not flat like this,weak
85,bread,piece,I am sliced into this,strong
86,bread,brood,I am not a group like this,weak
87,bread,frumenty,I am not a dish like this,weak
88,bread,chapati,I am not flat like this,weak
89,bread,matzot,I am not unleavened like this,weak
90,bread,grain,I am not a grain like this,weak
91,bread,matza,I am not unleavened like this,weak
92,bread,beer,I am not a beverage like this,weak
93,bread,ribbon,I am not decorative like this,weak
94,bread,cheese,I am not a topping like this,weak
95,bread,pie,I am not a dessert like this,weak
96,bread,crouton,I am not a topping like this,weak
97,bread,matzo,I am not unleavened like this,weak
98,bread,brownie,I am not a dessert like this,weak
99,bread,shortcake,I am not a dessert like this,weak
100,bread,leavened,I am not unleavened like this,weak
101,bread,chappati,I am not flat like this,weak
102,bread,peon,I have nothing to do with this,weak
103,bread,croustade,I am a type of this,strong
104,bread,triticum,I am made from this grain,strong
105,bread,pudding,Used in some desserts with me,medium
106,bread,bannock,I am a different type of this,medium
107,bread,stollen,I have nothing to do with this,weak
108,bread,unleavened,"Super close, sizzling hot",strong
109,bread,broccoli,I have nothing to do with this,weak
110,bread,panettone,I am a different type of this,medium
111,bread,croissant,I am a flakier version of this,strong
112,bread,foodstuff,I am a type of this,strong
113,bread,cooked,I am not raw like this,medium
114,bread,brome,I have nothing to do with this,weak
115,bread,crumpet,I am a different texture than this,medium
116,bread,doughlike,I am made from this but not fully,medium
117,bread,bakemeat,I am not meat like this,strong
118,bread,doughy,I am not as soft as this,medium
119,bread,cabbage,I have nothing to do with this,weak
120,bread,gluten,I am made without this,strong
121,bread,gingerbread,I am a different flavor than this,medium
122,bread,brown,I am not a color like this,medium
123,bread,fiber,I am a source of this,strong
124,bread,baguet,I am a different shape than this,medium
125,bread,oat,I am sometimes made with this,medium
126,bread,barm,I have nothing to do with this,weak
127,bread,craft,I am made with skill like this,medium
128,bread,hallah,I am not braided like this,medium
129,bread,johnnycake,"Super close, sizzling hot",strong
130,bread,dish,I am eaten with this,medium
131,bread,eating,I am consumed like this,medium
132,bread,barley,I am not made from this grain,strong
133,bread,pard,I have nothing to do with this,weak
134,bread,chapattis,I am a different type of this,medium
135,bread,eat,I am consumed like this,medium
136,bread,matsah,"Super close, sizzling hot",strong
137,bread,wafer,I am not thin and crispy like this,medium
138,bread,bred,I am not a verb like this,strong
139,bread,thresh,I have nothing to do with this,weak
140,bread,recipe,Used to make me,strong
141,bread,breaker,"Super close, sizzling hot",strong
142,bread,baker,I am made by this profession,strong
143,bread,batter,I am not a liquid like this,strong
144,bread,oven,I am baked in this,strong
145,bread,fresh,I am best when this way,strong
146,bread,wood,I am not made of this,strong
147,bread,strudel,I am a different pastry than this,medium
148,bread,breadbox,I am stored in this container,strong
149,bread,pretzel,I am not twisted like this,medium
