rank,secret_word,word,clue,connection_strength
1,build,build,This is the *.,secret_word
2,build,built,I am the result of this process,strong
3,build,builder,I am the one who does this,strong
4,build,building,I am the product of this activity,strong
5,build,configure,I am set up by this action,medium
6,build,construct,I am put together in this way,strong
7,build,make,I am created by this action,medium
8,build,builded,I am the result of this process,strong
9,build,compile,I am put together like this,medium
10,build,generate,I am produced by this process,medium
11,build,upbuild,I am built up in this way,strong
12,build,assemble,I am put together in this manner,strong
13,build,create,I am brought into existence this way,strong
14,build,develop,I am grown and advanced this way,strong
15,build,upgrade,I am improved in this manner,strong
16,build,rebuild,I am constructed again this way,strong
17,build,buildable,I am able to be built,medium
18,build,setup,I am arranged in this way,medium
19,build,upbuilt,I am built up in this way,strong
20,build,startup,I am initiated like this,medium
21,build,buildup,I am increased in this manner,strong
22,build,brew,I am concocted like this,medium
23,build,compiled,I am put together this way,medium
24,build,ploy,I am a tactic used in this,weak
25,build,construction,"Super close, sizzling hot",strong
26,build,bootstrap,I am initiated with this method,medium
27,build,install,I am put in place with this,medium
28,build,unbuild,I am taken apart in this way,strong
29,build,development,I am the process of growing,strong
30,build,constructed,I am put together in this way,strong
31,build,forge,I am crafted and shaped like this,medium
32,build,compiler,I am used to put things together,medium
33,build,implement,I am executed with this tool,medium
34,build,boot,I am started up like this,medium
35,build,structure,I am organized in this manner,strong
36,build,prepare,I am readied in this way,medium
37,build,making,I am involved in creating this,medium
38,build,compiling,I am engaged in this assembly process,medium
39,build,creating,I am involved in bringing to life,medium
40,build,installation,I am the process of putting in place,medium
41,build,deploy,I am put into action this way,medium
42,build,outbuild,I am built outside in this manner,medium
43,build,outbuilt,I am built outside in this manner,medium
44,build,customize,I am tailored and modified like this,medium
45,build,developer,I am one who creates things,medium
46,build,misbuild,I am built incorrectly this way,strong
47,build,thesis,I am supported by arguments in this,weak
48,build,creation,I am brought into existence,strong
49,build,overbuild,I am built excessively in this way,strong
50,build,bundle,I am grouped together like this,medium
51,build,constructing,"Super close, sizzling hot",strong
52,build,design,I am the blueprint for this,strong
53,build,fix,I am what you do after this,strong
54,build,configuration,I determine this setup's details,strong
55,build,repair,I am needed after this breaks,strong
56,build,finish,I come after this is complete,strong
57,build,maker,I am the creator of this,strong
58,build,framework,I provide structure for this,strong
59,build,start,I begin before this takes off,strong
60,build,codevelop,I collaborate to create this,strong
61,build,process,I am the steps for this,strong
62,build,craft,I require skill like making this,strong
63,build,accumulate,I gather like this does over time,strong
64,build,constructible,I am able to be built like this,strong
65,build,compute,I calculate like this does,strong
66,build,configured,I am set up like this is,strong
67,build,work,I am done during this activity,strong
68,build,write,I put down words like this does,strong
69,build,devel,I am short for developing like this,strong
70,build,rake,I collect like this does in piles,strong
71,build,installer,I set up programs like this,strong
72,build,architecture,I am the blueprint for this structure,strong
73,build,grow,I expand like this does over time,strong
74,build,enate,I am related to this by nature,strong
75,build,usher,I guide like this does at events,strong
76,build,mediate,I intervene like this does in conflicts,strong
77,build,prep,I get ready like this does,strong
78,build,programming,I am the language for this,strong
79,build,made,I am the result of this,strong
80,build,homebuilt,I am constructed like this at home,strong
81,build,combine,I mix elements like this does,strong
82,build,launch,I start like this does with projects,strong
83,build,restart,I begin again like this process,strong
84,build,allocate,I distribute resources like this does,strong
85,build,execute,I carry out tasks like this,strong
86,build,develope,I help in developing like this,strong
87,build,ate,I consume like this does nutrients,strong
88,build,compose,I create like this does music,strong
89,build,rafted,I am built like this on water,strong
90,build,rebuilded,I am reconstructed like this,strong
91,build,bine,"Super close, sizzling hot",medium
92,build,destruct,I break down like this destroys,strong
93,build,swith,I am switched like this changes,strong
94,build,rebuilding,I am being reconstructed like this,strong
95,build,self,"I am me, like this is itself",strong
96,build,budget,I manage finances like this does,strong
97,build,toolbox,I hold tools like this does,strong
98,build,finalize,I complete like this does at end,strong
99,build,package,I wrap up like this does for delivery,strong
100,build,render,I create images like this does,strong
101,build,structuring,I organize like this does for clarity,strong
102,build,recompile,I improve on existing code,strong
103,build,bake,I don't involve ovens like this,weak
104,build,dater,I have no connection to dating,weak
105,build,valuate,I assess differently than this does,medium
106,build,bridge,I don't connect places like this,weak
107,build,gradation,I don't involve color gradients like this,weak
108,build,rasing,I don't raise structures like this,weak
109,build,production,I am not involved in manufacturing,medium
110,build,forme,I don't take shapes like this,weak
111,build,synthesize,I combine differently than this does,medium
112,build,boost,I don't enhance performance like this,weak
113,build,unbuilt,I am not related to unbuilt things,weak
114,build,rewrite,I revise differently than this does,medium
115,build,ignite,I don't start fires like this,weak
116,build,establish,I don't set up like this,weak
117,build,backup,I don't provide data backups like this,weak
118,build,classify,I categorize differently than this does,medium
119,build,figure,I calculate differently than this does,medium
120,build,waitress,I don't serve in restaurants like this,weak
121,build,project,I plan differently than this does,medium
122,build,helper,I assist differently than this does,medium
123,build,factory,I am not part of manufacturing plants,medium
124,build,decorate,I embellish differently than this does,medium
125,build,crafted,I am not created like this,weak
126,build,dev,I am not a developer like this,weak
127,build,capitalize,I handle text differently than this does,medium
128,build,starter,I am not a beginning like this,weak
129,build,equip,I supply differently than this does,medium
130,build,modify,I alter differently than this does,medium
131,build,resolve,I address differently than this does,medium
132,build,generation,I am not related to offspring,weak
133,build,multibuilding,I involve multiple structures differently,medium
134,build,platform,I am not a base like this,weak
135,build,drive,I don't operate like this does,weak
136,build,chooser,I select differently than this does,medium
137,build,creasing,I don't fold like this,weak
138,build,assembly,I put together differently than this does,medium
139,build,generated,I am not produced like this,weak
140,build,describe,I explain differently than this does,medium
141,build,implementation,I apply differently than this does,medium
142,build,begin,I start differently than this does,medium
143,build,shortcut,I don't cut paths like this,weak
144,build,tool,I serve a different purpose than this,medium
145,build,task,I have different assignments than this,medium
146,build,edit,I modify text differently than this does,medium
147,build,abuilding,"Super close, sizzling hot",strong
148,build,constructor,"Super close, sizzling hot",strong
149,build,plan,I strategize differently than this does,medium
150,build,assembling,I put together differently than this does,medium
151,build,custom,I tailor differently than this does,medium
152,build,model,I am used as a reference for this,medium
153,build,stack,I am built in layers like this,strong
154,build,restore,I do not undo like this action,weak
155,build,produce,"I create things, unlike this word",strong
156,build,hardware,I am not physical like this,medium
157,build,destroy,I do not harm like this does,weak
158,build,compilation,I am not a collection like this,weak
159,build,download,I do not transfer like this,weak
160,build,transform,"I change shape, not like this",strong
161,build,module,I am not a part like this,medium
162,build,misbuilt,I am not incorrect like this,strong
163,build,installed,I am not placed like this,weak
164,build,rebuilt,I am not reconstructed like this,medium
165,build,composer,I do not create music like this,weak
166,build,program,I am not coded like this,medium
167,build,batch,I am not a group like this,medium
168,build,forcing,I do not compel like this does,weak
169,build,hack,I am not a shortcut like this,weak
170,build,reshape,"I alter form, unlike this word",strong
171,build,bower,I am not a shelter like this,weak
172,build,execution,I am not carried out like this,medium
173,build,working,I am not employed like this,weak
174,build,bold,I am not daring like this,weak
175,build,premade,I am not ready-made like this,medium
176,build,installing,I am not putting in like this,weak
177,build,fabricate,I create unlike this word,strong
178,build,unbuildable,I am not impossible like this,weak
179,build,update,I am not a newer version like this,medium
180,build,container,I am not a storage like this,medium
181,build,makefast,I do not secure like this,weak
182,build,manufacture,I am not produced like this,strong
183,build,basic,I am not fundamental like this,weak
184,build,deploying,I am not sending out like this,weak
185,build,mix,"I blend, unlike this word",strong
186,build,deck,I am not a platform like this,weak
187,build,misbuilding,I am not constructing incorrectly like this,strong
188,build,optimize,"I improve, unlike this word",strong
189,build,fit,"I match, unlike this word",strong
190,build,step,"I walk, unlike this word",strong
191,build,train,"I teach, unlike this word",strong
192,build,unto,I am not directed like this,weak
193,build,complier,I am not a compiler like this,weak
194,build,upbuilding,I am not constructing like this,weak
195,build,commit,I do not pledge like this,weak
196,build,unfinished,I am not completed like this,medium
197,build,strategy,I do not plan like this,weak
198,build,concept,I am not an idea like this,weak
199,build,strong,I am not powerful like this,weak
200,build,legation,I do not represent like this,weak
201,build,calculate,I do not compute like this,weak
202,build,putting,I am used for placing objects,strong
203,build,cook,I am not involved in cooking,weak
204,build,ither,I have nothing to do with this,strong
205,build,boatbuilding,I am part of constructing boats,strong
206,build,prototype,I am created before this,medium
207,build,scheme,I am part of a plan,medium
208,build,desktop,I am not related to this,weak
209,build,creative,I am not involved in creativity,weak
210,build,reforge,I am not about reshaping,weak
211,build,assembler,I am part of assembling things,strong
212,build,workbench,I am a place for work,strong
213,build,bout,I am not related to this,weak
214,build,gulp,I am not about swallowing quickly,weak
215,build,renderer,I am used for visualizing objects,strong
216,build,put,I am an action involving placing,medium
217,build,export,I am part of sending out,medium
218,build,bundler,I am used for packaging items,strong
219,build,preparing,I am involved in getting ready,strong
220,build,bin,I am used for storage,strong
221,build,crafting,I am part of creating items,strong
222,build,simulate,I am used for imitation,strong
223,build,styled,I am not about fashioning,weak
224,build,prefabricate,I am involved in pre-constructing,strong
