rank,secret_word,word,clue,connection_strength
1,butter,butter,This is the *.,secret_word
2,butter,buttery,I am similar but not as rich,medium
3,butter,buttered,I have been spread like this,strong
4,butter,buttering,I am the action of spreading,strong
5,butter,butterier,I am not as rich as this,medium
6,butter,butterless,I have nothing to do with this,weak
7,butter,butteriest,I am not as rich as this,medium
8,butter,abutter,I am not associated with this,weak
9,butter,butterfat,I contain less fat than this,medium
10,butter,unbuttered,I have nothing to do with this,weak
11,butter,butty,I am not related to this,weak
12,butter,margarine,I am a dairy substitute for this,strong
13,butter,budder,I have nothing to do with this,weak
14,butter,buttermilk,I am a byproduct of this,strong
15,butter,butterball,I am not round like this,medium
16,butter,ghee,I am similar but not clarified,medium
17,butter,margarin,I am not an alternative name,weak
18,butter,butte,I am not a landform like this,weak
19,butter,buttercup,I am not a flower like this,weak
20,butter,butterfish,I am not a type of fish,weak
21,butter,butterfly,I am not an insect like this,weak
22,butter,butterweed,I have nothing to do with this,weak
23,butter,butterscotch,I am not a candy flavor,medium
24,butter,butternut,I am not a type of squash,weak
25,butter,lard,I am not animal fat like this,weak
26,butter,butlery,I have nothing to do with this,weak
27,butter,milk,I am used to make this,strong
28,butter,cheese,I am often paired with this,strong
29,butter,schmalz,I am not rendered fat like this,weak
30,butter,honey,I am not a sweetener like this,weak
31,butter,butterflied,I have nothing to do with this,weak
32,butter,shortbread,I am often used in this dessert,strong
33,butter,butle,I have nothing to do with this,weak
34,butter,creamy,I am often described as this,strong
35,butter,peanut,I am not a nut like this,weak
36,butter,brie,I am often paired with this cheese,strong
37,butter,diacetyl,I am a precursor to this compound,medium
38,butter,curd,I am a dairy product like this,strong
39,butter,sugar,I am not a sweet ingredient,weak
40,butter,cream,I am often used with this,strong
41,butter,biscuit,I am often spread on this,strong
42,butter,butling,I am not a profession like this,weak
43,butter,dairy,I am a category within this,strong
44,butter,shea,"Super close, sizzling hot",strong
45,butter,butyrous,I am not as rich as this,medium
46,butter,patty,I am not a meat dish,weak
47,butter,butterflying,I have nothing to do with this,weak
48,butter,mustard,I am not a condiment like this,weak
49,butter,creme,I am not a French dessert,weak
50,butter,grease,I am not a lubricant like this,weak
51,butter,bacon,I am not a meat like this,weak
52,butter,oleomargarine,I am a substitute for this,strong
53,butter,chocolate,I pair well with this sweet treat,strong
54,butter,fat,I contain a lot of this,medium
55,butter,chicken,I am not related to this,weak
56,butter,cocoa,I am made from this bean,strong
57,butter,milch,I am not associated with this,weak
58,butter,batter,I am used in making this,strong
59,butter,butyric,I have the same acid as this,strong
60,butter,bute,I am not linked to this,weak
61,butter,schmeer,I am spread like this,strong
62,butter,butt,I am not part of this,weak
63,butter,creamer,I am similar to this additive,strong
64,butter,caramel,I add flavor to this sweet,strong
65,butter,butler,I am not a servant like this,weak
66,butter,cheddar,I am not a type of cheese,weak
67,butter,unsalted,I can be salted unlike this,strong
68,butter,toffee,I am a different sweet than this,medium
69,butter,creamed,I am similar to this preparation,strong
70,butter,bread,I am spread on this baked good,strong
71,butter,shmear,I am smeared like this topping,strong
72,butter,mayonnaise,I am not a condiment like this,weak
73,butter,creaming,I am part of this baking process,strong
74,butter,mascarpone,I am not a creamy cheese,weak
75,butter,flour,I am mixed with this for baking,strong
76,butter,pudding,I am not a dessert like this,weak
77,butter,schmaltz,I am not rendered fat like this,weak
78,butter,dough,I am used to make this,strong
79,butter,creaminess,I add richness like this texture,strong
80,butter,spreadable,I am easy to spread like this,strong
81,butter,yogurt,I am not a dairy product like this,weak
82,butter,brownie,I am not a baked treat like this,weak
83,butter,butyral,I contain the same group as this,strong
84,butter,fluff,I am not a marshmallow like this,weak
85,butter,butyryl,I contain the same group as this,strong
86,butter,wax,I am not used for candles like this,weak
87,butter,slather,I am applied generously like this,strong
88,butter,creamery,I am not a dairy farm like this,weak
89,butter,pastry,I am spread on this baked item,strong
90,butter,jelly,I am not a fruit preserve like this,weak
91,butter,custard,I am not a dessert like this,weak
92,butter,creamier,I am richer than this texture,strong
93,butter,butterflyer,I am not a type of insect,weak
94,butter,tallow,I am not rendered fat like this,weak
95,butter,butted,I am not a verb like this,weak
96,butter,butterwort,I am not a plant like this,weak
97,butter,pate,I am not a spread like this,weak
98,butter,coconut,I do not contain this fruit,weak
99,butter,greased,I can be used instead of this,strong
100,butter,fudge,I am not a sweet like this,weak
101,butter,butch,I am not a manly person,weak
102,butter,melt,I soften when exposed to heat,strong
103,butter,beef,I am not a meat product,strong
104,butter,muffin,I am not a baked good,strong
105,butter,bun,I am not a type of bread,strong
106,butter,tahini,I am not a sesame paste,strong
107,butter,avocado,I am not a fruit with pit,strong
108,butter,brioche,I am not a type of bread,strong
109,butter,mallow,I do not make marshmallows,strong
110,butter,honeybun,I am not a sweet pastry,strong
111,butter,browned,I do not refer to cooking process,strong
112,butter,butterfingered,I do not describe clumsy behavior,strong
113,butter,vanilla,I am not a flavoring agent,strong
114,butter,gravy,I am not a savory sauce,strong
115,butter,schmear,I do not spread cream cheese,strong
116,butter,churned,I am not a method of production,strong
117,butter,syrup,I am not a sweet topping,strong
118,butter,churn,I am not a dairy equipment,strong
119,butter,butyrin,I am not a type of lipid,strong
120,butter,pork,I am not a type of meat,strong
121,butter,brownier,I am not a type of baked good,strong
122,butter,nut,I am not a type of seed,strong
123,butter,suet,I am not a type of fat,strong
124,butter,yoghurt,I am not a dairy product,strong
125,butter,cookey,I am not a baked treat,strong
126,butter,whipped,I am not a type of cream,strong
127,butter,frosting,I am not a cake topping,strong
128,butter,chutney,I am not a condiment,strong
