rank,secret_word,word,clue,connection_strength
1,button,button,This is the *.,secret_word
2,button,buttoner,I am the original of this,strong
3,button,buttony,Similar to me in appearance,medium
4,button,keybutton,I am not needed for this,weak
5,button,clicked,Activated by interaction like me,strong
6,button,click,Common action associated with me,strong
7,button,rebutton,Similar function to what I do,medium
8,button,bouton,French word for something like me,medium
9,button,unbutton,Opposite of what I help achieve,strong
10,button,buttoning,Action involving me,strong
11,button,menu,I am not part of this,weak
12,button,butt,"Similar in name, different in function",medium
13,button,submit,Function often paired with me,strong
14,button,botonee,Variation of me with extra details,medium
15,button,clicking,Action associated with me,strong
16,button,buttoned,State after using me,strong
17,button,toggle,Functionality different from me,medium
18,button,trigger,Initiates action like me,strong
19,button,thumb,Not used in conjunction with me,weak
20,button,rebuttoning,Repeating my function,strong
21,button,dialog,Interaction that does not involve me,weak
22,button,misbutton,Mistake involving me,strong
23,button,option,Choice that may not involve me,weak
24,button,rebuttoned,Used repeatedly like me,strong
25,button,clicker,Similar function with a different name,medium
26,button,checkout,Process that may involve me,medium
27,button,push,Similar in action but different purpose,medium
28,button,advertisement,Promotion unrelated to me,weak
29,button,box,Not directly related to me,weak
30,button,prompt,Action that may involve me,medium
31,button,widget,Functionality similar to me,medium
32,button,clipboard,Tool unrelated to me,weak
33,button,link,"Connection, not related to me",weak
34,button,switch,Functionality different from me,medium
35,button,bullet,Not related to me in function,weak
36,button,press,Similar action but different context,medium
37,button,callback,Related to me in function,medium
38,button,toggler,Similar to me in function,medium
39,button,browser,Tool not involving me directly,weak
40,button,knop,Different term for similar function,medium
41,button,bottom,Opposite direction from where I'm used,medium
42,button,input,Used with me for data entry,strong
43,button,chooser,Selection tool not related to me,weak
44,button,mouse,Tool not requiring me for function,weak
45,button,controller,Device not directly linked to me,weak
46,button,cancel,Action that negates my function,strong
47,button,banner,Display feature unrelated to me,weak
48,button,waitress,Not related to me in any way,weak
49,button,reset,Functionality not dependent on me,weak
50,button,tap,Action that doesn't involve me,weak
51,button,close,Action not requiring my involvement,weak
52,button,shortcut,I am a quick way like this,strong
53,button,gesture,I respond to movements not this,weak
54,button,pressed,I am when fingers push like this,strong
55,button,bar,I am not a long metal like this,weak
56,button,pause,I do not stop like this,weak
57,button,bonus,I am not an extra like this,weak
58,button,combo,I am not a mixture like this,weak
59,button,label,I do not provide info like this,weak
60,button,unbuttoning,I am not about undoing like this,weak
61,button,ready,I am not prepared like this,weak
62,button,blink,I do not flash like this,weak
63,button,cursor,I am not a pointer like this,weak
64,button,buttonhook,I am not a tool like this,weak
65,button,bookmark,I am not a saved page like this,weak
66,button,function,I am not a purpose like this,weak
67,button,misbuttoned,I am not mistakenly done like this,weak
68,button,bot,I am not automated like this,weak
69,button,pressing,I am the result of this action,strong
70,button,icon,I am not a symbol like this,weak
71,button,caption,I am not a description like this,weak
72,button,buzzer,I am not a sound like this,weak
73,button,activate,I am activated by this action,strong
74,button,pointer,I am not a cursor like this,weak
75,button,pushpin,I am not a pin like this,weak
76,button,ousel,I have no relation to this,weak
77,button,item,I am not a generic thing like this,weak
78,button,action,I am the result of this,strong
79,button,keyboard,I am not a typing tool like this,weak
80,button,refresh,I am not a renewing action like this,weak
81,button,toolbox,I am not a collection like this,weak
82,button,menus,I am not a list like this,weak
83,button,countdown,I am not a timer like this,weak
84,button,back,I am not a reverse like this,weak
85,button,boxed,I am not contained like this,weak
86,button,panel,I am not a part like this,weak
87,button,placeholder,I am not an empty space like this,weak
88,button,confirm,I am not an approval like this,weak
89,button,control,I am not in charge like this,weak
90,button,check,I am not about verification like this,weak
91,button,buttonhole,I am not a hole for this,weak
92,button,unbuttoned,I am not undone like this,weak
93,button,toggled,I am not switched like this,weak
94,button,knob,I am not a twistable object like this,weak
95,button,center,I am not a middle point like this,weak
96,button,segue,I am not a transition like this,weak
97,button,bellpull,I have no connection to this,weak
98,button,here,I am not a location like this,weak
99,button,download,I am not a transfer like this,weak
100,button,buster,I am not a destroyer like this,weak
101,button,buttonless,I am not missing like this,weak
102,button,tool,"I help operate, fix, or build this",strong
103,button,overlay,I cover or enhance this feature,medium
104,button,modal,I pop up like this for input,strong
105,button,point,I'm used to select or indicate this,strong
106,button,misbuttoning,I cause trouble with this action,strong
107,button,buckle,"I fasten, not press like this",strong
108,button,reload,"I refresh, not interact like this",strong
109,button,counter,"I keep track, not press like this",strong
110,button,connector,"I link, not activate like this",strong
111,button,tab,"I switch, not push like this",strong
112,button,bold,"I highlight, not engage like this",strong
113,button,dit,"I signal, not control like this",strong
114,button,indicator,"I show status, not perform like this",strong
115,button,onus,"I assign responsibility, not click like this",strong
116,button,clique,"I group, not press like this",strong
117,button,plus,"I add, not select like this",strong
118,button,off,"I deactivate, not press like this",strong
119,button,abler,"I enable, not push like this",strong
120,button,connection,"I link, not push like this",strong
121,button,forward,"I progress, not press like this",strong
122,button,ponce,"I mock, not press like this",strong
123,button,selection,"I choose, not push like this",strong
124,button,book,"I bookmark, not operate like this",strong
125,button,bootstrap,"I boost, not press like this",strong
126,button,arrow,"I point, not click like this",strong
