rank,secret_word,word,clue,connection_strength
1,cake,cake,This is the *.,secret_word
2,cake,cupcake,I am a smaller version of this,strong
3,cake,caked,I share a past tense with this,medium
4,cake,gateau,I am a French version of this,medium
5,cake,kuchen,I am a German version of this,medium
6,cake,cakey,I am described as this sometimes,weak
7,cake,gateaux,I am a plural form of this,medium
8,cake,hotcake,I am another name for this,strong
9,cake,cream,I can be a topping for this,medium
10,cake,torte,I am a type of this dessert,strong
11,cake,bread,I am not usually made with this,strong
12,cake,caking,I am in the process of this,medium
13,cake,friedcake,I am a different cooking method from this,strong
14,cake,cheesecake,I am a dessert like this,strong
15,cake,millcake,I am made in a different place from this,strong
16,cake,torten,I am a plural form of this,medium
17,cake,cakier,I am more like this than others,strong
18,cake,cakiest,I am the most like this,strong
19,cake,shortcake,I am not as short as this,weak
20,cake,teacake,I am sometimes served with this,medium
21,cake,cookie,I am a different type of dessert from this,strong
22,cake,uncake,I have nothing to do with this,strong
23,cake,caky,I am described as this sometimes,weak
24,cake,bake,I am the result of this action,medium
25,cake,pizza,I am not usually savory like this,strong
26,cake,pancake,I am a flat version of this,strong
27,cake,coffeecake,I am sometimes eaten with this,medium
28,cake,uncaked,I have nothing to do with this,strong
29,cake,brownie,I am a different type of dessert from this,strong
30,cake,cade,I have nothing to do with this,weak
31,cake,pie,I am a different type of dessert from this,strong
32,cake,bakery,I am often found in this place,medium
33,cake,fruitcake,"Super close, sizzling hot",strong
34,cake,cup,I am sometimes used to measure this,medium
35,cake,pastry,I am a different type of dessert from this,strong
36,cake,uncaking,I have nothing to do with this,strong
37,cake,muffin,I am a different type of baked good from this,strong
38,cake,bakeshop,I am often sold in this place,medium
39,cake,cakewalk,I have nothing to do with this activity,strong
40,cake,babka,I am a different type of dessert from this,strong
41,cake,seedcake,I have nothing to do with this,strong
42,cake,fondant,I am sometimes used to decorate this,medium
43,cake,donut,I am a different type of dessert from this,strong
44,cake,cuppy,I am a nickname for this,medium
45,cake,crap,I have nothing to do with this,strong
46,cake,bundt,I am a different shape from this,strong
47,cake,piecrust,I am inside a different type of dessert from this,strong
48,cake,carvel,I have nothing to do with this,strong
49,cake,cassata,I am a different type of dessert from this,strong
50,cake,cate,I have nothing to do with this,weak
51,cake,kue,I have nothing to do with this,strong
52,cake,tart,I am not as sweet as this,medium
53,cake,pudding,I am not as creamy as this,medium
54,cake,baking,I am made through this process,strong
55,cake,flan,I am not as rich as this,medium
56,cake,flake,I am not as crispy as this,weak
57,cake,frosting,I am topped with this sometimes,medium
58,cake,corncake,I am not made with corn,strong
59,cake,custard,I am not as smooth as this,medium
60,cake,oatcake,I am not made with oats,strong
61,cake,candy,I am not as sugary as this,medium
62,cake,recipe,I am made following this sometimes,medium
63,cake,birthday,I am celebrated like this sometimes,medium
64,cake,cooky,I am not as crunchy as this,medium
65,cake,chocolate,I am sometimes made with this flavor,medium
66,cake,biscuit,I am not as dry as this,medium
67,cake,cloth,I have nothing to do with this,weak
68,cake,patisserie,I am sold in this type of shop,strong
69,cake,baked,I am the result of this,strong
70,cake,dessert,I am often served as this,medium
71,cake,cat,I have nothing to do with this,weak
72,cake,doughnut,I am not as fried as this,medium
73,cake,caff,I have nothing to do with this,weak
74,cake,browniest,I am not as chocolatey as this,medium
75,cake,craft,I have nothing to do with this,weak
76,cake,meal,I am sometimes part of this,medium
77,cake,ganache,I am sometimes topped with this,medium
78,cake,coffee,I am sometimes enjoyed with this,medium
79,cake,crepe,I am not as thin as this,medium
80,cake,palette,I have nothing to do with this,weak
81,cake,tartlet,I am a smaller version of this,medium
82,cake,cooked,I am the result of being this,strong
83,cake,cation,I have nothing to do with this,weak
84,cake,cakewalker,I have nothing to do with this,weak
85,cake,dice,I have nothing to do with this,weak
86,cake,loaf,I am not as bread-like as this,medium
87,cake,fruit,I am sometimes topped with this,medium
88,cake,soup,I have nothing to do with this,weak
89,cake,yum,I am sometimes described as this,medium
90,cake,baker,I am made by someone like this,medium
91,cake,bun,I am not as small as this,medium
92,cake,cookey,I am not as crunchy as this,medium
93,cake,dolci,I have nothing to do with this,weak
94,cake,decor,I am sometimes decorated with this,medium
95,cake,mallow,I have nothing to do with this,weak
96,cake,confetto,I have nothing to do with this,weak
97,cake,cede,I have nothing to do with this,weak
98,cake,fudge,I am not as gooey as this,medium
99,cake,piece,I am sometimes cut into this,medium
100,cake,macaroon,I am not as chewy as this,medium
101,cake,food,I am a type of this,strong
102,cake,sweet,I am always associated with being sweet,strong
103,cake,cape,I have nothing to do with this,weak
104,cake,cocoa,I can be mixed with this flavor,medium
105,cake,weet,I have nothing to do with this,weak
106,cake,confetti,I am decorated differently than this,medium
107,cake,quiche,I am not a savory dish like this,medium
108,cake,creampuff,I am similar in texture to this,medium
109,cake,creme,I can be part of a filling,medium
110,cake,banana,I can be an ingredient in me,medium
111,cake,carousel,I have nothing to do with this,weak
112,cake,pavlova,I am a different type of dessert,medium
113,cake,candle,I am often placed on top of this,strong
114,cake,waffle,I am a different kind of batter,medium
115,cake,confection,I am a type of this sweet,strong
116,cake,coat,I have nothing to do with this,weak
117,cake,kat,I have nothing to do with this,weak
118,cake,dress,I have nothing to do with this,weak
119,cake,cannoli,I am not a filled pastry like this,medium
