rank,secret_word,word,clue,connection_strength
1,camera,camera,This is the *.,secret_word
2,camera,camerae,I have nothing to do with this,weak
3,camera,cameraman,I am similar to this profession,medium
4,camera,camcorder,I am a type of this device,strong
5,camera,cameral,I am related to this type,medium
6,camera,cameramen,I am similar to this profession,medium
7,camera,cameraperson,I am similar to this profession,medium
8,camera,cam,I am a part of this,strong
9,camera,photo,I capture these moments,strong
10,camera,phone,I am not used for this,strong
11,camera,camerawomen,I am similar to this profession,medium
12,camera,sensor,I am a component in this,strong
13,camera,camerawoman,I am similar to this profession,medium
14,camera,photographer,I work with this professional often,strong
15,camera,computer,I am not a type of this,strong
16,camera,video,I capture moving versions of this,strong
17,camera,device,I am a type of this,strong
18,camera,telephone,I am not a type of this,strong
19,camera,image,I capture these visual representations,strong
20,camera,photography,I am involved in this art,strong
21,camera,film,I used to capture images on this,strong
22,camera,photog,I am related to this profession,medium
23,camera,scanner,I am a type of this,strong
24,camera,cinematograph,I am an older version of this,medium
25,camera,digital,I am often associated with this,strong
26,camera,videographer,I am related to this profession,medium
27,camera,visual,I capture these representations,strong
28,camera,canon,I am a brand known for this,strong
29,camera,hardware,I am a type of this,strong
30,camera,viewfinder,I help you see through this,strong
31,camera,cinematographer,I am related to this profession,medium
32,camera,cannon,I am often confused with this,weak
33,camera,capture,I am the action of this,strong
34,camera,printer,I am often used with this,strong
35,camera,shutterbug,I am related to this hobbyist,medium
36,camera,viewer,I display images for this person,strong
37,camera,imager,I am related to this device,medium
38,camera,receiver,I receive signals like this,strong
39,camera,vehicle,I have nothing to do with this,weak
40,camera,car,I have nothing to do with this,weak
41,camera,screen,I display images on this,strong
42,camera,radio,I am not used for audio,strong
43,camera,cinematography,I am involved in this art,strong
44,camera,photograph,I am the result of this,strong
45,camera,tripod,I am often used with this,strong
46,camera,spy,I am not related to espionage,strong
47,camera,mobile,I am not used for calls,strong
48,camera,media,I am involved in this industry,strong
49,camera,machine,I am not a type of this,strong
50,camera,detector,I am used to sense things,strong
51,camera,lamp,I am not a source of light,strong
52,camera,picture,I capture images like this,strong
53,camera,microphone,"I capture images, not sound like this",medium
54,camera,paparazzo,I am not a celebrity photographer like this,medium
55,camera,microscope,"I focus on images, not cells like this",strong
56,camera,snapshot,I capture moments as well as this,strong
57,camera,projector,"I capture images, not project them like this",medium
58,camera,microfilmer,"I capture images, not on microfilm like this",weak
59,camera,shutter,"I control light, not a door like this",strong
60,camera,ocular,"I capture images, not a body part like this",medium
61,camera,software,"I capture images, not run on this",medium
62,camera,recorder,"I capture images, not audio like this",medium
63,camera,filming,"I capture still images, not motion like this",medium
64,camera,telescope,"I capture images, not celestial bodies like this",medium
65,camera,photographing,"I capture images, not actively like this",medium
66,camera,iconoscope,"I capture images, not an early TV tube like this",weak
67,camera,snapshooter,"I capture images, not quickly like this",medium
68,camera,lensmen,I am not a group of photographers like this,strong
69,camera,videography,"I capture images, not videos like this",medium
70,camera,photographed,"I capture images, not already taken like this",medium
71,camera,lense,"I capture images, not a lens like this",medium
72,camera,motor,"I capture images, not an engine like this",medium
73,camera,studio,"I capture images, not a place like this",medium
74,camera,audio,"I capture images, not sound like this",medium
75,camera,flashgun,"I capture images, not with a flash like this",medium
76,camera,battery,"I capture images, not power like this",medium
77,camera,instrument,"I capture images, not a tool like this",medium
78,camera,copier,"I capture images, not duplicate like this",medium
79,camera,paparazzi,I am not a celebrity photographer like this,medium
80,camera,portrait,"I capture images, not people like this",strong
81,camera,monitor,"I capture images, not display like this",medium
82,camera,lensman,I am not a photographer like this,strong
83,camera,observer,"I capture images, not watch like this",medium
84,camera,gallery,"I capture images, not an art exhibit like this",medium
85,camera,shot,"I capture images, not a drink like this",strong
86,camera,cinema,"I capture images, not movies like this",medium
87,camera,technology,"I capture images, not related to this",medium
88,camera,photographically,"I capture images, not in a specific way like this",medium
89,camera,movie,"I capture images, not a film like this",medium
90,camera,microphotographer,"I capture images, not on microfilm like this",weak
91,camera,filmed,"I capture images, not on video like this",medium
92,camera,vision,"I capture images, not sight like this",medium
93,camera,cell,"I capture images, not a biological cell like this",medium
94,camera,equipment,"I capture images, not tools like this",medium
95,camera,eyeshot,"I focus on images, not a view like this",medium
96,camera,caster,"I capture images, not a fishing line like this",medium
97,camera,tele,"I capture images, not a prefix like this",medium
98,camera,director,"I capture images, not direct like this",medium
99,camera,laptop,"I capture images, not a computer like this",medium
100,camera,photographic,"I capture images, not related to this",medium
101,camera,shoot,"I capture images, not shoot like this",medium
102,camera,mirror,I reflect images like this object,strong
103,camera,visor,I am not worn like this,weak
104,camera,controller,I am not used to operate this,weak
105,camera,electric,I rely on power like this,medium
106,camera,apparat,I have nothing to do with this,weak
107,camera,keyboard,I am not used for typing like this,weak
108,camera,capturing,I capture images like this process,medium
109,camera,desktop,I am not a computer like this,weak
110,camera,bioscope,I have nothing to do with this,weak
111,camera,weapon,I do not cause harm like this,weak
112,camera,photocopier,I reproduce images like this machine,strong
113,camera,browser,I do not surf the internet like this,weak
114,camera,flashlight,I do not illuminate like this tool,weak
115,camera,phot,I capture images like this,strong
116,camera,fisheye,I have a different lens than this,weak
117,camera,tel,I have nothing to do with this,weak
118,camera,driver,I do not navigate vehicles like this,weak
119,camera,vidicon,I capture images differently than this,weak
120,camera,clock,I do not tell time like this,weak
121,camera,photoflash,I provide light like this flash,medium
122,camera,weatherglass,I have nothing to do with this,weak
123,camera,imaging,I am part of the process like this,medium
124,camera,binocular,I do not have two lenses like this,weak
125,camera,calculator,I do not perform math like this,weak
126,camera,cine,I have nothing to do with this,weak
127,camera,catalog,I am not a list like this,weak
128,camera,endoscope,I am not used for medical exams like this,weak
129,camera,scan,I capture images like this process,medium
130,camera,stereo,I do not have two channels like this,weak
131,camera,thumbnail,I am not a small picture like this,weak
132,camera,soundman,I do not record audio like this,weak
133,camera,model,I do not pose for photos like this,weak
134,camera,videotaping,I record videos like this process,medium
135,camera,container,I do not hold objects like this,weak
136,camera,zoom,I can magnify like this feature,medium
137,camera,caption,I do not describe images like this,weak
138,camera,graphic,I am not a visual design like this,weak
139,camera,filmer,I capture images like this person,medium
140,camera,intervalometer,I do not control time lapses like this,weak
141,camera,handheld,I am not held like this device,weak
142,camera,television,I do not broadcast shows like this,weak
143,camera,cinematographic,I capture images like this,strong
144,camera,pictured,I capture images like this,strong
145,camera,android,I have nothing to do with this,weak
146,camera,pixel,I am made of many of this,medium
147,camera,seeing,I capture images like this process,medium
148,camera,tical,I have nothing to do with this,weak
149,camera,telephoto,I have a different lens than this,weak
150,camera,watch,I do not tell time like this,weak
151,camera,automatic,I am not self-operating like this,weak
152,camera,orthicon,I have nothing to do with this,weak
153,camera,camper,"I capture images, they enjoy outdoors",medium
154,camera,came,"I capture moments, not past tense",medium
155,camera,videotape,I capture images differently than this,medium
156,camera,drone,I capture with a different perspective,strong
157,camera,copyright,"I capture images, they protect rights",medium
158,camera,captor,"I capture images, they capture attention",medium
159,camera,gimbal,"I hold steady, they stabilize devices",medium
160,camera,reporter,"I capture images, they capture news",medium
161,camera,phototube,I capture images differently than this,medium
162,camera,communication,"I capture images, they transmit messages",medium
163,camera,photocell,I capture images differently than this,medium
164,camera,captured,"I capture images, they are the result",medium
165,camera,darkroom,"I capture images, they process manually",medium
166,camera,camshaft,"I capture images, they control engine valves",medium
167,camera,filmier,"I capture images, they create movies",medium
