rank,secret_word,word,clue,connection_strength
1,candy,candy,This is the *.,secret_word
2,candy,candied,I am coated in sugar like this,strong
3,candy,candyfloss,I am spun sugar just like this,strong
4,candy,candying,I am the process of sugaring,medium
5,candy,confectionery,I am a type of sweet treat,medium
6,candy,sweetshop,I am sold in a shop like this,strong
7,candy,lollipop,I am a sweet on a stick,medium
8,candy,taffy,I am a chewy sweet treat,medium
9,candy,confectionary,I am related to sweets like this,strong
10,candy,lollypop,I am similar to this sweet,medium
11,candy,sugar,I am made of this sweet ingredient,strong
12,candy,confetto,I am a type of sugary treat,medium
13,candy,lolly,I am a slang term for this,medium
14,candy,chocolate,I am often paired with this flavor,strong
15,candy,caramel,I am a sweet made with this,strong
16,candy,bubblegum,I am not a chewy gum,weak
17,candy,toffee,I am a chewy caramel treat,medium
18,candy,gumdrop,"Super close, sizzling hot",strong
19,candy,toffy,I am similar to toffee,medium
20,candy,pandied,I am not a preserved fruit,weak
21,candy,cupcake,I am a baked sweet treat,medium
22,candy,jellybean,"Super close, sizzling hot",strong
23,candy,confetti,I am not paper party decoration,weak
24,candy,sugary,I am full of sweetness like this,strong
25,candy,gummy,I am not a chewy bear,weak
26,candy,sweetness,I am the essence of this,strong
27,candy,sweet,I am synonymous with this term,strong
28,candy,sugarplum,I am not a fruit dessert,weak
29,candy,dolci,I am sweet in Italian,medium
30,candy,confection,I am a sweet creation,medium
31,candy,candytuft,I am not a flower plant,weak
32,candy,sweetmeat,I am a different type of meat,weak
33,candy,confectioner,I am a maker of sweets,strong
34,candy,fudge,I am a creamy sweet treat,medium
35,candy,sugared,I am coated in sugar like this,strong
36,candy,marshmallow,I am a fluffy sweet treat,medium
37,candy,cachou,I am not a breath freshener,weak
38,candy,nougat,I am a chewy nutty sweet,medium
39,candy,cocoa,I am often paired with chocolate,strong
40,candy,butterscotch,I am a buttery sweet flavor,medium
41,candy,jelly,I am not a fruit preserve,weak
42,candy,sugarcoated,I am coated in sugar like this,strong
43,candy,candle,I am not used for lighting,weak
44,candy,soda,I am not a fizzy drink,weak
45,candy,smartie,I am not a clever person,weak
46,candy,chocolatey,I am like chocolate in flavor,medium
47,candy,fondant,I am a smooth sweet icing,medium
48,candy,chocolaty,I am like chocolate in flavor,medium
49,candy,coco,I am not a tropical fruit,weak
50,candy,sweetie,I am a term of endearment,weak
51,candy,praline,I am a nutty sugary treat,medium
52,candy,dragee,I am coated like this sweet treat,medium
53,candy,licorice,I am not as black as this,weak
54,candy,sugarier,I am not as sweet as this,weak
55,candy,cakier,I am not as fluffy as this,weak
56,candy,gum,I am not chewy like this,weak
57,candy,coke,I have nothing to do with this,weak
58,candy,marzipan,I am not almond-flavored like this,weak
59,candy,honey,I am not produced by bees like this,weak
60,candy,pudding,I am not creamy like this dessert,weak
61,candy,snack,I am a type of this quick bite,strong
62,candy,cake,I am a smaller version of this,medium
63,candy,cadgy,I have nothing to do with this,weak
64,candy,dolce,I have nothing to do with this,weak
65,candy,supersweet,I am not as sweet as this,weak
66,candy,cherry,I am not as fruity as this,weak
67,candy,pocky,I am not a biscuit stick like this,weak
68,candy,strawberry,I am not as red as this fruit,weak
69,candy,goodie,I am a type of this treat,strong
70,candy,chewy,I am not soft and chewy like this,weak
71,candy,dessert,I am a type of this sweet course,strong
72,candy,minty,I am not as refreshing as this,weak
73,candy,dandy,I have nothing to do with this,weak
74,candy,carob,I am not as earthy as this,weak
75,candy,cannoli,I am not a pastry like this,weak
76,candy,popcorn,I am not crunchy like this snack,weak
77,candy,cachous,I have nothing to do with this,weak
78,candy,jawbreaker,"Super close, sizzling hot",strong
79,candy,candent,I am not as bright as this,weak
80,candy,sweeter,I am not as sweet as this,weak
81,candy,caky,I am not as dry as this,weak
82,candy,yummy,I am not as tasty as this,weak
83,candy,sherbet,I am not as fizzy as this,weak
84,candy,cotton,"Super close, sizzling hot",strong
85,candy,liquorice,"Super close, sizzling hot",strong
86,candy,gelati,I have nothing to do with this,weak
87,candy,tasty,I am not as enjoyable as this,weak
