rank,secret_word,word,clue,connection_strength
1,carrot,carrot,This is the *.,secret_word
2,carrot,carrottop,I am not related to this,weak
3,carrot,carrotiest,I am not related to this,weak
4,carrot,carrotin,I share a similar name with this,medium
5,carrot,carrotier,I am not related to this,weak
6,carrot,carroty,I share a color with this,medium
7,carrot,carrottopped,I am not related to this,weak
8,carrot,parsnip,I am a similar root vegetable,strong
9,carrot,carotin,I share a similar name with this,medium
10,carrot,radish,I am a different type of root,strong
11,carrot,celery,I am a different type of vegetable,strong
12,carrot,vegetable,I am a specific type of vegetable,strong
13,carrot,cucumber,I am a different type of vegetable,strong
14,carrot,beetroot,I am a different type of root,strong
15,carrot,carotene,I share a component with this,medium
16,carrot,turnip,I am a different type of root,strong
17,carrot,cabbage,I am a different type of vegetable,strong
18,carrot,beet,I am a different type of root,strong
19,carrot,potato,I am a different type of root,strong
20,carrot,broccoli,I am a different type of vegetable,strong
21,carrot,courgette,I am a different type of vegetable,strong
22,carrot,tomato,I am a different type of vegetable,strong
23,carrot,cauliflower,I am a different type of vegetable,strong
24,carrot,pumpkin,I am a different type of vegetable,strong
25,carrot,zucchini,I am a different type of vegetable,strong
26,carrot,rutabaga,I am a different type of root,strong
27,carrot,carotinoid,I share a component with this,medium
28,carrot,daikon,I am a different type of root,strong
29,carrot,cardoon,I am a different type of vegetable,strong
30,carrot,onion,I am a different type of vegetable,strong
31,carrot,carb,I am not related to this,weak
32,carrot,celeriac,I am a different type of root,strong
33,carrot,avocado,I am a different type of fruit,strong
34,carrot,parsley,I am a different type of herb,strong
35,carrot,veggie,I am a specific type of vegetable,strong
36,carrot,caraway,I am not related to this,weak
37,carrot,cuke,I am a different type of vegetable,strong
38,carrot,brocoli,I am not related to this,weak
39,carrot,asparagus,I am a different type of vegetable,strong
40,carrot,carotenoid,I share a component with this,medium
41,carrot,gourd,I am a different type of vegetable,strong
42,carrot,kale,I am a different type of leafy green,strong
43,carrot,lettuce,I am a different type of leafy green,strong
44,carrot,strawberry,I am a different type of fruit,strong
45,carrot,carbohydrate,I share a component with this,medium
46,carrot,salad,I am often found in this,medium
47,carrot,carpel,I am not related to this,weak
48,carrot,chard,I am a different type of leafy green,strong
49,carrot,leek,I am a different type of vegetable,strong
50,carrot,straw,I am not related to this,weak
51,carrot,car,I share the first four letters,medium
52,carrot,carob,I am sometimes used as a substitute,medium
53,carrot,pea,I am not a green vegetable,strong
54,carrot,garlic,I am not used for flavoring,strong
55,carrot,taro,I am not a root vegetable,strong
56,carrot,caulifloweret,I have nothing to do with this,weak
57,carrot,carn,I am not a meat dish,strong
58,carrot,rhubarb,I am not a sour ingredient,strong
59,carrot,artichoke,I am not a thistle flower,strong
60,carrot,carate,I have nothing to do with this,weak
61,carrot,gherkin,I am not a small cucumber,strong
62,carrot,mustard,I am not a condiment,strong
63,carrot,eggplant,I am not a purple vegetable,strong
64,carrot,carotid,I am not a blood vessel,strong
65,carrot,carbo,I have nothing to do with this,weak
66,carrot,canola,I am not an oilseed crop,strong
67,carrot,kohlrabi,I am not a cabbage variety,strong
68,carrot,pineapple,I am not a tropical fruit,strong
69,carrot,fruit,I am not a general category,strong
70,carrot,carp,I am not a freshwater fish,strong
71,carrot,herb,I am not a plant used for flavoring,strong
72,carrot,coconut,I am not a type of nut,strong
73,carrot,papaya,I am not an orange fruit,strong
74,carrot,cucurbit,I have nothing to do with this,weak
75,carrot,cassava,I am not a starchy root,strong
76,carrot,caried,I have nothing to do with this,weak
77,carrot,bunny,I have nothing to do with this,weak
78,carrot,caroche,I have nothing to do with this,weak
79,carrot,caramel,I am not a sweet flavor,strong
80,carrot,broccolis,I have nothing to do with this,weak
81,carrot,brocolis,I have nothing to do with this,weak
82,carrot,horseradish,I am not a spicy condiment,strong
83,carrot,oat,I am not a type of grain,strong
84,carrot,carageen,I have nothing to do with this,weak
85,carrot,dandelion,I am not a weed,strong
86,carrot,taproot,I am not a type of root,strong
87,carrot,carrageen,I have nothing to do with this,weak
88,carrot,apricot,I am not an orange fruit,strong
89,carrot,lovage,I have nothing to do with this,weak
90,carrot,endive,I am not a leafy green,strong
91,carrot,juice,I am not a liquid produced,strong
92,carrot,spinach,I am not a leafy green,strong
93,carrot,veg,I am not a general category,strong
94,carrot,carver,I have nothing to do with this,weak
95,carrot,karat,I have nothing to do with this,weak
96,carrot,yam,I am not a starchy root,strong
97,carrot,kraut,I am not a fermented cabbage,strong
98,carrot,wormroot,I have nothing to do with this,weak
99,carrot,collard,I am not a leafy green,strong
100,carrot,carr,I have nothing to do with this,weak
101,carrot,cariole,I have nothing to do with this,weak
102,carrot,colza,I have nothing to do with this,weak
103,carrot,haricot,"Vegetable family, but not me",medium
104,carrot,carambola,I am not a starfruit,medium
105,carrot,ginger,"Spicy root, not related to me",weak
106,carrot,chicken,"I am a vegetable, not poultry",medium
107,carrot,spud,I am not a potato,medium
108,carrot,carton,I am not a packaging material,weak
109,carrot,sunchoke,I am not a type of sunflower,medium
110,carrot,carriage,I am not a mode of transport,weak
111,carrot,vegie,"I am a vegetable, not spelled like this",medium
112,carrot,okra,"Vegetable, but not related to me",medium
113,carrot,cowage,I have nothing to do with this,weak
114,carrot,colewort,"Super close, sizzling hot",strong
115,carrot,kiwi,Not a fruit like me,medium
116,carrot,carriole,I am not a horse-drawn carriage,medium
117,carrot,mango,I am not a tropical fruit,medium
118,carrot,fennel,"I am a vegetable, not an herb",medium
119,carrot,brassica,I am not a type of cabbage,medium
120,carrot,mushroom,"I am a vegetable, not a fungus",medium
121,carrot,cheese,"I am a vegetable, not a dairy product",medium
122,carrot,crab,I have nothing to do with this,weak
123,carrot,coriander,I am not an herb like this,medium
124,carrot,carat,I am not a unit of weight,medium
125,carrot,pork,"I am a vegetable, not meat",medium
126,carrot,olive,I am not a type of fruit,medium
127,carrot,tattie,I am not a potato,medium
128,carrot,rot,I have nothing to do with this,weak
129,carrot,watermelon,I am not a melon,medium
130,carrot,caroach,I have nothing to do with this,weak
131,carrot,chayote,"Vegetable, but not related to me",medium
132,carrot,pepper,I am not a vegetable like this,medium
133,carrot,cilantro,I am not an herb like this,medium
134,carrot,corn,"I am a vegetable, not a grain",medium
135,carrot,aubergine,I am not an eggplant,medium
136,carrot,watercress,I am not a leafy green,medium
137,carrot,donut,I have nothing to do with this,weak
138,carrot,orach,I am not a spinach substitute,medium
139,carrot,jicama,"Vegetable, but not related to me",medium
140,carrot,cart,I have nothing to do with this,weak
141,carrot,noodle,I am not a pasta type,medium
142,carrot,getable,"I am a vegetable, not spelled like this",medium
143,carrot,peon,I have nothing to do with this,weak
144,carrot,dasheen,I am not a type of taro,medium
145,carrot,arugula,"I am a vegetable, not a salad green",medium
146,carrot,pard,I have nothing to do with this,weak
147,carrot,sunflower,I am not a type of flower,medium
148,carrot,carragheen,I have nothing to do with this,weak
149,carrot,bun,I am not a bread roll,medium
150,carrot,ketchup,I have nothing to do with this,weak
151,carrot,carroch,I have nothing to do with this,weak
