rank,secret_word,word,clue,connection_strength
1,castle,castle,This is the *.,secret_word
2,castle,castled,I am a grander version of this,medium
3,castle,tower,I am taller than this structure,strong
4,castle,cast,I am a past form of this,weak
5,castle,palace,I am a larger version of this,medium
6,castle,villa,I am a more fortified version of this,medium
7,castle,chateau,I am a different style of this,weak
8,castle,castellan,I am overseen by this role,strong
9,castle,fortress,I am a more secure version of this,medium
10,castle,castling,I am a move in this game,strong
11,castle,chateaux,I am multiple versions of this,strong
12,castle,fort,I am a smaller version of this,medium
13,castle,castellated,I am fortified in this way,medium
14,castle,citadel,I am a more fortified version of this,medium
15,castle,alcazar,I am a similar structure to this,weak
16,castle,cape,I have nothing to do with this,weak
17,castle,haven,I have nothing to do with this,weak
18,castle,gatehouse,I am a part of this structure,strong
19,castle,stronghold,I am a synonym for this,strong
20,castle,palazzo,I am a grander version of this,medium
21,castle,casern,I am a military building like this,medium
22,castle,house,I am a larger version of this,weak
23,castle,bower,I have nothing to do with this,weak
24,castle,campo,I have nothing to do with this,weak
25,castle,borough,I have nothing to do with this,weak
26,castle,capital,I have nothing to do with this,weak
27,castle,vault,I am a secure storage like this,strong
28,castle,mansion,I am a grander version of this,medium
29,castle,caster,I am not related to this tool,weak
30,castle,building,I am a larger version of this,weak
31,castle,fortresslike,I am similar in style to this,medium
32,castle,combe,I have nothing to do with this,weak
33,castle,chateaus,I am multiple versions of this,strong
34,castle,cottage,I am a smaller version of this,medium
35,castle,bridge,I have nothing to do with this,weak
36,castle,abbey,I have nothing to do with this,weak
37,castle,hotel,I have nothing to do with this,weak
38,castle,housel,I have nothing to do with this,weak
39,castle,croft,I have nothing to do with this,weak
40,castle,stone,I am a building material like this,medium
41,castle,court,I am a legal building like this,medium
42,castle,arena,I have nothing to do with this,weak
43,castle,camp,I have nothing to do with this,weak
44,castle,airport,I have nothing to do with this,weak
45,castle,town,I have nothing to do with this,weak
46,castle,lodge,I have nothing to do with this,weak
47,castle,hall,I am a part of this building,strong
48,castle,cabana,I have nothing to do with this,weak
49,castle,city,I have nothing to do with this,weak
50,castle,wall,I am a protective barrier like this,strong
51,castle,palaced,I have nothing to do with this,weak
52,castle,motte,I am the foundation of this,strong
53,castle,fortressed,I am always heavily protected like this,strong
54,castle,cave,I am not underground like this,weak
55,castle,countryseat,I am not a rural residence,weak
56,castle,casa,I am not a house like this,weak
57,castle,boat,I am not a vessel like this,weak
58,castle,blockhouse,I am not a defensive structure,weak
59,castle,cove,I am not a sheltered bay,weak
60,castle,chapel,I am not a place of worship,weak
61,castle,cathedral,I am not a grand church,weak
62,castle,portal,I am not an entranceway like this,weak
63,castle,cloak,I do not cover like this,weak
64,castle,hausen,I am not a type of house,weak
65,castle,place,I am not a location like this,weak
66,castle,cadge,I have no need to beg,weak
67,castle,housing,I provide shelter but not housing,medium
68,castle,cage,I am not a confining enclosure,weak
69,castle,built,I am not constructed like this,weak
70,castle,keeper,I do not require a caretaker,weak
71,castle,burgh,I am not a Scottish town,weak
72,castle,guildhall,I am not a meeting place,weak
73,castle,dock,I am not a harbor structure,weak
74,castle,port,I am not a harbor,weak
75,castle,container,I am not a storage unit,weak
76,castle,bastion,I am not a projecting part,weak
77,castle,case,I am not an instance like this,weak
78,castle,forge,I do not craft metal like this,weak
79,castle,caret,I do not need a guardian,weak
80,castle,stroy,I do not ruin or destroy,weak
81,castle,harbour,I am not a sheltered port,weak
82,castle,turret,I have no lookout tower like this,weak
83,castle,park,I am not a public garden,weak
84,castle,casting,I am not a mold for metal,weak
85,castle,palais,I am not a grand palace,weak
86,castle,kasbah,I am not a North African fortress,weak
87,castle,realm,I am not a kingdom or domain,weak
88,castle,scape,I am not a view or scene,weak
89,castle,cased,I am not enclosed in a case,weak
90,castle,home,I am not a residence like this,weak
91,castle,cottae,I am not a type of dwelling,weak
92,castle,storehouse,I am not a place for storage,weak
93,castle,bastile,I am not a fortress,weak
94,castle,casbah,I am not a North African fortress,weak
95,castle,moated,I do not have a defensive moat,weak
96,castle,isle,I am not an island like this,weak
97,castle,bourne,I am not a small stream,weak
98,castle,orca,I am not a type of whale,weak
99,castle,dungeon,I do not have a prison cell,weak
100,castle,courtyard,I have no inner open space,weak
101,castle,hospital,I am not a medical facility,weak
102,castle,estate,I am grander than this property,weak
103,castle,palazzi,I am not as elaborate as these,weak
104,castle,burg,I am not fortified like this,weak
105,castle,cake,No relation to this sweet treat,strong
106,castle,turreted,My towers are not as fancy,medium
107,castle,cole,No connection to this name,strong
108,castle,architecture,I am a part of this,strong
109,castle,playhouse,I am not a place for play,medium
110,castle,manor,I am larger than this residence,weak
111,castle,cloudland,"I am grounded, unlike this place",medium
112,castle,gable,I have no gables like this,weak
113,castle,curch,No connection to this word,strong
114,castle,cannon,I don't have weapons like this,medium
115,castle,bourg,I am not a part of this,medium
116,castle,farm,I am not a place for farming,medium
117,castle,crest,I have no family crests,weak
118,castle,astony,No relation to this term,strong
119,castle,stane,I am not made of stones,medium
120,castle,bastille,I am not a prison fortress,medium
121,castle,gate,I have entrance but not gates,medium
122,castle,balmoral,I am not a royal residence,medium
123,castle,coliseum,I do not host gladiator games,medium
124,castle,build,I am not the action of building,medium
125,castle,guardhouse,I have no dedicated guardhouses,weak
126,castle,drawbridge,I have no drawbridges for entry,weak
127,castle,alehouse,I do not serve ale like this,medium
128,castle,campanile,I have no bell towers like this,weak
129,castle,clave,No relation to this term,strong
130,castle,convent,I am not a place of religious seclusion,medium
131,castle,porter,I have no doorkeepers like this,weak
132,castle,cot,I am bigger than a cot,weak
133,castle,capitol,I am not a government building,medium
134,castle,structure,I am a type of this,strong
135,castle,factory,I am not a place of production,medium
136,castle,cap,I do not wear caps,weak
137,castle,cation,No connection to this term,strong
138,castle,casino,I am not a place for gambling,medium
139,castle,coombe,I am not a deep valley,medium
140,castle,hill,I am not a natural elevation,medium
141,castle,dom,I have no domes like this,weak
142,castle,belvedere,I have no panoramic viewpoints,weak
143,castle,battle,I am not a field of combat,medium
144,castle,barn,I am not a farm building,medium
145,castle,guard,I don't have guards like this,medium
146,castle,hurst,I am not a wooded hill,medium
147,castle,church,I am not a place of worship,medium
148,castle,hut,I am more permanent than a hut,weak
149,castle,fieldstone,I am not made of fieldstones,medium
150,castle,cabin,"I am not a small, simple dwelling",medium
151,castle,bastioned,I am not fortified like this,medium
152,castle,barbican,I guard the entrance like this structure,strong
153,castle,roof,I cover the top like this,strong
154,castle,cavern,I am not underground like this,medium
155,castle,warehouse,I store goods like this building,medium
156,castle,foundation,I support the structure like this,strong
157,castle,holm,I am not an island like this,weak
158,castle,barony,I am not a noble title,weak
159,castle,monte,I am not a geographical feature,weak
160,castle,carack,I am not a type of ship,weak
161,castle,construct,I am not a verb,weak
162,castle,chest,I may contain treasures like this,medium
163,castle,vang,I have no sailing equipment,weak
164,castle,portcullis,I defend the entrance like this,strong
165,castle,centre,I am not a focal point,weak
166,castle,facility,I am not a place for services,weak
167,castle,craft,I am not a skilled activity,weak
168,castle,ported,I am not a sailing direction,weak
169,castle,duke,I have no royal title,weak
170,castle,caste,I have no social hierarchy,weak
171,castle,arch,I support the structure like this,medium
172,castle,tain,I am not a metal alloy,weak
173,castle,tent,I am not a temporary shelter,weak
174,castle,moat,I protect the perimeter like this,strong
175,castle,glasshouse,I am not a structure for plants,weak
176,castle,crannog,I am not a man-made island,weak
177,castle,barrack,I am not a military building,weak
178,castle,cellar,I store items below ground like this,medium
179,castle,ate,I do not consume food,weak
180,castle,cairned,I have no stone burial mound,weak
181,castle,brick,I am not a building material,medium
182,castle,brook,I am not a small stream,weak
183,castle,hostel,I am not a lodging place,weak
184,castle,dockland,I am not a waterfront area,weak
185,castle,dovecote,I have no structure for birds,weak
186,castle,armor,I do not provide protection,weak
187,castle,repository,I do not store information,weak
188,castle,casette,I am not a type of tape,weak
189,castle,pavilion,I am not a temporary structure,weak
190,castle,ark,I am not a place for animals,weak
191,castle,dome,I do not have a rounded roof,weak
192,castle,stile,I am not a structure for crossing,weak
193,castle,coat,I do not cover the exterior,weak
194,castle,tiltyard,I am not a jousting area,weak
195,castle,formation,I do not have a military arrangement,weak
196,castle,carvel,I am not a type of ship construction,weak
197,castle,fortalice,I am not a small fort,weak
198,castle,county,I am not a geographical division,weak
199,castle,roothold,I am not a secure base,weak
200,castle,casemate,I am not a fortified gun emplacement,weak
201,castle,cate,I am not a type of fish,weak
202,castle,stadium,I have nothing to do with this,weak
203,castle,temple,I am grand like this sacred place,strong
204,castle,country,I am part of a larger this,medium
205,castle,boathouse,I store vessels like this structure,strong
206,castle,pool,I lack water like this,medium
207,castle,shiel,I have nothing to do with this,weak
208,castle,pavillon,I am grand like this structure,strong
209,castle,club,I gather people like this place,strong
210,castle,harbor,I welcome ships like this port,strong
211,castle,tournament,I host events like this competition,strong
212,castle,cresset,I have nothing to do with this,weak
213,castle,colosseum,I am grand like this ancient arena,strong
214,castle,abuilding,I have nothing to do with this,weak
215,castle,towerlike,I am tall like this structure,strong
216,castle,summerhouse,I am a retreat like this,medium
217,castle,copestone,I have nothing to do with this,weak
218,castle,cask,I store goods like this container,strong
219,castle,carrack,I have nothing to do with this,weak
220,castle,clubhouse,I gather people like this place,strong
221,castle,casava,I have nothing to do with this,weak
222,castle,crown,I am royal like this symbol,strong
223,castle,arbour,I provide shade like this structure,strong
224,castle,bay,I am surrounded by water like this,strong
225,castle,cade,I have nothing to do with this,weak
226,castle,birdcage,I am confined like this structure,strong
227,castle,shelter,I provide refuge like this place,strong
228,castle,hunt,I have nothing to do with this,weak
229,castle,casini,I have nothing to do with this,weak
230,castle,own,I have nothing to do with this,weak
231,castle,roque,I have nothing to do with this,weak
232,castle,sanctum,I am sacred like this place,strong
233,castle,cup,I hold liquids like this vessel,strong
234,castle,sandbox,I am a play area like this,medium
235,castle,cab,I transport people like this vehicle,strong
236,castle,capture,I have nothing to do with this,weak
237,castle,caff,I have nothing to do with this,weak
238,castle,cottagey,I am cozy like this dwelling,strong
239,castle,mall,I am a shopping place like this,medium
240,castle,vineyard,I grow grapes like this place,strong
241,castle,stanhope,I have nothing to do with this,weak
242,castle,stash,I hide valuables like this place,strong
243,castle,farmhouse,I am a rural home like this,medium
244,castle,bishop,I am respected like this title,strong
245,castle,guild,I gather craftsmen like this organization,strong
246,castle,crag,I am rocky like this formation,strong
247,castle,province,I am part of a larger this,medium
248,castle,cock,I have nothing to do with this,weak
249,castle,cotter,I have nothing to do with this,weak
250,castle,crenel,I have nothing to do with this,weak
251,castle,gateway,I am an entrance like this,strong
252,castle,stead,I am a synonym for this,strong
253,castle,battlemented,I have these protective walls,strong
254,castle,prison,I hold prisoners within my walls,strong
255,castle,courthouse,I am not a place for justice,weak
256,castle,botel,I am not a lodging place,weak
257,castle,catapult,I am not used for launching,weak
258,castle,kremlin,I am not a Russian fortress,weak
259,castle,carr,I am not a marshy land,weak
260,castle,corslet,I am not a piece of armor,weak
261,castle,inverness,I have nothing to do with this,weak
262,castle,portress,I am not a gatekeeper,weak
263,castle,station,I am not a transportation hub,weak
264,castle,estival,I am not a summer adjective,weak
265,castle,builder,I am not a creator of structures,weak
266,castle,stockade,I have wooden barriers unlike this,strong
267,castle,ceca,I have nothing to do with this,weak
268,castle,asset,I am not a valuable resource,weak
269,castle,rock,I have rocky foundations like this,strong
270,castle,cairn,I am a pile of stones,medium
271,castle,abode,I am a dwelling place,medium
272,castle,vest,I am not a garment,weak
273,castle,coop,I am not for chickens,weak
274,castle,bury,I am not a burial place,weak
275,castle,burgrave,I am not a medieval official,weak
276,castle,roman,I have nothing to do with this,weak
277,castle,casaba,I have nothing to do with this,weak
278,castle,bunker,I am not an underground shelter,weak
279,castle,lotte,I have nothing to do with this,weak
280,castle,jail,I hold prisoners within my walls,strong
281,castle,shore,I have a waterfront like this,strong
282,castle,caponier,I am not a fortification structure,weak
283,castle,casita,I am not a small house,weak
284,castle,claucht,I have nothing to do with this,weak
285,castle,sheepcote,I am not a pen for sheep,weak
286,castle,quare,I have nothing to do with this,weak
287,castle,firm,I am not a business company,weak
288,castle,lake,I have a body of water,medium
289,castle,acock,I have nothing to do with this,weak
290,castle,casement,I am not a window opening,weak
291,castle,lock,I have mechanisms like this,strong
292,castle,caserne,I am not a military barracks,weak
293,castle,houselled,I have nothing to do with this,weak
294,castle,bridewell,I have a prison-like connotation,medium
295,castle,nave,I am not a church part,weak
296,castle,game,I am not for entertainment purposes,weak
297,castle,shell,I have a protective outer layer,medium
298,castle,base,I have a foundation like this,strong
299,castle,reservation,I am not a booked arrangement,weak
300,castle,maze,I have a confusing layout,medium
301,castle,cote,I am not a small shed,weak
302,castle,edifice,I am a synonym for this,strong
303,castle,pinecone,I have nothing to do with this,weak
304,castle,hideout,I provide shelter like this,medium
305,castle,shack,I am sturdier than this structure,medium
306,castle,hull,I am stronger than this,medium
307,castle,resort,I am not a vacation spot,weak
308,castle,jailhouse,I serve as a prison like this,strong
309,castle,turnstile,I control access differently than this,medium
310,castle,manse,I am more massive than this,medium
311,castle,mount,I am not a geographical feature,weak
312,castle,bothy,I offer more protection than this,medium
313,castle,rowan,I am not a type of tree,weak
314,castle,campaign,I am not involved in this,weak
315,castle,cluster,I am not a group,weak
316,castle,bailey,I am a part of this,medium
317,castle,cabal,I am not a secretive group,weak
318,castle,kept,I am not a past tense verb,weak
319,castle,institution,I am not a formal organization,weak
320,castle,chalet,I am not a cozy cabin,weak
321,castle,throne,I am not a royal seat,weak
322,castle,rook,I do not move like this piece,weak
323,castle,siege,I am not under attack like this,weak
324,castle,stade,I am not a unit of length,weak
325,castle,cobble,I am not a type of stone,weak
326,castle,turnhall,I am not a type of building,weak
327,castle,setting,I am not a background environment,weak
328,castle,cassino,I am not a gambling establishment,weak
329,castle,kaleyard,I am not a type of garden,weak
330,castle,garden,I am not a cultivated area,weak
331,castle,garrison,I am not a group of troops,weak
332,castle,casefied,I am not a type of casing,weak
333,castle,fortressing,I am not fortifying like this,weak
334,castle,priory,I am not a religious house,weak
335,castle,carcel,I am not a prison,weak
336,castle,plan,I am not a blueprint,weak
337,castle,arsenal,I do not store weapons like this,weak
338,castle,steading,I am not a farmstead,weak
339,castle,encamp,I am not a temporary camp,weak
340,castle,forest,I am not a wooded area,weak
341,castle,cell,I am not a small room,weak
342,castle,cube,I am not a 3D shape,weak
343,castle,cope,I do not cover like this garment,weak
344,castle,lord,I am not a noble title,weak
345,castle,capework,I am not a type of embroidery,weak
346,castle,loft,I am not an upper room,weak
347,castle,forte,I am not a strong point,weak
348,castle,cover,I am not a protective layer,weak
349,castle,crate,I am not a wooden container,weak
350,castle,roughcast,I am not a type of plaster,weak
351,castle,caul,I am not a type of membrane,weak
352,castle,host,I welcome visitors like this person,strong
353,castle,baronial,I am grand like this noble status,strong
354,castle,basket,I do not hold items like this,weak
355,castle,hest,I have nothing to do with this,weak
356,castle,caravel,I do not sail like this ship,weak
357,castle,cascade,I have nothing to do with this,weak
358,castle,beach,I am near the water like this,medium
359,castle,walled,I have barriers like this structure,medium
360,castle,faro,I have nothing to do with this,weak
361,castle,marina,I am close to boats like this,medium
362,castle,campus,I am a large area like this,medium
363,castle,constructed,I am built like this creation,medium
364,castle,potter,I am not involved in pottery,weak
365,castle,anchor,I am stable like this object,medium
366,castle,battlement,I have defense like this structure,strong
367,castle,chesterfield,I am luxurious like this furniture,strong
368,castle,wright,I am not a craftsman like this,weak
369,castle,tate,I have nothing to do with this,weak
370,castle,cottager,I am not a small house,weak
371,castle,deckhouse,I have levels like this structure,medium
372,castle,oriel,I have architectural features like this,medium
373,castle,oast,I am not used for drying hops,weak
374,castle,carritch,I have nothing to do with this,weak
375,castle,property,I am owned like this possession,medium
376,castle,yard,I have outdoor space like this,medium
377,castle,hamlet,I am a small settlement like this,strong
378,castle,felstone,I have nothing to do with this,weak
379,castle,gaol,I am not a prison building,weak
380,castle,guesthouse,I provide lodging like this accommodation,medium
381,castle,castable,I have nothing to do with this,weak
382,castle,remaining,I am what's left like this,medium
383,castle,cavelike,I am similar to a cave,medium
384,castle,vaulted,I have arched ceilings like this,medium
385,castle,placement,I am positioned like this arrangement,medium
386,castle,locker,I store belongings like this container,medium
387,castle,hilltop,I am located high like this,medium
388,castle,woolpack,I am not related to shearing wool,weak
389,castle,landscape,I am part of the view,medium
390,castle,penthouse,I am the top floor,medium
391,castle,haunt,I am not a ghostly place,weak
392,castle,lair,I am not a den for creatures,weak
393,castle,civil,I am organized society,medium
394,castle,cairngorm,I am not a type of quartz,weak
395,castle,cult,I am not a religious group,weak
396,castle,gildhall,I have nothing to do with this,weak
397,castle,site,I am a location like this,medium
398,castle,carriage,I do not transport people like this,weak
399,castle,kingdom,I am not a realm,weak
400,castle,skene,I have nothing to do with this,weak
401,castle,knight,I am protected by this nobleman,medium
402,castle,fane,I am not a place of worship,weak
403,castle,canonical,I have no established rules like this,weak
404,castle,tomb,I am not a final resting place,weak
405,castle,stack,I do not pile things like this,weak
406,castle,viscounty,I am not a noble title,weak
407,castle,bank,I do not store money like this,weak
408,castle,charlotte,I am not a dessert like this,weak
409,castle,bield,I do not offer shelter like this,weak
410,castle,destination,I am not a place to reach,weak
411,castle,garret,I do not have an attic,weak
412,castle,waitress,I do not serve food like this,weak
413,castle,car,I do not drive around,weak
414,castle,casky,I do not store liquids,weak
415,castle,hive,I do not house bees,weak
416,castle,hotspur,I am not a fiery person,weak
417,castle,perch,I do not have a bird's roost,weak
418,castle,venue,I am not a place for events,weak
419,castle,royal,I am not of noble descent,weak
420,castle,homestead,I am not a family estate,weak
421,castle,create,I do not make things like this,weak
422,castle,smith,I am not a metalworker,weak
423,castle,hub,I am not a central point,weak
424,castle,seraglio,I am not a harem,weak
425,castle,leased,I do not rent out space,weak
426,castle,cloister,I am not an enclosed monastery,weak
427,castle,studio,I am not an artist's workspace,weak
428,castle,eland,I am not a large antelope,weak
429,castle,hermitage,I am not a secluded dwelling,weak
430,castle,film,I do not project movies,weak
431,castle,duchy,I do not hold a noble title,weak
432,castle,crenelling,I do not have battlements,weak
433,castle,auberge,I am not an inn,weak
434,castle,reserve,I am not a protected area,weak
435,castle,karn,I am not an earthen platform,weak
436,castle,crystal,I am not a mineral formation,weak
437,castle,unhouse,I do not evict occupants,weak
438,castle,hovel,I am not a poor dwelling,weak
439,castle,housesat,I do not look after homes,weak
440,castle,construction,I am not built with materials,weak
441,castle,cairny,I am not a pile of stones,weak
442,castle,lighthouse,I am not a beacon for ships,weak
