rank,word,similarity
1,cat,1.00000000
2,cate,0.78460027
3,kat,0.73489756
4,pet,0.62930773
5,cattie,0.60866491
6,catting,0.59408310
7,kitty,0.59323661
8,dog,0.59069149
9,catcalled,0.58847698
10,catted,0.56583817
11,kitten,0.56457440
12,cot,0.56082433
13,catling,0.55144447
14,meow,0.53748461
15,feline,0.53643191
16,pat,0.53608587
17,moggy,0.53593825
18,rat,0.53391767
19,cattish,0.52996108
20,catlike,0.52933613
21,cation,0.52699790
22,hat,0.52263364
23,miaow,0.52140309
24,cart,0.52031644
25,car,0.51903428
26,cattalo,0.51756485
27,animal,0.51684376
28,cow,0.51456116
29,tabby,0.51436651
30,caret,0.51400908
31,miaul,0.51016361
32,category,0.50989921
33,vat,0.50984344
34,bat,0.50970166
35,catalog,0.50804667
36,catalo,0.50788494
37,catty,0.50674775
38,miaou,0.50508945
39,cattery,0.50186366
40,coon,0.50111092
41,catface,0.49533269
42,thecate,0.48960174
43,cant,0.48697825
44,scat,0.48691671
45,ka,0.48566025
46,catcall,0.48368340
47,crap,0.48325927
48,caterpillar,0.48321871
49,meowing,0.48263574
50,pussycat,0.48229213
51,miaowed,0.48193166
52,cathead,0.48108976
53,dit,0.48077382
54,miaowing,0.47995387
55,tomcatted,0.47925316
56,catnaper,0.47632488
57,ceca,0.47512821
58,wildcatted,0.47486576
59,catnip,0.47461790
60,cratch,0.47228346
61,mate,0.47156959
62,meowed,0.47033335
63,sat,0.46971184
64,cantdog,0.46960988
65,kittening,0.46925296
66,ate,0.46923274
67,moggie,0.46918681
68,felid,0.46909412
69,tomcat,0.46864101
70,cab,0.46701793
71,cad,0.46581256
72,caterwaul,0.46515251
73,korat,0.46443017
74,purr,0.46432899
75,catfall,0.46375194
76,cattiest,0.46369356
77,vet,0.46349704
78,doggy,0.46168819
79,kittened,0.46141813
80,chat,0.46084876
81,it,0.46084378
82,can,0.46023798
83,miaous,0.46003158
84,mudcat,0.45994323
85,cake,0.45961759
86,cast,0.45943575
87,rabbit,0.45880468
88,tag,0.45779037
89,miscatalog,0.45677322
90,mat,0.45669081
91,gat,0.45634270
92,kit,0.45527083
93,cane,0.45325587
94,mouse,0.45314750
95,miaouing,0.45288205
96,canid,0.45276542
97,catnapper,0.45223073
98,chetah,0.45065490
99,bobcat,0.44983406
100,pup,0.44981581
101,catbird,0.44948020
102,puppy,0.44883558
103,coat,0.44865671
104,catfacing,0.44863559
105,cub,0.44848195
106,caff,0.44739317
107,scratch,0.44673015
108,catch,0.44651022
109,kittenish,0.44621591
110,catkin,0.44549959
111,crawl,0.44502186
112,scatt,0.44448236
113,kart,0.44416530
114,leopard,0.44389927
115,baby,0.44370574
116,cater,0.44340151
117,caught,0.44292664
118,comic,0.44252223
119,kid,0.44110802
120,dogdom,0.44072346
121,mewed,0.44065636
122,tipcat,0.43995378
123,sit,0.43961828
124,tabbied,0.43925750
125,tat,0.43895081
126,pussy,0.43892659
127,bot,0.43876860
128,girl,0.43849625
129,vehicle,0.43805379
130,felinity,0.43795661
131,tomcatting,0.43753837
132,wat,0.43691594
133,cult,0.43651820
134,felinely,0.43651393
135,miaoued,0.43642509
136,catamount,0.43504228
137,kata,0.43436279
138,catmint,0.43434639
139,paw,0.43412274
140,at,0.43377970
141,critter,0.43325299
142,pillar,0.43222721
143,duct,0.43220702
144,catlin,0.43202969
145,creature,0.43151507
146,doggo,0.43101309
147,cut,0.43021985
148,apt,0.42938297
149,jacana,0.42937953
150,crate,0.42841016
151,bird,0.42831222
152,cap,0.42719564
153,toy,0.42704927
154,doll,0.42669538
155,tiger,0.42649222
156,cathouse,0.42641911
157,clowder,0.42640454
158,called,0.42619528
159,nit,0.42618010
160,lynx,0.42560845
161,bunny,0.42536005
162,dogy,0.42526201
163,ting,0.42456782
164,tit,0.42444352
165,cattier,0.42437838
166,scratcher,0.42434009
167,catboat,0.42394710
168,cite,0.42377633
169,etic,0.42372469
170,doc,0.42371957
171,ferret,0.42371619
172,puss,0.42367129
173,cur,0.42344981
174,mutt,0.42331668
175,doggie,0.42302062
176,adult,0.42300449
177,cage,0.42280573
178,classify,0.42276802
179,ret,0.42197812
180,calico,0.42169181
181,container,0.42146635
182,subcategory,0.42142679
183,dot,0.42068013
184,canty,0.41953484
185,cute,0.41945825
186,mom,0.41937239
187,tabbying,0.41920446
188,crawler,0.41916654
189,hairball,0.41879289
190,ocelot,0.41863197
191,caption,0.41858370
192,box,0.41851712
193,peat,0.41842405
194,cop,0.41818840
195,meerkat,0.41773568
196,caterwauled,0.41752961
197,dad,0.41745681
198,bast,0.41720516
199,rag,0.41641338
200,lat,0.41640076
201,mog,0.41635942
202,bag,0.41572206
203,catspaw,0.41558632
204,kittenishly,0.41551217
205,doat,0.41537655
206,classification,0.41523336
207,fido,0.41520586
208,cade,0.41516057
209,pug,0.41492128
210,see,0.41466716
211,citation,0.41442982
212,polecat,0.41340109
213,class,0.41328555
214,call,0.41323502
215,racoon,0.41301318
216,miauled,0.41279961
217,dogcart,0.41279684
218,pig,0.41274497
219,bate,0.41270595
220,catfight,0.41266435
221,shit,0.41204673
222,cod,0.41193411
223,caterwauling,0.41177381
224,puccoon,0.41175391
225,cheetah,0.41169641
226,caw,0.41160577
227,thing,0.41097311
228,catchpoll,0.41077245
229,cannie,0.41040248
230,came,0.41034992
231,trap,0.41033884
232,tail,0.41027161
233,eat,0.41023921
234,shorthair,0.41022543
235,peon,0.41020057
236,computer,0.41011061
237,test,0.41005220
238,itch,0.40976633
239,copycat,0.40973092
240,boat,0.40928529
241,catcalling,0.40914517
242,crab,0.40914184
243,fleabag,0.40860793
244,pert,0.40850510
245,ratatat,0.40837715
246,petto,0.40828319
247,shat,0.40818059
248,what,0.40813996
