rank,secret_word,word,clue,connection_strength
1,chair,chair,This is the *.,secret_word
2,chair,armchair,I am related to this type,strong
3,chair,highchair,I am taller than this seat,medium
4,chair,chairman,I am not a leader like this,strong
5,chair,chairing,I have nothing to do with this,weak
6,chair,seat,I am a type of this,strong
7,chair,chaired,I am involved in this action,strong
8,chair,chairwoman,I am not a female leader,strong
9,chair,cochair,I am not a partner like this,strong
10,chair,chaise,I am not a longue like this,medium
11,chair,chairperson,I am not a leader like this,strong
12,chair,couch,I am not a type of this,strong
13,chair,fauteuil,I am not this French seat,medium
14,chair,chairwomen,I am not a female leader,strong
15,chair,bedchair,I am not for sleeping like this,strong
16,chair,chief,I am not a leader like this,strong
17,chair,chairmen,I am not a leader like this,strong
18,chair,chairmaning,I have nothing to do with this,weak
19,chair,chairmanned,I am involved in this action,strong
20,chair,chairmaned,I am not a leader like this,strong
21,chair,wheelchair,I am not designed for mobility,strong
22,chair,chairmanship,I am not a leadership position,strong
23,chair,lounger,I am not a type of this,strong
24,chair,recliner,I am not for reclining like this,strong
25,chair,chef,I am not a cook like this,strong
26,chair,chairmanning,I have nothing to do with this,weak
27,chair,sofa,I am not a type of this,strong
28,chair,cochaired,I am involved in this action,strong
29,chair,cochairwoman,I am not a female partner,strong
30,chair,drawer,I am not a piece of furniture,strong
31,chair,sedilia,I am not a church seat,medium
32,chair,bench,I am not a type of this,strong
33,chair,cochairperson,I am not a partner like this,strong
34,chair,sit,I am a position like this,strong
35,chair,chainman,I have nothing to do with this,weak
36,chair,seating,I am related to providing this,strong
37,chair,committee,I am not a group like this,strong
38,chair,throne,I am not a royal seat,strong
39,chair,hocker,I am not a type of this,strong
40,chair,taboret,I am not a small stool,strong
41,chair,cochairman,I am not a partner like this,strong
42,chair,chine,I have nothing to do with this,weak
43,chair,footstool,I am not a small support,strong
44,chair,armrest,I am not a support like this,strong
45,chair,board,I am not a flat surface,strong
46,chair,cushier,I am not more comfortable than this,medium
47,chair,sitting,I am related to this activity,strong
48,chair,barstool,I am not a type of stool,strong
49,chair,furniture,I am a piece of this,strong
50,chair,controller,I am not used for gaming,strong
51,chair,backrest,I am not a support like this,strong
52,chair,faldstool,I am a simpler version of this,medium
53,chair,lounge,I have nothing to do with this,weak
54,chair,rawer,I am not related to this,weak
55,chair,beanbag,I am a more formal version,medium
56,chair,appointment,I am not connected to this,weak
57,chair,seatmate,I am usually used alone,medium
58,chair,bencher,I am a more specific version,medium
59,chair,seated,I am always meant for sitting,strong
60,chair,shelf,I am not for storing things,weak
61,chair,table,I am often paired with this,medium
62,chair,chivari,I am a different style from this,medium
63,chair,chez,I have nothing to do with this,weak
64,chair,advisor,I am not for giving advice,weak
65,chair,sedile,I am a simpler version of this,medium
66,chair,desk,I am used for sitting differently,medium
67,chair,chairlift,I am not used for transportation,weak
68,chair,commode,I am a different type of seat,medium
69,chair,cochairing,I am not for sharing responsibilities,weak
70,chair,director,I am not for leading organizations,weak
71,chair,cochairwomen,I am not a group of people,weak
72,chair,divan,I am a different type of seat,medium
73,chair,coach,I am not for coaching others,weak
74,chair,seater,I am always meant for sitting,strong
75,chair,cochairmen,I am not a group of people,weak
76,chair,tabouret,I am a simpler version of this,medium
77,chair,vice,I am not a position title,weak
78,chair,assistant,I am not for assisting others,weak
79,chair,sitter,I am always meant for sitting,strong
80,chair,speaker,I am not for public speaking,weak
81,chair,room,I am not a space for living,weak
82,chair,settee,I am a different type of seat,medium
83,chair,appoint,I am not for designating tasks,weak
84,chair,standing,I am always meant for sitting,strong
85,chair,stool,I am a simpler version of this,medium
86,chair,diwan,I am a different type of seat,medium
87,chair,tablemate,I am not meant for socializing,weak
88,chair,burger,I am not for serving food,weak
89,chair,trona,I am not related to this,weak
90,chair,caret,I am not for providing care,weak
91,chair,judge,I am not for making decisions,weak
92,chair,boss,I am not for giving orders,weak
93,chair,stand,I am not meant for standing,weak
94,chair,preside,I have nothing to do with this,weak
95,chair,dresser,I am not for storing clothes,weak
96,chair,bleacher,I am a different type of seat,medium
97,chair,banister,I am not for support while walking,weak
98,chair,cheder,I am not a place of study,weak
99,chair,waitress,I am not for serving customers,weak
100,chair,chancellor,I am not for leading universities,weak
101,chair,computer,I have nothing to do with this,weak
102,chair,chat,I have nothing to do with this,weak
103,chair,urger,I have nothing to do with this,weak
104,chair,chainmen,I have nothing to do with this,weak
105,chair,robe,I have nothing to do with this,weak
106,chair,footrest,I am a part of this,medium
107,chair,ousel,I have nothing to do with this,weak
