rank,secret_word,word,clue,connection_strength
1,cheese,cheese,This is the *.,secret_word
2,cheese,cheesed,I am not pleased with being this,weak
3,cheese,cheesy,I am not known for being this,weak
4,cheese,fromage,I share a French name with this,medium
5,cheese,cheeseburger,I am part of this American dish,strong
6,cheese,cheddar,I am a type of this,strong
7,cheese,cheesecake,I am used in making this dessert,strong
8,cheese,cheesing,I am involved in smiling and this,medium
9,cheese,cheesiness,I can be criticized for this,medium
10,cheese,cheesiest,I am the most extreme in this,strong
11,cheese,cheesier,I am less extreme in this,strong
12,cheese,mozzarella,"Super close, sizzling hot",strong
13,cheese,headcheese,I have nothing to do with this,weak
14,cheese,gruyere,"Super close, sizzling hot",strong
15,cheese,cheesily,I can be done in a cheesy way,medium
16,cheese,chevre,"Super close, sizzling hot",strong
17,cheese,brie,"Super close, sizzling hot",strong
18,cheese,feta,"Super close, sizzling hot",strong
19,cheese,ricotta,"Super close, sizzling hot",strong
20,cheese,cheesecloth,I am used to make this,strong
21,cheese,quiche,I can be an ingredient in this,medium
22,cheese,provolone,"Super close, sizzling hot",strong
23,cheese,caseic,I contain this type of protein,medium
24,cheese,curd,"Super close, sizzling hot",strong
25,cheese,dairy,I am a category of products,strong
26,cheese,butter,I am not made from milk,medium
27,cheese,havarti,"Super close, sizzling hot",strong
28,cheese,mascarpone,"Super close, sizzling hot",strong
29,cheese,caseose,I contain this type of protein,medium
30,cheese,milk,"Super close, sizzling hot",strong
31,cheese,whey,"Super close, sizzling hot",strong
32,cheese,chicken,I have nothing to do with this,weak
33,cheese,parmigiano,"Super close, sizzling hot",strong
34,cheese,pasta,I am often paired with this,medium
35,cheese,sausage,I am not typically combined with this,medium
36,cheese,bacon,I am not made from pork,medium
37,cheese,steak,I am not a meat dish,medium
38,cheese,caseous,I contain this type of protein,medium
39,cheese,muenster,"Super close, sizzling hot",strong
40,cheese,pecorino,"Super close, sizzling hot",strong
41,cheese,fontina,"Super close, sizzling hot",strong
42,cheese,chocolate,I am not a sweet confection,medium
43,cheese,potato,I am not a vegetable,medium
44,cheese,quesadilla,I am not a Mexican dish,medium
45,cheese,raclette,I am not a Swiss dish,medium
46,cheese,meat,I am not a protein source,medium
47,cheese,tofu,I am not a plant-based protein,medium
48,cheese,garlic,I am not a vegetable seasoning,medium
49,cheese,nacho,I am not a type of snack,medium
50,cheese,mozzette,I have nothing to do with this,weak
51,cheese,macaroni,I am not a type of pasta,medium
52,cheese,food,I am essential in every meal,strong
53,cheese,ghee,I am not a type of butter,medium
54,cheese,yogurt,I am a dairy product too,strong
55,cheese,lasagna,I am not a type of pasta,medium
56,cheese,pork,I am not a type of meat,medium
57,cheese,wheyey,"Super close, sizzling hot",strong
58,cheese,cheero,I do not cheer like this,weak
59,cheese,fondue,"Super close, sizzling hot",strong
60,cheese,hamburger,I am not a type of sandwich,medium
61,cheese,mustard,I am not a type of condiment,medium
62,cheese,bread,I often accompany this in meals,strong
63,cheese,lasagne,I am similar to this pasta dish,medium
64,cheese,creamery,I am not a place of dairy,medium
65,cheese,cheer,I do not cheer like this,weak
66,cheese,gjetost,"Super close, sizzling hot",strong
67,cheese,beef,I am not a type of meat,medium
68,cheese,tomato,I am often paired with this,strong
69,cheese,prosciutto,I am not a type of ham,medium
70,cheese,broccoli,I am not a type of vegetable,medium
71,cheese,wheyish,"Super close, sizzling hot",strong
72,cheese,chess,I am not a game like this,weak
73,cheese,cauliflower,I am not a type of vegetable,medium
74,cheese,sandwich,I am often made with bread,strong
75,cheese,pecorini,"Super close, sizzling hot",strong
76,cheese,spaghetti,I am often served with sauce,strong
77,cheese,ketchup,I am often paired with burgers,strong
78,cheese,pizza,"Super close, sizzling hot",strong
79,cheese,hummus,I am not a type of dip,medium
80,cheese,carrot,I am often used in salads,strong
81,cheese,mushroom,I am often used in pasta dishes,strong
82,cheese,cream,I am often a part of desserts,strong
83,cheese,mayonnaise,I am often used in sandwiches,strong
84,cheese,curdy,"Super close, sizzling hot",strong
85,cheese,salami,I am often sliced and eaten cold,strong
86,cheese,chili,"Super close, sizzling hot",strong
87,cheese,salad,I am often served with dressing,strong
88,cheese,wheyface,"Super close, sizzling hot",strong
89,cheese,wheat,I am often used to make bread,strong
90,cheese,zucchini,I am often used in vegetable dishes,strong
91,cheese,schmalz,I am not a type of fat,medium
92,cheese,wurst,I am not a type of sausage,medium
93,cheese,seafood,I am not a type of fish,medium
94,cheese,cashew,I am not a type of nut,medium
95,cheese,cabbage,I am often used in coleslaw,strong
96,cheese,goat,"Super close, sizzling hot",strong
97,cheese,chevied,"Super close, sizzling hot",strong
98,cheese,pastry,I am often made with flour,strong
99,cheese,wheylike,"Super close, sizzling hot",strong
100,cheese,cheek,I am not a body part,medium
101,cheese,casein,"Super close, sizzling hot",strong
102,cheese,avocado,I am not used in this dish,weak
103,cheese,onion,I often accompany this in recipes,strong
104,cheese,honey,I am not as sweet as this,medium
105,cheese,delicious,People think I am also this,medium
106,cheese,crabmeat,I am not a seafood like this,strong
107,cheese,pepperoni,I am not a topping like this,strong
108,cheese,custard,I am not a dessert like this,strong
109,cheese,hotdog,I am not eaten in a bun,medium
110,cheese,gnocchi,I am not a pasta dumpling,strong
