rank,secret_word,word,clue,connection_strength
1,chicken,chicken,This is the *.,secret_word
2,chicken,chickened,I do not relate to this action,weak
3,chicken,chickening,I do not relate to this action,weak
4,chicken,chick,I am a younger version of this,medium
5,chicken,poultry,I am part of this category,strong
6,chicken,kippen,I have nothing to do with this,weak
7,chicken,fowl,I am part of this category,strong
8,chicken,pork,I am not related to this meat,weak
9,chicken,chook,I have nothing to do with this,weak
10,chicken,cluck,I make similar sounds as this,medium
11,chicken,rooster,I am a female version of this,medium
12,chicken,meat,I am often used as this,medium
13,chicken,lamb,I am not related to this meat,weak
14,chicken,pullet,I am a younger female bird,medium
15,chicken,turkey,I am not as large as this bird,medium
16,chicken,cockerel,I am a female version of this,medium
17,chicken,chickenshit,I am not related to cowardice,weak
18,chicken,poularde,I share a similar fate with this,medium
19,chicken,chickee,I have nothing to do with this,weak
20,chicken,shrimp,I am not related to this seafood,weak
21,chicken,clucking,I make similar sounds as this,medium
22,chicken,beef,I am not related to this meat,weak
23,chicken,chickenhearted,I am not related to cowardice,weak
24,chicken,potato,I am not related to this vegetable,weak
25,chicken,steak,I am often used as this,medium
26,chicken,mutton,I am not related to this meat,weak
27,chicken,pasta,I am not related to this food,weak
28,chicken,chickpea,I am not related to this legume,weak
29,chicken,bacon,I am often used as this,medium
30,chicken,sausage,I am often used as this,medium
31,chicken,pheasant,I am not as colorful as this bird,medium
32,chicken,cheese,I am often used with this,medium
33,chicken,hen,I am a male version of this,medium
34,chicken,poult,I am a younger bird,medium
35,chicken,chukar,I have nothing to do with this bird,weak
36,chicken,chili,I am not related to this dish,weak
37,chicken,henhouse,I live in a place like this,medium
38,chicken,pigeon,I am not as common as this bird,medium
39,chicken,goose,I am not as large as this bird,medium
40,chicken,crab,I am not related to this seafood,weak
41,chicken,cattle,I am often raised together with this,medium
42,chicken,chickenpox,I am not affected by this disease,weak
43,chicken,tofu,I am not related to this food,weak
44,chicken,drumstick,I am often used in this dish,medium
45,chicken,poulard,I have nothing to do with this,weak
46,chicken,broccoli,I am not related to this vegetable,weak
47,chicken,cabbage,I am not related to this vegetable,weak
48,chicken,hencoop,I live in a place like this,medium
49,chicken,fried,I am often cooked this way,medium
50,chicken,chickadee,I am a different bird species,medium
51,chicken,schnitzel,I am not related to this dish,weak
52,chicken,clucked,I do this sound often,strong
53,chicken,seafood,I am not found in the sea,strong
54,chicken,food,I am eaten as part of this,medium
55,chicken,partridge,I am not a bird like this,strong
56,chicken,yakitori,I am not served on skewers,strong
57,chicken,tilapia,I am not a type of fish,strong
58,chicken,noodle,I do not contain this ingredient,medium
59,chicken,capon,I am not a type of poultry,strong
60,chicken,chickaree,I am not a small squirrel,strong
61,chicken,pumpkin,I do not eat this vegetable,medium
