rank,secret_word,word,clue,connection_strength
1,church,church,This is the *.,secret_word
2,church,churchy,Not quite like me but similar,medium
3,church,curch,I have nothing to do with this,weak
4,church,churchiest,I am the epitome of this,strong
5,church,churchly,Describes my behavior and appearance,strong
6,church,churched,Directly associated with me,strong
7,church,churchgoing,Frequent visitor like me,strong
8,church,nonchurch,Opposite of me,strong
9,church,chapel,Similar to me but smaller,medium
10,church,superchurch,Exaggerated version of me,strong
11,church,churchgoer,One who shares my activities,strong
12,church,churchmanship,Skills and qualities like my own,strong
13,church,churchianity,Close to my beliefs but different,medium
14,church,ecclesia,Another term for me,strong
15,church,churchliest,Almost as perfect as me,strong
16,church,congregation,Group that gathers around me,strong
17,church,churchier,More like me than others,medium
18,church,interchurch,"Super close, sizzling hot",strong
19,church,unchurch,Opposite of what I represent,strong
20,church,ecclesiae,Multiple entities of my kind,strong
21,church,churching,Activity related to me,strong
22,church,club,Social group similar to me,medium
23,church,community,Group sharing common interests like me,strong
24,church,churchliness,Quality akin to my own nature,strong
25,church,antichurch,Opposed to my existence,strong
26,church,religious,Connected to beliefs similar to mine,medium
27,church,cathedral,Grand structure associated with me,strong
28,church,meetinghouse,Place for gatherings like mine,medium
29,church,unchurched,Not following my ways,strong
30,church,churchless,Lacking what defines me,strong
31,church,party,Celebration similar to my events,medium
32,church,congregational,Related to my organized gatherings,strong
33,church,churchlier,More like me than others,medium
34,church,school,Place of learning akin to me,medium
35,church,parish,Area under my spiritual care,strong
36,church,churchwoman,Female member akin to me,medium
37,church,synagogue,Different place of worship,weak
38,church,choir,Musical group often found with me,medium
39,church,unchurching,Moving away from my influence,strong
40,church,ecclesiastic,Relating to my hierarchy and rituals,strong
41,church,ecclesiology,Study of my nature and structure,strong
42,church,churchman,Male member similar to me,medium
43,church,city,Urban area where I have presence,medium
44,church,ecclesial,Related to me in a spiritual sense,strong
45,church,hospital,Place of healing unlike mine,weak
46,church,catholic,Related to my broader religious family,strong
47,church,restaurant,Place for dining not linked to me,weak
48,church,ecclesiastical,Relating to my institutional practices,strong
49,church,baptist,Related denomination with differences,medium
50,church,institution,Establishment with purposes like mine,medium
51,church,college,Educational institution distinct from me,weak
52,church,faith,My foundation and guiding principle,strong
53,church,unchurchly,I am not aligned with this,strong
54,church,ministry,I serve in this capacity,strong
55,church,convent,I have no connection to this,weak
56,church,congregationalist,I relate to this type of congregation,medium
57,church,nonchurchgoer,I am not impacted by this,weak
58,church,communion,I participate in this sacred ritual,strong
59,church,temple,I have no connection to this,weak
60,church,synagog,I am not associated with this,weak
61,church,office,I may have administrative duties here,medium
62,church,methodist,I share beliefs with this denomination,medium
63,church,presbyterian,I am connected to this denomination,medium
64,church,country,I exist in every nation and region,strong
65,church,vestry,I may have a room for this,medium
66,church,mosque,I have no association with this,weak
67,church,churchmen,Some refer to me as this,medium
68,church,guild,I may have a group similar to this,medium
69,church,steeple,I may have a tall structure like this,medium
70,church,pastor,I have spiritual leaders like this,strong
71,church,christen,I am involved in this ceremony,strong
72,church,churchwomen,Some refer to me as this,medium
73,church,clinic,I may provide services similar to this,medium
74,church,chirkest,I have no connection to this,weak
75,church,parishioner,I am supported by these individuals,strong
76,church,religion,I am often associated with this,strong
77,church,conventicler,I have no connection to this,weak
78,church,ecclesiastically,"Super close, sizzling hot",strong
79,church,churchyard,I may have a burial ground like this,medium
80,church,episcopal,I am aligned with this form of governance,strong
81,church,kirk,"Super close, sizzling hot",strong
82,church,organization,I am part of a structured system,strong
83,church,meeting,I gather for this purpose,strong
84,church,ecclesiasticism,I am associated with this ideology,strong
85,church,conference,I may convene for this event,medium
86,church,county,I exist in various geographical divisions,strong
87,church,gospel,I preach this message,strong
88,church,organisation,I am part of this structured system,strong
89,church,shul,I have no connection to this,weak
90,church,consistory,I may have a council similar to this,medium
91,church,ecclesiological,"Super close, sizzling hot",strong
92,church,presbytery,I have a governing body like this,medium
93,church,abbey,I may have a monastic establishment,medium
94,church,town,I am present in urban areas,strong
95,church,priest,I have ordained ministers like this,strong
96,church,chapter,I may have sections like this,medium
97,church,congregationalism,I align with this form of governance,strong
98,church,worship,I am devoted to this act,strong
99,church,evangel,I spread this message,strong
100,church,chaplaincy,I may have spiritual support like this,medium
101,church,curia,I have no connection to this,weak
102,church,building,I am constructed as a physical structure,strong
103,church,preaching,I deliver messages to the congregation,strong
104,church,membership,People belong to me as part,strong
105,church,diocese,I oversee multiple congregations within me,medium
106,church,bethel,I am a place of worship,strong
107,church,protestant,I am part of a religious division,medium
108,church,clergy,I consist of ordained religious leaders,strong
109,church,association,Groups gather under my name,medium
110,church,chancel,"Super close, sizzling hot",strong
111,church,pray,People come to me for worship,strong
112,church,business,My operations are separate from religious affairs,weak
113,church,chorale,I involve music in worship services,strong
114,church,basilica,"Super close, sizzling hot",strong
115,church,chantry,I am associated with prayers for the dead,strong
116,church,fellowshipping,I facilitate social interactions among members,strong
