rank,secret_word,word,clue,connection_strength
1,city,city,This is the *.,secret_word
2,city,town,I am a smaller version of this,medium
3,city,cityfied,I am related to this transformation,strong
4,city,urban,I am synonymous with this term,strong
5,city,country,I am larger than this area,weak
6,city,district,I contain areas like this,medium
7,city,county,I am a part of this,weak
8,city,metropolis,I aspire to be this size,medium
9,city,municipality,I am a type of this,medium
10,city,community,I am made up of these,medium
11,city,village,I am larger than this settlement,weak
12,city,cityscape,I am depicted in this art,medium
13,city,supercity,I am not as big as this,weak
14,city,citified,I am transformed into this,strong
15,city,downtown,I have a central area like this,strong
16,city,capital,I am not the political this,weak
17,city,hometown,I am someone's personal this,weak
18,city,township,I am a smaller version of this,medium
19,city,megacity,I am not as large as this,weak
20,city,citify,I can be turned into this,medium
21,city,borough,I am a part of this,medium
22,city,multicity,I am not multiple cities like this,weak
23,city,nation,I am smaller than this country,weak
24,city,cityward,I am moving towards this direction,medium
25,city,townlet,I am larger than this small area,weak
26,city,citied,I am an altered version of this,medium
27,city,locality,I am a specific this,medium
28,city,urbanity,I am synonymous with this quality,medium
29,city,location,I am a specific this,medium
30,city,airport,I have a transportation hub like this,medium
31,city,street,I have many of these pathways,medium
32,city,burgh,I am a smaller version of this,medium
33,city,intown,I am not outside but this,medium
34,city,urb,I am a shorthand version of this,medium
35,city,park,I have green spaces like this,medium
36,city,locale,I am a specific this,medium
37,city,uptown,I have an elevated area like this,strong
38,city,neighbor,I am connected to this area,medium
39,city,townspeople,I am made up of these residents,medium
40,city,urbanism,I am a concept related to this,medium
41,city,place,I am a specific this,medium
42,city,church,I have religious buildings like this,medium
43,city,cation,I have no relation to this,weak
44,city,suburb,I am outside of this area,medium
45,city,state,I am not a political this,weak
46,city,boomtown,I am not experiencing rapid growth like this,weak
47,city,population,I am made up of these people,medium
48,city,burg,I am a smaller version of this,medium
49,city,urbanite,"Super close, sizzling hot",strong
50,city,citywide,I cover a large area like this,strong
51,city,province,I am not a political this,weak
52,city,townsfolk,Residents who live in me,strong
53,city,townsman,Male resident in me,strong
54,city,townie,Informal resident of me,medium
55,city,municipal,Related to governance in me,strong
56,city,townfolk,People who live in me,strong
57,city,hospital,Building for medical care in me,strong
58,city,region,Area near me,medium
59,city,urbanistically,"Related to urban planning, not me",weak
60,city,urbanization,"Process of urban growth, not me",weak
61,city,neighborhood,Community near me,medium
62,city,townswoman,Female resident in me,strong
63,city,midtown,"Area within me, not outskirts",medium
64,city,castle,"Medieval fortress, not in me",weak
65,city,urbanist,"Expert in urban planning, not me",weak
66,city,urbanized,"Super close, sizzling hot",strong
67,city,metro,Subway system in me,medium
68,city,townless,Not within me,weak
69,city,venue,Location for events in me,medium
70,city,townscape,Scenery in me,strong
71,city,metropolitan,"Super close, sizzling hot",strong
72,city,townsmen,Male residents in me,strong
73,city,paris,"Super close, sizzling hot",strong
74,city,commune,"French local government, not me",weak
75,city,office,Place of work in me,medium
76,city,urbanised,"Super close, sizzling hot",strong
77,city,centre,Core of me,medium
78,city,urbanistic,"Related to urban planning, not me",weak
79,city,site,Location within me,medium
80,city,anticity,Opposite of me,weak
81,city,suburban,Outside my main area,medium
82,city,municipally,Related to governance in me,strong
83,city,urbanize,"Super close, sizzling hot",strong
84,city,market,Place for trading in me,medium
85,city,civie,Civilian in me,strong
86,city,villagery,"Village life, not me",weak
87,city,conurbation,"Urban area formed by merging, not me",weak
88,city,destination,Place people travel to from me,medium
89,city,towny,Characteristic of me,strong
90,city,civic,Related to community life in me,strong
91,city,business,Commercial activities in me,strong
92,city,crosstown,"Across me, not along",medium
93,city,home,Residence within me,strong
94,city,hotel,Accommodation for visitors in me,strong
95,city,citizen,Legal member of me,strong
96,city,area,Region within me,medium
97,city,townswomen,Female residents in me,strong
98,city,urbanely,"Polite and refined, not me",weak
99,city,land,Terrain within me,medium
100,city,environment,Surroundings near me,medium
101,city,villa,Large residence in me,strong
102,city,bay,I connect to the ocean through this,strong
103,city,urbaner,I am not as modern as this,weak
104,city,party,I host events like this sometimes,medium
105,city,facility,I have structures like this,strong
106,city,campus,I have areas similar to this,medium
107,city,nearest,I am close to places like this,strong
108,city,company,I have businesses like this,strong
109,city,school,I educate people like this does,medium
110,city,factory,I produce goods like this,medium
111,city,civil,I am structured like this society,medium
112,city,mayor,I have a leader similar to this,medium
113,city,urbanology,I study the development of this,medium
114,city,own,I possess things like this,medium
115,city,government,I have an organization like this,strong
116,city,center,I am a focal point like this,strong
117,city,restaurant,I offer dining places like this,strong
118,city,polis,"Super close, sizzling hot",strong
119,city,address,I have locations like this,medium
120,city,manhattan,I am not as famous as this,weak
121,city,postcode,I am identified by numbers like this,medium
122,city,council,I have a governing body like this,strong
123,city,busy,I am filled with activity like this,strong
124,city,hausen,I am not named like this,weak
125,city,skyline,I have a distinctive silhouette like this,strong
126,city,plaza,I have open spaces like this,medium
127,city,bystreet,I have smaller roads like this,medium
128,city,urbia,I am not a term like this,weak
129,city,live,I am inhabited like this,strong
130,city,countryside,I am not rural like this,weak
131,city,suburbia,I am not suburban like this,weak
132,city,settlement,I am a community like this,strong
133,city,north,I have a direction like this,medium
134,city,vicinity,I am surrounded by areas like this,strong
135,city,urbanest,I am not the trendiest like this,weak
136,city,oppidan,I am not a Latin town like this,weak
137,city,shantytown,I am not a slum like this,weak
138,city,farm,I have agricultural areas like this,strong
139,city,building,I have structures like this,strong
140,city,planet,I am not a celestial body like this,weak
141,city,road,I have pathways like this,strong
142,city,station,I have transport hubs like this,strong
143,city,institution,I have organizations like this,strong
144,city,capitol,I have a government building like this,strong
145,city,harbor,I have ports like this,strong
146,city,time,I pass like this,weak
147,city,urbanizing,I am developing like this,strong
148,city,muni,I am not a local government term like this,weak
149,city,mayoral,I have a leader like this,medium
150,city,barrio,I am not a Spanish neighborhood like this,weak
151,city,river,I flow through areas like this,strong
152,city,villager,I am home to this rural resident,strong
153,city,urbane,I am sophisticated unlike this,medium
154,city,urbanisation,I am shaped by this process,strong
155,city,cathedral,I boast a majestic building like this,medium
156,city,antiurban,I oppose the ideals of this,strong
157,city,visited,People come to see me like this,medium
158,city,zoo,I house animals unlike this,strong
159,city,space,"I am filled with buildings, not this",strong
160,city,visit,People come to me for this,medium
161,city,stime,I have nothing to do with this,weak
162,city,world,I am part of this global entity,medium
163,city,local,I am the opposite of this,strong
164,city,club,I host gatherings like this,medium
165,city,harbour,I have a port similar to this,medium
166,city,college,I have an educational institution like this,medium
167,city,urbanise,I am transformed to become this,strong
168,city,urbanologist,I am studied by this expert,medium
169,city,cosmopolis,I am like a smaller version of this,medium
170,city,china,I am different from this country,strong
171,city,intercity,I connect cities unlike this,medium
172,city,territory,I am a defined area like this,medium
173,city,culture,I am shaped by this aspect,strong
174,city,court,I have a legal building like this,medium
175,city,capacity,I have limits unlike this,medium
176,city,climate,I have weather unlike this,strong
177,city,seaport,I have a port for ships like this,medium
178,city,apartment,I have residential buildings like this,medium
179,city,travel,People come and go through me,strong
180,city,landscape,I am part of a larger this,medium
181,city,villadom,I am different from this residential area,strong
182,city,clinic,I have a medical facility like this,medium
183,city,boston,"Super close, sizzling hot",strong
184,city,crime,I have issues with this problem,medium
185,city,society,I am part of a larger this,medium
186,city,rurban,I am distinct from this hybrid,strong
187,city,citadel,I have a fortress-like structure like this,medium
188,city,municipalized,I am governed by this process,medium
189,city,cosmopolitan,I am diverse like this community,medium
190,city,biz,I am not focused on this,strong
191,city,bourg,I am different from this small town,strong
192,city,councilman,I have a governing official like this,medium
193,city,nonrural,I am the opposite of this,strong
194,city,noncounty,I am not contained within this,medium
195,city,courthouse,I have a legal building like this,medium
196,city,where,People ask for directions within me,medium
197,city,circle,I am a part of this shape,medium
198,city,closest,I am the nearest to this,medium
199,city,pueblo,I am different from this small town,strong
200,city,uptowner,I am not a resident of this,strong
201,city,berlin,"Super close, sizzling hot",strong
202,city,near,I am close to this location,strong
203,city,prefecture,I am not an administrative division,weak
204,city,paik,I have nothing to do with this,strong
205,city,condo,Some of these are in me,medium
206,city,suburbanized,Some parts of me are this,medium
207,city,populated,I am full of people,strong
208,city,holiday,People visit for this special occasion,strong
209,city,central,I am not the main district,weak
210,city,townee,Residents in me are called this,strong
211,city,yard,Some homes have this in me,medium
212,city,urbanising,"Super close, sizzling hot",strong
213,city,parish,I have nothing to do with this,strong
214,city,out,I am not outside of me,weak
215,city,minacity,I have nothing to do with this,strong
216,city,shopping,People come to me for this activity,strong
217,city,canton,I am not a subdivision of this,weak
218,city,store,Some of these are in me,medium
219,city,career,People build their lives in me,strong
220,city,terrain,I am not the physical landscape,weak
221,city,arrival,People come to me upon this,strong
222,city,nicely,I have nothing to do with this,strong
223,city,citifying,I am in the process of this,strong
224,city,nonmetro,I am not in a rural area,medium
225,city,commercial,I have many of these establishments,strong
226,city,shtetl,I have nothing to do with this,strong
227,city,cite,People refer to me as this,strong
228,city,housing,I provide shelter to many,strong
229,city,living,People reside in me,strong
230,city,distance,I am not far from this,weak
231,city,sector,I am divided into areas like this,strong
232,city,port,I have a location for ships,strong
233,city,suburbanised,Some parts of me are this,medium
234,city,localite,Inhabitants of me are called this,strong
235,city,department,I have nothing to do with this,strong
236,city,palace,I am not a grand residence,weak
237,city,countdown,I have nothing to do with this,strong
238,city,riverside,I am located by a river,strong
239,city,kingdom,I am not a realm or domain,weak
240,city,choice,People have options in me,strong
241,city,south,I am not in this cardinal direction,weak
242,city,cult,I am not a religious group,weak
243,city,policy,I have regulations and rules,strong
244,city,utility,I provide essential services to residents,strong
245,city,civilization,I am not an advanced society,weak
246,city,hamlet,I am much larger than this,medium
247,city,slum,Some areas of me are impoverished,medium
248,city,interurban,I am connected to other cities,strong
249,city,day,I am active during this time,strong
250,city,setting,I am not a stage background,weak
251,city,shanghai,"Super close, sizzling hot",strong
252,city,national,I represent a smaller version of this,medium
253,city,enterprise,I am not involved in this,weak
254,city,noncountry,I am not a part of this,weak
255,city,client,I provide services to this,strong
256,city,campo,I have nothing to do with this,weak
257,city,island,I am a larger version of this,medium
258,city,nonurban,I am not this type of area,strong
259,city,transport,I facilitate movement like this,strong
260,city,directory,I have listings like this,medium
261,city,derry,I have nothing to do with this,weak
262,city,stadium,I host events like this,medium
263,city,month,I experience cycles like this,medium
264,city,residence,I provide places to live like this,strong
265,city,nice,I am sometimes described as this,weak
266,city,estival,I experience seasons like this,medium
267,city,architecture,I have structures like this,strong
268,city,direction,I have signs indicating this,strong
269,city,poleis,I have nothing to do with this,weak
270,city,side,I have different areas like this,strong
271,city,councillor,I have representatives like this,strong
272,city,townish,I am similar to this type,medium
273,city,piazza,I have squares like this,medium
274,city,built,I have structures that are this,medium
275,city,studio,I have places for artists like this,medium
276,city,zoning,I have regulations like this,strong
277,city,visitor,People come to me as this,strong
278,city,megalopolitan,I am a smaller version of this,medium
279,city,nightlife,I have entertainment like this at night,strong
280,city,night,I experience this time period,medium
281,city,megalopolis,I am a smaller version of this,medium
282,city,dockland,I have areas for boats like this,strong
283,city,charlotte,I have nothing to do with this,weak
284,city,traffic,I experience congestion like this,strong
285,city,countian,I have residents from this administrative division,strong
286,city,vehicle,I have modes of transportation like this,strong
287,city,citation,I have issued documents like this,strong
288,city,countryish,I have a rural aspect like this,medium
289,city,resident,People live in me as these,strong
290,city,university,I have educational institutions like this,strong
291,city,councilwoman,I have representatives like this,strong
292,city,vill,I have nothing to do with this,weak
293,city,modern,I have contemporary elements like this,strong
294,city,cion,I have nothing to do with this,weak
295,city,industry,I have economic activities like this,strong
296,city,interest,I attract attention like this,strong
297,city,exurbia,I am not this type of area,strong
298,city,friendly,I am welcoming like this,medium
299,city,crowd,People gather in me like this,strong
300,city,garden,I have green spaces like this,strong
301,city,agency,I have organizations like this,strong
302,city,away,I am opposite to this direction,strong
303,city,activity,I offer space for this lively pursuit,strong
304,city,tower,I have structures taller than this,medium
305,city,unto,I have no relation to this,weak
306,city,municipalization,I handle this process within my borders,strong
307,city,shop,I host places for buying in me,strong
308,city,character,I am known for my own character,strong
309,city,hub,I am a central transportation this,strong
310,city,suburbanite,"Super close, sizzling hot",strong
311,city,context,I provide setting for events in this,strong
312,city,science,I have institutions dedicated to this,strong
