rank,secret_word,word,clue,connection_strength
1,clean,clean,This is the *.,secret_word
2,clean,cleanly,I am done in this manner,strong
3,clean,clear,I am the opposite of this,strong
4,clean,cleanup,I am the reason for this,medium
5,clean,cleaned,I am the result of this,medium
6,clean,cleanse,I am purified by this action,strong
7,clean,cleanest,I am not as pure as this,strong
8,clean,cleanliest,I am not as pure as this,strong
9,clean,cleanlier,I am not as pure as this,strong
10,clean,cleaner,I am not as pure as this,strong
11,clean,cleanness,I am lacking this quality,strong
12,clean,dirty,I am the exact opposite,strong
13,clean,reclean,I am the repeat of this,medium
14,clean,cleanable,I am able to be this,medium
15,clean,houseclean,I am associated with this task,strong
16,clean,cleaning,I am the action of this,medium
17,clean,superclean,"Super close, sizzling hot",strong
18,clean,recleaned,"Super close, sizzling hot",strong
19,clean,spotless,"Super close, sizzling hot",strong
20,clean,cleansed,I am made pure by this,medium
21,clean,overclean,"Super close, sizzling hot",strong
22,clean,limpa,I have nothing to do with this,strong
23,clean,tidy,I am neat but not as organized,strong
24,clean,housecleaned,I am the result of this task,strong
25,clean,cleanhanded,I am innocent like this behavior,strong
26,clean,ultraclean,"Super close, sizzling hot",strong
27,clean,cleanliness,I am the lack of this quality,strong
28,clean,precleaned,"Super close, sizzling hot",strong
29,clean,fresh,"Super close, sizzling hot",strong
30,clean,cleanability,"Super close, sizzling hot",strong
31,clean,preclean,"Super close, sizzling hot",strong
32,clean,uncleaner,"Super close, sizzling hot",strong
33,clean,wash,"Super close, sizzling hot",strong
34,clean,cleanser,"Super close, sizzling hot",strong
35,clean,spotlessly,"Super close, sizzling hot",strong
36,clean,cleansing,"Super close, sizzling hot",strong
37,clean,overcleaned,"Super close, sizzling hot",strong
38,clean,wipe,"Super close, sizzling hot",strong
39,clean,uncleaned,"Super close, sizzling hot",strong
40,clean,unclean,I am the opposite of this,strong
41,clean,scrub,"Super close, sizzling hot",strong
42,clean,housecleaning,"Super close, sizzling hot",strong
43,clean,sanitise,"Super close, sizzling hot",strong
44,clean,hygienic,"Super close, sizzling hot",strong
45,clean,dry,"Super close, sizzling hot",strong
46,clean,bioclean,"Super close, sizzling hot",strong
47,clean,sanitate,"Super close, sizzling hot",strong
48,clean,sanitary,"Super close, sizzling hot",strong
49,clean,lean,"Super close, sizzling hot",strong
50,clean,pure,"Super close, sizzling hot",strong
51,clean,spotlessness,"Super close, sizzling hot",strong
52,clean,sanitated,"Super close, sizzling hot",strong
53,clean,purify,I remove impurities from objects,strong
54,clean,sanitarily,"Super close, sizzling hot",strong
55,clean,cleared,"Super close, sizzling hot",strong
56,clean,neaten,I tidy up and make orderly,strong
57,clean,recleaning,"Super close, sizzling hot",strong
58,clean,deterge,"Super close, sizzling hot",strong
59,clean,smooth,"Super close, sizzling hot",strong
60,clean,hygienically,"Super close, sizzling hot",strong
61,clean,fine,"Super close, sizzling hot",strong
62,clean,transparent,I leave things clear and unclouded,strong
63,clean,uncleanest,"Super close, sizzling hot",strong
64,clean,unsoiled,"Super close, sizzling hot",strong
65,clean,purified,"Super close, sizzling hot",strong
66,clean,neat,I keep things tidy and organized,strong
67,clean,disinfect,"Super close, sizzling hot",strong
68,clean,sanitized,"Super close, sizzling hot",strong
69,clean,scrubbed,"Super close, sizzling hot",strong
70,clean,uncontaminated,I am completely free of impurities,strong
71,clean,purge,"Super close, sizzling hot",strong
72,clean,sanitised,"Super close, sizzling hot",strong
73,clean,plain,I am simple and unadorned,weak
74,clean,tidied,"Super close, sizzling hot",strong
75,clean,tidier,"Super close, sizzling hot",strong
