rank,secret_word,word,clue,connection_strength
1,clock,clock,This is the *.,secret_word
2,clock,clocker,I have nothing to do with this,weak
3,clock,clocklike,I resemble this but I'm real,medium
4,clock,clocking,"I measure time, not involved in this",weak
5,clock,clockwork,I operate differently from this machinery,medium
6,clock,timer,"I keep time, similar function to this",strong
7,clock,clocked,"I record time, not related to this",weak
8,clock,chronometer,I am a type of this tool,strong
9,clock,ticktock,"I sound like this, related concept",strong
10,clock,timepiece,I am a type of this device,strong
11,clock,stopwatch,I am similar to this timer,strong
12,clock,timing,I am crucial for this concept,strong
13,clock,time,"I measure this, core concept",strong
14,clock,horologe,I am a type of this instrument,strong
15,clock,timekeeper,I am a professional version of this,strong
16,clock,alarm,I can be set like this,medium
17,clock,ticktocking,"I sound like this, related concept",strong
18,clock,timework,I involve this in my function,strong
19,clock,chronograph,I am a type of this watch,strong
20,clock,horologist,I am a professional like this,strong
21,clock,metronome,I keep time like this device,strong
22,clock,timekeeping,I am essential for this process,strong
23,clock,lock,I do not have keys like this,medium
24,clock,calendar,"I measure time, similar concept to this",strong
25,clock,ticktocked,I make sounds like this rhythm,strong
26,clock,cloak,I do not wear this clothing,medium
27,clock,chronogram,I am a type of this inscription,strong
28,clock,calender,I help organize time like this,strong
29,clock,chronon,"I deal with time, related concept",strong
30,clock,sync,I coordinate events like this process,strong
31,clock,stime,"I measure time, similar concept to this",strong
32,clock,wristwatch,I am a type of this watch,strong
33,clock,horology,I am related to this study field,strong
34,clock,watchmaker,I am not a person who crafts watches,medium
35,clock,chronologist,I am an expert in time like this,strong
36,clock,ticktack,"I sound like this, related concept",strong
37,clock,clepsydra,"Super close, sizzling hot",strong
38,clock,locker,"I store things, similar to this",strong
39,clock,sundial,"I measure time, similar concept to this",strong
40,clock,ticking,I make sounds like this rhythm,strong
41,clock,counter,"I count numbers, similar to this",strong
42,clock,clockwise,"I move in this direction, related concept",strong
43,clock,timeworker,I am a professional like this,strong
44,clock,control,"I regulate functions, similar to this",strong
45,clock,chronography,I am a type of this recording,strong
46,clock,calenderer,I organize time like this person,strong
47,clock,chronometry,I am the science of time measurement,strong
48,clock,timeline,I depict events in chronological order,strong
49,clock,tictoc,"I sound like this, related concept",strong
50,clock,lamp,I do not illuminate like this object,medium
51,clock,chime,I do not make sounds like this,medium
52,clock,monitor,"I track time, not display screens",weak
53,clock,watchcase,"I hold time, not watches inside",weak
54,clock,cooldown,"I tick, don't cool down things",weak
55,clock,oscillator,"I count time, not vibrate frequencies",weak
56,clock,meter,"I measure time, not distance traveled",weak
57,clock,watch,"I show time, not personal accessories",weak
58,clock,hour,"I strike time, not specific duration",weak
59,clock,radio,"I tick, don't broadcast music waves",weak
60,clock,computer,"I tick, not perform digital operations",weak
61,clock,tompion,"Super close, sizzling hot",strong
62,clock,calculator,"I tick, don't perform calculations",weak
63,clock,clepsydrae,"Super close, sizzling hot",strong
64,clock,moment,"I mark time, not individual instances",weak
65,clock,scheduler,"I manage time, not people's schedules",weak
66,clock,schedule,"I track time, not specific plans",weak
67,clock,machine,"I measure time, not general machinery",weak
68,clock,crank,"I move time, not hand-operated tools",weak
69,clock,pulse,"I count time, not heartbeats per minute",weak
70,clock,camera,"I track time, not capture images",weak
71,clock,chronologer,"I measure time, not historical events",weak
72,clock,cycle,"I repeat time, not physical motions",weak
73,clock,locking,"I guard time, not secure mechanisms",weak
74,clock,locked,"I tick, not describe secure status",weak
75,clock,keyboard,"I strike time, not computer input devices",weak
76,clock,tempo,"I pace time, not musical rhythm",weak
77,clock,horological,"I relate to time, not watchmaking techniques",weak
78,clock,device,"I measure time, not general gadgets",weak
79,clock,minute,"I count time, not small durations",weak
80,clock,clamp,"I hold time, not secure objects tightly",weak
81,clock,circle,"I revolve time, not geometric shapes",weak
82,clock,pendulum,"I swing time, not mechanical components",weak
83,clock,speedometer,"I measure time, not vehicle speed",weak
84,clock,swatch,"I tick, not describe fabric samples",weak
85,clock,compass,"I guide time, not show directions",weak
86,clock,tool,"I measure time, not general implements",weak
87,clock,checkpoint,"I pass time, not verify locations",weak
88,clock,zonetime,"I track time, not specific time zones",weak
89,clock,watchmaking,"I relate to time, not craft timepieces",weak
90,clock,timescale,"I track time, not represent durations",weak
91,clock,instrument,"I measure time, not musical devices",weak
92,clock,motor,"I tick, not power mechanical movements",weak
