rank,secret_word,word,clue,connection_strength
1,close,close,This is the *.,secret_word
2,close,closing,I signal the end of something,strong
3,close,closed,I am shut off from access,strong
4,close,closure,I bring finality and resolution,strong
5,close,unclose,I reverse the shutting action taken,strong
6,close,open,"Super close, sizzling hot",strong
7,close,shut,I am the action of closing,strong
8,close,closest,I am nearest in proximity,strong
9,close,reopen,I undo the closure of something,strong
10,close,closedown,I am the process of closing,strong
11,close,opening,I am the opposite of closure,strong
12,close,closured,I have been officially ended,strong
13,close,closable,"Super close, sizzling hot",strong
14,close,closer,I bring things near in distance,strong
15,close,closeout,I am the final sale event,strong
16,close,unclosed,I am not fully shut,strong
17,close,finish,I am the end completion point,strong
18,close,collapse,I am the sudden breakdown of something,strong
19,close,cancel,I signify the end of a plan,strong
20,close,opened,"Super close, sizzling hot",strong
21,close,closeable,"Super close, sizzling hot",strong
22,close,shutting,I am in the process of closing,strong
23,close,inclose,"Super close, sizzling hot",strong
24,close,exit,I am the way out,strong
25,close,closuring,I am the process of closing,strong
26,close,collapsed,I am in a state of breakdown,strong
27,close,encloser,"Super close, sizzling hot",strong
28,close,cloze,I am a type of test,strong
29,close,enclose,"Super close, sizzling hot",strong
30,close,closely,I am near in distance,strong
31,close,finished,I am at the end completion,strong
32,close,unclosing,I am in the process of opening,strong
33,close,ceased,I have come to an end,strong
34,close,incloser,"Super close, sizzling hot",strong
35,close,closeness,I am the nearness in relationship,strong
36,close,done,I am completed,strong
37,close,inside,I am within a space,strong
38,close,near,"Super close, sizzling hot",strong
39,close,sealed,"Super close, sizzling hot",strong
40,close,enclosed,I am shut in,strong
41,close,completion,I am the state of finishing,strong
42,close,unopen,I am not yet opened,strong
43,close,inclosing,I am in the process of closing in,strong
44,close,enclosing,I am shutting something in,strong
45,close,clear,I am evident and undeniable,strong
46,close,advertisement,I promote products or services,strong
47,close,closet,I store things out of sight,strong
48,close,end,I am the final point,strong
49,close,dialog,I am a conversation between two,strong
50,close,ready,I am prepared for something,strong
51,close,confirm,I verify or validate something,strong
52,close,finalize,I come after this for closure,strong
53,close,locked,I keep secrets like this does,strong
54,close,dismiss,I send away like this action,strong
55,close,checkout,I'm done with this at the store,strong
