rank,secret_word,word,clue,connection_strength
1,coat,coat,This is the *.,secret_word
2,coat,outercoat,I am a layer over this,medium
3,coat,coatdress,I am combined with this attire,strong
4,coat,overcoat,I am worn on top of this,strong
5,coat,coatee,I am a smaller version of this,strong
6,coat,greatcoat,I am grander than this,strong
7,coat,cot,I have nothing to do with this,weak
8,coat,cloth,I am made of this material,strong
9,coat,coon,I have nothing to do with this,weak
10,coat,coating,I am covered with this layer,strong
11,coat,coatrack,I hang on this furniture piece,strong
12,coat,jacket,I am a shorter version of this,strong
13,coat,topcoat,I am worn on top like this,strong
14,coat,undercoat,I am layered underneath like this,strong
15,coat,manteau,I am a synonym for this,strong
16,coat,cover,I provide protection like this,strong
17,coat,cloak,I am not as mysterious as this,strong
18,coat,coattest,I am related to this evaluation,medium
19,coat,coated,I am covered with this material,strong
20,coat,cote,I have nothing to do with this,weak
21,coat,shirt,I am not worn as this,strong
22,coat,surcoat,I am a style of this,medium
23,coat,coop,I have nothing to do with this,weak
24,coat,paletot,I am a type of this,medium
25,coat,tailcoat,I am not as formal as this,strong
26,coat,raincoat,I protect from rain like this,strong
27,coat,tailcoated,I am related to this formal attire,medium
28,coat,covering,I am a type of this,strong
29,coat,cotta,I am related to this garment,medium
30,coat,vest,I am not worn as this,strong
31,coat,coil,I have nothing to do with this,weak
32,coat,wear,I am worn like this,strong
33,coat,cope,I am not used as this,strong
34,coat,parka,I am a type of this outerwear,medium
35,coat,outerwear,I am a category like this,strong
36,coat,coattail,I am a part of this,strong
37,coat,coater,I am related to this material,medium
38,coat,collar,I am often paired with this,strong
39,coat,manteaux,I am a plural form of this,strong
40,coat,cape,I am not as flowing as this,strong
41,coat,cop,I have nothing to do with this,weak
42,coat,mantel,I am a type of this,medium
43,coat,housecoat,I am worn indoors like this,strong
44,coat,suit,I am not as formal as this,strong
45,coat,maxicoat,I am a longer version of this,strong
46,coat,armor,I do not provide protection like this,strong
47,coat,col,I have nothing to do with this,weak
48,coat,cole,I have nothing to do with this,weak
49,coat,cock,I have nothing to do with this,weak
50,coat,coveralled,I am related to this attire,medium
51,coat,dress,I am not worn as this,strong
52,coat,peacoat,I am a variation of this,strong
53,coat,coif,"I cover head, not like this",medium
54,coat,coverage,"I provide warmth, not like this",weak
55,coat,overcoy,I am not shy like this,weak
56,coat,coatroom,I am not a storage space,weak
57,coat,covered,"I provide protection, like this does",strong
58,coat,waistcoat,I am not a vest,strong
59,coat,manteaus,I am not a cloak,strong
60,coat,coatless,I am not without covering,strong
61,coat,cottae,I am not a type of dwelling,strong
62,coat,fur,I am not made of animal hide,strong
63,coat,cola,I am not a drink,strong
64,coat,outwear,"I provide warmth, like this does",strong
65,coat,overgarment,I am a type of garment,strong
66,coat,coonskin,I am not made of animal skin,strong
67,coat,cod,I am not a fish,strong
68,coat,comb,I am not a grooming tool,strong
69,coat,coted,I am not enclosed in a shelter,strong
70,coat,coast,I am not a geographical feature,strong
71,coat,capouch,I am not a hooded cloak,strong
72,coat,koa,I am not a type of tree,strong
73,coat,coting,I am not a bird,strong
74,coat,coati,I am not a mammal,strong
75,coat,clothe,I am not a verb,strong
76,coat,cap,I am not a head covering,strong
77,coat,robe,I am not a ceremonial garment,strong
78,coat,cate,I am not a type of food,strong
79,coat,cowl,I am not a hooded garment,strong
80,coat,cow,I am not a farm animal,strong
81,coat,cook,I am not a chef,strong
82,coat,wyliecoat,I am not a specific brand,strong
83,coat,pelage,I am not animal fur,strong
84,coat,cotan,I am not a type of clothing,strong
85,coat,armour,I am not protective gear,strong
86,coat,chaqueta,I am not a type of jacket,strong
87,coat,colog,I am not a type of yarn,strong
88,coat,cozie,I am not a cozy covering,strong
89,coat,jerkin,I am not a sleeveless jacket,strong
90,coat,brush,I am not a grooming tool,strong
91,coat,capelet,I am not a small cape,strong
92,coat,kaross,I am not a fur blanket,strong
93,coat,coiffe,I am not a hairstyle,strong
94,coat,lapel,I am not a part of a garment,strong
95,coat,kittel,"Super close, sizzling hot",strong
96,coat,rotch,I am not a clothing seam,strong
97,coat,frock,I am not a dress,strong
98,coat,dog,I am not a pet,strong
99,coat,collaret,I am not a type of collar,strong
100,coat,cosie,I am not a warm covering,strong
101,coat,wrapper,I am not a wrapping material,strong
102,coat,cup,I hold liquids like this container,strong
103,coat,croft,I have nothing to do with this,weak
104,coat,case,I protect items like this enclosure,strong
105,coat,covin,I have nothing to do with this,weak
106,coat,pant,I have sleeves unlike these garments,medium
107,coat,enrobe,I share the idea of covering,strong
108,coat,coach,I transport differently than this vehicle,medium
109,coat,jacketing,I am a part of this clothing,strong
110,coat,coft,I have nothing to do with this,weak
111,coat,coala,I have nothing to do with this,weak
112,coat,capuche,I am hoodless unlike this garment,medium
113,coat,cottar,I have nothing to do with this,weak
114,coat,pelisse,"Super close, sizzling hot",strong
115,coat,rejacket,"Super close, sizzling hot",strong
116,coat,coomb,I have nothing to do with this,weak
117,coat,coal,I am not a source of heat,medium
118,coat,wrap,I am used differently than this,medium
119,coat,hoody,"Super close, sizzling hot",strong
120,coat,redingote,"Super close, sizzling hot",strong
121,coat,boat,I have nothing to do with this,weak
122,coat,compound,I have nothing to do with this,weak
123,coat,cooer,I have nothing to do with this,weak
124,coat,colour,"Super close, sizzling hot",strong
125,coat,hat,I cover differently than this headwear,medium
126,coat,cocoon,I have nothing to do with this,weak
127,coat,bag,I hold differently than this container,medium
128,coat,pack,I carry differently than this collection,medium
129,coat,cooked,I have nothing to do with this,weak
130,coat,cove,I have nothing to do with this,weak
131,coat,kaftan,"Super close, sizzling hot",strong
132,coat,jacketless,"Super close, sizzling hot",strong
133,coat,cat,I have nothing to do with this,weak
134,coat,outfit,I am worn differently than this ensemble,medium
135,coat,collop,"Super close, sizzling hot",strong
136,coat,oversauce,I have nothing to do with this,weak
137,coat,paint,I am used differently than this,medium
138,coat,coin,I have nothing to do with this,weak
139,coat,coof,I have nothing to do with this,weak
140,coat,costard,I have nothing to do with this,weak
141,coat,weapon,I am not used for fighting,medium
142,coat,collect,I gather differently than this action,medium
143,coat,coupon,I am not a discount voucher,medium
144,coat,bear,I have nothing to do with this,weak
145,coat,tabard,"Super close, sizzling hot",strong
146,coat,uncoated,"Super close, sizzling hot",strong
147,coat,bluecoat,"Super close, sizzling hot",strong
148,coat,hood,I have a different style of covering,medium
149,coat,jacketed,"Super close, sizzling hot",strong
150,coat,kit,I am not a set of tools,medium
151,coat,coequate,I have nothing to do with this,weak
152,coat,coma,I keep you warm in a,strong
153,coat,caret,I am part of your,medium
154,coat,combo,I can be part of a,medium
155,coat,code,I hold no secrets like a,weak
156,coat,wardrobe,I am part of your,medium
157,coat,snowsuit,I keep you warm in a,strong
158,coat,overtoil,I have nothing to do with this,weak
159,coat,layer,I add to your,medium
160,coat,coir,I can be made of,weak
161,coat,roof,I provide protection like a,weak
162,coat,duvet,I keep you warm like a,strong
163,coat,deck,I have nothing to do with this,weak
164,coat,cardigan,I can be worn like a,medium
165,coat,tail,I hang down like a,weak
166,coat,cob,I have nothing to do with this,weak
167,coat,cloot,I have nothing to do with this,weak
168,coat,causey,I have nothing to do with this,weak
169,coat,chest,I can be stored in a,medium
170,coat,corslet,I protect like a,medium
171,coat,beclothe,I dress you like a,medium
172,coat,bedeck,I adorn you like a,medium
173,coat,coupe,I have nothing to do with this,weak
174,coat,coo,I have nothing to do with this,weak
175,coat,ointment,I have nothing to do with this,weak
176,coat,redcoat,I can be a type of,medium
177,coat,colt,I have nothing to do with this,weak
178,coat,coyer,I have nothing to do with this,weak
179,coat,coverer,I protect like a,medium
180,coat,coot,I have nothing to do with this,weak
181,coat,tracksuit,I can be part of a,medium
182,coat,vat,I have nothing to do with this,weak
183,coat,couch,I have nothing to do with this,weak
184,coat,coverlet,I cover you like a,medium
185,coat,hooding,I cover your head like a,medium
186,coat,loden,I keep you warm like a,strong
187,coat,shield,I protect like a,medium
188,coat,dock,I have nothing to do with this,weak
189,coat,collection,I am part of a,medium
190,coat,caftan,I can be worn like a,medium
191,coat,cake,I have nothing to do with this,weak
192,coat,compact,I have nothing to do with this,weak
193,coat,capeskin,I can be made of,weak
194,coat,gown,I can be worn like a,medium
195,coat,bodice,I can be part of a,medium
196,coat,cosey,I keep you warm like a,strong
197,coat,cord,I can be made of,weak
198,coat,kat,I have nothing to do with this,weak
199,coat,blazer,I can be worn like a,medium
200,coat,acock,I have nothing to do with this,weak
201,coat,fabric,I can be made of,weak
202,coat,nock,I have nothing to do with this,weak
203,coat,clothing,I am often worn over this,strong
204,coat,collector,"Some may collect me, not this",medium
205,coat,neck,Close to where I am worn,strong
206,coat,cased,I am not enclosed in this,weak
207,coat,chain,Sometimes used to hang me up,medium
208,coat,oilskin,Protects better than I do from rain,medium
209,coat,duct,I do not transport air like this,weak
210,coat,blouson,Similar but not quite like me,medium
211,coat,cozey,I am not designed for comfort,weak
212,coat,coy,I am not shy like this,weak
213,coat,cozy,Sometimes used to describe me warmly,medium
214,coat,skin,I am not made of this material,medium
215,coat,bedcover,Sometimes confused with me for warmth,medium
216,coat,cooncan,I have nothing to do with this,weak
217,coat,bonnet,"Worn on the head, not on me",medium
218,coat,coly,I have nothing to do with this,weak
219,coat,ate,I have nothing to do with this,weak
220,coat,coveter,"Some may covet me, not this",medium
221,coat,pouch,Not used to carry me around,medium
222,coat,overshirt,Worn over me for added warmth,strong
223,coat,loth,I have nothing to do with this,weak
224,coat,cold,I am worn to keep away this,strong
225,coat,foil,Not used to wrap me up,medium
226,coat,cut,I am not made by this action,medium
227,coat,coster,I have nothing to do with this,weak
228,coat,hoodier,Similar to me but with a hood,medium
229,coat,coax,Not used to persuade me to wear,medium
230,coat,tunic,Sometimes worn under me for layering,medium
231,coat,plate,I am not made of this material,medium
232,coat,coattesting,I have nothing to do with this,weak
233,coat,hoodie,Similar to me but with a hood,medium
234,coat,costume,Worn for a specific occasion unlike me,medium
235,coat,togae,I have nothing to do with this,weak
236,coat,color,Adds variety to me through different hues,strong
237,coat,petticoat,Worn under me for added volume,strong
238,coat,coxcomb,Not worn on the head like me,medium
239,coat,burnoose,Not a style of me,weak
240,coat,closet,Sometimes where I am stored when unused,medium
241,coat,leather,"Super close, sizzling hot",strong
242,coat,oat,I have nothing to do with this,weak
243,coat,comp,I have nothing to do with this,weak
244,coat,cratch,I have nothing to do with this,weak
245,coat,coopt,I have nothing to do with this,weak
246,coat,coved,I have nothing to do with this,weak
247,coat,lapeled,"I have lapels, not this",strong
248,coat,coverlid,Sometimes mistaken for a type of me,medium
249,coat,cling,Not a characteristic of how I fit,medium
250,coat,coverall,Similar but covers the entire body,medium
251,coat,woodcock,I have nothing to do with this,weak
252,coat,garment,I am a type of this,strong
253,coat,poncho,I cover differently than this,medium
254,coat,lace,I may have this as decoration,weak
255,coat,corselet,I am not as fancy as this,medium
256,coat,coded,I have nothing to do with this,weak
257,coat,tuxedo,I am less formal than this,medium
258,coat,decor,I am not for decoration purposes,weak
259,coat,petti,I am not as delicate as this,medium
260,coat,couther,I have nothing to do with this,weak
261,coat,sheepcote,I have nothing to do with this,weak
262,coat,container,I am not used for storage,weak
263,coat,cooper,I have nothing to do with this,weak
264,coat,hound,I have nothing to do with this,weak
265,coat,cosset,I have nothing to do with this,weak
266,coat,cab,I am not a mode of transport,weak
267,coat,combe,I have nothing to do with this,weak
268,coat,coatis,I have nothing to do with this,weak
269,coat,covert,I am not hidden or secretive,weak
270,coat,rack,I am not used for hanging,weak
271,coat,bearskin,I am not made from animals,weak
272,coat,cost,I am not about pricing,weak
273,coat,scarf,I am not worn around the neck,weak
274,coat,blanket,I am not as large as this,medium
275,coat,haircloth,I am not made of this material,weak
276,coat,sugarcoat,I have nothing to do with this,weak
277,coat,condition,I am not about state or quality,weak
278,coat,packing,I have nothing to do with this,weak
279,coat,coordinate,I have nothing to do with this,weak
280,coat,collied,I have nothing to do with this,weak
281,coat,coifed,I have nothing to do with this,weak
282,coat,coss,I have nothing to do with this,weak
283,coat,anorak,I am not a type of outerwear,weak
284,coat,overmantel,I have nothing to do with this,weak
285,coat,caul,I have nothing to do with this,weak
286,coat,cockatoo,I have nothing to do with this,weak
287,coat,waistcoated,I have nothing to do with this,weak
288,coat,cassock,I have nothing to do with this,weak
289,coat,car,I am not a means of transportation,weak
290,coat,tank,I have nothing to do with this,weak
291,coat,coco,I have nothing to do with this,weak
292,coat,coper,I have nothing to do with this,weak
293,coat,pet,I am not a living creature,weak
294,coat,tie,I am not an accessory,weak
295,coat,bedcovering,I am not used for bedding,weak
296,coat,caped,I am not a cape,weak
297,coat,cocotte,I have nothing to do with this,weak
298,coat,tote,I am not a bag or carryall,weak
299,coat,glove,I am not worn on hands,weak
300,coat,wagon,I have nothing to do with this,weak
301,coat,gear,I am not equipment or apparatus,weak
302,coat,brown,I am often this color,strong
303,coat,caplet,I am similar to this covering,medium
304,coat,book,I have nothing to do with this,weak
305,coat,crate,I am used to transport this,strong
306,coat,belt,I am often paired with this,strong
307,coat,undercoating,I am underneath this protective layer,strong
308,coat,wag,I have nothing to do with this,weak
309,coat,lover,"I embrace, not love like this",medium
310,coat,company,I am associated with this group,strong
311,coat,kohl,I am not used for makeup like this,medium
312,coat,stockinet,"I cover, not made of this fabric",medium
313,coat,peltry,I am not made of animal fur like this,medium
314,coat,coden,I have nothing to do with this,weak
315,coat,cockloft,I have nothing to do with this,weak
316,coat,poon,I have nothing to do with this,weak
317,coat,coattending,I am not attending like this,medium
318,coat,kaph,I am not a Hebrew letter like this,medium
319,coat,addle,"I confuse, not cause this like that",medium
320,coat,carpet,I am not used for flooring like this,medium
321,coat,rug,I am not placed on the floor like this,medium
322,coat,act,I have nothing to do with this performance,weak
323,coat,hoed,I am not used for gardening like this,medium
324,coat,mantelet,I am not a small cloak like this,medium
325,coat,clop,I have nothing to do with this,weak
326,coat,coaster,I am not meant for drinks like this,medium
327,coat,copy,I am not a duplicate like this,medium
328,coat,cowled,I am not hooded like this,medium
329,coat,patten,I am not a shoe base like this,medium
330,coat,cooldown,I am not used to cool down,medium
331,coat,colon,I am not part of the intestine,medium
332,coat,toited,I have nothing to do with this,weak
333,coat,sweater,"I am a garment, not like this",medium
334,coat,woolhat,I am not a hat made of wool,medium
335,coat,becloak,"I cover, not cloaked like this",medium
336,coat,coke,I am not a carbonated drink,medium
337,coat,oilcloth,I am not made of this material,medium
338,coat,capework,I am not decorative like this,medium
339,coat,coifing,I am not styling hair like this,medium
340,coat,boot,I am not footwear like this,medium
341,coat,cosy,I am not cozy like this,medium
342,coat,carry,I have nothing to do with this,weak
343,coat,mask,I am not used for disguising like this,medium
344,coat,galosh,I am not a waterproof overshoe,medium
345,coat,togate,I have nothing to do with this,weak
346,coat,cowhide,I am not made of animal skin,medium
347,coat,shawl,I am not a wrap like this,medium
348,coat,hoot,I have nothing to do with this,weak
349,coat,tunica,I am not a Roman garment,medium
350,coat,cuticle,I am not part of nail anatomy,medium
351,coat,veil,I am not a face covering,medium
352,coat,hooded,I cover the head like this,strong
353,coat,overdress,I am worn under this garment,medium
354,coat,stick,I have nothing to do with this,weak
355,coat,cutlet,I am not edible like this,weak
356,coat,uniform,I match others like this attire,strong
357,coat,pat,I have nothing to do with this,weak
358,coat,sheath,I hold the body differently than this,medium
359,coat,kop,I am not a hill like this,weak
360,coat,cade,I am not a lamb like this,weak
361,coat,hair,I am not natural like this,weak
362,coat,peignoir,I am worn under this garment,medium
363,coat,gaun,I am not a dress like this,weak
364,coat,roach,I am not a fish like this,weak
365,coat,mothproof,I protect differently than this,medium
366,coat,coff,I have nothing to do with this,weak
367,coat,topee,I cover differently than this hat,medium
368,coat,lip,I have nothing to do with this,weak
369,coat,garb,I am a type of attire like this,strong
370,coat,cocoanut,I am not a fruit like this,weak
371,coat,hest,I have nothing to do with this,weak
372,coat,petto,I am not armor like this,weak
373,coat,rote,I have nothing to do with this,weak
374,coat,cough,I am not a symptom like this,weak
375,coat,khaki,I am a type of color like this,strong
376,coat,copeck,I am not currency like this,weak
377,coat,hauberk,I am not armor like this,weak
378,coat,cone,I have nothing to do with this,weak
379,coat,coyest,I have nothing to do with this,weak
380,coat,cooey,I have nothing to do with this,weak
381,coat,suitlike,I am a type of attire like this,strong
382,coat,camlet,I am not a fabric like this,weak
383,coat,coalier,I am not a worker like this,weak
384,coat,vesture,I am a type of attire like this,strong
385,coat,vet,I have nothing to do with this,weak
386,coat,castle,I have nothing to do with this,weak
387,coat,capote,"Super close, sizzling hot",strong
388,coat,cosher,I am not a fish like this,weak
389,coat,look,I am not an action like this,weak
390,coat,mink,I am not fur like this,weak
391,coat,beclothing,I am a type of action like this,strong
392,coat,felt,I am a type of fabric like this,strong
393,coat,combination,I am a type of attire like this,strong
394,coat,burgonet,I am not a helmet like this,weak
395,coat,cosh,I have nothing to do with this,weak
396,coat,folio,I have nothing to do with this,weak
397,coat,corduroy,I am a type of fabric like this,strong
398,coat,burnous,I am not a cloak like this,weak
399,coat,package,I have nothing to do with this,weak
400,coat,amice,I am not a religious garment like this,weak
401,coat,hatting,I am not an activity like this,weak
402,coat,coattested,I have nothing to do with this,weak
403,coat,habit,I share a similar purpose with this,medium
404,coat,combine,I am used together with this,strong
405,coat,togue,I have nothing to do with this,weak
406,coat,duce,I have nothing to do with this,weak
407,coat,cobra,I have nothing to do with this,weak
408,coat,covet,I am desired more than this,medium
409,coat,cookey,I have nothing to do with this,weak
410,coat,furrier,I am made of fur like this,strong
411,coat,palette,I have nothing to do with this,weak
412,coat,caroach,I have nothing to do with this,weak
413,coat,costate,I share a ribbed texture with this,medium
414,coat,harness,I am worn with this for control,strong
415,coat,toit,I have nothing to do with this,weak
416,coat,bat,I have nothing to do with this,weak
417,coat,cocain,I have nothing to do with this,weak
418,coat,contract,I am part of a legal this,medium
419,coat,brace,I support like this for stability,strong
420,coat,wallet,I hold items like this but bigger,medium
421,coat,catalog,I have nothing to do with this,weak
422,coat,underfur,I am covered by this layer,strong
423,coat,jabot,I have nothing to do with this,weak
424,coat,cocklike,I have nothing to do with this,weak
425,coat,coz,I have nothing to do with this,weak
426,coat,cony,I have nothing to do with this,weak
427,coat,cog,I have nothing to do with this,weak
428,coat,collared,I have a collar unlike this,strong
429,coat,couter,I have armor like this for protection,strong
430,coat,cutch,I have nothing to do with this,weak
431,coat,kilt,I am a different Scottish this,medium
432,coat,cage,I enclose like this for containment,strong
433,coat,carrier,I transport like this but smaller,medium
434,coat,coypou,I am made of fur like this,strong
435,coat,bundle,I wrap items like this together,medium
436,coat,veal,I have nothing to do with this,weak
437,coat,codling,I have nothing to do with this,weak
438,coat,bout,I am part of a boxing this,medium
439,coat,album,I have nothing to do with this,weak
440,coat,quilt,I am stitched together like this,strong
441,coat,hut,I have nothing to do with this,weak
442,coat,handle,I am held like this for carrying,strong
443,coat,haircap,I cover like this but not head,medium
444,coat,cockapoo,I have nothing to do with this,weak
445,coat,copal,I have nothing to do with this,weak
446,coat,cowinner,I am not a champion like this,strong
447,coat,quip,I have nothing to do with this,weak
448,coat,sweatshirt,I am not worn like this casually,strong
449,coat,coapt,I have nothing to do with this,weak
450,coat,cowpat,I have nothing to do with this,weak
451,coat,cooch,I have nothing to do with this,weak
452,coat,bark,"I cover trees, not this material",medium
453,coat,bate,I am not used for this,weak
454,coat,lining,"I am inside, not outside like this",strong
455,coat,coverup,"I hide, not protect like this",strong
456,coat,pallium,I am not a Roman cloak,weak
457,coat,wearing,I need a body to do this,medium
458,coat,cosier,I am not for comfort like this,weak
459,coat,bearing,I am not a load or direction,weak
460,coat,wool,I am not made of this material,strong
461,coat,cox,I am not a rower,weak
462,coat,cocker,I am not a spaniel breed,weak
463,coat,chief,I don't lead like this word,weak
464,coat,toga,I am not a Roman garment,weak
465,coat,cutis,I don't have a skin,weak
466,coat,contain,I don't hold like this word,weak
467,coat,patch,I am not a small piece,weak
468,coat,croc,I am not a reptile,weak
469,coat,style,I am not about fashion,weak
470,coat,colly,I am not dirty like this,weak
471,coat,cocoa,I am not a hot drink,weak
472,coat,velvet,I am not a soft fabric,weak
473,coat,basket,I am not for carrying things,weak
474,coat,colter,I am not a plow blade,weak
475,coat,course,I don't follow a path,weak
476,coat,cotter,I am not a pin or wedge,weak
477,coat,capuched,I don't have a hood,weak
478,coat,cream,I am not a dairy product,weak
479,coat,coying,I don't flirt or tease,weak
480,coat,gar,I am not a fish species,weak
481,coat,cycle,I don't repeat regularly,weak
482,coat,shed,I am not a small building,weak
483,coat,casque,I am not a helmet,weak
484,coat,polycot,I am not a fabric blend,weak
485,coat,bole,I am not part of a tree,weak
486,coat,ride,I don't provide transportation,weak
487,coat,cotype,I am not a biological specimen,weak
488,coat,cobalt,I am not a chemical element,weak
489,coat,coda,I don't end a musical piece,weak
490,coat,couture,I am not high fashion,weak
491,coat,protect,I am not for safeguarding,weak
492,coat,mantlet,I am not a small cloak,weak
493,coat,label,I am not a tag or sticker,weak
494,coat,throat,I am not part of the body,weak
495,coat,hutch,I am not a cage or coop,weak
496,coat,toggery,I am not clothing collectively,weak
497,coat,kitelike,I am not resembling a kite,weak
