rank,secret_word,word,clue,connection_strength
1,code,code,This is the *.,secret_word
2,code,coded,I am the origin of this,strong
3,code,coding,I am the process behind this,strong
4,code,coder,I am the creator of this,strong
5,code,coden,I have no relation to this,weak
6,code,codec,I define the format for this,medium
7,code,coupon,I have nothing to do with this,weak
8,code,cod,I am the core of this,strong
9,code,codding,I am the action for this,strong
10,code,subcode,I am a part of this,medium
11,code,codded,I am related to this action,medium
12,code,programming,I am the foundation of this,strong
13,code,codebtor,I have no connection to this,weak
14,code,decode,I am the opposite of this,strong
15,code,precode,I am before this in sequence,medium
16,code,encode,I am the transformation for this,medium
17,code,coderive,I have a relationship with this,medium
18,code,encoded,I am the result of this action,medium
19,code,miscode,I am not meant to be this,weak
20,code,compiler,I translate to create this,medium
21,code,promo,I am not associated with this,weak
22,code,encoding,I am the process for this,strong
23,code,coda,I am not related to this,weak
24,code,program,I am the start of this,strong
25,code,formula,I am a part of this equation,medium
26,code,decoded,I am the result of this process,medium
27,code,codable,I am able to be this,medium
28,code,script,I am a different type of this,weak
29,code,verbatim,I am not a match for this,weak
30,code,codeia,I have no connection to this,weak
31,code,decoder,I undo the work of this,strong
32,code,codifier,I am associated with this action,medium
33,code,algorithm,I am the logic behind this,strong
34,code,syntax,I define the rules for this,medium
35,code,cite,I am not related to this,weak
36,code,cipher,I am used in creating this,medium
37,code,scheme,I am connected to this plan,medium
38,code,codebook,I contain the keys for this,strong
39,code,identifier,I am used to recognize this,medium
40,code,console,I interact with this tool,medium
41,code,postcode,I have no relation to this,weak
42,code,software,I am the basis for this,strong
43,code,markup,I am the language for this,medium
44,code,codder,I am not associated with this,weak
45,code,cation,I have no connection to this,weak
46,code,citation,I am not the source for this,weak
47,code,precoded,I am before this in sequence,medium
48,code,encoder,I am the creator of this,strong
49,code,mode,I am related to this setting,medium
50,code,comment,I provide feedback for this,medium
51,code,demo,I am not related to this,weak
52,code,tag,I am linked to this label,medium
53,code,copyright,I protect this intellectual property,strong
54,code,copy,I duplicate this original content,strong
55,code,checkout,I am part of this process,strong
56,code,error,I indicate mistakes in this,strong
57,code,case,I change the form of this,strong
58,code,codiscover,I uncover with others in this,strong
59,code,keyword,I am essential for this search,strong
60,code,recode,I rewrite this in a new way,strong
61,code,compiled,I bring together parts in this,strong
62,code,programing,I am part of this coding,strong
63,code,cased,I am enclosed in this,strong
64,code,number,I quantify in this numerical form,strong
65,code,bonus,I am an extra reward in this,strong
66,code,controller,I manage operations in this,strong
67,code,voucher,I provide discounts in this,strong
68,code,cypher,"Super close, sizzling hot",strong
69,code,codon,"Super close, sizzling hot",strong
70,code,score,I keep track of points in this,strong
71,code,codirect,I manage jointly in this,strong
72,code,key,I unlock secrets in this,strong
73,code,dex,I index data in this,strong
74,code,notation,I represent symbols in this,strong
75,code,marker,I highlight points in this,strong
76,code,codirection,I guide together in this,strong
77,code,label,I identify items with this,strong
78,code,definition,I explain terms in this,strong
79,code,counter,I tally numbers in this,strong
80,code,refix,I correct again in this,strong
81,code,description,I detail items in this,strong
82,code,note,I record thoughts in this,strong
83,code,codify,I systematize rules in this,strong
84,code,crypto,I encrypt data in this,strong
85,code,combo,I combine elements in this,strong
86,code,programer,"Super close, sizzling hot",strong
87,code,method,I follow steps in this process,strong
88,code,designation,I assign roles in this,strong
89,code,compute,I calculate numbers in this,strong
90,code,calling,I have a purpose in this,strong
91,code,call,I communicate in this way,strong
92,code,cope,I handle challenges in this,strong
93,code,coin,I mint currency in this,strong
94,code,entry,I input data in this,strong
95,code,programmer,"Super close, sizzling hot",strong
96,code,prefix,I come before in this order,strong
97,code,redo,I do again in this process,strong
98,code,boxed,I am contained in this,strong
99,code,switch,I change positions in this,strong
100,code,core,I am central to this,strong
101,code,criteria,I set standards for this,strong
102,code,version,I evolve with each new one,strong
103,code,scribed,I am the result of being,medium
104,code,nonce,I am used for a single,weak
105,code,procedure,I guide the steps of this,strong
106,code,caller,I interact with this when needed,medium
107,code,crypt,I protect information like this,strong
108,code,command,I direct the actions of this,strong
109,code,codification,I am the process of organizing,medium
110,code,id,I uniquely identify like this does,strong
111,code,specified,I am detailed just like this,strong
112,code,cop,I do not associate with this,weak
113,code,default,"I am the standard setting, unlike",strong
114,code,inscription,I mark like this does,medium
115,code,cade,I am not related to this,weak
116,code,callable,I can be invoked like this,strong
117,code,developer,I create just like this does,strong
118,code,codeveloper,I collaborate in development like this,strong
119,code,placeholder,I hold space like this does,medium
120,code,called,I am summoned like this is,strong
121,code,source,I provide origin like this does,strong
122,code,tester,I check for errors in this,strong
123,code,logic,I follow rules just like this,strong
124,code,token,I represent access like this,strong
125,code,listing,I catalog items like this does,medium
126,code,file,I store information like this,strong
127,code,card,I am not part of this,weak
128,code,countdown,I mark time differently from this,strong
129,code,compile,I merge components just like this,strong
130,code,checker,I verify accuracy like this does,strong
131,code,ponce,I am not associated with this,weak
132,code,signature,I authenticate like this does,strong
133,code,testing,I assess functionality like this does,strong
134,code,ode,I am not related to this,weak
135,code,data,I process information like this,strong
136,code,hack,"I exploit vulnerabilities, unlike this",strong
137,code,nickname,"I am an alias, unlike this",strong
138,code,symbol,I represent ideas like this does,strong
139,code,cad,I am not part of this,weak
140,code,article,I am not related to this,weak
141,code,instruction,I provide guidance like this does,strong
142,code,codein,I have no connection to this,weak
143,code,content,I contain information like this,strong
144,code,decoding,"I convert messages, unlike this does",strong
145,code,formatted,I am structured like this is,strong
146,code,credit,"I acknowledge contributions, unlike this",strong
147,code,option,I provide choices like this does,strong
148,code,write,I create text just like this,strong
149,code,compound,I combine elements like this does,strong
150,code,cote,I am not associated with this,weak
151,code,dit,I am not related to this,weak
152,code,comp,I help create this from components,medium
153,code,meld,I merge elements just like this,strong
154,code,text,I am written in characters like this,strong
155,code,modifier,I change properties similar to this,strong
156,code,debug,I fix errors found in programs,strong
157,code,cd,I store data like this physical format,strong
158,code,java,I am a different programming language,weak
159,code,recodify,I rewrite instructions just like this,strong
160,code,snippet,"Super close, sizzling hot",strong
161,code,index,I organize information similarly to this,strong
162,code,subsection,I am a part within a larger,strong
163,code,descriptor,I provide characteristics like this term,strong
164,code,modulo,I calculate remainders like this operation,strong
165,code,clause,I set conditions comparable to this,strong
166,code,checkpoint,I mark progress points like this,strong
167,code,calculator,I compute numbers just like this device,strong
168,code,conto,I am unrelated to this term,weak
169,code,function,I perform tasks similar to this,strong
170,code,intro,"I am the beginning, like this",strong
171,code,typescript,I am a different programming language,weak
172,code,codeless,I am not associated with this,weak
173,code,complier,"Super close, sizzling hot",strong
174,code,trace,I follow the path like this,strong
175,code,enter,I input data similar to this action,strong
176,code,reference,I point to sources just like this,strong
177,code,mod,I adjust values like this operation,strong
178,code,concept,I represent ideas akin to this term,strong
179,code,extra,I am additional just like this,strong
180,code,certificate,I grant qualifications similar to this,strong
181,code,rule,I establish guidelines akin to this,strong
182,code,operation,I perform tasks similar to this,strong
183,code,recoding,I rewrite instructions just like this,strong
184,code,callback,"I execute functions after events, like this",strong
185,code,numeric,I deal with numbers akin to this,strong
186,code,directive,I provide instructions like this,strong
187,code,doc,I document similar to this term,strong
188,code,auto,I automate tasks just like this,strong
189,code,rewrite,I change text similar to this action,strong
190,code,specifier,I indicate details like this term,strong
191,code,design,I plan things akin to this process,strong
192,code,deadline,I set due dates like this,strong
193,code,info,I provide details akin to this,strong
194,code,byte,I store data in chunks like this,strong
195,code,category,I group items just like this,strong
196,code,valid,I check correctness similar to this,strong
197,code,edit,I modify text similar to this action,strong
198,code,implement,I execute plans similar to this,strong
199,code,discount,I reduce prices akin to this offer,strong
200,code,microcode,I translate instructions like this,strong
201,code,parameter,I accept inputs just like this,strong
202,code,editor,I help shape text like this,strong
203,code,test,I am used to check this,strong
204,code,detect,I find issues in this,strong
205,code,oping,I have nothing to do with this,weak
206,code,hangtag,I label differently from this,medium
207,code,allocate,"I assign resources, not like this",medium
208,code,codifying,"I organize data, not like this",medium
209,code,check,"I verify, similar to this",strong
210,code,miscoding,I have nothing to do with this,weak
211,code,uncodified,I am the opposite of this,strong
212,code,required,"I am necessary, like this",strong
213,code,type,"I categorize, similar to this",strong
214,code,prog,I am shortened like this,medium
215,code,capitalize,I change text like this,strong
216,code,wert,I have nothing to do with this,weak
217,code,download,"I transfer files, like this",strong
218,code,update,"I refresh data, like this",strong
219,code,underscore,I connect words similarly to this,strong
220,code,box,"I contain things, similar to this",strong
221,code,configured,"I am set up, like this",strong
222,code,style,"I format, similar to this",strong
223,code,codex,I am a collection like this,strong
224,code,coat,"I cover, similar to this",strong
225,code,constant,"I remain unchanged, like this",strong
226,code,caption,"I describe images, like this",strong
227,code,notated,"I annotate, similar to this",strong
228,code,protocol,"I follow rules, like this",strong
229,code,crime,"I break laws, not like this",medium
230,code,cause,"I lead to events, like this",strong
231,code,bar,"I restrict access, like this",strong
232,code,calculate,"I compute values, like this",strong
233,code,execute,"I run commands, like this",strong
234,code,coordinate,"I align elements, like this",strong
235,code,optional,"I am a choice, like this",strong
236,code,variable,"I change, similar to this",strong
237,code,lookup,I search for data like this,strong
238,code,registration,"I sign up, similar to this",strong
239,code,memo,"I note down, like this",strong
240,code,format,"I structure text, like this",strong
241,code,cooldown,"I wait to use again, like this",strong
242,code,parser,"I analyze structure, like this",strong
243,code,grammar,"I govern language, similar to this",strong
244,code,advertisement,"I promote products, like this",strong
245,code,cue,"I signal, similar to this",strong
246,code,commit,"I promise, similar to this",strong
247,code,verify,"I confirm, similar to this",strong
248,code,inside,"I am internal, like this",strong
249,code,styled,I am formatted like this,strong
250,code,response,"I react, similar to this",strong
251,code,here,"I am present, like this",strong
252,code,activate,I initiate processes like this,strong
253,code,debugger,I identify errors like this one,strong
254,code,helper,I assist users similar to this,medium
255,code,crap,I have nothing to do with this,weak
256,code,post,I share content like this online,medium
257,code,modification,I alter similar elements,strong
258,code,catalog,I organize items like this one,medium
259,code,nod,I acknowledge simple gestures like this,medium
260,code,condition,I set requirements like this,medium
261,code,ref,I refer to objects like this,medium
262,code,coredeem,I have nothing to do with this,weak
263,code,processing,I handle data like this,strong
264,code,cut,I separate objects like this,medium
265,code,tool,I aid in tasks similar to this,medium
266,code,cord,I connect like this material,medium
267,code,flag,I signal issues like this,medium
268,code,doctrine,I explain concepts similar to this,medium
269,code,compose,I create like this,medium
270,code,codrive,I operate vehicles like this one,strong
271,code,abler,I enable abilities like this,strong
272,code,posting,I share content like this online,medium
273,code,remark,I comment similar to this,medium
274,code,waitress,I serve customers like this,medium
275,code,claimer,I assert ownership similar to this,medium
276,code,color,I add hues like this,medium
277,code,plus,I add extra items like this,medium
278,code,beta,I test prototypes like this,medium
279,code,badge,I award achievements like this,medium
280,code,define,I explain terms similar to this,medium
281,code,quote,I cite phrases like this,medium
282,code,constructor,I build objects like this,strong
283,code,value,I assign worth like this,medium
284,code,tical,I calculate values like this,medium
285,code,site,I locate places like this,medium
286,code,setting,I adjust configurations like this,medium
287,code,handler,I manage events like this,medium
288,code,construct,I build objects like this,strong
289,code,enate,I unite elements similar to this,strong
