rank,secret_word,word,clue,connection_strength
1,coffee,coffee,This is the *.,secret_word
2,coffee,coff,I have nothing to do with this,weak
3,coffee,cafe,I am often found in this place,medium
4,coffee,tea,I am a different type of drink,weak
5,coffee,caffeine,I contain a high amount of this,strong
6,coffee,espresso,I am a stronger version of this,medium
7,coffee,coffeehouse,I am commonly served in this,strong
8,coffee,cappuccino,I am a type of this drink,strong
9,coffee,coffeepot,I am brewed in this container,medium
10,coffee,coke,I am a different type of drink,weak
11,coffee,mocha,I have chocolate flavor like this,medium
12,coffee,cuppa,I am served in a similar vessel,medium
13,coffee,caffein,I contain this stimulating substance,strong
14,coffee,latte,I am a type of milky drink,medium
15,coffee,drink,I am a common type of this,medium
16,coffee,cocoa,I share a chocolatey taste with this,medium
17,coffee,decaf,I am the opposite of this,strong
18,coffee,coffeemaker,I am used to make this,strong
19,coffee,caffeinated,I may or may not be this,medium
20,coffee,beer,I am a different type of drink,weak
21,coffee,beverage,I am a type of this,medium
22,coffee,coffeecake,I am a dessert made with this,medium
23,coffee,brew,I am made through a similar process,medium
24,coffee,chocolate,I share a flavor with this,medium
25,coffee,soda,I am a different type of drink,weak
26,coffee,food,I am not typically considered this,weak
27,coffee,coof,I have nothing to do with this,weak
28,coffee,caff,I have nothing to do with this,weak
29,coffee,kaffeeklatsch,I am not associated with this,weak
30,coffee,coca,I am not related to this,weak
31,coffee,arabica,"Super close, sizzling hot",strong
32,coffee,expresso,I am a common misspelling of this,strong
33,coffee,coffling,I have nothing to do with this,weak
34,coffee,cup,I am often served in this,medium
35,coffee,coffing,I have nothing to do with this,weak
36,coffee,milk,I am often added to me,medium
37,coffee,coco,I share a similar name with this,medium
38,coffee,restaurant,I am often served in this place,medium
39,coffee,cacao,I am made from this bean,strong
40,coffee,water,I am often used to make me,medium
41,coffee,kaf,I am not associated with this,weak
42,coffee,refreshment,I am often considered a type of this,medium
43,coffee,cola,I am a different type of drink,weak
44,coffee,frappe,I am a type of cold drink,medium
45,coffee,brewed,I am often described as this,medium
46,coffee,wine,I am a different type of drink,weak
47,coffee,noncola,I am a different type of drink,weak
48,coffee,drinking,I am often associated with this activity,medium
49,coffee,cake,I am often served with this dessert,medium
50,coffee,teashop,I am not typically found in this place,weak
51,coffee,iced,I can be served hot unlike this,medium
52,coffee,bohea,I am a type of tea leaf,medium
53,coffee,brewing,I am the process of making drinks,strong
54,coffee,watercooler,I am not related to this,weak
55,coffee,kola,I am not a nut like this,weak
56,coffee,cognac,I am not a type of brandy,weak
57,coffee,cupper,I am used by this drinker,medium
58,coffee,coffled,I have nothing to do with this,weak
59,coffee,mug,I am served in this container,strong
60,coffee,coffer,I am not a chest for storage,weak
61,coffee,coal,I am not a source of fuel,weak
62,coffee,juice,I am not a fruit extract,weak
63,coffee,booze,I am not an alcoholic drink,weak
64,coffee,teaware,I am not related to this,weak
65,coffee,coconut,I am not a tropical fruit,weak
66,coffee,decaffeinated,I am not without caffeine like this,weak
67,coffee,cooer,I am not a cooler appliance,weak
68,coffee,cookey,I am not a type of cookie,weak
69,coffee,cool,I am not the temperature,weak
70,coffee,alcohol,I am not a type of beverage,weak
71,coffee,tasse,I am not a small cup,weak
72,coffee,sugar,I am often added to me,medium
73,coffee,klatch,"Super close, sizzling hot",strong
74,coffee,soup,I am not a liquid dish,weak
75,coffee,cocktail,I am not a mixed drink,weak
76,coffee,coocoo,I have nothing to do with this,weak
77,coffee,coked,I have nothing to do with this,weak
78,coffee,creamer,I am often added to me,medium
79,coffee,cream,I am often added to me,medium
80,coffee,cofeaturing,I have nothing to do with this,weak
81,coffee,brown,I am often the color of this,medium
82,coffee,cocain,I am not an illegal drug,weak
83,coffee,meal,I am sometimes paired with this,medium
84,coffee,cuppy,I am not a cute cup,weak
85,coffee,carob,I am not a chocolate substitute,weak
86,coffee,liquor,I am often confused with this,medium
87,coffee,lemonade,I am not a lemon drink,weak
88,coffee,shopping,I have nothing to do with this,weak
89,coffee,cocaine,I have nothing to do with this,weak
90,coffee,breakfast,I am often enjoyed in the morning,medium
91,coffee,coffin,I have nothing to do with this,weak
92,coffee,sipping,I am an action done with me,strong
93,coffee,drank,I am what you do with me,strong
94,coffee,kava,I am not a traditional drink,weak
95,coffee,java,I am often associated with this,medium
96,coffee,cholate,I am not chocolate flavored,weak
97,coffee,coin,I have nothing to do with this,weak
98,coffee,money,I am often exchanged for me,strong
99,coffee,fresh,I am best when I am this,strong
100,coffee,coo,I have nothing to do with this,weak
101,coffee,chay,I have nothing to do with this,weak
102,coffee,coft,I have nothing to do with this,weak
103,coffee,cow,I have nothing to do with this,weak
104,coffee,music,I have nothing to do with this,weak
105,coffee,percolator,Used to make me stronger,strong
106,coffee,canteen,I am not contained in this,medium
107,coffee,oolong,Different flavor compared to me,medium
108,coffee,teabox,"Contains teas, not me",medium
109,coffee,teatime,"Associated with tea, not me",medium
110,coffee,teapot,"Used for brewing tea, not me",medium
111,coffee,energy,Provides a different kind of boost,medium
112,coffee,milch,I am not a dairy product,medium
113,coffee,color,Not related to my taste or type,medium
114,coffee,shop,Not where I am made or sold,medium
115,coffee,liquid,I am a type of liquid,strong
116,coffee,demitasse,Not the same size or purpose,medium
117,coffee,vodka,"I am non-alcoholic, unlike this",medium
118,coffee,cooked,I am not a food item,medium
119,coffee,milo,No relation to me or my flavor,medium
120,coffee,combo,I am not a mix of things,medium
121,coffee,chocolaty,Different flavor profile from me,medium
122,coffee,cooky,Not a type of cookie flavor,medium
123,coffee,toddy,"Alcoholic, I am not related to",medium
124,coffee,frapped,"Super close, sizzling hot",strong
125,coffee,eating,"I am a drink, not a food",medium
126,coffee,cock,I am not a male bird,medium
127,coffee,conversation,Not something I participate in,medium
128,coffee,carafe,"Used for serving liquids, not me",medium
129,coffee,decaffeinate,Process to remove what I contain,strong
130,coffee,hazelnut,"Flavor added to me sometimes, though",medium
131,coffee,soymilk,Dairy-free alternative to me,medium
132,coffee,cooldown,Opposite of what I provide,strong
133,coffee,champagne,"Alcoholic beverage, unlike me",medium
134,coffee,cocoanut,"Super close, sizzling hot",strong
135,coffee,chicory,Sometimes mixed with me as flavoring,medium
136,coffee,pizza,"Food item, not a drink like me",medium
137,coffee,steam,Not a hot beverage like me,medium
138,coffee,col,"Different meaning, not related to me",weak
139,coffee,consume,"I am consumed, not related to this",medium
140,coffee,liqueur,"Alcoholic, not what I am",medium
141,coffee,fuel,"I provide morning fuel, not this",strong
142,coffee,chickory,Sometimes mixed with me as flavoring,medium
143,coffee,colour,Color is not related to me,medium
144,coffee,hot,I am a hot beverage too,strong
145,coffee,chat,"I am sipped, not spoken like this",medium
146,coffee,tealike,"Similar in brewing method, not taste",medium
147,coffee,malt,"Different drink type, not me",medium
148,coffee,club,Not a location I am found,medium
149,coffee,souchong,"Super close, sizzling hot",strong
150,coffee,congou,"Super close, sizzling hot",strong
151,coffee,smoke,"I am a drink, not a gas",medium
152,coffee,teapoy,I have nothing to do with this,weak
153,coffee,teahouse,I have nothing to do with this,weak
154,coffee,hotel,I am served in this establishment,medium
155,coffee,toffee,Similar sweetness to me,strong
156,coffee,tazza,I could be served in this,weak
157,coffee,caramel,Similar sweetness to me,strong
158,coffee,tee,I am not a type of this,weak
159,coffee,cafeteria,I am served in this place,medium
160,coffee,cookie,Often paired with me for dessert,strong
161,coffee,kingcup,I have nothing to do with this,weak
162,coffee,cold,I can be served hot unlike this,medium
163,coffee,whiskey,I am not an ingredient in this,strong
164,coffee,cay,I have nothing to do with this,weak
165,coffee,bread,I am often enjoyed with this,strong
166,coffee,glass,I can be served in this,medium
167,coffee,lunch,Often paired with me in meals,strong
168,coffee,cohog,I have nothing to do with this,weak
169,coffee,tazze,I could be served in these,weak
170,coffee,brunch,A meal where I am enjoyed,strong
171,coffee,noon,I am often consumed at this time,strong
172,coffee,tortoni,I am not a type of this dessert,strong
173,coffee,woke,I help people feel awake unlike this,medium
174,coffee,mix,I can be part of a drink mix,medium
175,coffee,decaffeinating,I am not usually decaffeinated,strong
176,coffee,blood,I am not a component of this,strong
177,coffee,coquito,I am not an ingredient in this,strong
178,coffee,college,Students often drink me during exams,medium
179,coffee,eat,I am not a food item,weak
180,coffee,dining,I am often enjoyed in this setting,strong
181,coffee,massage,I am not used in massages,strong
182,coffee,teamaker,I am not used in making tea,strong
183,coffee,coolth,I provide warmth unlike this,medium
184,coffee,fizz,I am not carbonated like this,strong
