rank,secret_word,word,clue,connection_strength
1,computer,computer,This is the *.,secret_word
2,computer,computerlike,I am similar to this in function,medium
3,computer,desktop,I am often found on this,strong
4,computer,noncomputer,I have nothing to do with this,strong
5,computer,laptop,I am a portable version of this,strong
6,computer,machine,I am a type of this,strong
7,computer,device,I am a type of this,strong
8,computer,keyboard,I interact with this in input,strong
9,computer,software,I process data through this,strong
10,computer,computerist,I have nothing to do with this,strong
11,computer,hardware,I am made up of this,strong
12,computer,processor,I use this for calculations,strong
13,computer,camera,I capture images like this device,medium
14,computer,computerdom,I have nothing to do with this,strong
15,computer,printer,I produce output like this,medium
16,computer,computerize,I am the result of this action,medium
17,computer,technology,I am part of this field,medium
18,computer,compute,I perform calculations like this,medium
19,computer,microcomputer,I am a smaller version of this,strong
20,computer,computerizing,I am the process of this,medium
21,computer,computernik,I have nothing to do with this,strong
22,computer,computing,I engage in this activity,strong
23,computer,phone,I am a communication device like this,medium
24,computer,computerized,I am automated like this,medium
25,computer,notebook,I am a portable version of this,strong
26,computer,computerised,I have nothing to do with this,strong
27,computer,desk,I am often placed on this,medium
28,computer,telephone,I facilitate communication like this device,medium
29,computer,precomputer,I have nothing to do with this,strong
30,computer,browser,I access information like this software,medium
31,computer,server,I provide services like this,medium
32,computer,system,I operate within this structure,medium
33,computer,computerise,I am the result of this action,medium
34,computer,mouse,I control actions like this device,strong
35,computer,workstation,I am a place to work like this,medium
36,computer,supercomputer,I am a highly advanced version of this,strong
37,computer,digital,I process data in this format,medium
38,computer,mach,I have nothing to do with this,strong
39,computer,console,I interact with users through this,medium
40,computer,comp,I am a short form for this,medium
41,computer,computerese,I have nothing to do with this,strong
42,computer,robot,I perform tasks like this automaton,medium
43,computer,macintosh,I am a type of this,strong
44,computer,electric,I require power like this,medium
45,computer,noncomputerized,I have nothing to do with this,strong
46,computer,calculator,I perform calculations like this device,medium
47,computer,programmer,I am programmed by this person,medium
48,computer,motor,I power devices like this component,medium
49,computer,uncomputerized,I have nothing to do with this,strong
50,computer,vehicle,I transport people like this,medium
51,computer,coder,I write instructions like this person,medium
52,computer,car,I have nothing to do with this,weak
53,computer,controller,I control things unlike this,weak
54,computer,monitor,"I display data, not like this",weak
55,computer,self,I lack self-awareness unlike this,weak
56,computer,mobile,I am not portable like this,weak
57,computer,computerization,"I am the process, not this",weak
58,computer,techie,I am not a tech enthusiast,weak
59,computer,washer,"I process data, not clothes like this",weak
60,computer,copier,"I create digitally, not physically like this",weak
61,computer,programer,"I execute code, unlike this creator",weak
62,computer,cell,I am not a basic unit,weak
63,computer,computation,"I perform calculations, not like this",weak
64,computer,technical,"I deal with specifics, unlike this",weak
65,computer,typewriter,"I process digitally, unlike this manually",weak
66,computer,computed,"I process data, like this done",medium
67,computer,computerising,"I am the system, this is the action",medium
68,computer,programming,"I execute instructions, like this creating",medium
69,computer,techy,I am not a tech enthusiast,weak
70,computer,gadget,"I am a tool, like this device",medium
71,computer,driver,"I run software, unlike this operator",medium
72,computer,screen,"I display data, like this interface",medium
73,computer,database,"I store information, like this collection",medium
74,computer,electronic,"I am digital, like this technology",medium
75,computer,hacker,I am the system defender,medium
76,computer,modem,"I connect networks, like this device",medium
77,computer,computerphobe,"I am comfortable, unlike this fearful",medium
78,computer,compiler,"I translate code, like this software",medium
79,computer,mac,"Super close, sizzling hot",strong
80,computer,computerphobia,"I am comfortable, unlike this fear",medium
81,computer,projector,"I display data, like this device",medium
82,computer,motherboard,"I am the system, like this mainboard",strong
83,computer,scanner,"I input data, like this imaging device",medium
84,computer,elf,"I am digital, unlike this mythical being",weak
85,computer,administrator,"I manage systems, like this role",strong
86,computer,home,I am not a physical location,weak
87,computer,dell,I am not a brand,weak
88,computer,clock,"I track time, unlike this device",medium
89,computer,android,I am not a mobile OS,weak
90,computer,web,"I am the internet, not this",weak
91,computer,network,"I connect devices, like this structure",medium
92,computer,techier,I am not a tech enthusiast,weak
93,computer,algorithm,"I process data, like this mathematical set",medium
94,computer,computerizable,"I am capable, like this process",medium
95,computer,keyboarder,"I input data, like this typist",medium
96,computer,equipment,"I am tools, like this apparatus",medium
97,computer,computerphobic,"I am comfortable, unlike this fearful",medium
98,computer,work,"I process data, like this activity",medium
99,computer,business,I am not commerce,weak
100,computer,client,"I interact with users, like this customer",medium
101,computer,download,"I transfer data, like this action",medium
102,computer,clavier,I am controlled by this input device,strong
103,computer,receiver,I receive signals like this electronic device,strong
104,computer,microprocessor,I am a part of this processing unit,strong
105,computer,tool,I am not a physical handheld this,weak
106,computer,nerd,I am not a person like this,weak
107,computer,instrument,I am not a musical this,weak
108,computer,office,I am used outside of this place,weak
109,computer,computational,I involve calculations like this processing,strong
110,computer,truck,I am not a vehicle like this,weak
111,computer,control,I am under this command like this,medium
112,computer,couch,I am not furniture like this,weak
113,computer,box,I am not contained in this,weak
114,computer,tablet,I am not a handheld touch this,weak
115,computer,engine,I am not a motor like this,weak
116,computer,apple,I am not a fruit like this,weak
117,computer,tical,I am not the end of this,weak
118,computer,multimedia,I involve multiple media like this,strong
119,computer,minicomputer,I am a smaller version of this,medium
120,computer,router,I direct data like this networking device,strong
121,computer,science,I am not a field of this,weak
122,computer,comic,I am not a strip like this,weak
123,computer,television,I am not a screen like this,weak
124,computer,smart,I am not intelligent like this,weak
125,computer,electronically,I function using this type of signals,strong
126,computer,program,I am executed like this software,strong
127,computer,simulator,I simulate environments like this,strong
128,computer,processing,I involve data manipulation like this,strong
129,computer,assistant,I am not a human like this,weak
130,computer,gamer,I am not a player like this,weak
131,computer,video,I display moving images like this,strong
132,computer,player,I am not a participant like this,weak
133,computer,game,I am played like this entertainment,strong
134,computer,geek,I am not a person like this,weak
135,computer,movie,I am not a film like this,weak
136,computer,utility,I provide functionality like this software,strong
137,computer,working,I am not performing tasks like this,weak
138,computer,photocopier,I copy data like this machine,strong
139,computer,disk,I store data like this storage device,strong
140,computer,doctor,I am not a medical this,weak
141,computer,digitally,I operate using this data format,strong
142,computer,auto,I am not automatic like this,weak
143,computer,computerless,I am not without this technology,weak
144,computer,appliance,I am not a household this,weak
145,computer,oven,I am not a kitchen this,weak
146,computer,tel,I am not a phone this,weak
147,computer,radio,I am not a broadcasting this,weak
148,computer,process,I perform functions like this operation,strong
149,computer,keypuncher,I am not a person operating this,weak
150,computer,job,I am not employment like this task,weak
151,computer,display,I show information like this screen,strong
152,computer,toolbox,I help organize things like this tool,strong
153,computer,intern,I am not a human like this,strong
154,computer,adapter,I connect different things like this device,strong
155,computer,studio,I am not a place like this,strong
156,computer,synthesizer,I don't create music like this instrument,strong
157,computer,brain,I am not a human like this organ,strong
158,computer,waitress,I am not a person like this,strong
159,computer,logic,"I process data, not reason like this",strong
160,computer,book,"I store data, not papers like this",strong
161,computer,room,"I am virtual, not physical like this",strong
162,computer,drawer,"I store files, not clothes like this",strong
163,computer,consult,"I provide info, not advice like this",strong
164,computer,consumer,"I process data, not buy like this",strong
165,computer,instance,"I am system, not occurrence like this",strong
166,computer,mainframe,"Super close, sizzling hot",strong
167,computer,automation,"I am process, not control like this",strong
168,computer,automatic,"I am process, not self-operating like this",strong
169,computer,dit,I am not short sound like this,strong
170,computer,handy,I am not a person like this,strong
171,computer,school,"I process data, not educate like this",strong
172,computer,info,"I store data, not knowledge like this",strong
173,computer,connection,"I establish links, not relations like this",strong
174,computer,gizmo,"I am software, not gadget like this",strong
175,computer,tele,"I process data, not transmit like this",strong
176,computer,object,"I am software, not tangible like this",strong
177,computer,chair,"I am virtual, not physical like this",strong
178,computer,onus,I am not a burden like this,strong
179,computer,command,"I execute operations, not orders like this",strong
180,computer,user,"I process data, not operate like this",strong
181,computer,java,I am not a programming language,strong
182,computer,audio,"I process data, not sound like this",strong
183,computer,gaming,"I process data, not play like this",strong
184,computer,remote,"I process data, not control like this",strong
185,computer,it,"I process data, not technology like this",strong
186,computer,professional,"I process data, not expert like this",strong
187,computer,virus,I am not harmful like this,strong
188,computer,copy,"I create data, not duplicates like this",strong
189,computer,board,"I process data, not plank like this",strong
190,computer,lab,"I process data, not experiment like this",strong
191,computer,boot,"I process data, not footwear like this",strong
192,computer,chine,I am not an edge like this,strong
193,computer,window,I am not a frame like this,strong
194,computer,body,"I process data, not physical like this",strong
195,computer,hack,"I process data, not breach like this",strong
196,computer,speaker,"I process data, not talk like this",strong
197,computer,boat,"I process data, not float like this",strong
198,computer,customer,"I process data, not buy like this",strong
199,computer,repair,"I process data, not fix like this",strong
200,computer,library,"I process data, not store like this",strong
201,computer,someone,I am not a specific person,strong
202,computer,person,I am controlled by this,strong
203,computer,disc,I store data on this,strong
204,computer,technician,I am fixed by this expert,medium
205,computer,terminal,I display info on this screen,strong
206,computer,machinery,I am not part of this,weak
207,computer,visual,"I process data, not images",weak
208,computer,comfort,I provide no physical comfort,weak
209,computer,programing,"I run programs, not write them",weak
210,computer,tuner,I do not adjust frequencies,weak
211,computer,host,I am not a place for guests,weak
212,computer,sofa,I am not for sitting on,weak
213,computer,emulator,I do not imitate other systems,weak
214,computer,typist,"I process text, not type it",weak
215,computer,digitizer,I do not convert analog signals,weak
216,computer,experiment,I do not conduct scientific tests,weak
217,computer,cat,I am not a furry pet,weak
218,computer,container,I do not hold physical objects,weak
219,computer,cyborg,"I am not part human, part machine",weak
220,computer,detector,I do not sense physical phenomena,weak
221,computer,machinator,I do not scheme or plot,weak
222,computer,memory,"I store digital, not personal memories",weak
223,computer,mouser,I do not hunt for rodents,weak
224,computer,lamp,I do not provide light,weak
225,computer,photocomposer,I do not create visual art,weak
226,computer,cuber,I do not solve Rubik's cubes,weak
227,computer,design,I am not a creative process,weak
228,computer,human,I am not a biological being,weak
229,computer,technologic,I am not a technology enthusiast,weak
230,computer,deck,I am not a set of cards,weak
231,computer,interactive,I do not engage in two-way communication,weak
232,computer,complier,I do not assemble program code,weak
233,computer,tractor,I do not pull heavy machinery,weak
234,computer,simulation,I do not create virtual worlds,weak
235,computer,chat,I do not engage in conversations,weak
236,computer,unto,I have no connection to this,weak
237,computer,assist,I am not a helping hand,weak
238,computer,toy,I am not a plaything,weak
239,computer,usage,I do not determine how things are used,weak
240,computer,information,"I process data, not facts",weak
241,computer,cybernated,I do not have a cybernetic system,weak
242,computer,film,I do not shoot movies,weak
243,computer,catalog,I do not organize items for sale,weak
244,computer,actor,I do not perform on a stage,weak
245,computer,battery,I do not provide power supply,weak
246,computer,college,I am not an educational institution,weak
247,computer,virtual,I am not existing in a simulation,weak
248,computer,interface,I do not connect systems together,weak
249,computer,mechanizer,I am not a machine designer,weak
250,computer,academic,I do not pursue higher education,weak
251,computer,computable,I am not about calculable problems,weak
252,computer,search,I help find this information,strong
253,computer,comparison,I analyze similarities and differences between things,strong
254,computer,enterprise,I support operations in this large organization,medium
255,computer,reader,I display text for this purpose,strong
256,computer,novation,I facilitate new ideas and inventions,medium
257,computer,piano,I have nothing to do with this,weak
258,computer,backup,I store copies of this data,strong
259,computer,computationally,I process information using algorithms,strong
260,computer,connect,I establish links between devices or systems,strong
261,computer,reboot,I restart systems for this purpose,strong
262,computer,apparatus,I am used in this equipment or machinery,strong
263,computer,sensor,I detect changes in this environment,strong
264,computer,gammer,I have nothing to do with this,weak
265,computer,cel,I am part of this cellular structure,strong
266,computer,service,I provide assistance for this function,strong
267,computer,digit,I process numbers in this system,strong
268,computer,using,I am applied when operating this,strong
269,computer,connected,I link devices or systems together,strong
270,computer,chrome,I have nothing to do with this web browser,weak
271,computer,editor,I modify text for this purpose,strong
272,computer,dishwasher,I clean dishes in this appliance,strong
273,computer,cursor,I move on the screen like this,strong
274,computer,cab,I transport people like this vehicle,strong
275,computer,visor,I display data on this headgear,strong
276,computer,developer,I create software for this purpose,strong
277,computer,bike,I have nothing to do with this transport,weak
278,computer,enate,I have nothing to do with this term,weak
279,computer,scriber,I write or record information like this,strong
280,computer,photo,I display images captured by this,strong
281,computer,cyberspace,I exist as part of this virtual realm,strong
282,computer,bus,I transfer data between components like this,strong
283,computer,prof,I have nothing to do with this title,weak
284,computer,automan,I have nothing to do with this,weak
285,computer,document,I store information in this format,strong
286,computer,cooker,I prepare food in this appliance,strong
287,computer,interelectronic,I am related to this communication area,strong
288,computer,restart,I begin anew like rebooting this,strong
289,computer,expert,I am knowledgeable in this field,strong
290,computer,dater,I record dates and times like this,strong
291,computer,compting,I process data like this computing activity,strong
292,computer,equip,I provide tools for this purpose,strong
293,computer,crap,I have nothing to do with this,weak
294,computer,installation,I set up programs or systems like this,strong
295,computer,configure,I adjust settings for this purpose,strong
296,computer,lector,I scan and read text like this,strong
297,computer,ologist,I study fields like this discipline,strong
298,computer,rawer,I have nothing to do with this,weak
299,computer,concept,I understand ideas and theories like this,strong
300,computer,doc,I create and manage documents like this,strong
301,computer,cow,I have nothing to do with this animal,weak
302,computer,nicely,I function smoothly and efficiently like this,strong
303,computer,communication,I transmit data like this does with messages,strong
304,computer,master,I control systems just like this term,medium
305,computer,clocker,I keep time but not like this,weak
306,computer,chemist,I process information not chemicals like this,weak
307,computer,midi,I don't play music like this format,weak
308,computer,genome,I don't store genetic information like this,weak
309,computer,complex,"I can be intricate, like this term",medium
310,computer,chemistry,I deal with data not substances like this,weak
311,computer,counter,I count data not items like this,weak
312,computer,navigator,I guide through data not physical spaces like this,weak
313,computer,networking,I connect data not people like this,weak
314,computer,each,I process data individually not collectively like this,weak
315,computer,creative,I generate solutions not art like this,weak
316,computer,cope,I handle tasks not emotions like this,weak
317,computer,microscope,I analyze data not organisms like this tool,weak
318,computer,diskette,I store data differently from this medium,weak
319,computer,maker,I create programs not physical objects like this,weak
320,computer,facility,I process data not buildings like this,weak
321,computer,card,I store data electronically not on this,weak
322,computer,product,I create output not physical items like this,weak
323,computer,account,I manage data not finances like this,weak
324,computer,cd,I store data differently from this format,weak
325,computer,personal,I process data not emotions like this,weak
326,computer,study,I analyze data not books like this,weak
327,computer,refrigerator,I don't cool items like this appliance,weak
328,computer,essay,I don't write papers like this does,weak
329,computer,interpreter,I process code not languages like this,weak
330,computer,compact,I condense data not objects like this,weak
331,computer,plotter,I output data differently from this device,weak
332,computer,gadgety,I am functional not whimsical like this,weak
333,computer,ampler,I process data not quantities like this,weak
334,computer,shopping,I don't buy products like this,weak
335,computer,intelligence,I process data not human intellect like this,weak
336,computer,company,I process data not organizations like this,weak
337,computer,graphic,I display data differently from this,weak
338,computer,connector,I link data not physical objects like this,weak
339,computer,compatible,I work with systems not people like this,weak
340,computer,music,I process data not melodies like this,weak
341,computer,shelf,I don't hold objects like this does,weak
342,computer,digitalized,I process data not convert like this,weak
343,computer,guitar,I don't play music like this instrument,weak
344,computer,help,I assist users not provide relief like this,weak
345,computer,stereo,I process data not sound like this equipment,weak
346,computer,compiled,I process data not code like this,weak
347,computer,mail,I transmit data not physical letters like this,weak
348,computer,automated,I operate systems not cars like this,weak
349,computer,microphone,I record data not sound like this,weak
350,computer,apparat,I don't function as this device,weak
351,computer,toaster,I don't cook food like this appliance,weak
352,computer,organ,I have nothing to do with this,weak
353,computer,student,I am used by this for learning,strong
354,computer,generator,"I power devices, not like this",medium
355,computer,cart,"I move information, not like this",medium
356,computer,paper,"I store virtually, not like this",medium
357,computer,filer,"I organize data, not like this",medium
358,computer,handheld,I am not portable like this,medium
359,computer,dev,"I process, not develop like this",medium
360,computer,dog,"I am digital, not like this",medium
361,computer,dictionary,"I process words, not like this",medium
362,computer,converter,"I transform data, not like this",medium
363,computer,coding,"I interpret, not code like this",medium
364,computer,adult,"I do not age, unlike this",medium
365,computer,microchip,"I process, not like this small",medium
366,computer,superminicomputer,I am not a super mini,weak
367,computer,keyboarded,"I input differently, not like this",medium
368,computer,general,"I am specific, not like this",weak
369,computer,clavierist,I am not a musician,weak
370,computer,file,"I organize data, not like this",medium
371,computer,installer,"I install software, not like this",medium
372,computer,manager,"I process data, not like this",medium
373,computer,chef,"I process data, not cook like this",medium
374,computer,onto,I have nothing to do with this,weak
375,computer,techiest,"I am digital, not like this",medium
376,computer,media,"I process information, like this",strong
377,computer,connecting,"I link data, not like this",medium
378,computer,data,"I process information, like this",strong
379,computer,writer,"I create content, like this",strong
380,computer,assembler,"I build software, not like this",medium
381,computer,deskbound,I am not stationary like this,medium
382,computer,abacus,"I calculate digitally, not like this",medium
383,computer,used,"I process, not like this",medium
384,computer,bot,I am not a programmed bot,weak
385,computer,lapboard,I am not portable like this,medium
386,computer,animal,"I am digital, not like this",medium
387,computer,debugger,"I fix code, not like this",medium
388,computer,here,I have nothing to do with this,weak
389,computer,stime,I have nothing to do with this,weak
390,computer,monkey,"I am digital, not like this",medium
391,computer,serial,"I process data, like this",strong
392,computer,thinking,"I compute, not think like this",medium
393,computer,clinic,I am not a healthcare facility,weak
394,computer,setup,"I prepare, not set up like this",medium
395,computer,noun,"I process text, not like this",medium
396,computer,model,"I am a representation, like this",strong
397,computer,wired,"I process data, like this",strong
398,computer,switch,"I control data flow, like this",strong
399,computer,plug,"I connect, like this electrical component",strong
400,computer,microelectronic,I am not small and electronic,weak
401,computer,boiler,"I process data, not heat like this",medium
402,computer,automobile,I am not found in this,weak
403,computer,powered,I need this to function properly,strong
404,computer,intercom,"I communicate electronically, like this device",strong
405,computer,problem,I can help solve this,medium
406,computer,pixel,I process data not related to this,weak
407,computer,meld,I do not combine like this,weak
408,computer,script,I do not follow a written this,medium
409,computer,chemical,I am not composed of this,weak
410,computer,operate,I need instructions to do this,strong
411,computer,booth,I am not enclosed like this,weak
412,computer,configuration,I am not set up like this,weak
413,computer,cubicle,I am not confined like this,weak
414,computer,cam,I do not capture images like this,weak
415,computer,writing,"I process data, not create this",medium
416,computer,medical,I do not diagnose or treat this,weak
417,computer,function,"I have a specific this, unlike this",medium
418,computer,center,I am not a point of this,weak
419,computer,helper,I assist differently than this,medium
420,computer,keyboardist,I do not play music like this,weak
421,computer,live,I do not perform in real this,weak
422,computer,fridge,I do not keep food cold like this,weak
423,computer,inside,"I process data, not be in this",medium
424,computer,department,I am not organized in this,weak
425,computer,pec,I do not have muscles like this,weak
426,computer,biochip,I am not a component like this,weak
427,computer,indow,I do not have panes like this,weak
428,computer,combo,I do not combine elements like this,weak
429,computer,unci,I do not measure weight like this,weak
430,computer,cube,"I process data, not have sides like this",medium
431,computer,observer,"I process data, not watch this",medium
432,computer,apter,I do not adapt like this,weak
433,computer,conversation,"I process data, not have this",medium
434,computer,weapon,I do not cause harm like this,weak
435,computer,installed,I am not set up like this,weak
436,computer,bed,I do not sleep in this,weak
437,computer,cable,"I connect data, not transmit this",medium
438,computer,use,"I process data, not be used like this",medium
439,computer,factory,"I process data, not manufacture this",medium
440,computer,kitchen,"I process data, not cook in this",medium
441,computer,boxed,"I process data, not be contained like this",medium
442,computer,typing,"I process data, not type like this",medium
443,computer,biz,"I process data, not conduct this",medium
444,computer,component,"I process data, not be a part of this",medium
445,computer,cool,"I process data, not lower temperature like this",medium
446,computer,electron,"I process data, not be a subatomic this",medium
447,computer,furniture,"I process data, not be a furnishing",medium
448,computer,recorder,"I process data, not record like this",medium
449,computer,tester,"I process data, not test like this",medium
450,computer,smarter,"I process data, not intelligent like this",medium
451,computer,development,"I process data, not grow like this",medium
452,computer,gismo,I have nothing to do with this,weak
453,computer,demo,I am used in this demonstration,medium
454,computer,over,I can be seen on this,medium
455,computer,storage,I hold information like this,strong
456,computer,automaton,I am not a mechanical being,weak
457,computer,cook,I do not create dishes like this,weak
458,computer,plane,I have no wings like this,weak
459,computer,psych,I cannot analyze minds like this,weak
460,computer,laser,I do not emit beams like this,weak
461,computer,dish,I do not serve meals like this,weak
462,computer,theory,I do not formulate ideas like this,weak
463,computer,chooser,I do not make selections like this,weak
464,computer,bureau,I am not a piece of furniture,weak
465,computer,startup,I do not launch new ventures,weak
466,computer,solver,I am not a problem-solving tool,weak
467,computer,scan,I do not analyze images like this,weak
468,computer,back,I am not a body part,weak
469,computer,excel,I do not perform like this software,weak
470,computer,headphone,I do not listen to music,weak
471,computer,engineering,I am not involved in design,weak
472,computer,bro,I am not a sibling,weak
473,computer,ate,I do not consume food,weak
474,computer,transistor,I am not an electronic component,weak
475,computer,operation,I do not perform surgeries,weak
476,computer,into,I am not a direction,weak
477,computer,easy,I am not a level of difficulty,weak
478,computer,platform,I do not provide a stage,weak
479,computer,another,I am not a different one,weak
480,computer,programed,I am not coded instructions,weak
481,computer,hospital,I do not provide medical care,weak
482,computer,ired,I do not get angry,weak
483,computer,porno,I do not involve explicit content,weak
484,computer,compressor,I do not compress air,weak
485,computer,coffee,I do not drink beverages,weak
486,computer,access,I do not grant entry,weak
487,computer,nonbook,I am not a traditional book,weak
488,computer,dashboard,I do not control a vehicle,weak
489,computer,nerdy,I am not into geek culture,weak
490,computer,biology,I do not study living organisms,weak
491,computer,micro,I am not small-scale,weak
492,computer,commercial,I am not business-related,weak
493,computer,custom,I do not tailor products,weak
494,computer,modern,I am not contemporary,weak
495,computer,xerox,I do not reproduce documents,weak
496,computer,ecu,I am not an engine control unit,weak
497,computer,new,I am not the latest,weak
498,computer,baby,I do not cry like this,weak
499,computer,write,I do not compose text,weak
500,computer,article,I am not a piece of writing,weak
501,computer,shop,I am not a place of commerce,weak
502,computer,hard,"I make things seem easy, not this",weak
503,computer,teacher,"I provide information, so does this",strong
504,computer,pian,"I process data, not musical like this",weak
505,computer,compare,"I analyze, but not to find similarities",medium
506,computer,dialog,"I communicate, like a conversation with this",strong
507,computer,cruncher,"I process data, like a powerful version",medium
508,computer,thing,"I deal with data, not just any thing",weak
509,computer,stuff,"I organize data, not random like this",weak
510,computer,phon,"I process information, not a sound",weak
511,computer,analyze,"I examine data, like this word",strong
512,computer,code,"I execute commands, like lines of this",strong
513,computer,automate,"I perform tasks, like this does automatically",strong
514,computer,folder,"I store files, like a digital version",medium
515,computer,pressor,"I process information, not like this tool",weak
516,computer,coprocessor,"I work with data, like a secondary one",medium
517,computer,decoder,"I interpret data, like this deciphers messages",strong
518,computer,resume,"I continue operations, like this document",strong
519,computer,handset,"I connect digitally, like this telephone",strong
520,computer,worker,"I process tasks, like a digital laborer",medium
521,computer,networked,"I connect systems, like this linked setup",strong
522,computer,pad,"I input data, like this touch-sensitive device",strong
523,computer,machinating,"I process data, like a scheming version",medium
524,computer,technic,"I work with technology, not like this",weak
525,computer,twitter,"I process information, like this social platform",strong
526,computer,cop,"I assist in processing, like this helper",strong
527,computer,today,"I process current data, like this day",strong
528,computer,busy,"I work continuously, like a hectic this",strong
529,computer,down,"I process data, not like a system",weak
530,computer,explorer,"I search data, like this navigates information",strong
531,computer,cybernetic,"I operate digitally, like this system",strong
532,computer,calculate,"I perform computations, like this does math",strong
533,computer,precomputing,"I process data, like a preparatory version",medium
534,computer,boss,"I manage tasks, like a human this",strong
535,computer,copyright,"I respect intellectual property, like this protection",strong
536,computer,crusher,"I break down data, like a digital this",medium
537,computer,breadbox,"I store data, like a retro this",medium
538,computer,mediately,"I process data, not indirectly like this",weak
539,computer,number,"I work with data, like numerical this",medium
540,computer,computability,"I handle data, like this property",medium
541,computer,hacking,"I secure systems, not breach like this",weak
542,computer,simple,"I process data, not complex like this",weak
543,computer,whatever,"I process defined data, not random this",weak
544,computer,keyboarding,"I enter data, like typing on this",strong
545,computer,boffin,"I process data, not a science this",weak
546,computer,care,"I handle data, like taking care this",medium
547,computer,generation,"I evolve technology, like this offspring",strong
548,computer,physical,"I process digital data, not tangible this",weak
549,computer,quip,"I process data, not witty like this",weak
550,computer,commodore,"I process data, like a computing leader",strong
551,computer,browse,"I search data, like navigating on this",strong
552,computer,off,I am always turned on unlike this,weak
553,computer,locker,"I store data, not physical items like this",strong
554,computer,solution,"I generate answers, not problems like this",strong
555,computer,own,"I belong to a system, not individuals",strong
556,computer,neighbor,I have no physical location like this,weak
557,computer,cooler,I don't need cooling down like this,weak
558,computer,this,"I refer to specific things, not me",weak
559,computer,boombox,"I play data, not music like this",strong
560,computer,dock,"I connect virtually, not physically like this",strong
561,computer,analysis,"I process data, not information like this",strong
562,computer,clipboard,"I digitally store, not physically like this",strong
563,computer,keypunch,"I input data, not punch holes like this",strong
564,computer,gamesman,"I calculate, not play games like this",strong
565,computer,un,"I am present, not a negation like this",weak
566,computer,microwave,"I process data, not heat food like this",strong
567,computer,inform,"I provide data, not communicate like this",strong
568,computer,electro,"I process electricity, not music like this",strong
569,computer,mirror,"I reflect data, not images like this",strong
570,computer,loudspeaker,"I transmit data, not sound like this",strong
571,computer,medicine,"I diagnose issues, not heal like this",strong
572,computer,portal,"I connect virtually, not portals like this",strong
573,computer,elect,"I process votes, not elect like this",strong
574,computer,techily,"I am precise, not casually like this",strong
575,computer,deskmen,"I process data, not desks like this",strong
576,computer,compt,"I am a program, not compt like this",strong
577,computer,gamming,"I process data, not play games like this",strong
578,computer,monitory,"I monitor systems, not people like this",strong
579,computer,dummy,"I store data, not mannequins like this",strong
580,computer,ocular,"I process data, not see like this",strong
581,computer,football,"I process data, not play sports like this",strong
582,computer,ither,"I process data, not ither like this",strong
583,computer,countdown,"I measure time, not countdown like this",strong
584,computer,site,"I am virtual, not physical like sites",strong
585,computer,laboratory,"I process data, not conduct experiments like this",strong
586,computer,log,"I record data, not wood like this",strong
587,computer,hutch,"I store data, not rabbits like this",strong
588,computer,woman,"I process data, not gender like this",strong
589,computer,test,"I process data, not exams like this",strong
590,computer,armchair,"I process data, not furniture like this",strong
591,computer,viewer,"I display data, not watch like this",strong
592,computer,digitized,"I convert data, not digitize like this",strong
593,computer,efficient,"I am efficient, not human-like this",strong
594,computer,technobabble,"I process data, not speak technobabble like this",strong
595,computer,tabulator,"I process data, not tabulate like this",strong
596,computer,combination,"I create patterns, not combinations like this",strong
597,computer,usherette,"I process data, not guide like this",strong
598,computer,experimental,"I test theories, not experiments like this",strong
599,computer,case,"I store data, not legal cases like this",strong
600,computer,gigabyte,"I store data, not bytes like this",strong
601,computer,power,"I process data, not generate power like this",strong
