rank,secret_word,word,clue,connection_strength
1,cook,cook,This is the *.,secret_word
2,cook,cooked,"Super close, sizzling hot",strong
3,cook,outcook,"Super close, sizzling hot",strong
4,cook,cooker,"Super close, sizzling hot",strong
5,cook,cookable,"Super close, sizzling hot",strong
6,cook,bake,"Super close, sizzling hot",strong
7,cook,chef,"Super close, sizzling hot",strong
8,cook,cookery,"Super close, sizzling hot",strong
9,cook,cooking,I am the act of preparing food,weak
10,cook,overcook,"Super close, sizzling hot",strong
11,cook,precook,"Super close, sizzling hot",strong
12,cook,outcooked,"Super close, sizzling hot",strong
13,cook,oven,I am used for baking food,medium
14,cook,recook,"Super close, sizzling hot",strong
15,cook,cookshop,"Super close, sizzling hot",strong
16,cook,kook,"Super close, sizzling hot",strong
17,cook,cookbook,"Super close, sizzling hot",strong
18,cook,prepare,"Super close, sizzling hot",strong
19,cook,cookstove,"Super close, sizzling hot",strong
20,cook,cookless,"Super close, sizzling hot",strong
21,cook,outcooking,"Super close, sizzling hot",strong
22,cook,broil,"Super close, sizzling hot",strong
23,cook,boil,"Super close, sizzling hot",strong
24,cook,cookhouse,I am a military kitchen,weak
25,cook,simmer,"Super close, sizzling hot",strong
26,cook,cock,I am a male bird,weak
27,cook,recooked,"Super close, sizzling hot",strong
28,cook,fry,"Super close, sizzling hot",strong
29,cook,recooking,"Super close, sizzling hot",strong
30,cook,cheffed,"Super close, sizzling hot",strong
31,cook,cope,"Super close, sizzling hot",strong
32,cook,recipe,"Super close, sizzling hot",strong
33,cook,grill,"Super close, sizzling hot",strong
34,cook,cookware,"Super close, sizzling hot",strong
35,cook,cooky,"Super close, sizzling hot",strong
36,cook,saute,"Super close, sizzling hot",strong
37,cook,stove,"Super close, sizzling hot",strong
38,cook,wok,"Super close, sizzling hot",strong
39,cook,precooked,"Super close, sizzling hot",strong
40,cook,parer,"Super close, sizzling hot",strong
41,cook,cookshack,"Super close, sizzling hot",strong
42,cook,usher,"Super close, sizzling hot",strong
43,cook,concocter,I create recipes and mixtures,weak
44,cook,roast,"Super close, sizzling hot",strong
45,cook,coach,"Super close, sizzling hot",strong
46,cook,prep,"Super close, sizzling hot",strong
47,cook,cocinera,"Super close, sizzling hot",strong
48,cook,barbecuer,"Super close, sizzling hot",strong
49,cook,cooktop,"Super close, sizzling hot",strong
50,cook,overcooked,"Super close, sizzling hot",strong
51,cook,mix,"Super close, sizzling hot",strong
52,cook,eat,I prepare food to be consumed,strong
53,cook,poach,"Super close, sizzling hot",strong
54,cook,stew,"Super close, sizzling hot",strong
55,cook,make,I use ingredients to create dishes,medium
56,cook,uncooked,"Super close, sizzling hot",strong
57,cook,charbroil,I grill food using this method,strong
58,cook,fried,"Super close, sizzling hot",strong
59,cook,coat,I apply this to food for flavor,medium
60,cook,compute,"Super close, sizzling hot",strong
61,cook,ate,"I don't eat, I prepare meals",weak
62,cook,precooking,"Super close, sizzling hot",strong
63,cook,maker,"I create dishes, not appliances",medium
64,cook,poon,"Super close, sizzling hot",strong
65,cook,fryer,I use this appliance for frying,strong
66,cook,cater,I provide food for events and gatherings,strong
67,cook,coop,"Super close, sizzling hot",strong
68,cook,stir,"Super close, sizzling hot",strong
69,cook,rote,"Super close, sizzling hot",strong
70,cook,cooer,"Super close, sizzling hot",strong
71,cook,serve,I prepare food to be served,strong
72,cook,dish,"I create dishes, not plates",medium
73,cook,kitchen,"Super close, sizzling hot",strong
74,cook,preparer,I am the one preparing food,strong
75,cook,cookey,"Super close, sizzling hot",strong
76,cook,cookout,"Super close, sizzling hot",strong
77,cook,washer,"I clean dishes, not clothes",strong
78,cook,griller,I grill food using this appliance,strong
79,cook,coo,"Super close, sizzling hot",strong
80,cook,clean,I keep my kitchen spotless,strong
