rank,secret_word,word,clue,connection_strength
1,cookie,cookie,This is the *.,secret_word
2,cookie,cooky,Similar but different spelling of me,medium
3,cookie,cookey,Similar but different spelling of me,medium
4,cookie,cake,I am a type of dessert,strong
5,cookie,galleta,Different name for me in Spanish,medium
6,cookie,browser,I have nothing to do with this,weak
7,cookie,kookie,Similar but different spelling of me,medium
8,cookie,biscuit,I am a type of baked good,strong
9,cookie,cakier,Similar but different comparative level of me,medium
10,cookie,cookless,I have nothing to do with this,weak
11,cookie,cupcake,Smaller version of me,strong
12,cookie,brownie,I am a type of sweet treat,strong
13,cookie,widget,I have nothing to do with this,weak
14,cookie,advertisement,I have nothing to do with this,weak
15,cookie,coder,I have nothing to do with this,weak
16,cookie,recipe,Instructions for making me,strong
17,cookie,token,Used as a form of authentication,strong
18,cookie,referrer,I have nothing to do with this,weak
19,cookie,hotcake,Different name for me,medium
20,cookie,banner,I have nothing to do with this,weak
21,cookie,donut,Similar but different type of me,medium
22,cookie,wrapper,Used to package me,strong
23,cookie,macaroon,Similar but different type of me,medium
24,cookie,helper,Assists in making me,strong
25,cookie,wafer,Similar but different type of me,medium
26,cookie,bake,Action done to make me,strong
27,cookie,coupon,Used to get discount on me,strong
28,cookie,cache,Storage for data about me,strong
29,cookie,shortbread,Similar but different type of me,medium
30,cookie,cracker,Similar but different type of me,medium
31,cookie,weet,I have nothing to do with this,weak
32,cookie,client,Interacts with me,strong
33,cookie,ponce,I have nothing to do with this,weak
34,cookie,session,Used to store data about me,strong
35,cookie,checkout,Step in buying me,strong
36,cookie,blob,I have nothing to do with this,weak
37,cookie,cookable,Can be made into a type of me,strong
38,cookie,authentication,Verifies access to me,strong
39,cookie,copyright,Legal protection for me,strong
40,cookie,ingredient,Component used to make me,strong
41,cookie,pastry,Similar but different type of me,medium
42,cookie,privacy,Concern for data about me,strong
43,cookie,waitress,Serves me in a restaurant,strong
44,cookie,bot,I have nothing to do with this,weak
45,cookie,sweet,Describes the taste of me,strong
46,cookie,protocol,Specifies rules for handling me,strong
47,cookie,cached,Data stored about me,strong
48,cookie,doughnut,Similar but different type of me,medium
49,cookie,bookmark,Saves a link related to me,strong
50,cookie,controller,Used to operate equipment for me,strong
51,cookie,custom,Tailored specifically for me,strong
52,cookie,user,I am not meant for this,weak
53,cookie,confetto,I am sweeter than this treat,medium
54,cookie,friedcake,I am not fried like this,weak
55,cookie,chooser,I am not the one making choices,weak
56,cookie,logger,I do not keep records like this,weak
57,cookie,header,I am not the beginning like this,weak
58,cookie,data,I am not information like this,weak
59,cookie,dough,I am not kneaded like this,weak
60,cookie,object,I am not tangible like this,weak
61,cookie,nonce,I am not a cryptographic term,weak
62,cookie,conto,I do not involve accounts like this,weak
63,cookie,server,I am not serving like this,weak
64,cookie,customize,I am not personalized like this,weak
65,cookie,combo,I am not a pairing like this,weak
66,cookie,kolacky,I am not a pastry like this,weak
67,cookie,logo,I am not a symbol like this,weak
68,cookie,sock,I am not worn on feet like this,weak
69,cookie,packet,I am not a bundle like this,weak
70,cookie,cooked,I am not baked like this,weak
71,cookie,dater,I am not involved in dating,weak
72,cookie,burger,I am not savory like this meal,medium
73,cookie,crap,I am not waste like this,weak
74,cookie,kuchen,I am not a type of cake,weak
75,cookie,callback,I am not a function like this,weak
76,cookie,button,I am not clickable like this,weak
77,cookie,handler,I do not manage like this,weak
78,cookie,crypto,I am not related to cryptography,weak
79,cookie,amaretti,"Super close, sizzling hot",strong
80,cookie,gingerbread,I am not spiced like this,weak
81,cookie,bread,I am not made of flour,weak
82,cookie,keyword,I am not a search term,weak
83,cookie,password,I am not a security code,weak
84,cookie,lobber,I am not throwing things,weak
85,cookie,sticky,I am not adhesive like this,weak
86,cookie,mouse,I am not a rodent,weak
87,cookie,usage,I am not a purpose,weak
88,cookie,item,I am not a generic object,weak
89,cookie,bookmarker,I am not used for bookmarking,weak
90,cookie,dummy,I am not a mannequin,weak
