rank,secret_word,word,clue,connection_strength
1,corn,corn,This is the *.,secret_word
2,corn,cor,I am part of this word,strong
3,corn,cornfield,I am found in a field,strong
4,corn,corncob,I am part of this food,strong
5,corn,cornfed,I am used to feed animals,strong
6,corn,maize,I am another name for this,strong
7,corn,corny,I am used to describe jokes,strong
8,corn,cob,I am part of this word,strong
9,corn,corncake,I am used to make this,strong
10,corn,cornhusk,"Super close, sizzling hot",strong
11,corn,cornel,I am a type of this,strong
12,corn,amelcorn,I have nothing to do with this,weak
13,corn,horn,I have nothing to do with this,weak
14,corn,cornstarch,I am made into this product,strong
15,corn,cow,I have nothing to do with this,weak
16,corn,corm,I am part of this word,strong
17,corn,corner,I am part of this place,strong
18,corn,wheat,I am another type of grain,strong
19,corn,cornbread,I am made into this bread,strong
20,corn,grain,I am a type of this,strong
21,corn,curn,I have nothing to do with this,weak
22,corn,crop,I am grown as part of this,strong
23,corn,cormel,I am a young version of this,strong
24,corn,barley,I am another type of grain,strong
25,corn,cornmeal,I am used to make this meal,strong
26,corn,corned,I am used in this food preparation,strong
27,corn,bean,I have nothing to do with this,weak
28,corn,bran,I am a byproduct of this,strong
29,corn,kor,I have nothing to do with this,weak
30,corn,popcorn,I am a type of this snack,strong
31,corn,sorgo,I have nothing to do with this,weak
32,corn,cornpone,I am used to make this dish,strong
33,corn,bread,I am made from this ingredient,strong
34,corn,cum,I have nothing to do with this,weak
35,corn,polenta,"Super close, sizzling hot",strong
36,corn,barleycorn,I am a type of this grain,strong
37,corn,cereal,I am a type of breakfast food,strong
38,corn,broomcorn,I am used to make brooms,strong
39,corn,cone,I have nothing to do with this,weak
40,corn,cauliflower,I have nothing to do with this,weak
41,corn,cornu,I have nothing to do with this,weak
42,corn,sorghum,I am another type of grain,strong
43,corn,core,I am part of this word,strong
44,corn,corniest,I am used to describe jokes,strong
45,corn,cabbage,I have nothing to do with this,weak
46,corn,corncrake,I am a type of bird,strong
47,corn,soybean,I have nothing to do with this,weak
48,corn,corncrib,I am used to store this,strong
49,corn,cornhusking,I am part of this activity,strong
50,corn,cord,I have nothing to do with this,weak
51,corn,carn,I have nothing to do with this,weak
52,corn,hominy,I am made from this processed,strong
53,corn,cornet,I am not a musical instrument,weak
54,corn,coppra,I have no relation to this,weak
55,corn,rice,I am a different grain type,weak
56,corn,kerne,I am related to this kernel,strong
57,corn,colza,I have nothing to do with this,weak
58,corn,corer,I am used to remove cores,strong
59,corn,cornflower,"Super close, sizzling hot",strong
60,corn,potato,I am a different root vegetable,weak
61,corn,quinoa,I am a different pseudo-cereal,weak
62,corn,acorn,I am not an oak nut,weak
63,corn,caryopsis,I am a type of grain,medium
64,corn,mealie,"Super close, sizzling hot",strong
65,corn,cola,I am not a carbonated drink,weak
66,corn,corniness,"Super close, sizzling hot",strong
67,corn,canola,I am not a rapeseed plant,weak
68,corn,grass,I am not a type of grass,weak
69,corn,cornily,"Super close, sizzling hot",strong
70,corn,flour,I am a different baking ingredient,weak
71,corn,brocoli,I am not a vegetable dish,weak
72,corn,comb,I am not a hair grooming tool,weak
73,corn,broccoli,I am not a vegetable dish,weak
74,corn,cotton,I am a different plant fiber,weak
75,corn,cornier,"Super close, sizzling hot",strong
76,corn,cod,I am a different fish species,weak
77,corn,corning,"Super close, sizzling hot",strong
78,corn,kern,I am a smaller 'kernel',medium
79,corn,colewort,I am not a type of cabbage,weak
80,corn,broccolis,I am not multiple veggies,weak
81,corn,cornhusker,"Super close, sizzling hot",strong
82,corn,proso,I am a different type of millet,weak
83,corn,cowage,I have no connection to this,weak
84,corn,coriander,I am a different herb plant,weak
85,corn,jowar,I am a different type of sorghum,weak
86,corn,brocolis,I am not multiple veggies,weak
87,corn,pea,I am a different legume type,weak
88,corn,carrot,I am a different root vegetable,weak
89,corn,cornball,"Super close, sizzling hot",strong
90,corn,sorgho,I am a different type of sorghum,weak
91,corn,coconut,I am a different tropical fruit,weak
92,corn,kirn,I am not a Scottish churn,weak
93,corn,sunflower,I am not a flower plant,weak
94,corn,grainfield,I am grown in fields of grains,medium
95,corn,millet,I am a different type of grain,weak
96,corn,granary,"Super close, sizzling hot",strong
97,corn,einkorn,I am a different ancient wheat,weak
98,corn,cowpea,"Super close, sizzling hot",strong
99,corn,cornus,"Super close, sizzling hot",strong
100,corn,cork,I am used to seal bottles,medium
101,corn,beet,I am a different root vegetable,weak
102,corn,kore,I have nothing to do with this,weak
103,corn,bulgur,I am not used to make this,weak
104,corn,coni,I have nothing to do with this,weak
105,corn,corrie,I have nothing to do with this,weak
106,corn,copra,I have nothing to do with this,weak
107,corn,bun,I am not made of this,weak
108,corn,kale,I am not a leafy vegetable,weak
109,corn,zucchini,I am not a type of squash,weak
110,corn,coccous,I have nothing to do with this,weak
111,corn,caulis,I am not a type of cabbage,weak
112,corn,breadbasket,I am not a container for bread,weak
113,corn,coal,I am not a mineral fuel,weak
114,corn,crookneck,I am not a type of squash,weak
115,corn,coop,I am not a chicken enclosure,weak
116,corn,cobb,I have nothing to do with this,weak
117,corn,orzo,I am not a type of pasta,weak
118,corn,crow,I am not a black bird,weak
119,corn,col,I have nothing to do with this,weak
120,corn,cowrote,I have nothing to do with this,weak
121,corn,farm,I am not a place of cultivation,weak
122,corn,peon,I have nothing to do with this,weak
123,corn,cere,I have nothing to do with this,weak
124,corn,cornrow,I have nothing to do with this,weak
125,corn,cushaw,I am not a type of squash,weak
126,corn,onion,I am not a type of vegetable,weak
127,corn,caul,I am not related to caul,weak
128,corn,courgette,I am not a type of squash,weak
129,corn,gourd,I am not a type of plant,weak
130,corn,straw,I am not used for thatching,weak
131,corn,triticum,I have nothing to do with this,weak
132,corn,hordein,I have nothing to do with this,weak
133,corn,johnnycake,I have nothing to do with this,weak
134,corn,kohlrabi,I am not a type of cabbage,weak
135,corn,starch,I am not a carbohydrate source,weak
136,corn,crap,I have nothing to do with this,weak
137,corn,seed,I am not a plant seed,weak
138,corn,cuke,I am not a type of cucumber,weak
139,corn,cummin,I have nothing to do with this,weak
