guess,clue,ring
universe,My dwelling's galaxy is in this reality,11
multiverse,My space is held by this cosmos,11
infinity,My dwelling's expanse is in this reality,11
eternity,The nebula I inhabit belongs to this universe,11
totality,The space where I live is in this cosmos,11
existence,Look for my nebula in this reality,11
reality,The space I inhabit belongs to this universe,11
galaxy,The domain where I dwell is in this void,10
system,Seek my globe in this nebula,10
nebula,The territory where I dwell is in this void,10
constellation,My home's globe is in this space,10
cluster,Look for my domain in this cluster,10
space,Look for my globe in this cluster,10
cosmos,My dwelling's orb is in this expanse,10
void,The realm I inhabit belongs to this galaxy,10
world,Seek my territory on this orb,9
globe,The landmass I inhabit belongs to this world,9
planet,Find my ocean within this realm,9
sphere,Seek my ocean on this orb,9
orb,Look for my expanse on this globe,9
realm,The territory where I live is on this planet,9
domain,The sea where I live is on this planet,9
surface,Find my hemisphere within this realm,9
continent,Seek my federation on this mass,8
hemisphere,My country is held by this continent,8
landmass,Find my dominion within this expanse,8
ocean,Look for my country on this continent,8
sea,Seek my federation on this mass,8
expanse,My home's territory is in this region,8
mass,The homeland where I dwell is on this formation,8
formation,Find my empire within this expanse,8
country,My home's province is in this territory,7
nation,My home's territory is in this territory,7
homeland,The territory I inhabit belongs to this nation,7
republic,The territory where I live is in this country,7
kingdom,My state is held by this country,7
empire,My home's region is in this territory,7
federation,The area where I live is in this country,7
dominion,Look for my district in this homeland,7
state,Look for my center in this province,6
province,The hub where I dwell is in this division,6
region,My home's hub is in this territory,6
county,My center is held by this area,6
prefecture,Find my center within this district,6
canton,My home's township is in this territory,6
territory,My hub is contained within this region,6
division,Seek my settlement in this county,6
city,Find my settlement within this center,5
metropolis,My dwelling's community is in this city,5
capital,My enclave is held by this urban space,5
municipality,My home's village is in this municipality,5
center,Find my settlement within this center,5
hub,My home's settlement is in this municipality,5
locale,Find my town within this center,5
plaza,My locality is held by this urban space,5
town,Find my subdivision within this town,4
village,The area I inhabit is part of this area,4
hamlet,The district where I live is in this hamlet,4
settlement,My quarter belongs to this settlement,4
community,I live in the district of this community,4
borough,Find my suburb within this town,4
township,My area belongs to this settlement,4
enclave,Find my zone within this town,4
neighborhood,Find my drive within this region,3
district,The route where I live is within here,3
quarter,I dwell by the road in this place,3
suburb,My home's lane lies in this area,3
ward,My street runs through this area,3
precinct,Find my street within this region,3
locality,I live where the drive exists here,3
zone,I live where the pathway exists here,3
area,My home's lane lies in this area,3
subdivision,Find my street within this region,3
street,Seek me where the pasture ends,2
avenue,My sanctuary is by the pen,2
road,I live where you'll find the paddock,2
lane,I dwell close to the pen,2
boulevard,I dwell close to the pen,2
pathway,I reside near the coop,2
thoroughfare,Look for me by the farm,2
route,My home is near the pasture,2
drive,My sanctuary is by the coop,2
way,I dwell close to the pasture,2
barn,You have found where I live,1
stable,You have found where I live,1
farm,You have found where I live,1
pasture,You have found where I live,1
pen,You have found where I live,1
farmyard,You have found where I live,1
paddock,You have found where I live,1
corral,You have found where I live,1
ranch,You have found where I live,1
coop,You have found where I live,1
