rank,secret_word,word,clue,connection_strength
1,cow,cow,This is the *.,secret_word
2,cow,cowy,I have nothing to do with this,weak
3,cow,moo,The sound I make,strong
4,cow,coon,I have nothing to do with this,weak
5,cow,bull,Male counterpart to me,medium
6,cow,cattle,Related to me in the herd,strong
7,cow,crow,I have nothing to do with this,weak
8,cow,hog,Different animal than me,medium
9,cow,cowplop,Result of me grazing in fields,strong
10,cow,pig,Different animal than me,medium
11,cow,coop,Not related to my habitat,weak
12,cow,cob,I have nothing to do with this,weak
13,cow,cowman,Human who cares for me,strong
14,cow,cowpie,Result of me grazing in fields,strong
15,cow,cowflop,Result of me grazing in fields,strong
16,cow,cowflap,Part of me that swats flies,strong
17,cow,cowpat,Result of me grazing in fields,strong
18,cow,mooing,The action I do when vocalizing,strong
19,cow,cop,Not involved in police activities,weak
20,cow,mooed,Past tense of the sound I make,strong
21,cow,bovine,Broader category I belong to,medium
22,cow,heifer,Female counterpart to me,medium
23,cow,cult,I have nothing to do with this,weak
24,cow,cowinner,Victor in a competition involving me,strong
25,cow,cot,I have nothing to do with this,weak
26,cow,cowskin,Part of me used for leather,strong
27,cow,cowpoke,Person who works with me,strong
28,cow,animal,Broad category that includes me,medium
29,cow,cowl,Garment not related to me,weak
30,cow,cock,Different type of bird,medium
31,cow,horse,Different animal used for riding,medium
32,cow,corn,Food I might eat,medium
33,cow,dog,Different animal kept as a pet,medium
34,cow,sow,"Female pig, not related to me",medium
35,cow,goat,Different animal with horns,medium
36,cow,cat,Different animal that meows,medium
37,cow,acock,I have nothing to do with this,weak
38,cow,crap,"Not related to me, waste matter",weak
39,cow,bovid,Family I belong to,medium
40,cow,oink,Sound made by a pig,medium
41,cow,farm,Place where I might live,medium
42,cow,ewe,"Female sheep, different from me",medium
43,cow,barnyard,Area where I might be found,medium
44,cow,cowmen,People who take care of me,strong
45,cow,cod,Different type of fish,medium
46,cow,coo,"Sound made by doves, not me",medium
47,cow,bulbul,I have nothing to do with this bird,weak
48,cow,cowhide,Part of me used for leather goods,strong
49,cow,cowhand,Person who works with me,strong
50,cow,calf,"Super close, sizzling hot",strong
51,cow,cum,I have nothing to do with this,weak
52,cow,cowherd,"Super close, sizzling hot",strong
53,cow,cowboy,I am often associated with them,medium
54,cow,cowfish,I have nothing to do with this,weak
55,cow,ow,I make this sound in pain,strong
56,cow,horn,I have two of these on head,strong
57,cow,swine,I am a different type of animal,weak
58,cow,cart,I pull this on the farm,strong
59,cow,cowpuncher,I am not a violent person,medium
60,cow,lamb,I am a different young animal,weak
61,cow,rooster,I wake up to their crowing,medium
62,cow,cattalo,I am a different hybrid animal,weak
63,cow,fowl,I am a different type of bird,weak
64,cow,cowrote,I cannot write,strong
65,cow,camel,I am a different desert animal,weak
66,cow,moose,I am a larger animal,medium
67,cow,herd,I belong to this group term,strong
68,cow,cowing,I do not intimidate others,weak
69,cow,hound,I am chased by these sometimes,medium
70,cow,cate,I have nothing to do with this,weak
71,cow,beef,I am made into this food,strong
72,cow,holstein,I am a different breed,weak
73,cow,cowhiding,I do not harm others like this,weak
74,cow,hoe,I see this in the garden,medium
75,cow,monkey,I am a different type of primate,weak
76,cow,sheepman,I am not a shepherd,weak
77,cow,pork,I am a different meat,weak
78,cow,coat,I do not wear clothing,weak
79,cow,cowgirl,I am a different gender,weak
80,cow,cluck,I make a different sound,weak
81,cow,mob,I do not gather in groups,weak
82,cow,cooer,I do not make this sound,weak
83,cow,country,I may live in rural areas,medium
84,cow,livestock,I am categorized as this,strong
85,cow,cookey,I do not eat cookies,weak
