rank,secret_word,word,clue,connection_strength
1,cry,cry,This is the *.,secret_word
2,cry,cried,I often follow this with tears,strong
3,cry,crybaby,I am not as sensitive as this,medium
4,cry,crying,I am the result of this,strong
5,cry,weep,"Similar to me, but different sound",weak
6,cry,watchcry,I have nothing to do with this,weak
7,cry,cryingly,I am not known for doing this,weak
8,cry,crier,"I am one, but not always audible",medium
9,cry,crap,I have nothing to do with this,weak
10,cry,sob,"Similar to me, but more intense",weak
11,cry,cling,I don't usually go hand in hand,weak
12,cry,scream,I am quieter than this action,medium
13,cry,crypt,I have nothing to do with this,weak
14,cry,weepy,I am not as emotionally expressive,medium
15,cry,outcry,I am quieter than this expression,medium
16,cry,pray,I am more emotional than this,weak
17,cry,bawl,I am not as loud as this,medium
18,cry,cope,I am not as good at this,medium
19,cry,die,I am more emotional than this,weak
20,cry,sobbed,I usually come after this action,strong
21,cry,weepie,I am not as sentimental as this,medium
22,cry,freeze,I do not stop like this,weak
23,cry,bawler,I am quieter than this crier,medium
24,cry,weeping,I am often the result of this,strong
25,cry,sobbing,I am closely related to this,strong
26,cry,tear,I am often followed by this,strong
27,cry,bawling,I am not as loud as this,medium
28,cry,teary,I am often followed by this,strong
29,cry,sad,I am associated with this emotion,strong
30,cry,sobber,I am related to this emotional expression,strong
31,cry,outcrying,I am quieter than this expression,medium
32,cry,bawled,I am not as loud as this action,medium
33,cry,countercry,I have nothing to do with this,weak
34,cry,shout,I am quieter than this,medium
35,cry,wept,I am often followed by this,strong
36,cry,sobful,I am associated with this emotion,strong
37,cry,cold,I can cause this feeling sometimes,medium
38,cry,whimper,I am louder than this sound,medium
39,cry,screaming,I am quieter than this action,medium
40,cry,outcried,I am quieter than this expression,medium
41,cry,laugh,I am not as joyful as this,medium
42,cry,yell,I am not as loud as this,medium
43,cry,tearjerker,I am often related to this movie,strong
44,cry,tearfully,I am not as emotionally expressive,medium
45,cry,phony,"I am genuine, not fake like this",strong
46,cry,credible,"I am truthful, unlike this sometimes",strong
47,cry,cripe,I have nothing to do with this,weak
48,cry,laughter,I am not as joyful as this,medium
49,cry,boohooing,I am not as loud as this,medium
50,cry,wheep,I am not as loud as this sound,medium
51,cry,crypto,I have nothing to do with this,weak
52,cry,baby,I am more mature than this,weak
53,cry,call,I am silent compared to this,weak
54,cry,screamer,I am quieter than this,weak
55,cry,blubbing,I am less emotional than this,weak
56,cry,weepiest,"Super close, sizzling hot",strong
57,cry,cyan,I have no color like this,strong
58,cry,yawled,I make less noise than this,weak
59,cry,tearfulness,"Super close, sizzling hot",strong
60,cry,cant,I don't refuse like this,weak
61,cry,panic,I am calmer than this,weak
62,cry,shriek,I am quieter than this,weak
63,cry,blubbed,"Super close, sizzling hot",strong
64,cry,screamed,I am quieter than this,weak
65,cry,wail,"Super close, sizzling hot",strong
66,cry,crease,I do not fold like this,strong
67,cry,screak,I am quieter than this,weak
68,cry,fight,I am not aggressive like this,strong
69,cry,error,I am not wrong like this,strong
70,cry,blubbering,"Super close, sizzling hot",strong
71,cry,moan,"Super close, sizzling hot",strong
72,cry,tearful,"Super close, sizzling hot",strong
73,cry,decry,I don't criticize like this,strong
74,cry,icy,I am not cold like this,medium
75,cry,wheeping,"Super close, sizzling hot",strong
76,cry,yowl,"Super close, sizzling hot",strong
77,cry,shrieky,I am quieter than this,weak
78,cry,peesweep,I don't go unnoticed like this,strong
79,cry,fried,I am not cooked like this,strong
80,cry,coo,I am not soothing like this,medium
81,cry,squalling,"Super close, sizzling hot",strong
82,cry,tearily,"Super close, sizzling hot",strong
83,cry,wailing,"Super close, sizzling hot",strong
84,cry,sorry,I am not apologetic like this,strong
85,cry,craw,I don't move like this,strong
86,cry,sleep,I don't rest like this,strong
87,cry,wailed,"Super close, sizzling hot",strong
88,cry,bled,"Super close, sizzling hot",strong
89,cry,cycle,I am not repetitive like this,strong
90,cry,teared,"Super close, sizzling hot",strong
91,cry,aching,I am not in pain like this,strong
92,cry,groan,"Super close, sizzling hot",strong
93,cry,critical,I am less serious than this,weak
94,cry,sing,I am not melodious like this,strong
95,cry,exclaim,I don't speak loudly like this,strong
96,cry,tearer,"Super close, sizzling hot",strong
97,cry,shrieker,I am quieter than this,weak
98,cry,try,I am not attempting like this,strong
99,cry,emotion,I am less expressive than this,weak
100,cry,rip,I am not tearing like this,strong
101,cry,cringe,I don't react negatively like this,strong
102,cry,caller,I respond to this type of me,medium
103,cry,weeper,I am a more intense version,strong
104,cry,hysterically,I am often described as this,strong
105,cry,whiny,I am sometimes seen as this,medium
106,cry,tearstained,I am often associated with this,strong
107,cry,fly,I have nothing to do with this,weak
108,cry,pry,I try to avoid this action,medium
109,cry,pity,I evoke feelings of this emotion,medium
110,cry,rink,I have nothing to do with this,weak
