rank,secret_word,word,clue,connection_strength
1,death,death,This is the *.,secret_word
2,death,dead,I am the result of this,strong
3,death,deathy,I am not related to this,weak
4,death,die,I am the final outcome of this,strong
5,death,decease,I am synonymous with this,strong
6,death,mortality,I am the certainty in this,strong
7,death,fatality,I am the ultimate outcome here,strong
8,death,dying,I am the end of this process,strong
9,death,decay,I am the progression after this,strong
10,death,demise,I am the end of this existence,strong
11,death,deadness,I represent the state of this,strong
12,death,dieing,I am the result of this process,strong
13,death,deathbed,I am the final resting place,strong
14,death,fatal,I am the consequence of this,strong
15,death,deceased,I am the state of being this,strong
16,death,deathful,I am the embodiment of this,strong
17,death,deathblow,I am the final strike here,strong
18,death,killing,I am the result of this action,strong
19,death,deadliness,I am the essence of this,strong
20,death,suicide,I am chosen by this act,strong
21,death,birth,I am the opposite of this,strong
22,death,deathly,I am the characteristic of this,strong
23,death,died,I am the past tense of this,strong
24,death,kill,I am the consequence of this action,strong
25,death,termination,I am the ultimate ending point,strong
26,death,deathsman,I am the master of this,strong
27,death,funeral,I am the event related to this,strong
28,death,moribundity,I am the state before me,strong
29,death,deceasing,I am the process of this,strong
30,death,decedent,I am the outcome of this,strong
31,death,deathsmen,I am the leaders of this,strong
32,death,ceased,I am the result of stopping,strong
33,death,doom,I am the fate awaiting this,strong
34,death,necrosis,"Super close, sizzling hot",strong
35,death,deadest,I am the most of this,strong
36,death,obituary,I am the announcement of this,strong
37,death,deathlessness,I am the absence of this,strong
38,death,decision,I am made before me,strong
39,death,defat,I am the consequence of this,strong
40,death,deaden,I am what happens after this,strong
41,death,deader,I am more final than this,strong
42,death,danger,I lurk in this situation,strong
43,death,fatally,I am the result of this,strong
44,death,predecease,I am what happens before me,strong
45,death,health,I am the opposite of this,strong
46,death,deadly,I am the potential of this,strong
47,death,deathless,I am the opposite of this,strong
48,death,destruction,I am the result of this,strong
49,death,murder,I am the consequence of this,strong
50,death,euthanasia,I am chosen in mercy here,strong
51,death,life,I am the opposite of this,strong
52,death,mortally,I bring this closer to me,strong
53,death,eath,Similar to my essence,strong
54,death,pain,I often cause this sensation,strong
55,death,obit,Document marking my presence,medium
56,death,perish,I ensure all things eventually do,strong
57,death,necrology,Study of my inevitable work,strong
58,death,failure,I am the ultimate outcome of,strong
59,death,sickness,Often leads to my embrace,medium
60,death,burial,Where I prepare the departed,strong
61,death,departure,The ultimate journey away from me,strong
62,death,corpse,Lifeless vessel under my domain,strong
63,death,maut,"Different name, same finality",medium
64,death,mortal,Those susceptible to my grasp,strong
65,death,destroy,I excel in bringing things to,strong
66,death,lethality,My touch is often described as,strong
67,death,lifelessness,My signature absence of vitality,strong
68,death,deathlessly,An impossibility in my presence,strong
69,death,expiration,The moment when life meets me,strong
70,death,extinction,I am the end of species,strong
71,death,mort,Close to my name in meaning,strong
72,death,immortality,The opposite of my realm,strong
73,death,defense,Attempts to keep me at bay,medium
74,death,howdied,The question that follows my visit,medium
75,death,postmortem,Analysis of my aftermath,strong
76,death,grave,Where those touched by me rest,strong
77,death,morbidness,Darkness often associated with my presence,strong
78,death,damnation,Some believe I lead to this,medium
79,death,morbid,Related to the nature of my work,strong
80,death,moribund,On the brink of my embrace,strong
81,death,delete,Erasing life like I do,strong
82,death,suffocation,One way I bring the end,strong
83,death,damage,I leave destruction in my wake,strong
84,death,stillborn,Never had the chance to live,strong
85,death,countdown,Approaching end signaled by me,strong
86,death,sad,Emotion often felt in my presence,medium
87,death,grief,Emotion following my unwelcome visit,strong
88,death,loss,Result of my presence felt deeply,strong
89,death,nonlife,Opposite of what I extinguish,strong
90,death,annihilation,"Complete destruction, my specialty",strong
91,death,aging,Natural progression towards my realm,medium
92,death,thanatological,Study of my role in existence,strong
93,death,decapitation,Swift way to meet my embrace,strong
94,death,bereavement,Emotion felt after I take a loved one,strong
95,death,smiercase,"In some places, I am known as",medium
96,death,disease,Often the cause of my arrival,strong
97,death,extermination,My work on a larger scale,strong
98,death,sadness,Emotion tied closely to my presence,medium
99,death,illness,Often the precursor to my arrival,strong
100,death,fire,One way I consume life,strong
101,death,afterlife,Existence beyond my realm's reach,strong
102,death,defeat,I bring an end to this victory,strong
103,death,de,I am part of this word,strong
104,death,fate,"I determine the end, like this",strong
105,death,deathcup,I have no connection with this,weak
106,death,lethal,I am the result of this,strong
107,death,stillbirth,"I prevent life, like this event",strong
108,death,thanatology,I am the subject of this study,strong
109,death,perishing,I am the outcome of this,strong
110,death,downfall,"I lead to this, like a fall",strong
111,death,cancer,"I cause the end, like this disease",strong
112,death,attack,I result from this offensive move,strong
113,death,depression,I deepen this state of mind,strong
114,death,senescence,I am the final stage of this,strong
115,death,sorrow,"I bring this feeling, like grief",strong
116,death,depart,I come when it's time to leave,strong
117,death,dieback,I am the process of this,strong
118,death,destiny,"I decide the course, like fate",strong
119,death,dee,I am part of this word,strong
120,death,demised,I am the result of this,strong
121,death,down,I lead to this direction,strong
122,death,widowhood,"I result in this status, like loss",strong
123,death,bad,I am the opposite of good,strong
124,death,dad,I am related to this parent,strong
125,death,deathwatch,I have no connection with this,weak
126,death,evil,I am the embodiment of this,strong
127,death,deep,I am the opposite of shallow,strong
128,death,darkness,I bring this absence of light,strong
129,death,decline,I am the result of this decrease,strong
130,death,due,"I claim what is owed, like this",strong
131,death,mortuary,I am the place for the deceased,strong
132,death,cremation,I am the fire that consumes,strong
133,death,mortary,I have no connection with this,weak
134,death,deed,"I am the final act, like this",strong
135,death,expire,"I mark the end, like this term",strong
136,death,killed,I am the result of this action,strong
137,death,crime,I am the consequence of this,strong
138,death,battle,I am the end of this fight,strong
139,death,birthday,"I mark the beginning, not the end",weak
140,death,undead,I am not related to this,weak
141,death,doomsday,I am the day of ultimate end,strong
142,death,finality,"I am the ultimate conclusion, like this",strong
143,death,breaking,"I lead to separation, like this",strong
144,death,deletion,"I erase, like removing this word",strong
145,death,apse,I have no connection with this,weak
146,death,deicide,I am the result of killing gods,strong
147,death,deadliest,I am the ultimate in lethality,strong
