rank,secret_word,word,clue,connection_strength
1,door,door,This is the *.,secret_word
2,door,doorway,I lead to this entrance path,strong
3,door,doorman,I work with this entrance guardian,strong
4,door,gate,I am like a larger version of this,medium
5,door,doorpost,I am next to this supporting structure,strong
6,door,backdoor,I am another way in like this,medium
7,door,doorjamb,"Super close, sizzling hot",strong
8,door,doorstop,I prevent slamming like this object,strong
9,door,trapdoor,I hide secrets like this opening,medium
10,door,doorkeeper,I am like an automated version of this,medium
11,door,doorknob,I have a handle similar to this,medium
12,door,doorstep,I am the entrance threshold like this,strong
13,door,entryway,I am another term for this,medium
14,door,opening,I am a type of this,medium
15,door,portal,I am a synonym for this,medium
16,door,doormen,I work with these entrance guardians,strong
17,door,doorplate,I have a nameplate like this,medium
18,door,gateway,I am a larger version of this,medium
19,door,portiere,I am like a curtain like this,medium
20,door,open,I am the opposite of this,weak
21,door,entrance,I am a synonym for this,medium
22,door,porch,"Super close, sizzling hot",strong
23,door,locker,I store items like this container,weak
24,door,entranceway,I am another term for this,medium
25,door,through,I am the opposite of this,weak
26,door,portress,I am like a female guardian,medium
27,door,window,I am a different type of opening,weak
28,door,doorbell,I announce visitors like this device,strong
29,door,entry,I am a synonym for this,medium
30,door,indow,I have nothing to do with this,weak
31,door,doorsill,I share a threshold with this,strong
32,door,pandoor,I have nothing to do with this,weak
33,door,opener,I am used to access like this,strong
34,door,closing,I am the opposite of this,weak
35,door,doorless,"Super close, sizzling hot",strong
36,door,duit,I have nothing to do with this,weak
37,door,outer,I lead to this exterior space,strong
38,door,drawer,I have nothing to do with this,weak
39,door,portico,I lead to this covered entrance,strong
40,door,dooryard,"Super close, sizzling hot",strong
41,door,dock,I am near this waterfront platform,strong
42,door,anteroom,I am like a small waiting area,medium
43,door,inside,I lead to this interior space,strong
44,door,outside,I lead to this exterior space,strong
45,door,enter,I allow access like this action,strong
46,door,dorr,I have nothing to do with this,weak
47,door,close,I am the opposite of this,weak
48,door,doormat,I am stepped on like this object,strong
49,door,passageway,I am a type of this route,medium
50,door,hatchway,I am like a ship's opening,medium
51,door,porthole,I am like a ship's window,medium
52,door,openable,I let you pass when I do,strong
53,door,gatekeeper,I am not the guardian here,weak
54,door,room,I lead you into this space,strong
55,door,gateman,I am not the keeper here,weak
56,door,opened,I am the result of this,medium
57,door,hallway,I connect rooms like this passage,strong
58,door,lobby,I am not the waiting area,weak
59,door,den,I am not the cozy space,weak
60,door,housefront,I am not the facade here,weak
61,door,garage,I am not the parking space,weak
62,door,handler,I am not the one in control,weak
63,door,closet,I store items unlike this space,strong
64,door,lock,I keep you out unlike this,strong
65,door,archway,I am not the grand entrance,weak
66,door,perron,"Super close, sizzling hot",strong
67,door,into,I lead you somewhere unlike this,strong
68,door,access,I grant entry unlike this permission,strong
69,door,postern,I am not the back entrance,weak
70,door,directory,I am not the list of names,weak
71,door,gangway,I am not the narrow passage,weak
72,door,antre,I am not the cave entrance,weak
73,door,gatelike,I am not similar to a gate,weak
74,door,knock,I am silent unlike this sound,medium
75,door,thru,I am not the shortcut here,weak
76,door,handle,I am not the part to grasp,weak
77,door,entered,I am the result of this action,medium
78,door,closed,I keep you out like this state,strong
79,door,direction,I guide you unlike this indication,strong
80,door,dormer,I am not the window type,weak
81,door,gated,I am not the enclosed area,weak
82,door,dirk,I am not the weapon type,weak
83,door,hole,I am not the opening type,weak
84,door,floor,I am not the ground level,weak
85,door,portered,I am not attended like this,weak
86,door,out,I lead you in unlike this exit,strong
87,door,home,I am not the dwelling place,weak
88,door,driveway,I am not the road to drive,weak
89,door,nextdoor,I am not the neighbor nearby,weak
90,door,wall,I separate spaces unlike this barrier,strong
91,door,peephole,I am not the spy opening,weak
92,door,container,I am not the storage vessel,weak
93,door,port,I am not the harbor location,weak
94,door,shut,I keep you out when I am,strong
95,door,porter,I am not the luggage carrier,weak
96,door,bar,I block entry unlike this obstruction,strong
97,door,propylaeum,I am not the temple entrance,weak
98,door,duct,I am not the ventilation pathway,weak
99,door,penster,I am not the ink writer,weak
100,door,picklock,I prevent unauthorized entry unlike this tool,strong
101,door,oyer,I am not the legal announcement,weak
102,door,ousel,I have nothing to do with this,weak
103,door,inner,I am the opposite of this,strong
104,door,gatehouse,I guard better than this building,strong
105,door,guard,I am not as vigilant as this,medium
106,door,dire,I have nothing to do with this,weak
107,door,shopwindow,I separate more than this,medium
108,door,outdoor,I lead inside unlike this,strong
109,door,decor,I am plain compared to this,medium
110,door,dojo,I have nothing to do with this,weak
111,door,gating,I control better than this,strong
112,door,de,I have nothing to do with this,weak
113,door,in,I am the way to this,strong
114,door,fenestra,I am not a window like this,medium
115,door,driver,I am not a vehicle like this,medium
116,door,keeper,I guard differently than this,medium
117,door,curtain,I open differently than this,medium
118,door,portcullis,I am not a medieval gate like this,medium
119,door,ort,I have nothing to do with this,weak
120,door,closure,I close differently than this,medium
121,door,folder,I hold differently than this,medium
122,door,corridor,I connect rooms unlike this,strong
123,door,deadbolt,I lock differently than this,medium
124,door,encloser,I enclose differently than this,medium
125,door,interior,I lead outside unlike this,strong
126,door,warehouse,I am not a storage like this,medium
127,door,portlier,I am not a grand gate like this,medium
128,door,portaled,I am not a gateway like this,medium
129,door,mudroom,I am not a room like this,medium
130,door,dorm,I am not a student building like this,medium
131,door,facility,I am not a building like this,medium
132,door,carport,I am not a shelter like this,medium
133,door,corner,I am part of a frame unlike this,strong
134,door,entering,I lead out unlike this action,strong
135,door,pore,I have nothing to do with this,weak
136,door,checkroom,I am not a storage like this,medium
137,door,hall,I connect rooms unlike this,strong
138,door,dogtrot,I am not a type of house like this,medium
139,door,hinge,I open differently than this,medium
140,door,entree,I am not a dish like this,medium
141,door,dialog,I have nothing to do with this,weak
142,door,panel,I am not a section like this,medium
143,door,aisleway,I connect rooms unlike this,strong
144,door,palier,I am part of a landing unlike this,strong
145,door,device,I am not a gadget like this,medium
146,door,veranda,I am part of a house unlike this,strong
147,door,enterer,I am not a person like this,medium
148,door,wagon,I am not a vehicle like this,medium
149,door,wireway,I am not a pathway like this,medium
150,door,menu,I have nothing to do with this,weak
151,door,breezeway,I connect rooms unlike this,strong
152,door,entrant,I control access for this person,strong
153,door,haar,I can block or reveal this,weak
154,door,office,I lead to a workplace like this,medium
155,door,toom,I have no connection to this,weak
156,door,gat,I am similar to this entrance,medium
157,door,tool,I am not used like this,weak
158,door,indoor,I contrast with being outside like this,strong
159,door,exterior,I am opposite to this,strong
160,door,procedure,I am not a series of steps,weak
161,door,mailbox,I can be a location for this,medium
162,door,knob,I can be turned like this,medium
163,door,rerouting,I am not about redirecting paths,weak
164,door,alley,I lead to a path like this,medium
165,door,due,I am not related to this payment,weak
166,door,venue,I am not a location for events,weak
167,door,yard,I can be an entrance to this,medium
168,door,stair,I am a way up like this,medium
169,door,connector,I am not about linking things,weak
170,door,guide,I can direct like this,medium
171,door,storefront,I am an entrance to a shop,strong
172,door,gar,"Super close, sizzling hot",strong
173,door,foyer,I am an entrance hall like this,strong
174,door,fore,I am not in front like this,strong
175,door,key,I can lock and unlock this,medium
176,door,way,I am a path like this,medium
177,door,van,I can be a vehicle entrance,medium
178,door,parodoi,I am not a Greek entrance corridor,weak
179,door,louver,I can have slats like this,medium
180,door,terminal,I am not about ending journeys,weak
181,door,din,I can block out this noise,medium
182,door,guardhouse,I control access like this building,strong
183,door,front,I am an entrance like this,strong
184,door,by,I am not a side like this,strong
185,door,toolhouse,I can be a storage for tools,medium
186,door,via,I am not a route like this,strong
187,door,store,I am an entrance to a shop,strong
188,door,per,I am not a Latin preposition,strong
189,door,torii,I can be a Japanese gate,medium
190,door,tor,I am a rocky hill like this,medium
191,door,lockkeeper,I secure entry like this person,strong
192,door,casement,I can have windows like this,medium
193,door,tollgate,I control passage like this barrier,strong
194,door,forward,I am a direction like this,strong
195,door,vestibule,I am an entrance hall like this,strong
196,door,coatroom,I can be near an entrance,medium
197,door,byre,I am not a cattle shelter,strong
