rank,secret_word,word,clue,connection_strength
1,draw,draw,This is the *.,secret_word
2,draw,drawing,I am the result of this,strong
3,draw,misdraw,I am not done correctly,weak
4,draw,drawn,I am the past tense of this,strong
5,draw,redraw,I am done again,strong
6,draw,outdraw,I am surpassed by this,weak
7,draw,sketch,I am a rough version of this,strong
8,draw,drew,I did this in the past,strong
9,draw,undraw,I am the opposite of this,strong
10,draw,outdrawing,I am being surpassed,weak
11,draw,redrawn,I am done again in the past,strong
12,draw,redrawing,I am being done again,weak
13,draw,drawstring,I am not related to this,weak
14,draw,undrawing,I am the opposite of being done,medium
15,draw,scribble,I am a messy version of this,strong
16,draw,draft,I am an early version of this,strong
17,draw,paint,I am not used for this,weak
18,draw,misdrawn,I am not the correct past tense,weak
19,draw,withdraw,I am not involved in this,weak
20,draw,diagram,I am a visual representation like this,strong
21,draw,sketched,I am the past tense of a rough version,strong
22,draw,outdrawn,I am surpassed in the past,weak
23,draw,doodle,I am a casual version of this,strong
24,draw,design,I am not related to this,weak
25,draw,drawshave,I have nothing to do with this,weak
26,draw,redrawer,I am someone who does this again,weak
27,draw,sketching,I am creating a rough version,strong
28,draw,overdraw,I am not related to this,weak
29,draw,write,I am not used for this,weak
30,draw,graphic,I am a visual representation like this,strong
31,draw,drawl,"I speak slowly, unlike this action",strong
32,draw,outdrew,I was surpassed in the past,weak
33,draw,pencil,I am used for this,strong
34,draw,graph,I am a visual representation like this,strong
35,draw,resketch,I am doing a new rough version,strong
36,draw,dawing,I have nothing to do with this,weak
37,draw,misdrawing,I am not done correctly,weak
38,draw,doodled,I did a casual version of this,strong
39,draw,drawable,I have the ability to be done,medium
40,draw,drag,I am not related to this action,weak
41,draw,drawly,"I speak slowly, unlike this action",strong
42,draw,doodling,"I am casually creating, not this",strong
43,draw,describe,"I can explain, not this action",weak
44,draw,figure,"I am a shape, not this action",weak
45,draw,sketchbook,"I contain rough versions, not this",medium
46,draw,undrawn,I am the opposite of this,strong
47,draw,picture,I am a visual representation like this,strong
48,draw,drawer,"I hold tools, not this action",medium
49,draw,illustrate,"I can visually explain, not this",weak
50,draw,depict,"I show in an image, not this",weak
51,draw,scribbling,"I am creating messily, not this",strong
52,draw,derive,I am the starting point for this,medium
53,draw,draftsmanship,I am the skill of this art,strong
54,draw,illustration,I am the visual representation in art,strong
55,draw,undrew,I have no part in this,weak
56,draw,wiredraw,I am not involved in this process,weak
57,draw,chart,I help create this visual aid,medium
58,draw,drawlier,I am less skilled than this,weak
59,draw,dray,I am not used for transport,weak
60,draw,create,I am the action before this,medium
61,draw,pull,I do not exert force like this,weak
62,draw,plot,I am the beginning of a story,medium
63,draw,scribbled,I am the result of messy lines,medium
64,draw,sketcher,"Super close, sizzling hot",strong
65,draw,curve,I am not a smooth line,weak
66,draw,countdown,I am not a timer counting down,weak
67,draw,drawnwork,I am not intricate needlework,weak
68,draw,brush,I am a tool used for painting,medium
69,draw,painting,I am the result of artistic creation,strong
70,draw,swith,I have no connection to this,weak
71,draw,writing,I am not the act of writing,weak
72,draw,cartoon,"Super close, sizzling hot",strong
73,draw,illustrating,I am the action of creating visuals,medium
74,draw,drawler,"Super close, sizzling hot",strong
75,draw,handwrite,I am not the act of writing by hand,weak
76,draw,scratch,I am not a rough mark,weak
77,draw,doodler,I am not someone who doodles,weak
78,draw,render,I am the process of visual representation,medium
79,draw,drawling,I am not the act of speaking slowly,weak
80,draw,illustrator,I am the creator of visual art,strong
81,draw,generate,I am the starting point for creation,medium
82,draw,make,I am the action before creation,medium
83,draw,crayon,I am a tool for coloring,medium
84,draw,freehand,"Super close, sizzling hot",strong
85,draw,drawdown,I am not a decrease in quantity,weak
86,draw,draught,I am not a current of air,weak
87,draw,crayoned,I am not colored with crayons,weak
88,draw,scribbler,I am not someone who scribbles,weak
89,draw,scrawl,I am not a messy handwriting,weak
90,draw,crayoning,I am not the act of coloring,weak
91,draw,graphically,I am not related to visual representation,weak
92,draw,construct,I am the action before building,medium
93,draw,drink,I do not consume liquids like this,weak
94,draw,dreigh,I do not know what this is,weak
95,draw,penciling,I am the act before shading,medium
96,draw,redrew,"Super close, sizzling hot",strong
97,draw,visualization,I am the mental representation of data,medium
98,draw,drill,I am not a tool for making holes,weak
99,draw,outline,I am the basic shape of something,medium
100,draw,shoot,I am not a sudden movement,weak
101,draw,decorate,I am the action before embellishing,medium
102,draw,delineate,I create clear boundaries for this,strong
103,draw,rectangle,I often form shapes like this,medium
104,draw,cratch,I have nothing to do with this,weak
105,draw,penciled,I am often done with this tool,medium
106,draw,line,I follow this to create art,strong
107,draw,graphing,I help create visual representations like this,strong
108,draw,pencel,I use a similar tool like this,medium
109,draw,resketching,I redo initial sketches like this,strong
110,draw,plan,I often start with a rough this,medium
111,draw,dragon,I have nothing to do with this,weak
112,draw,graphed,I am part of creating graphs like this,strong
113,draw,artwork,I am the foundation of this,strong
114,draw,sketchier,I am more refined than this,medium
115,draw,ellipse,"Super close, sizzling hot",strong
116,draw,thrawing,I have nothing to do with this,weak
117,draw,art,I am the basis of this creation,strong
118,draw,renderer,I bring life to images like this,strong
119,draw,drawbore,I have nothing to do with this,weak
120,draw,diagramed,I help create visual diagrams like this,strong
121,draw,illustrated,I bring visuals to life like this,strong
122,draw,etched,I can create intricate designs like this,strong
123,draw,animation,I am used to create moving this,strong
124,draw,visualize,I help people see this clearly,strong
125,draw,yield,I result in detailed creations like this,strong
126,draw,diagrammatically,I am involved in visual representations like this,strong
127,draw,attract,"Super close, sizzling hot",strong
128,draw,artist,I am the creator of this,strong
129,draw,essay,I am the blueprint for this,strong
130,draw,resketched,I redo initial sketches like this,strong
131,draw,draftsman,I am a skilled creator like this,strong
132,draw,diagrammed,I help create visual diagrams like this,strong
133,draw,misdrew,I make mistakes unlike this,medium
134,draw,ink,I use this to bring ideas to life,strong
135,draw,sharpie,I can create bold lines like this,strong
136,draw,diagrammatic,I am used for creating visual this,strong
137,draw,gesture,I communicate through movements like this,strong
138,draw,draftsmen,I work with skilled creators like this,strong
139,draw,drafting,I am the foundation for this creation,strong
140,draw,weep,I have nothing to do with this,weak
141,draw,detail,I focus on intricacies like this,strong
142,draw,shape,I can create various forms like this,strong
143,draw,depiction,I help illustrate scenes like this,strong
144,draw,stencil,I am used to replicate shapes like this,strong
145,draw,squiggle,I create playful lines like this,strong
146,draw,rasing,I have nothing to do with this,weak
147,draw,grab,I bring things closer like this,strong
148,draw,diagrammable,I am involved in creating visual this,strong
149,draw,interpret,I explain meanings like this,strong
150,draw,point,I emphasize important aspects like this,strong
151,draw,thesis,I support arguments like this,strong
152,draw,circle,I am always perfectly round,strong
153,draw,pensil,I am used to create lines,medium
154,draw,scrieve,I have nothing to do with this,weak
155,draw,ate,I am not edible like this,strong
156,draw,cartooning,I am often depicted in this,medium
157,draw,drib,I have nothing to do with this,weak
158,draw,dot,I am not a small spot,strong
159,draw,sculp,I am not a 3D sculpture,strong
160,draw,painty,"I use lines, not colors like this",strong
161,draw,bold,I am not as strong as this,strong
162,draw,did,I have nothing to do with this,weak
163,draw,tractive,I have nothing to do with this,weak
164,draw,drive,I have nothing to do with this,weak
165,draw,depicted,"I am often shown, not this",strong
166,draw,wiredrawn,I am not made of wire,strong
167,draw,croquis,I am not a quick sketch,strong
168,draw,scrawly,I am not messy like this,strong
169,draw,show,I am not for display like this,strong
170,draw,abstract,I am not conceptual like this,strong
171,draw,canva,I have nothing to do with this,weak
172,draw,dress,I don't wear clothes like this,strong
173,draw,swipe,I am not a quick motion,strong
174,draw,build,I am not a construction,strong
175,draw,color,I am not colorful like this,strong
176,draw,scrawled,"Super close, sizzling hot",strong
177,draw,handwrit,I am not handwriting,strong
178,draw,download,I have nothing to do with this,weak
179,draw,draughting,"Super close, sizzling hot",strong
180,draw,plotted,I am not part of a plan,strong
181,draw,paintbrush,"I create lines, not colors like this",strong
182,draw,map,I am not a geographical representation,strong
183,draw,caricature,I am not an exaggerated portrait,strong
184,draw,dialog,I am not a conversation,strong
185,draw,depicting,"I am often depicted, not this",strong
186,draw,scratchboard,I am not a board for scratching,strong
187,draw,painted,"I use lines, not colors like this",strong
188,draw,draughtsman,I am not a professional draftsman,strong
189,draw,throw,I have nothing to do with this,weak
190,draw,dismiss,I am not disregarded like this,strong
191,draw,underline,"I create lines, not underline words",strong
192,draw,dragging,I am not being dragged,strong
193,draw,storyboard,I am not part of a visual narrative,strong
194,draw,colour,I am not British spelling,strong
195,draw,bray,I have nothing to do with this,weak
196,draw,pencilled,I am not made by a pencil,strong
197,draw,grow,I have nothing to do with this,weak
198,draw,direction,I am not giving instructions,strong
199,draw,finish,I am not the end result,strong
200,draw,comic,I am not a humorous story,strong
201,draw,study,I am not for learning purposes,strong
202,draw,draftable,I am ready for drafting this,medium
203,draw,dragged,I am moved slowly like this,strong
204,draw,imagine,I can't actually do this,weak
205,draw,perform,I am not meant for performing,strong
206,draw,downstroke,My strokes don't go downwards like this,strong
207,draw,picturing,I am not involved in picturing,strong
208,draw,down,I am not heading downwards like this,strong
209,draw,grid,I am not part of a grid,strong
210,draw,extract,I am not used for extracting,strong
211,draw,craft,I am not involved in crafting,strong
212,draw,cut,I am not meant for cutting,strong
213,draw,portrait,I am not a subject for portraits,strong
214,draw,dream,I can't dream like humans do,weak
215,draw,sculpt,I am not for sculpting objects,strong
216,draw,think,I don't have the ability to think,weak
217,draw,lection,I am not involved in lections,strong
218,draw,drat,I am not expressing annoyance like this,strong
219,draw,gallery,I am not part of an art gallery,strong
220,draw,contrast,I don't contrast with anything,strong
221,draw,triangle,I am not a geometric shape,strong
222,draw,read,I am not for reading texts,strong
223,draw,take,I am not meant for taking things,strong
224,draw,penciler,"Super close, sizzling hot",strong
225,draw,pencilling,I don't involve pencilling activities,strong
226,draw,dib,"Super close, sizzling hot",strong
227,draw,earn,I don't earn like humans do,weak
228,draw,overdrawn,"Super close, sizzling hot",strong
229,draw,paper,I am not made of paper,strong
230,draw,depicter,I am not a depicter of scenes,strong
231,draw,fight,I am not meant for fighting battles,strong
232,draw,picturize,I am not involved in picturizing things,strong
233,draw,rewrite,I am not for rewriting texts,strong
234,draw,craw,I am not a craw of a bird,strong
235,draw,drypoint,I am not used for drypoint techniques,strong
236,draw,raise,I am not for raising objects,strong
237,draw,making,I am not involved in making things,strong
238,draw,cart,I am not a cart for transportation,strong
239,draw,portray,I am not meant for portraying individuals,strong
240,draw,mediate,I am not a mediator in conflicts,strong
241,draw,divide,I am not involved in dividing things,strong
242,draw,pen,I am not a writing pen instrument,strong
243,draw,bring,I am not bringing anything to places,strong
