rank,secret_word,word,clue,connection_strength
1,drink,drink,This is the *.,secret_word
2,drink,drank,,hard_cutoff
3,drink,drinking,,hard_cutoff
4,drink,outdrink,,hard_cutoff
5,drink,eat,,hard_cutoff
6,drink,drinker,,hard_cutoff
7,drink,imbibe,,hard_cutoff
8,drink,overdrink,,hard_cutoff
9,drink,consume,,hard_cutoff
10,drink,coffee,,hard_cutoff
11,drink,quaff,,hard_cutoff
12,drink,drinkable,,hard_cutoff
13,drink,guzzle,,hard_cutoff
14,drink,beverage,,hard_cutoff
15,drink,sipping,,hard_cutoff
16,drink,restaurant,,hard_cutoff
17,drink,beer,,hard_cutoff
18,drink,booze,,hard_cutoff
19,drink,glug,,hard_cutoff
20,drink,brew,,hard_cutoff
21,drink,eating,,hard_cutoff
22,drink,drinkability,,hard_cutoff
23,drink,drunk,,hard_cutoff
24,drink,imbibing,,hard_cutoff
25,drink,dress,,hard_cutoff
26,drink,wine,,hard_cutoff
27,drink,slurp,,hard_cutoff
28,drink,outdrank,,hard_cutoff
29,drink,swallow,,hard_cutoff
30,drink,sipped,,hard_cutoff
31,drink,thirsty,,hard_cutoff
32,drink,imbiber,,hard_cutoff
33,drink,swig,,hard_cutoff
34,drink,dinking,,hard_cutoff
35,drink,potation,,hard_cutoff
36,drink,drench,,hard_cutoff
37,drink,dine,,hard_cutoff
38,drink,swill,,hard_cutoff
39,drink,boozing,,hard_cutoff
40,drink,diet,,hard_cutoff
41,drink,quaffing,,hard_cutoff
42,drink,outdrunk,,hard_cutoff
43,drink,outdrinking,,hard_cutoff
44,drink,dink,,hard_cutoff
45,drink,thirst,,hard_cutoff
46,drink,bibber,,hard_cutoff
47,drink,undrunk,,hard_cutoff
48,drink,liquor,,hard_cutoff
49,drink,chug,,hard_cutoff
50,drink,food,,hard_cutoff
51,drink,imbibed,,hard_cutoff
52,drink,alcohol,,hard_cutoff
53,drink,drunker,,hard_cutoff
54,drink,quaffer,,hard_cutoff
55,drink,guzzled,,hard_cutoff
56,drink,quaffed,,hard_cutoff
57,drink,rink,,hard_cutoff
58,drink,tea,,hard_cutoff
59,drink,ate,,hard_cutoff
60,drink,drug,,hard_cutoff
61,drink,tipple,,hard_cutoff
62,drink,bartend,,hard_cutoff
63,drink,hydrate,,hard_cutoff
64,drink,dance,,hard_cutoff
65,drink,smoke,,hard_cutoff
66,drink,read,,hard_cutoff
67,drink,sipper,,hard_cutoff
68,drink,rehydrate,,hard_cutoff
69,drink,partake,,hard_cutoff
70,drink,swilling,,hard_cutoff
71,drink,quench,,hard_cutoff
72,drink,sleep,,hard_cutoff
73,drink,juice,,hard_cutoff
74,drink,overdrinking,,hard_cutoff
75,drink,dwine,,hard_cutoff
76,drink,bottle,,hard_cutoff
77,drink,ingest,,hard_cutoff
78,drink,club,,hard_cutoff
79,drink,nondrinking,,hard_cutoff
80,drink,breathe,,hard_cutoff
81,drink,swigging,,hard_cutoff
82,drink,mix,,hard_cutoff
83,drink,buy,,hard_cutoff
84,drink,drip,,hard_cutoff
85,drink,live,,hard_cutoff
86,drink,liquidintake,,hard_cutoff
87,drink,vodka,,hard_cutoff
88,drink,do,,hard_cutoff
89,drink,digest,,hard_cutoff
90,drink,drunkest,,hard_cutoff
91,drink,swilled,,hard_cutoff
92,drink,think,,hard_cutoff
93,drink,habit,,hard_cutoff
94,drink,guzzling,,hard_cutoff
95,drink,swim,,hard_cutoff
96,drink,cocktail,,hard_cutoff
97,drink,malt,,hard_cutoff
98,drink,waterintake,,hard_cutoff
99,drink,water,,hard_cutoff
100,drink,refreshment,,hard_cutoff
101,drink,dining,,hard_cutoff
102,drink,distill,,hard_cutoff
103,drink,did,,hard_cutoff
104,drink,party,,hard_cutoff
105,drink,inebriate,,hard_cutoff
106,drink,clink,,hard_cutoff
107,drink,grog,,hard_cutoff
108,drink,overdrank,,hard_cutoff
109,drink,dribble,,hard_cutoff
110,drink,drunken,,hard_cutoff
111,drink,soak,,hard_cutoff
112,drink,shake,,hard_cutoff
113,drink,dray,,hard_cutoff
114,drink,spritz,,hard_cutoff
115,drink,soberize,,hard_cutoff
116,drink,dunk,,hard_cutoff
117,drink,adult,,hard_cutoff
118,drink,degust,,hard_cutoff
119,drink,licit,,hard_cutoff
120,drink,soda,,hard_cutoff
121,drink,swigged,,hard_cutoff
122,drink,drib,,hard_cutoff
123,drink,mug,,hard_cutoff
124,drink,drain,,hard_cutoff
125,drink,uncork,,hard_cutoff
126,drink,gulped,,hard_cutoff
127,drink,sink,,hard_cutoff
128,drink,waitress,,hard_cutoff
129,drink,boozed,,hard_cutoff
130,drink,thirstily,,hard_cutoff
131,drink,dry,,hard_cutoff
132,drink,overdrunk,,hard_cutoff
133,drink,coke,,hard_cutoff
134,drink,glassful,,hard_cutoff
135,drink,clean,,hard_cutoff
136,drink,trinketer,,hard_cutoff
137,drink,rinse,,hard_cutoff
138,drink,libation,,hard_cutoff
139,drink,thirsting,,hard_cutoff
140,drink,piss,,hard_cutoff
141,drink,binge,,hard_cutoff
142,drink,draw,,hard_cutoff
143,drink,thirsted,,hard_cutoff
144,drink,shikker,,hard_cutoff
145,drink,glugged,,hard_cutoff
146,drink,barkeep,,hard_cutoff
147,drink,talk,,hard_cutoff
148,drink,swith,,hard_cutoff
149,drink,drill,,hard_cutoff
150,drink,boozy,,hard_cutoff
151,drink,write,,hard_cutoff
152,drink,die,,hard_cutoff
153,drink,hydration,,hard_cutoff
154,drink,liquoring,,hard_cutoff
155,drink,bhang,,hard_cutoff
156,drink,potion,,hard_cutoff
157,drink,refresh,,hard_cutoff
158,drink,chew,,hard_cutoff
159,drink,dipso,,hard_cutoff
160,drink,nosh,,hard_cutoff
161,drink,whiskey,,hard_cutoff
162,drink,liquored,,hard_cutoff
163,drink,drunkard,,hard_cutoff
164,drink,dispense,,hard_cutoff
165,drink,hotel,,hard_cutoff
166,drink,fight,,hard_cutoff
167,drink,punch,,hard_cutoff
168,drink,exercise,,hard_cutoff
169,drink,dree,,hard_cutoff
170,drink,treat,,hard_cutoff
171,drink,watch,,hard_cutoff
172,drink,swiller,,hard_cutoff
173,drink,take,,hard_cutoff
174,drink,durst,,hard_cutoff
175,drink,flask,,hard_cutoff
176,drink,laugh,,hard_cutoff
177,drink,drown,,hard_cutoff
178,drink,liquid,,hard_cutoff
179,drink,pint,,hard_cutoff
180,drink,tipsily,,hard_cutoff
181,drink,dramshop,,hard_cutoff
182,drink,breath,,hard_cutoff
183,drink,wash,,hard_cutoff
184,drink,tippler,,hard_cutoff
185,drink,intake,,hard_cutoff
186,drink,milk,,hard_cutoff
187,drink,undrinkable,,hard_cutoff
188,drink,doing,,hard_cutoff
189,drink,weatherglass,,hard_cutoff
190,drink,nightcap,,hard_cutoff
191,drink,boozer,,hard_cutoff
192,drink,potable,,hard_cutoff
193,drink,overconsume,,hard_cutoff
194,drink,gargle,,hard_cutoff
195,drink,taste,,hard_cutoff
196,drink,sangria,,hard_cutoff
197,drink,verb,,hard_cutoff
198,drink,slurped,,hard_cutoff
199,drink,massage,,hard_cutoff
200,drink,fluidintake,,hard_cutoff
201,drink,chugged,,hard_cutoff
202,drink,sober,,hard_cutoff
203,drink,whine,,hard_cutoff
204,drink,kill,,hard_cutoff
205,drink,swigger,,hard_cutoff
206,drink,whisky,,hard_cutoff
207,drink,suck,,hard_cutoff
208,drink,drub,,hard_cutoff
209,drink,meal,,hard_cutoff
210,drink,inhale,,hard_cutoff
211,drink,spirt,,hard_cutoff
212,drink,bate,,hard_cutoff
213,drink,chugalugged,,hard_cutoff
214,drink,walk,,hard_cutoff
215,drink,slake,,hard_cutoff
216,drink,slur,,hard_cutoff
217,drink,doctor,,hard_cutoff
218,drink,dunch,,hard_cutoff
219,drink,execute,,hard_cutoff
220,drink,munch,,hard_cutoff
221,drink,glass,,hard_cutoff
222,drink,listen,,hard_cutoff
223,drink,cook,,hard_cutoff
224,drink,ingurgitate,,hard_cutoff
225,drink,carouse,,hard_cutoff
