rank,secret_word,word,clue,connection_strength
1,duck,duck,This is the *.,secret_word
2,duck,ducky,,hard_cutoff
3,duck,ducker,,hard_cutoff
4,duck,duckie,,hard_cutoff
5,duck,duckling,,hard_cutoff
6,duck,ducking,,hard_cutoff
7,duck,duckier,,hard_cutoff
8,duck,duct,,hard_cutoff
9,duck,mallard,,hard_cutoff
10,duck,quacking,,hard_cutoff
11,duck,dock,,hard_cutoff
12,duck,ducked,,hard_cutoff
13,duck,quack,,hard_cutoff
14,duck,duckwalking,,hard_cutoff
15,duck,acock,,hard_cutoff
16,duck,dong,,hard_cutoff
17,duck,canard,,hard_cutoff
18,duck,duckbill,,hard_cutoff
19,duck,goose,,hard_cutoff
20,duck,quacked,,hard_cutoff
21,duck,gweduck,,hard_cutoff
22,duck,daffy,,hard_cutoff
23,duck,duckiest,,hard_cutoff
24,duck,dart,,hard_cutoff
25,duck,duckwalk,,hard_cutoff
26,duck,bluebill,,hard_cutoff
27,duck,waterfowl,,hard_cutoff
28,duck,duit,,hard_cutoff
29,duck,gadwall,,hard_cutoff
30,duck,duce,,hard_cutoff
31,duck,scaup,,hard_cutoff
32,duck,duke,,hard_cutoff
33,duck,duked,,hard_cutoff
34,duck,duckboard,,hard_cutoff
35,duck,swan,,hard_cutoff
36,duck,dummy,,hard_cutoff
37,duck,cluck,,hard_cutoff
38,duck,dabchick,,hard_cutoff
39,duck,geese,,hard_cutoff
40,duck,duking,,hard_cutoff
41,duck,wigeon,,hard_cutoff
42,duck,waddle,,hard_cutoff
43,duck,quad,,hard_cutoff
44,duck,hawk,,hard_cutoff
45,duck,ducted,,hard_cutoff
46,duck,wildfowl,,hard_cutoff
47,duck,cock,,hard_cutoff
48,duck,dup,,hard_cutoff
49,duck,goosey,,hard_cutoff
50,duck,egg,,hard_cutoff
51,duck,ducktail,,hard_cutoff
52,duck,widgeon,,hard_cutoff
53,duck,cow,,hard_cutoff
54,duck,pochard,,hard_cutoff
55,duck,duckwalked,,hard_cutoff
56,duck,pawn,,hard_cutoff
57,duck,chook,,hard_cutoff
58,duck,dash,,hard_cutoff
59,duck,owl,,hard_cutoff
60,duck,auk,,hard_cutoff
61,duck,webfoot,,hard_cutoff
62,duck,pintail,,hard_cutoff
63,duck,duff,,hard_cutoff
64,duck,buck,,hard_cutoff
65,duck,doll,,hard_cutoff
66,duck,bufflehead,,hard_cutoff
67,duck,pickle,,hard_cutoff
68,duck,pig,,hard_cutoff
69,duck,fowl,,hard_cutoff
70,duck,shelduck,,hard_cutoff
71,duck,hen,,hard_cutoff
72,duck,waddling,,hard_cutoff
73,duck,goosy,,hard_cutoff
74,duck,daff,,hard_cutoff
75,duck,dawk,,hard_cutoff
76,duck,eider,,hard_cutoff
77,duck,hoot,,hard_cutoff
