rank,secret_word,word,clue,connection_strength
1,eat,eat,This is the *.,secret_word
2,eat,eating,,hard_cutoff
3,eat,drink,,hard_cutoff
4,eat,eater,,hard_cutoff
5,eat,consume,,hard_cutoff
6,eat,food,,hard_cutoff
7,eat,ate,,hard_cutoff
8,eat,eaten,,hard_cutoff
9,eat,outeaten,,hard_cutoff
10,eat,munch,,hard_cutoff
11,eat,dine,,hard_cutoff
12,eat,overeat,,hard_cutoff
13,eat,outeat,,hard_cutoff
14,eat,meal,,hard_cutoff
15,eat,diet,,hard_cutoff
16,eat,devour,,hard_cutoff
17,eat,chew,,hard_cutoff
18,eat,undereat,,hard_cutoff
19,eat,eatable,,hard_cutoff
20,eat,pigout,,hard_cutoff
21,eat,enate,,hard_cutoff
22,eat,easting,,hard_cutoff
23,eat,restaurant,,hard_cutoff
24,eat,read,,hard_cutoff
25,eat,sleep,,hard_cutoff
26,eat,comer,,hard_cutoff
27,eat,eatery,,hard_cutoff
28,eat,bite,,hard_cutoff
29,eat,mangier,,hard_cutoff
30,eat,uneaten,,hard_cutoff
31,eat,overate,,hard_cutoff
32,eat,feed,,hard_cutoff
33,eat,undereaten,,hard_cutoff
34,eat,munched,,hard_cutoff
35,eat,noshed,,hard_cutoff
36,eat,manger,,hard_cutoff
37,eat,chowed,,hard_cutoff
38,eat,chow,,hard_cutoff
39,eat,dining,,hard_cutoff
40,eat,overeaten,,hard_cutoff
41,eat,peat,,hard_cutoff
42,eat,munching,,hard_cutoff
43,eat,hungry,,hard_cutoff
44,eat,feast,,hard_cutoff
45,eat,bate,,hard_cutoff
46,eat,nosh,,hard_cutoff
47,eat,live,,hard_cutoff
48,eat,cook,,hard_cutoff
49,eat,chowing,,hard_cutoff
50,eat,speise,,hard_cutoff
51,eat,digest,,hard_cutoff
52,eat,devoured,,hard_cutoff
53,eat,yum,,hard_cutoff
54,eat,gourmandize,,hard_cutoff
55,eat,vittle,,hard_cutoff
56,eat,swallow,,hard_cutoff
57,eat,noshing,,hard_cutoff
58,eat,gobble,,hard_cutoff
59,eat,gormandize,,hard_cutoff
60,eat,overeater,,hard_cutoff
61,eat,feasted,,hard_cutoff
62,eat,grow,,hard_cutoff
63,eat,chomp,,hard_cutoff
64,eat,buy,,hard_cutoff
65,eat,snack,,hard_cutoff
66,eat,eath,,hard_cutoff
67,eat,foodie,,hard_cutoff
68,eat,take,,hard_cutoff
69,eat,feasting,,hard_cutoff
70,eat,masticate,,hard_cutoff
71,eat,partake,,hard_cutoff
72,eat,mange,,hard_cutoff
73,eat,dinner,,hard_cutoff
74,eat,edible,,hard_cutoff
75,eat,nutrition,,hard_cutoff
76,eat,lunch,,hard_cutoff
77,eat,ingest,,hard_cutoff
78,eat,cooked,,hard_cutoff
79,eat,devourer,,hard_cutoff
80,eat,degust,,hard_cutoff
81,eat,dined,,hard_cutoff
82,eat,habit,,hard_cutoff
83,eat,snacked,,hard_cutoff
84,eat,reading,,hard_cutoff
85,eat,sit,,hard_cutoff
86,eat,outfeast,,hard_cutoff
87,eat,die,,hard_cutoff
88,eat,did,,hard_cutoff
89,eat,adapt,,hard_cutoff
90,eat,fight,,hard_cutoff
91,eat,orate,,hard_cutoff
92,eat,learn,,hard_cutoff
93,eat,glutton,,hard_cutoff
94,eat,fish,,hard_cutoff
95,eat,beat,,hard_cutoff
96,eat,digesting,,hard_cutoff
97,eat,appetite,,hard_cutoff
98,eat,supper,,hard_cutoff
