rank,word,similarity
1,book,1.00000000
2,nonbook,0.63341378
3,booking,0.62632886
4,bookmark,0.60873267
5,album,0.59688869
6,wordbook,0.57878051
7,cookbook,0.57712086
8,textbook,0.57559080
9,sourcebook,0.57033940
10,bookful,0.56712766
11,journal,0.56596330
12,libri,0.56340954
13,daybook,0.56337889
14,booklet,0.56314263
15,bankbook,0.56168682
16,bookrest,0.55888545
17,bookshop,0.55659061
18,casebook,0.55479609
19,pocketbook,0.55229719
20,publisher,0.54573339
21,schoolbook,0.54282309
22,storybook,0.54087717
23,catalog,0.53782805
24,hardcover,0.53292639
25,logbook,0.53128432
26,folder,0.52824478
27,workbook,0.52524807
28,hardback,0.52513057
29,livre,0.52447280
30,fiction,0.52440588
31,article,0.52432570
32,magazine,0.52392114
33,read,0.52374665
34,publication,0.52277347
35,library,0.52271102
36,handbook,0.52080829
37,chapter,0.51898477
38,document,0.51818353
39,bib,0.51759087
40,yearbook,0.51639944
41,paperback,0.51601986
42,songbook,0.51408088
43,dictionary,0.51253851
44,matchbook,0.51236543
45,promptbook,0.51202773
46,guidebook,0.51196382
47,writing,0.51165622
48,novel,0.51098272
49,bookstore,0.50901600
50,bookie,0.50761899
51,film,0.50700664
52,write,0.50579691
53,lawbook,0.50329630
54,notebook,0.50263935
55,softbound,0.50224922
56,comic,0.50214156
57,file,0.50016190
58,booked,0.50006517
59,movie,0.49955245
60,publish,0.49909900
61,doc,0.49804999
62,author,0.49711979
63,paper,0.49642070
64,bookmarker,0.49532960
65,paperbound,0.49496997
66,bookmen,0.49456579
67,reading,0.49438318
68,published,0.49248352
69,chapbook,0.49237269
70,bookrack,0.48925933
71,hardbound,0.48734543
72,prebook,0.48689932
73,tome,0.48627936
74,box,0.48627383
75,monograph,0.48610882
76,bookshelf,0.48561947
77,essay,0.48514635
78,shelf,0.48459642
79,bluebook,0.48301951
80,bible,0.48252441
81,booklouse,0.48190730
82,folio,0.48166484
83,bookseller,0.48156839
84,bookable,0.48075529
85,back,0.48056114
86,bookcase,0.47971116
87,bookmaking,0.47966708
88,codebook,0.47916500
89,calendar,0.47847725
90,account,0.47841101
91,boxed,0.47707385
92,sketchbook,0.47669814
93,scrapbook,0.47581603
94,board,0.47567319
95,note,0.47463139
96,browse,0.47432317
97,booker,0.47399711
98,reader,0.47383103
99,download,0.47275689
100,bestseller,0.47261916
101,thesis,0.47242239
102,memo,0.47190869
103,playbook,0.47186910
104,review,0.47080061
105,stylebook,0.47065560
106,bank,0.47029678
107,bag,0.47016283
108,study,0.46953510
109,bookish,0.46929744
110,brochure,0.46906067
111,writer,0.46902540
112,ticket,0.46895031
113,cashbook,0.46790993
114,booklore,0.46786348
115,edition,0.46782579
116,copybook,0.46748100
117,catalogue,0.46738839
118,bookselling,0.46707395
119,kindle,0.46663065
120,boat,0.46596332
121,story,0.46482238
122,bookstall,0.46467316
123,page,0.46461472
124,title,0.46418182
125,look,0.46398253
126,sheet,0.46311794
127,scribe,0.46275700
128,cover,0.46249290
129,collection,0.46193796
130,passbook,0.46147522
131,listing,0.46124596
132,softcover,0.46114027
133,codex,0.46062129
134,unread,0.46031721
135,bookman,0.45972446
136,bibliography,0.45956571
137,softback,0.45920399
138,defter,0.45888210
139,buy,0.45821015
140,cahier,0.45818814
141,word,0.45747326
142,bookend,0.45724035
143,memoir,0.45719025
144,directory,0.45690449
145,letter,0.45685772
146,archive,0.45657021
147,diary,0.45585564
148,psalmbook,0.45559747
149,blaubok,0.45483509
150,item,0.45417027
151,recipe,0.45415686
152,printed,0.45395249
153,record,0.45379202
154,newsletter,0.45309777
155,good,0.45262119
156,card,0.45190711
157,hymnbook,0.45188565
158,bonus,0.45183132
159,portfolio,0.45080854
160,game,0.45071250
161,reference,0.45061608
162,bo,0.45022865
163,worksheet,0.44992449
164,reitbok,0.44983861
165,bookbinder,0.44907428
166,copy,0.44895567
