rank,word,similarity
1,dog,1.00000000
2,doggy,0.66763819
3,doggo,0.65875340
4,dogy,0.63433719
5,doggie,0.62826900
6,dogie,0.61404282
7,dogey,0.60549212
8,pet,0.59891500
9,animal,0.59325593
10,cat,0.59069149
11,doggery,0.58922410
12,cane,0.58376354
13,doge,0.58124062
14,doglike,0.57683545
15,puppy,0.57674221
16,doggiest,0.56928667
17,hound,0.56697648
18,doggish,0.56420731
19,doggier,0.56212382
20,doggishly,0.55927635
21,fido,0.55133907
22,bandog,0.54323078
23,hotdog,0.53880866
24,cantdog,0.53856444
25,woof,0.53583370
26,waterdog,0.53164101
27,dogdom,0.52873125
28,canid,0.52832912
29,doghouse,0.52699729
30,bulldog,0.52614418
31,dogedom,0.52280608
32,cow,0.51953507
33,canine,0.51914991
34,pooch,0.51806297
35,pup,0.51724241
36,hog,0.51588697
37,doxie,0.51093042
38,beagle,0.50560961
39,doll,0.50459155
40,wag,0.50121057
41,collie,0.50116151
42,poodle,0.49866992
43,sheepdog,0.49818530
44,pug,0.49788391
45,boat,0.49431238
46,doggishness,0.49006921
47,labrador,0.48970783
48,dalmatian,0.48896662
49,rottweiler,0.48879682
50,dad,0.48707424
51,spaniel,0.48511266
52,lapdog,0.48473564
53,wolf,0.48283463
54,doc,0.48224040
55,dogteeth,0.48104846
56,corgi,0.48007344
57,dachshund,0.47966049
58,coydog,0.47960568
59,terrier,0.47776661
60,horse,0.47759083
61,dognapper,0.47625389
62,do,0.47529384
63,seadog,0.47491045
64,donkey,0.47357847
65,dingo,0.47285559
66,barking,0.47264648
67,kopek,0.47138733
68,kennel,0.47084610
69,bark,0.46973189
70,car,0.46551617
71,dogtrotting,0.46510697
72,gundog,0.46385786
73,woofing,0.46368763
74,puppylike,0.46198204
75,coon,0.46191690
76,bot,0.46160749
77,deerhound,0.46126350
78,bro,0.46097095
79,goat,0.46077350
80,hotdogger,0.46039479
81,coat,0.45993502
82,pig,0.45834046
83,dognaper,0.45788915
84,dock,0.45742815
85,pod,0.45684856
86,toy,0.45675753
87,vehicle,0.45621627
88,borzoi,0.45585038
89,dogcart,0.45565638
90,rabbit,0.45513392
91,firedog,0.45477993
92,caninity,0.45461337
93,monkey,0.45419558
94,cate,0.45409081
95,peon,0.45382324
96,doggone,0.45346991
97,hangdog,0.45235930
98,bloodhound,0.45145398
99,woofed,0.45135813
100,mongrel,0.45093748
101,dognap,0.45028220
102,man,0.45016349
103,dogfought,0.44987828
104,dig,0.44964325
105,god,0.44907542
106,drug,0.44871678
107,baby,0.44866488
108,coonhound,0.44858309
109,paw,0.44848814
110,bag,0.44844473
111,truck,0.44779822
112,dogged,0.44764720
113,bowwow,0.44726424
114,dag,0.44704684
115,dogear,0.44700313
116,dogtrotted,0.44693860
117,dogwatch,0.44685084
118,mutt,0.44618874
119,dognaped,0.44555324
120,moggy,0.44505517
121,bunny,0.44406900
122,lobo,0.44390626
123,puppydom,0.44363061
124,schnauzer,0.44350611
125,dom,0.44303887
126,wolfhound,0.44298084
127,cop,0.44267106
128,dragon,0.44229437
129,vet,0.44191260
130,dit,0.44168560
131,nod,0.44137874
132,mastiff,0.44128478
133,chihuahua,0.44096212
134,unkennel,0.44082712
135,burger,0.44050400
136,cot,0.44026416
137,vizsla,0.43970574
138,greyhound,0.43906284
139,zoon,0.43888468
140,snoopy,0.43805409
141,friend,0.43701574
142,doodle,0.43701331
143,dogging,0.43684297
144,lover,0.43658007
145,girl,0.43657624
146,dhole,0.43637018
147,husky,0.43586077
148,pinscher,0.43585983
149,doctor,0.43551302
150,dot,0.43481527
151,robot,0.43470949
152,overdog,0.43348584
153,bullterrier,0.43275101
154,rug,0.43188958
155,bo,0.43187559
156,did,0.43167531
157,rod,0.43122588
158,dong,0.43106759
159,bull,0.43104915
160,hellhound,0.43103601
161,dogsled,0.43096969
162,mom,0.43084353
163,barked,0.43052365
164,bulldogger,0.43043157
165,foxhound,0.43028529
166,dognaping,0.43025569
167,doggoner,0.43015957
168,whippet,0.42970237
169,comic,0.42969455
170,cub,0.42918673
171,dogsbody,0.42914565
172,crate,0.42888929
173,beast,0.42853966
174,puppyish,0.42849865
175,doggrel,0.42826355
176,dognapped,0.42826293
177,wog,0.42717302
178,rover,0.42649567
179,bird,0.42630962
180,yapper,0.42621538
181,mammal,0.42513298
182,cod,0.42492504
183,hotdogged,0.42454864
184,boxer,0.42448142
185,boy,0.42359652
186,agog,0.42350180
187,dojo,0.42282522
188,coyote,0.42270563
189,roach,0.42261893
190,good,0.42219412
191,mog,0.42190054
192,gazehound,0.42076802
193,dobber,0.42076023
194,cockapoo,0.42068605
195,doat,0.42063357
196,dobie,0.42036151
197,lassie,0.42001490
198,dodo,0.41975265
199,object,0.41956179
200,shark,0.41853591
201,butt,0.41834145
202,buddy,0.41826222
203,fuck,0.41818444
204,rot,0.41803524
205,fogdog,0.41784762
206,cookie,0.41781922
207,barky,0.41761454
208,mouse,0.41750796
209,dogcatcher,0.41742218
210,rat,0.41694376
211,lamb,0.41685086
212,boyo,0.41683526
213,frog,0.41681627
214,zoo,0.41630639
215,dognapping,0.41605090
216,dogger,0.41572635
217,dogeship,0.41563940
218,word,0.41501012
219,fleabag,0.41483130
220,watchdog,0.41458715
221,adult,0.41426073
222,tag,0.41418791
223,dolphin,0.41379425
224,moggie,0.41321405
225,bowwowed,0.41316774
226,chow,0.41234629
227,zoophile,0.41233836
228,cope,0.41216071
229,dummy,0.41171551
230,book,0.41140067
231,redo,0.41107513
232,poke,0.41071798
233,dogtrot,0.41061530
234,doe,0.41056975
235,want,0.41035371
236,shirt,0.41026423
237,boss,0.41013148
238,red,0.40938537
239,saluki,0.40932628
240,malamute,0.40930746
241,whale,0.40921650
242,creature,0.40911992
243,zag,0.40886556
244,day,0.40852006
245,bite,0.40796716
246,laddie,0.40794641
247,digit,0.40762780
248,collar,0.40758784
249,thing,0.40721461
250,kat,0.40683255
251,lug,0.40672681
252,bike,0.40650526
253,bred,0.40643870
254,domain,0.40624802
