rank,word,similarity
1,ocean,1.00000000
2,oceanic,0.74499503
3,oceanaria,0.64180301
4,oceanaut,0.62004865
5,oceanography,0.61216440
6,oceangoing,0.60804990
7,oceanarium,0.60188299
8,oceanfront,0.59911276
9,oceanographic,0.59124444
10,oceanology,0.58243662
11,pacific,0.58198773
12,sea,0.57602926
13,suboceanic,0.57570712
14,oceanologist,0.56962768
15,oceanographer,0.56076879
16,interocean,0.55886885
17,transoceanic,0.53760376
18,seashore,0.52325165
19,oceanographical,0.51835152
20,oceanographically,0.51189632
21,beach,0.50966019
22,seafloor,0.50470448
23,oxygen,0.50276086
24,abyss,0.50242918
25,seawater,0.49885483
26,undersea,0.49368082
27,marine,0.48736871
28,ozone,0.48733139
29,oyster,0.48571254
30,seascape,0.48552745
31,saltwater,0.48232006
32,interoceanic,0.48229333
33,coast,0.48086400
34,aqua,0.47606196
35,oversea,0.47237545
36,aquarium,0.47120927
37,ozonic,0.46927814
38,oasis,0.46755993
39,underwater,0.46385989
40,universe,0.46363488
41,oak,0.46232146
42,ecosystem,0.46148190
43,maritime,0.46088931
44,octopus,0.46084074
45,mountain,0.46072761
46,lagoon,0.46064551
47,seaward,0.45751457
48,whale,0.45593327
49,earth,0.45441747
50,aquatic,0.45265143
51,seacoast,0.45195084
52,emeer,0.45124496
53,seabed,0.45109309
54,shore,0.45037745
55,island,0.44922274
56,coastal,0.44911385
57,hydrosphere,0.44523507
58,wave,0.44218886
59,seaborne,0.44083116
60,ose,0.44025588
61,gulf,0.44024277
62,subaquatic,0.44022554
63,soil,0.44016938
64,river,0.43973481
65,coastland,0.43972631
66,water,0.43818861
67,seaboard,0.43815069
68,oar,0.43765435
69,outdoor,0.43761875
70,tide,0.43683612
71,seabeach,0.43658126
72,oarfish,0.43636821
73,horizon,0.43495190
74,odyssey,0.43377368
75,antarctic,0.43269139
76,aquaria,0.43243842
77,octave,0.43176651
78,world,0.43147410
79,pelagic,0.43060550
80,galaxy,0.43048157
81,atmosphere,0.42884350
82,seawan,0.42881648
83,marina,0.42870575
84,cove,0.42763657
85,tsunami,0.42753078
86,oat,0.42717496
87,offshore,0.42609777
88,navy,0.42496678
89,seagoing,0.42429013
90,garden,0.42420701
91,harbor,0.42371860
92,pelagial,0.42289975
93,heaven,0.42261876
94,seaside,0.42117664
95,planet,0.42079525
96,dolphin,0.42043739
97,arctic,0.41990415
98,otic,0.41911719
99,coastline,0.41891313
100,seastrand,0.41855552
101,volcano,0.41796380
102,tidal,0.41744476
103,landmass,0.41645678
104,osmosis,0.41497333
105,loch,0.41488985
106,otter,0.41403474
107,bay,0.41400714
108,shark,0.41391024
109,reef,0.41324395
110,beachboy,0.41308882
111,cosmic,0.41295381
112,opah,0.41198589
113,science,0.41135263
114,land,0.41017257
115,orgasm,0.40971081
116,olive,0.40856705
117,jungle,0.40832906
118,zoo,0.40812831
119,seawant,0.40727156
120,landscape,0.40618388
121,biome,0.40604610
122,yacht,0.40579813
123,deepwater,0.40547610
124,deep,0.40528811
125,submarine,0.40527210
126,terraqueous,0.40523130
127,sun,0.40521322
128,environment,0.40519500
129,oboe,0.40466002
130,boat,0.40428329
131,solar,0.40389791
132,oblivion,0.40302323
133,hydrospace,0.40296274
134,biosphere,0.40281053
135,hydrospheric,0.40275339
136,oath,0.40219514
137,beachy,0.40140135
138,ecology,0.40099050
139,seafaring,0.40093064
140,oxy,0.40077822
141,salty,0.40076902
142,fjord,0.40075052
143,overland,0.40064378
144,eath,0.40056982
145,octanol,0.40049668
146,seashell,0.40003756
147,oxo,0.39989571
148,forest,0.39911141
149,mermaid,0.39908091
150,coral,0.39893914
151,fog,0.39876057
152,onshore,0.39875485
153,leviathan,0.39820450
154,wavey,0.39804018
155,desert,0.39793495
156,abyssal,0.39766059
157,octane,0.39687328
158,expanse,0.39681990
159,space,0.39619712
160,sora,0.39611553
161,bathyal,0.39579177
162,skyey,0.39528514
163,shoreline,0.39439617
164,briny,0.39418472
165,aquamarine,0.39360376
166,epipelagic,0.39310865
167,freshwater,0.39304141
168,flood,0.39290414
169,ology,0.39289860
170,odeon,0.39234182
171,wind,0.39203052
172,surfing,0.39182500
173,trench,0.39134660
174,sailing,0.39083193
175,canyon,0.39081630
176,nearshore,0.39056829
177,seapiece,0.39054475
178,seafood,0.38938228
179,surf,0.38936128
180,globe,0.38931895
181,sailor,0.38864581
182,iceberg,0.38826477
183,sky,0.38817661
184,harbour,0.38769256
185,oecumenical,0.38749795
186,lakeshore,0.38708391
187,otherworld,0.38704111
188,climate,0.38703255
189,paradise,0.38687626
190,seamount,0.38686364
191,mediterranean,0.38658163
192,seabird,0.38633761
193,sonic,0.38608033
194,ship,0.38567147
195,immensity,0.38556966
196,oysterman,0.38546213
197,mariner,0.38512967
198,kingdom,0.38491158
199,ozonous,0.38434614
200,dory,0.38392494
201,seascout,0.38375471
202,seaport,0.38354377
203,diluvion,0.38344460
204,observatory,0.38333732
205,seallike,0.38328212
206,naval,0.38325807
207,biospheric,0.38312864
208,diver,0.38279754
209,eau,0.38256817
210,shoreside,0.38246993
211,vast,0.38223949
212,octant,0.38211382
213,vessel,0.38204317
214,orchestra,0.38202284
215,other,0.38194012
216,television,0.38190478
217,swim,0.38181646
218,orbital,0.38167492
219,oxeye,0.38132657
220,subsea,0.38127816
221,vastness,0.38092947
222,atmospheric,0.38092687
223,nautical,0.38062855
224,horizonal,0.38028759
225,oecology,0.38011541
226,plankton,0.37982741
227,octopod,0.37979008
228,sunset,0.37974584
229,seaway,0.37961544
230,titanic,0.37917166
231,inshore,0.37907397
232,neritic,0.37899618
233,hydroxyl,0.37888061
234,transpacific,0.37886631
235,whaleman,0.37874646
236,animal,0.37873003
237,oka,0.37845554
238,intercoastal,0.37845024
239,monde,0.37807036
240,ocular,0.37791502
241,air,0.37734753
242,blue,0.37719963
243,oriental,0.37682492
244,cave,0.37681115
245,oe,0.37668922
246,ovum,0.37667264
247,surface,0.37662024
248,organic,0.37651210
249,buoy,0.37623500
250,ahoy,0.37614787
251,seafarer,0.37570024
252,ohm,0.37566543
253,oquassa,0.37564392
254,dive,0.37559948
