rank,secret_word,word,clue,connection_strength
1,family,family,This is the *.,secret_word
2,family,filmily,,hard_cutoff
3,family,gamily,,hard_cutoff
4,family,nonfamily,,hard_cutoff
5,family,familial,,hard_cutoff
6,family,interfamily,,hard_cutoff
7,family,father,,hard_cutoff
8,family,superfamily,,hard_cutoff
9,family,subfamily,,hard_cutoff
10,family,parent,,hard_cutoff
11,family,familism,,hard_cutoff
12,family,interfamilial,,hard_cutoff
13,family,clan,,hard_cutoff
14,family,kinship,,hard_cutoff
15,family,friend,,hard_cutoff
16,family,household,,hard_cutoff
17,family,group,,hard_cutoff
18,family,folk,,hard_cutoff
19,family,familistic,,hard_cutoff
20,family,relationship,,hard_cutoff
21,family,familiar,,hard_cutoff
22,family,mother,,hard_cutoff
23,family,wife,,hard_cutoff
24,family,tribe,,hard_cutoff
25,family,mom,,hard_cutoff
26,family,surname,,hard_cutoff
27,family,sibling,,hard_cutoff
28,family,kindred,,hard_cutoff
29,family,kinfolk,,hard_cutoff
30,family,famuli,,hard_cutoff
31,family,farm,,hard_cutoff
32,family,gang,,hard_cutoff
33,family,firm,,hard_cutoff
34,family,prole,,hard_cutoff
35,family,couple,,hard_cutoff
36,family,ultrafamiliar,,hard_cutoff
37,family,familiarly,,hard_cutoff
38,family,phratry,,hard_cutoff
39,family,cousin,,hard_cutoff
40,family,nation,,hard_cutoff
41,family,dad,,hard_cutoff
42,family,familiarness,,hard_cutoff
43,family,relative,,hard_cutoff
44,family,community,,hard_cutoff
45,family,filial,,hard_cutoff
46,family,kinsfolk,,hard_cutoff
47,family,faculty,,hard_cutoff
48,family,kith,,hard_cutoff
49,family,sister,,hard_cutoff
50,family,country,,hard_cutoff
51,family,brotherhood,,hard_cutoff
52,family,antifamily,,hard_cutoff
53,family,friendly,,hard_cutoff
54,family,daughter,,hard_cutoff
55,family,fatherliness,,hard_cutoff
56,family,parenthood,,hard_cutoff
57,family,cousinly,,hard_cutoff
58,family,stepfamily,,hard_cutoff
59,family,team,,hard_cutoff
60,family,affinal,,hard_cutoff
61,family,bloodline,,hard_cutoff
62,family,neighbor,,hard_cutoff
63,family,company,,hard_cutoff
64,family,fraternity,,hard_cutoff
65,family,ancestor,,hard_cutoff
66,family,kind,,hard_cutoff
67,family,parentage,,hard_cutoff
68,family,fatherlike,,hard_cutoff
69,family,brother,,hard_cutoff
70,family,animal,,hard_cutoff
71,family,grandparent,,hard_cutoff
72,family,incest,,hard_cutoff
73,family,species,,hard_cutoff
74,family,cousinhood,,hard_cutoff
75,family,life,,hard_cutoff
76,family,cousinry,,hard_cutoff
77,family,nonfamilial,,hard_cutoff
78,family,filially,,hard_cutoff
79,family,member,,hard_cutoff
80,family,fatherly,,hard_cutoff
81,family,home,,hard_cutoff
82,family,party,,hard_cutoff
83,family,association,,hard_cutoff
84,family,relation,,hard_cutoff
85,family,fathered,,hard_cutoff
86,family,fleet,,hard_cutoff
87,family,cousinship,,hard_cutoff
88,family,clannishly,,hard_cutoff
89,family,grandchildren,,hard_cutoff
90,family,name,,hard_cutoff
91,family,fun,,hard_cutoff
92,family,filiation,,hard_cutoff
93,family,spouse,,hard_cutoff
94,family,class,,hard_cutoff
95,family,associated,,hard_cutoff
96,family,faction,,hard_cutoff
97,family,baby,,hard_cutoff
98,family,fatherhood,,hard_cutoff
99,family,partner,,hard_cutoff
100,family,frat,,hard_cutoff
101,family,affiliate,,hard_cutoff
102,family,genus,,hard_cutoff
103,family,frater,,hard_cutoff
104,family,inherit,,hard_cutoff
105,family,ancestry,,hard_cutoff
106,family,adopt,,hard_cutoff
107,family,uncle,,hard_cutoff
108,family,married,,hard_cutoff
109,family,folder,,hard_cutoff
110,family,sib,,hard_cutoff
111,family,kin,,hard_cutoff
112,family,amis,,hard_cutoff
113,family,lineage,,hard_cutoff
114,family,friendship,,hard_cutoff
115,family,mum,,hard_cutoff
116,family,fellowship,,hard_cutoff
117,family,fishily,,hard_cutoff
118,family,faith,,hard_cutoff
119,family,fila,,hard_cutoff
120,family,pair,,hard_cutoff
121,family,sisterhood,,hard_cutoff
122,family,filiate,,hard_cutoff
123,family,marriage,,hard_cutoff
124,family,clannish,,hard_cutoff
125,family,trio,,hard_cutoff
126,family,parental,,hard_cutoff
127,family,parenting,,hard_cutoff
128,family,roup,,hard_cutoff
129,family,famulus,,hard_cutoff
130,family,generation,,hard_cutoff
131,family,fraternal,,hard_cutoff
132,family,mafia,,hard_cutoff
133,family,fabric,,hard_cutoff
134,family,band,,hard_cutoff
135,family,shared,,hard_cutoff
136,family,foamily,,hard_cutoff
137,family,friendlily,,hard_cutoff
138,family,adult,,hard_cutoff
139,family,aunt,,hard_cutoff
140,family,fraternally,,hard_cutoff
141,family,holiday,,hard_cutoff
142,family,familiarity,,hard_cutoff
143,family,guild,,hard_cutoff
144,family,own,,hard_cutoff
145,family,dynasty,,hard_cutoff
146,family,filiated,,hard_cutoff
147,family,bro,,hard_cutoff
148,family,fellow,,hard_cutoff
149,family,brotherly,,hard_cutoff
150,family,momma,,hard_cutoff
151,family,momi,,hard_cutoff
152,family,grand,,hard_cutoff
153,family,fiction,,hard_cutoff
154,family,category,,hard_cutoff
155,family,favorite,,hard_cutoff
156,family,husband,,hard_cutoff
157,family,fauna,,hard_cutoff
158,family,human,,hard_cutoff
159,family,fad,,hard_cutoff
160,family,unfilial,,hard_cutoff
161,family,cult,,hard_cutoff
162,family,bred,,hard_cutoff
163,family,love,,hard_cutoff
164,family,matrilineal,,hard_cutoff
165,family,sisterly,,hard_cutoff
166,family,flock,,hard_cutoff
167,family,firman,,hard_cutoff
168,family,paternity,,hard_cutoff
169,family,gene,,hard_cutoff
170,family,nonrelative,,hard_cutoff
171,family,self,,hard_cutoff
172,family,fan,,hard_cutoff
173,family,cousinage,,hard_cutoff
174,family,club,,hard_cutoff
175,family,fund,,hard_cutoff
176,family,phratric,,hard_cutoff
177,family,crew,,hard_cutoff
178,family,patrilineal,,hard_cutoff
179,family,fellowly,,hard_cutoff
180,family,multimember,,hard_cutoff
181,family,squad,,hard_cutoff
182,family,fathering,,hard_cutoff
183,family,genealogy,,hard_cutoff
184,family,society,,hard_cutoff
185,family,mama,,hard_cutoff
186,family,house,,hard_cutoff
187,family,happy,,hard_cutoff
188,family,combination,,hard_cutoff
189,family,wive,,hard_cutoff
190,family,kid,,hard_cutoff
191,family,adopted,,hard_cutoff
192,family,membership,,hard_cutoff
193,family,homey,,hard_cutoff
194,family,consanguineous,,hard_cutoff
195,family,togetherness,,hard_cutoff
196,family,county,,hard_cutoff
197,family,grandparental,,hard_cutoff
198,family,elder,,hard_cutoff
199,family,parented,,hard_cutoff
200,family,fed,,hard_cutoff
201,family,herd,,hard_cutoff
202,family,personal,,hard_cutoff
203,family,related,,hard_cutoff
204,family,domestic,,hard_cutoff
205,family,affiliation,,hard_cutoff
206,family,unfathered,,hard_cutoff
207,family,collection,,hard_cutoff
208,family,zoon,,hard_cutoff
209,family,feme,,hard_cutoff
210,family,unit,,hard_cutoff
211,family,fil,,hard_cutoff
212,family,child,,hard_cutoff
213,family,hereditary,,hard_cutoff
214,family,owner,,hard_cutoff
215,family,consanguine,,hard_cutoff
216,family,film,,hard_cutoff
217,family,grandchild,,hard_cutoff
218,family,multifamily,,hard_cutoff
219,family,fatherless,,hard_cutoff
220,family,brotherliness,,hard_cutoff
221,family,mamma,,hard_cutoff
222,family,organization,,hard_cutoff
223,family,aunty,,hard_cutoff
224,family,housefather,,hard_cutoff
225,family,subclan,,hard_cutoff
226,family,collective,,hard_cutoff
227,family,paternally,,hard_cutoff
228,family,clade,,hard_cutoff
229,family,pater,,hard_cutoff
230,family,consanguineously,,hard_cutoff
231,family,hausfraus,,hard_cutoff
232,family,favor,,hard_cutoff
233,family,grandkid,,hard_cutoff
234,family,brethren,,hard_cutoff
235,family,phylum,,hard_cutoff
236,family,mothery,,hard_cutoff
237,family,together,,hard_cutoff
238,family,faming,,hard_cutoff
239,family,ununited,,hard_cutoff
240,family,brothered,,hard_cutoff
241,family,sonship,,hard_cutoff
242,family,ingroup,,hard_cutoff
243,family,granddam,,hard_cutoff
244,family,division,,hard_cutoff
245,family,loving,,hard_cutoff
246,family,roomie,,hard_cutoff
247,family,amici,,hard_cutoff
248,family,brothering,,hard_cutoff
249,family,union,,hard_cutoff
250,family,partnered,,hard_cutoff
251,family,pet,,hard_cutoff
252,family,foster,,hard_cutoff
253,family,care,,hard_cutoff
254,family,staff,,hard_cutoff
255,family,homo,,hard_cutoff
256,family,future,,hard_cutoff
257,family,consanguinity,,hard_cutoff
258,family,granduncle,,hard_cutoff
259,family,five,,hard_cutoff
260,family,dynast,,hard_cutoff
261,family,filum,,hard_cutoff
262,family,kinsmen,,hard_cutoff
263,family,folksily,,hard_cutoff
264,family,fib,,hard_cutoff
265,family,genome,,hard_cutoff
266,family,matrilineally,,hard_cutoff
267,family,conjugal,,hard_cutoff
268,family,patrimony,,hard_cutoff
269,family,farer,,hard_cutoff
270,family,pedigree,,hard_cutoff
271,family,institution,,hard_cutoff
272,family,album,,hard_cutoff
273,family,unparented,,hard_cutoff
274,family,unfilially,,hard_cutoff
275,family,daddy,,hard_cutoff
276,family,array,,hard_cutoff
277,family,fish,,hard_cutoff
278,family,subclass,,hard_cutoff
279,family,auntie,,hard_cutoff
280,family,consort,,hard_cutoff
281,family,fir,,hard_cutoff
282,family,face,,hard_cutoff
283,family,living,,hard_cutoff
284,family,female,,hard_cutoff
285,family,legacy,,hard_cutoff
286,family,factor,,hard_cutoff
287,family,fur,,hard_cutoff
288,family,nepotic,,hard_cutoff
289,family,sororal,,hard_cutoff
290,family,partnership,,hard_cutoff
291,family,belong,,hard_cutoff
292,family,fortune,,hard_cutoff
293,family,grandfather,,hard_cutoff
294,family,population,,hard_cutoff
295,family,associate,,hard_cutoff
296,family,girlfriend,,hard_cutoff
