rank,secret_word,word,clue,connection_strength
1,fear,fear,This is the *.,secret_word
2,fear,fearing,,hard_cutoff
3,fear,fearer,,hard_cutoff
4,fear,fearfulness,,hard_cutoff
5,fear,feared,,hard_cutoff
6,fear,phobia,,hard_cutoff
7,fear,fright,,hard_cutoff
8,fear,fearful,,hard_cutoff
9,fear,afraid,,hard_cutoff
10,fear,afeared,,hard_cutoff
11,fear,scare,,hard_cutoff
12,fear,dread,,hard_cutoff
13,fear,fearfully,,hard_cutoff
14,fear,unfeared,,hard_cutoff
15,fear,overfear,,hard_cutoff
16,fear,afeard,,hard_cutoff
17,fear,worry,,hard_cutoff
18,fear,anxiety,,hard_cutoff
19,fear,fearsomeness,,hard_cutoff
20,fear,fearsome,,hard_cutoff
21,fear,fearlessness,,hard_cutoff
22,fear,scared,,hard_cutoff
23,fear,fearfuller,,hard_cutoff
24,fear,fearless,,hard_cutoff
25,fear,trepidation,,hard_cutoff
26,fear,overfeared,,hard_cutoff
27,fear,frighten,,hard_cutoff
28,fear,terrify,,hard_cutoff
29,fear,scary,,hard_cutoff
30,fear,frightfulness,,hard_cutoff
31,fear,fearfullest,,hard_cutoff
32,fear,horror,,hard_cutoff
33,fear,fearsomely,,hard_cutoff
34,fear,feal,,hard_cutoff
35,fear,apprehension,,hard_cutoff
36,fear,frightened,,hard_cutoff
37,fear,scarey,,hard_cutoff
38,fear,terrified,,hard_cutoff
39,fear,hate,,hard_cutoff
40,fear,frighting,,hard_cutoff
41,fear,paranoia,,hard_cutoff
42,fear,overfearing,,hard_cutoff
43,fear,phobic,,hard_cutoff
44,fear,tremble,,hard_cutoff
45,fear,befret,,hard_cutoff
46,fear,wrath,,hard_cutoff
47,fear,courage,,hard_cutoff
48,fear,schrik,,hard_cutoff
49,fear,dreading,,hard_cutoff
50,fear,terror,,hard_cutoff
51,fear,angst,,hard_cutoff
52,fear,fret,,hard_cutoff
53,fear,insecurity,,hard_cutoff
54,fear,affright,,hard_cutoff
55,fear,fearlessly,,hard_cutoff
56,fear,frightening,,hard_cutoff
57,fear,flee,,hard_cutoff
58,fear,suspicion,,hard_cutoff
59,fear,hatred,,hard_cutoff
60,fear,unafraid,,hard_cutoff
61,fear,scaring,,hard_cutoff
62,fear,fever,,hard_cutoff
63,fear,frighted,,hard_cutoff
64,fear,beware,,hard_cutoff
65,fear,fud,,hard_cutoff
66,fear,scarer,,hard_cutoff
67,fear,shudder,,hard_cutoff
68,fear,danger,,hard_cutoff
69,fear,fury,,hard_cutoff
70,fear,guilt,,hard_cutoff
71,fear,apprehensiveness,,hard_cutoff
72,fear,shame,,hard_cutoff
73,fear,terrifying,,hard_cutoff
74,fear,greed,,hard_cutoff
75,fear,cowardice,,hard_cutoff
76,fear,doubt,,hard_cutoff
77,fear,xenophobia,,hard_cutoff
78,fear,suspense,,hard_cutoff
79,fear,jealousy,,hard_cutoff
80,fear,cower,,hard_cutoff
81,fear,daunt,,hard_cutoff
82,fear,bravery,,hard_cutoff
83,fear,technophobia,,hard_cutoff
84,fear,frightful,,hard_cutoff
85,fear,fease,,hard_cutoff
86,fear,envy,,hard_cutoff
87,fear,acrophobia,,hard_cutoff
88,fear,nightmare,,hard_cutoff
89,fear,bogymen,,hard_cutoff
90,fear,worried,,hard_cutoff
91,fear,uncertainty,,hard_cutoff
92,fear,claustrophobia,,hard_cutoff
93,fear,fie,,hard_cutoff
94,fear,intimidation,,hard_cutoff
95,fear,frightfully,,hard_cutoff
96,fear,frenzy,,hard_cutoff
97,fear,feel,,hard_cutoff
98,fear,distrust,,hard_cutoff
99,fear,affrayed,,hard_cutoff
100,fear,misgiving,,hard_cutoff
101,fear,foreboding,,hard_cutoff
102,fear,coward,,hard_cutoff
103,fear,flinch,,hard_cutoff
104,fear,sorrow,,hard_cutoff
105,fear,fierce,,hard_cutoff
106,fear,fiend,,hard_cutoff
107,fear,timidity,,hard_cutoff
108,fear,dreaded,,hard_cutoff
109,fear,feeling,,hard_cutoff
110,fear,wary,,hard_cutoff
111,fear,scarry,,hard_cutoff
112,fear,eery,,hard_cutoff
113,fear,feaze,,hard_cutoff
114,fear,pride,,hard_cutoff
115,fear,darkness,,hard_cutoff
116,fear,concern,,hard_cutoff
117,fear,trembling,,hard_cutoff
118,fear,fog,,hard_cutoff
119,fear,forboding,,hard_cutoff
120,fear,nerve,,hard_cutoff
121,fear,apprehensive,,hard_cutoff
122,fear,agoraphobia,,hard_cutoff
123,fear,grief,,hard_cutoff
124,fear,fate,,hard_cutoff
125,fear,tear,,hard_cutoff
126,fear,spook,,hard_cutoff
127,fear,shock,,hard_cutoff
128,fear,scream,,hard_cutoff
129,fear,threat,,hard_cutoff
130,fear,despair,,hard_cutoff
131,fear,belief,,hard_cutoff
132,fear,mistrust,,hard_cutoff
133,fear,doom,,hard_cutoff
134,fear,scaremonger,,hard_cutoff
135,fear,fantasy,,hard_cutoff
136,fear,prejudice,,hard_cutoff
137,fear,befretted,,hard_cutoff
138,fear,disgust,,hard_cutoff
139,fear,fierceness,,hard_cutoff
140,fear,thrill,,hard_cutoff
141,fear,scarehead,,hard_cutoff
142,fear,beweary,,hard_cutoff
143,fear,scaur,,hard_cutoff
144,fear,feyer,,hard_cutoff
145,fear,qualm,,hard_cutoff
146,fear,triskaidekaphobia,,hard_cutoff
147,fear,scarier,,hard_cutoff
