rank,secret_word,word,clue,connection_strength
1,fire,fire,This is the *.,secret_word
2,fire,fir,,hard_cutoff
3,fire,afire,,hard_cutoff
4,fire,firer,,hard_cutoff
5,fire,outfire,,hard_cutoff
6,fire,iring,,hard_cutoff
7,fire,wildfire,,hard_cutoff
8,fire,feu,,hard_cutoff
9,fire,bonfire,,hard_cutoff
10,fire,firing,,hard_cutoff
11,fire,postfire,,hard_cutoff
12,fire,flame,,hard_cutoff
13,fire,firefight,,hard_cutoff
14,fire,firestorm,,hard_cutoff
15,fire,fired,,hard_cutoff
16,fire,blaze,,hard_cutoff
17,fire,brushfire,,hard_cutoff
18,fire,ired,,hard_cutoff
19,fire,firework,,hard_cutoff
20,fire,firepot,,hard_cutoff
21,fire,hellfire,,hard_cutoff
22,fire,firebrat,,hard_cutoff
23,fire,firebox,,hard_cutoff
24,fire,bushfire,,hard_cutoff
25,fire,firemanic,,hard_cutoff
26,fire,fireroom,,hard_cutoff
27,fire,burn,,hard_cutoff
28,fire,firebreak,,hard_cutoff
29,fire,fireman,,hard_cutoff
30,fire,heat,,hard_cutoff
31,fire,fiery,,hard_cutoff
32,fire,campfire,,hard_cutoff
33,fire,shellfire,,hard_cutoff
34,fire,firepower,,hard_cutoff
35,fire,gunfire,,hard_cutoff
36,fire,firedog,,hard_cutoff
37,fire,ablaze,,hard_cutoff
38,fire,ignite,,hard_cutoff
39,fire,fireball,,hard_cutoff
40,fire,fireplace,,hard_cutoff
41,fire,refire,,hard_cutoff
42,fire,firelight,,hard_cutoff
43,fire,firehouse,,hard_cutoff
44,fire,arson,,hard_cutoff
45,fire,lightning,,hard_cutoff
46,fire,prefire,,hard_cutoff
47,fire,firebrick,,hard_cutoff
48,fire,fuel,,hard_cutoff
49,fire,firefighter,,hard_cutoff
50,fire,burning,,hard_cutoff
51,fire,firebase,,hard_cutoff
52,fire,firecracker,,hard_cutoff
53,fire,air,,hard_cutoff
54,fire,refired,,hard_cutoff
55,fire,fieriness,,hard_cutoff
56,fire,flam,,hard_cutoff
57,fire,firebrand,,hard_cutoff
58,fire,aflame,,hard_cutoff
59,fire,pyre,,hard_cutoff
60,fire,firemen,,hard_cutoff
61,fire,water,,hard_cutoff
62,fire,fireback,,hard_cutoff
63,fire,refiring,,hard_cutoff
64,fire,fireable,,hard_cutoff
65,fire,fireplug,,hard_cutoff
66,fire,backfire,,hard_cutoff
67,fire,firebomb,,hard_cutoff
68,fire,misfire,,hard_cutoff
69,fire,ignited,,hard_cutoff
70,fire,fireguard,,hard_cutoff
71,fire,firelit,,hard_cutoff
72,fire,fireplaced,,hard_cutoff
73,fire,firelock,,hard_cutoff
74,fire,firebug,,hard_cutoff
75,fire,firetrap,,hard_cutoff
76,fire,firry,,hard_cutoff
77,fire,firefly,,hard_cutoff
78,fire,crossfire,,hard_cutoff
79,fire,firepan,,hard_cutoff
80,fire,firefanging,,hard_cutoff
81,fire,counterfired,,hard_cutoff
82,fire,smoke,,hard_cutoff
83,fire,firefanged,,hard_cutoff
84,fire,outfired,,hard_cutoff
85,fire,drumfire,,hard_cutoff
86,fire,explosion,,hard_cutoff
87,fire,feirie,,hard_cutoff
88,fire,rocket,,hard_cutoff
89,fire,fireproof,,hard_cutoff
90,fire,ignition,,hard_cutoff
91,fire,firewood,,hard_cutoff
92,fire,imblaze,,hard_cutoff
93,fire,blazing,,hard_cutoff
94,fire,fuse,,hard_cutoff
95,fire,spitfire,,hard_cutoff
96,fire,burned,,hard_cutoff
97,fire,unfired,,hard_cutoff
98,fire,counterfiring,,hard_cutoff
99,fire,flaming,,hard_cutoff
100,fire,incendiary,,hard_cutoff
101,fire,irate,,hard_cutoff
102,fire,flamer,,hard_cutoff
103,fire,foxfire,,hard_cutoff
104,fire,firearm,,hard_cutoff
105,fire,combust,,hard_cutoff
106,fire,firedrake,,hard_cutoff
107,fire,outfiring,,hard_cutoff
108,fire,coal,,hard_cutoff
109,fire,fight,,hard_cutoff
110,fire,pyromania,,hard_cutoff
111,fire,retrofire,,hard_cutoff
112,fire,ice,,hard_cutoff
113,fire,igniting,,hard_cutoff
114,fire,fie,,hard_cutoff
115,fire,firethorn,,hard_cutoff
116,fire,pyromaniac,,hard_cutoff
117,fire,feus,,hard_cutoff
118,fire,fieriest,,hard_cutoff
119,fire,pyric,,hard_cutoff
120,fire,electric,,hard_cutoff
121,fire,scorch,,hard_cutoff
122,fire,igniter,,hard_cutoff
123,fire,firehall,,hard_cutoff
124,fire,flare,,hard_cutoff
125,fire,conflagration,,hard_cutoff
126,fire,flamed,,hard_cutoff
127,fire,burnt,,hard_cutoff
128,fire,danger,,hard_cutoff
129,fire,damage,,hard_cutoff
130,fire,prefired,,hard_cutoff
131,fire,balefire,,hard_cutoff
132,fire,flashover,,hard_cutoff
133,fire,emblaze,,hard_cutoff
134,fire,thunder,,hard_cutoff
135,fire,combustion,,hard_cutoff
136,fire,wind,,hard_cutoff
137,fire,flamy,,hard_cutoff
138,fire,flamethrower,,hard_cutoff
139,fire,prefiring,,hard_cutoff
140,fire,kindled,,hard_cutoff
141,fire,furnace,,hard_cutoff
142,fire,firewater,,hard_cutoff
143,fire,counterfire,,hard_cutoff
144,fire,misfired,,hard_cutoff
145,fire,shot,,hard_cutoff
146,fire,fireballer,,hard_cutoff
147,fire,fireside,,hard_cutoff
148,fire,spark,,hard_cutoff
149,fire,enflame,,hard_cutoff
150,fire,flash,,hard_cutoff
151,fire,forest,,hard_cutoff
152,fire,firebombed,,hard_cutoff
153,fire,hot,,hard_cutoff
154,fire,red,,hard_cutoff
155,fire,arsonist,,hard_cutoff
156,fire,power,,hard_cutoff
157,fire,alarm,,hard_cutoff
158,fire,pyrostat,,hard_cutoff
159,fire,energy,,hard_cutoff
160,fire,firebird,,hard_cutoff
161,fire,ash,,hard_cutoff
162,fire,hangfire,,hard_cutoff
163,fire,shoot,,hard_cutoff
164,fire,torch,,hard_cutoff
165,fire,attack,,hard_cutoff
166,fire,trigger,,hard_cutoff
167,fire,burner,,hard_cutoff
168,fire,lava,,hard_cutoff
169,fire,sparked,,hard_cutoff
170,fire,engine,,hard_cutoff
171,fire,light,,hard_cutoff
172,fire,rain,,hard_cutoff
173,fire,gunpowder,,hard_cutoff
174,fire,incendiarism,,hard_cutoff
175,fire,pyromancy,,hard_cutoff
176,fire,chimney,,hard_cutoff
177,fire,torching,,hard_cutoff
178,fire,torched,,hard_cutoff
179,fire,battle,,hard_cutoff
180,fire,emergency,,hard_cutoff
181,fire,fish,,hard_cutoff
182,fire,flammability,,hard_cutoff
183,fire,angered,,hard_cutoff
184,fire,outburn,,hard_cutoff
185,fire,fault,,hard_cutoff
186,fire,fireboat,,hard_cutoff
187,fire,fore,,hard_cutoff
188,fire,dragon,,hard_cutoff
189,fire,death,,hard_cutoff
190,fire,misfiring,,hard_cutoff
191,fire,bomb,,hard_cutoff
192,fire,unburned,,hard_cutoff
193,fire,wildland,,hard_cutoff
194,fire,lightening,,hard_cutoff
195,fire,amber,,hard_cutoff
196,fire,inferno,,hard_cutoff
197,fire,inflame,,hard_cutoff
198,fire,flamming,,hard_cutoff
199,fire,blast,,hard_cutoff
200,fire,blazed,,hard_cutoff
201,fire,pyromaniacal,,hard_cutoff
202,fire,extinguisher,,hard_cutoff
203,fire,force,,hard_cutoff
204,fire,fast,,hard_cutoff
205,fire,destroy,,hard_cutoff
206,fire,fireproofed,,hard_cutoff
