rank,word,similarity
1,trout,0.55289244
2,piscary,0.54944454
3,angler,0.53644661
4,fly,0.52613458
5,boat,0.52419366
6,food,0.51899454
7,fyke,0.51476229
8,salmon,0.50537375
9,shark,0.50517587
10,fry,0.50463804
11,tilapia,0.49853376
12,muskie,0.49690619
13,flounder,0.49663484
14,piscator,0.49607794
15,piscatory,0.49582625
16,carp,0.49533723
17,frog,0.49458461
18,koi,0.49311527
19,minnow,0.49279696
20,ship,0.49245441
21,fin,0.49097684
22,cod,0.48521595
23,pollack,0.48517461
24,surf,0.48517108
25,fresh,0.48447179
26,crab,0.48396806
27,angling,0.48390269
28,mackerel,0.48352342
29,teleost,0.48314634
30,swim,0.48268887
31,seafood,0.48222267
32,crappie,0.48165889
33,bird,0.48091770
34,fruit,0.48005571
35,bowfin,0.47913607
36,pond,0.47697177
37,haddock,0.47414171
38,salmonid,0.47341914
39,tuna,0.47294720
40,fight,0.47242874
41,hunt,0.47242854
42,animal,0.47076879
43,fried,0.46958270
44,tomcod,0.46942447
45,dolphin,0.46881805
46,cockish,0.46833115
47,catch,0.46795326
48,loach,0.46782172
49,bait,0.46681771
50,fowl,0.46645626
51,ichthyophagous,0.46525019
52,shrimp,0.46446817
53,halibut,0.46334690
54,pickerel,0.46332233
55,surfperch,0.46326090
56,piscatorial,0.46237247
57,pike,0.46192750
58,tench,0.46106721
59,lobster,0.46091798
60,tunny,0.45972367
61,aquarium,0.45959338
62,dish,0.45888265
63,herring,0.45879650
64,squid,0.45863543
65,opah,0.45822635
66,sturgeon,0.45693502
67,bass,0.45680120
68,float,0.45650678
69,cusk,0.45541734
70,dace,0.45432124
71,pisciculture,0.45405192
72,piscivorous,0.45334696
73,gillnet,0.45308760
74,swimmy,0.45236808
75,ichthyic,0.45184574
76,teleostean,0.45175671
77,fer,0.45063882
78,cooked,0.45060459
79,gill,0.45019673
80,bream,0.44813248
81,octopus,0.44801957
82,mussel,0.44798870
83,laich,0.44786804
84,vendace,0.44784081
85,yellowfin,0.44754856
86,finned,0.44753421
87,salmonoid,0.44708069
88,folk,0.44659163
89,feed,0.44628584
90,trawlerman,0.44595722
91,fila,0.44566672
92,bluegill,0.44559953
93,anchovy,0.44554394
94,wrasse,0.44533650
95,cook,0.44527217
96,aquaria,0.44498352
97,pogy,0.44430131
98,river,0.44422280
99,menhaden,0.44406578
100,cunner,0.44293454
101,whale,0.44261336
102,eat,0.44241663
103,tarpon,0.44211222
104,scrod,0.44188299
105,trouty,0.44119221
106,lunker,0.44105602
107,mummichog,0.44094432
108,fryer,0.44070669
109,burbot,0.44065720
110,cockshy,0.44062743
111,fugu,0.44057583
112,kabeljou,0.44049822
113,walleye,0.44019973
114,cichlid,0.43923111
115,poke,0.43901819
116,mahimahi,0.43896450
117,ichthyofaunae,0.43882387
118,sculpin,0.43852368
119,amberjack,0.43837735
120,alewife,0.43825747
121,sink,0.43820632
122,bloodfin,0.43780494
123,aquatic,0.43763178
124,cow,0.43747587
125,fisc,0.43718747
126,fuci,0.43688997
127,cyprinid,0.43627129
128,croaker,0.43601824
129,kipper,0.43585246
130,fitchew,0.43581903
131,caplin,0.43576792
132,fuel,0.43556440
133,medaka,0.43536468
134,fat,0.43524729
135,oyster,0.43489537
136,ichthyologically,0.43444974
137,fuck,0.43422378
138,clupeid,0.43396401
139,film,0.43340403
140,fash,0.43322506
141,grouper,0.43312142
142,percoid,0.43289922
143,zander,0.43260771
144,piranha,0.43226210
145,ichthyofaunal,0.43225560
146,mermaid,0.43206226
147,friend,0.43188901
148,sciaenid,0.43166034
149,bluefin,0.43147019
150,flow,0.43143441
151,ichthyologist,0.43142151
152,rod,0.43123652
153,lingcod,0.43109380
154,eely,0.43094412
155,ichthyofauna,0.43089474
156,sheepshead,0.43086467
157,sea,0.43081218
158,swimmer,0.43064474
159,flower,0.43059955
160,fib,0.43056076
161,sushi,0.43045453
162,farm,0.43041197
163,ocean,0.43035731
164,steelhead,0.43034364
165,hake,0.43001678
166,dipnet,0.42970926
167,fitchy,0.42967085
168,pilchard,0.42965574
169,pickle,0.42955227
170,otter,0.42952908
171,holibut,0.42925949
172,guppy,0.42888622
173,foss,0.42834667
174,sanddab,0.42834657
175,betta,0.42801194
176,ichthyosaur,0.42790224
177,chum,0.42775626
178,pompano,0.42767813
179,bate,0.42763447
180,trade,0.42745877
181,fitchee,0.42680440
182,fed,0.42663798
183,caught,0.42645737
184,torsk,0.42642732
185,flagmen,0.42616645
186,opus,0.42579881
187,saithe,0.42571684
188,freshwater,0.42559004
189,plaice,0.42536981
190,sprat,0.42535829
191,jacksmelt,0.42488551
192,fir,0.42486748
193,mojarra,0.42480203
194,fit,0.42470317
195,pirana,0.42454080
196,dory,0.42423443
197,frosh,0.42418880
198,robalo,0.42402014
199,ate,0.42387459
200,fighter,0.42377980
201,rock,0.42371235
202,eelpout,0.42332155
203,whitebait,0.42308267
204,pis,0.42287716
205,fox,0.42275340
206,fitch,0.42245172
207,fire,0.42243997
208,duck,0.42243242
209,firefly,0.42215013
210,catchfly,0.42206340
211,danio,0.42182429
212,trawler,0.42169782
213,pomfret,0.42165240
214,mouse,0.42160251
215,gourami,0.42157322
216,froggy,0.42157256
217,rat,0.42137373
218,dog,0.42045688
219,fink,0.42017182
220,siganid,0.42014221
221,dive,0.42007400
222,fie,0.42003077
223,sparid,0.41995087
224,pish,0.41985235
225,discus,0.41970689
226,trawl,0.41899028
227,fil,0.41881784
228,cat,0.41878986
229,rabbit,0.41866074
230,pollock,0.41832375
231,sardine,0.41794941
232,saury,0.41792512
233,sockeye,0.41771120
234,diver,0.41767130
235,mooneye,0.41754653
236,fiction,0.41736596
237,shad,0.41698615
238,dock,0.41661441
239,cobia,0.41641303
240,flycatcher,0.41638397
241,water,0.41626299
242,phis,0.41623866
243,lizard,0.41593602
244,coelacanth,0.41545697
245,flesh,0.41537433
246,coho,0.41533964
247,fleet,0.41532503
248,dipnetted,0.41508650
249,fern,0.41489737
250,clam,0.41485026
251,live,0.41447860
252,trash,0.41441818
253,goby,0.41434282
254,fowling,0.41383845
255,stockish,0.41374913
256,tautog,0.41374612
257,marine,0.41374001
258,adult,0.41369142
259,fuguist,0.41353778
260,carangid,0.41344353
261,chicken,0.41342989
262,predator,0.41341194
263,bat,0.41338422
264,waterdog,0.41333587
265,finning,0.41299374
266,cast,0.41286839
267,gillnetted,0.41266411
268,crabber,0.41214802
269,fun,0.41203078
270,conger,0.41189145
271,pool,0.41163921
272,flight,0.41159982
273,bow,0.41083969
274,capelin,0.41056597
275,fizz,0.41041914
276,mudskipper,0.41035156
277,stick,0.40988678
278,cuish,0.40982597
279,creature,0.40980549
280,prey,0.40980149
281,ichthyological,0.40961892
282,gillnetter,0.40950483
