rank,word,similarity
1,fish,1.00000000
2,finfish,0.62824077
3,fished,0.62492404
4,fishlike,0.60106235
5,fishing,0.60033413
6,rockfish,0.59315571
7,codfish,0.58383481
8,jackfish,0.58156241
9,fisherwoman,0.58143353
10,boxfish,0.57793382
11,fishgig,0.57602004
12,headfish,0.57406574
13,fishpole,0.57375897
14,filefish,0.57107127
15,fisherman,0.56947174
16,fishy,0.56741556
17,fisherfolk,0.56699653
18,fishery,0.56288969
19,fishiest,0.56014687
20,fisherwomen,0.55951477
21,catfish,0.55884375
22,kingfish,0.55621518
23,goldfish,0.55539501
24,outfish,0.55448889
25,surffish,0.55377286
26,fishmonger,0.55346068
27,trout,0.55289244
28,fallfish,0.55257579
29,foxfish,0.55216193
30,fisher,0.54992387
31,piscary,0.54944454
32,garfish,0.54680358
33,groundfish,0.54393774
34,studfish,0.54198009
35,sunfish,0.54015618
36,fishless,0.53903454
37,angler,0.53644661
38,frogfish,0.53631443
39,sportfisherman,0.53242438
40,foolfish,0.53216565
41,whitefish,0.53092201
42,cowfish,0.52908067
43,globefish,0.52650797
44,fly,0.52613458
45,rosefish,0.52528404
46,flatfish,0.52454069
47,boat,0.52419366
48,fishmeal,0.52366421
49,suckfish,0.52356293
50,ladyfish,0.52272752
51,jewfish,0.52245936
52,stockfish,0.52207754
53,bonefish,0.52070866
54,fishermen,0.52020588
55,redfish,0.51973436
56,milkfish,0.51919908
57,food,0.51899454
58,overfish,0.51854618
59,batfish,0.51840498
60,pigfish,0.51752996
61,outfished,0.51714689
62,fishable,0.51703249
63,fyke,0.51476229
64,devilfish,0.51213604
65,ribbonfish,0.51137457
66,moonfish,0.50999916
67,bluefish,0.50961614
68,monkfish,0.50890837
69,stonefish,0.50856307
70,tilefish,0.50784056
71,unfished,0.50784053
72,fishpond,0.50578079
73,salmon,0.50537375
74,shark,0.50517587
75,guitarfish,0.50493373
76,fry,0.50463804
77,butterfish,0.50412786
78,dogfish,0.50390861
79,goosefish,0.50364790
80,fishier,0.50157684
81,grayfish,0.50123212
82,muttonfish,0.50041698
83,coalfish,0.50035949
84,sportfishermen,0.49987946
85,tilapia,0.49853376
86,buffalofish,0.49817984
87,fishability,0.49710853
88,muskie,0.49690619
89,serfish,0.49670504
90,flounder,0.49663484
91,lionfish,0.49637750
92,piscator,0.49607794
93,piscatory,0.49582625
94,carp,0.49533723
95,frog,0.49458461
96,swellfish,0.49358633
97,shellfish,0.49335788
98,koi,0.49311527
99,minnow,0.49279696
100,ship,0.49245441
101,panfish,0.49111816
102,fin,0.49097684
103,goatfish,0.49047809
104,cod,0.48521595
105,pollack,0.48517461
106,surf,0.48517108
107,fresh,0.48447179
108,crab,0.48396806
109,angling,0.48390269
110,swordfish,0.48386375
111,lungfish,0.48381755
112,mackerel,0.48352342
113,teleost,0.48314634
114,swim,0.48268887
115,seafood,0.48222267
116,crappie,0.48165889
117,bird,0.48091770
118,pinfish,0.48081535
119,ratfish,0.48015928
120,dolphinfish,0.48012104
121,fishbowl,0.48006108
122,fruit,0.48005571
123,bowfin,0.47913607
124,boarfish,0.47911704
125,sailfish,0.47788527
126,fishline,0.47737357
127,offish,0.47725702
128,pond,0.47697177
129,billfish,0.47670648
130,sandfish,0.47666164
131,cavefish,0.47533822
132,drumfish,0.47435838
133,haddock,0.47414171
134,salmonid,0.47341914
135,tuna,0.47294720
136,fight,0.47242874
137,hunt,0.47242854
138,fishwife,0.47212783
139,animal,0.47076879
140,fried,0.46958270
141,tomcod,0.46942447
142,dolphin,0.46881805
143,cockish,0.46833115
144,catch,0.46795326
145,loach,0.46782172
146,bait,0.46681771
147,fowl,0.46645626
148,spadefish,0.46565380
149,fishworm,0.46563556
150,oarfish,0.46538298
151,ichthyophagous,0.46525019
152,shrimp,0.46446817
153,toadfish,0.46382751
154,halibut,0.46334690
155,pickerel,0.46332233
156,surfperch,0.46326090
157,bonefishing,0.46324789
158,piscatorial,0.46237247
159,pike,0.46192750
160,tench,0.46106721
161,blowfish,0.46099944
162,lobster,0.46091798
163,lumpfish,0.46091045
164,angelfish,0.46075417
165,shellfishery,0.46000245
166,tunny,0.45972367
167,aquarium,0.45959338
168,elfish,0.45902829
169,dish,0.45888265
170,herring,0.45879650
171,squid,0.45863543
172,opah,0.45822635
173,wolffish,0.45799195
174,killifish,0.45746836
175,sportfishing,0.45745740
176,sturgeon,0.45693502
177,bass,0.45680120
178,blackfish,0.45651797
179,float,0.45650678
180,cusk,0.45541734
181,hogfish,0.45496273
182,dace,0.45432124
183,weakfish,0.45410002
184,pisciculture,0.45405192
185,piscivorous,0.45334696
186,gillnet,0.45308760
187,crayfish,0.45306608
188,candlefish,0.45277466
189,swimmy,0.45236808
190,spearfished,0.45215022
191,ichthyic,0.45184574
192,teleostean,0.45175671
193,fer,0.45063882
194,cooked,0.45060459
195,gill,0.45019673
196,outfishing,0.45009627
197,numbfish,0.44952966
198,spearfishing,0.44932282
199,spearfish,0.44818402
200,bream,0.44813248
201,octopus,0.44801957
202,mussel,0.44798870
203,laich,0.44786804
204,vendace,0.44784081
205,fishily,0.44757171
206,yellowfin,0.44754856
207,finned,0.44753421
208,anglerfish,0.44709510
209,salmonoid,0.44708069
210,folk,0.44659163
211,fishhook,0.44634947
212,feed,0.44628584
213,trawlerman,0.44595722
214,fila,0.44566672
215,bluegill,0.44559953
216,anchovy,0.44554394
217,wrasse,0.44533650
218,cook,0.44527217
219,damselfish,0.44513553
220,aquaria,0.44498352
221,pogy,0.44430131
222,river,0.44422280
223,menhaden,0.44406578
224,cunner,0.44293454
225,whale,0.44261336
226,eat,0.44241663
227,tarpon,0.44211222
228,scrod,0.44188299
229,dealfish,0.44141995
230,archerfish,0.44134950
231,trouty,0.44119221
232,lunker,0.44105602
233,mummichog,0.44094432
234,fryer,0.44070669
235,burbot,0.44065720
236,cockshy,0.44062743
237,fugu,0.44057583
238,kabeljou,0.44049822
239,squawfish,0.44023884
240,walleye,0.44019973
241,electrofishing,0.43974902
242,cichlid,0.43923111
243,poke,0.43901819
244,mahimahi,0.43896450
245,ichthyofaunae,0.43882387
246,sculpin,0.43852368
247,amberjack,0.43837735
248,alewife,0.43825747
249,sink,0.43820632
250,fishtail,0.43795677
251,bloodfin,0.43780494
252,aquatic,0.43763178
253,cow,0.43747587
254,fisc,0.43718747
255,fuci,0.43688997
256,cyprinid,0.43627129
257,croaker,0.43601824
258,kipper,0.43585246
259,fitchew,0.43581903
260,caplin,0.43576792
261,fuel,0.43556440
262,medaka,0.43536468
263,fat,0.43524729
264,oyster,0.43489537
265,ichthyologically,0.43444974
266,fuck,0.43422378
267,clupeid,0.43396401
268,film,0.43340403
269,fash,0.43322506
270,sablefish,0.43312346
271,grouper,0.43312142
272,starfish,0.43296979
273,percoid,0.43289922
274,overfished,0.43283872
275,pipefish,0.43268509
276,zander,0.43260771
277,piranha,0.43226210
278,ichthyofaunal,0.43225560
279,mermaid,0.43206226
280,friend,0.43188901
281,sciaenid,0.43166034
282,bluefin,0.43147019
283,flow,0.43143441
284,ichthyologist,0.43142151
285,rod,0.43123652
286,triggerfish,0.43119641
287,lingcod,0.43109380
288,eely,0.43094412
289,ichthyofauna,0.43089474
290,sheepshead,0.43086467
291,sea,0.43081218
292,swimmer,0.43064474
293,flower,0.43059955
294,fib,0.43056076
295,sushi,0.43045453
296,farm,0.43041197
297,ocean,0.43035731
298,steelhead,0.43034364
299,hake,0.43001678
300,jellyfish,0.42976570
301,dipnet,0.42970926
302,fitchy,0.42967085
303,pilchard,0.42965574
304,pickle,0.42955227
305,otter,0.42952908
306,holibut,0.42925949
307,guppy,0.42888622
308,silverfish,0.42883051
309,crawfish,0.42860514
310,foss,0.42834667
311,sanddab,0.42834657
312,betta,0.42801194
313,ichthyosaur,0.42790224
314,chum,0.42775626
