rank,secret_word,word,clue,connection_strength
1,fish,seafood,I am often served as this dish,strong
2,fish,aquatic,I live in this type of environment,strong
3,fish,marine,I am found in this ecosystem,strong
4,fish,piscine,I belong to this category of animals,strong
5,fish,finned,I have these structures for swimming,strong
6,fish,gilled,I breathe through these organs,strong
7,fish,freshwater,I inhabit this type of water source,strong
8,fish,saltwater,I can be found in this environment,strong
9,fish,oceanic,I am part of this vast body,strong
10,fish,stream,I may be found swimming in this,medium
11,fish,river,I share habitat with this flowing water,medium
12,fish,lake,I can be found in this waterbody,medium
13,fish,pond,I may be found swimming in this,medium
14,fish,ocean,I swim in this vast saltwater body,strong
15,fish,sea,I swim in this large saltwater body,strong
16,fish,underwater,I live beneath this surface,strong
17,fish,swim,I move by doing this action,medium
18,fish,scale,I have these on my body,strong
19,fish,gill,I use these to breathe underwater,strong
20,fish,hook,I may get caught on this,medium
21,fish,bait,I am attracted to this food,medium
22,fish,reel,Used to catch me by pulling in,strong
23,fish,catch,I am the target of this action,strong
24,fish,angler,I am pursued by this type,medium
25,fish,fishing,Activity involving catching creatures like me,strong
26,fish,angling,"Super close, sizzling hot",strong
27,fish,fisherman,I am caught by this individual,strong
28,fish,fisherwoman,I am caught by this individual,strong
29,fish,fishery,Place where I am cultivated or caught,strong
30,fish,fishmonger,Sells creatures like me for consumption,strong
31,fish,sushi,I may be served raw in this dish,medium
32,fish,sashimi,I am served as this type of dish,medium
33,fish,salmon,I share characteristics with this species,medium
34,fish,tuna,I am smaller than this swimmer,medium
35,fish,cod,"Super close, sizzling hot",strong
36,fish,trout,"Super close, sizzling hot",strong
37,fish,mackerel,I have different features from this species,weak
38,fish,herring,"Super close, sizzling hot",strong
39,fish,bass,I differ from this species in size,weak
40,fish,catfish,"Super close, sizzling hot",strong
41,fish,tilapia,"Super close, sizzling hot",strong
42,fish,carp,I differ from this species in diet,weak
43,fish,swordfish,"Super close, sizzling hot",strong
44,fish,shark,I am preyed upon by this predator,medium
45,fish,octopus,I have no connection to this creature,weak
46,fish,squid,I have nothing to do with this,weak
47,fish,shrimp,I have nothing to do with this,weak
48,fish,lobster,I am not related to this crustacean,weak
49,fish,crab,I do not belong to this group,weak
50,fish,shellfish,I am not part of this category,weak
51,fish,mollusk,I am food for this slimy creature,medium
52,fish,clam,"Super close, sizzling hot",strong
53,fish,oyster,I don't produce pearls like this,weak
54,fish,scallop,I don't have shells like this,weak
55,fish,mussel,I don't attach to rocks like this,weak
56,fish,prawn,I am not a shrimp like this,weak
57,fish,crustacean,I am not related to this group,strong
58,fish,algae,I don't photosynthesize like this plant,weak
59,fish,seaweed,I don't grow underwater like this,weak
60,fish,coral,I am not a reef builder like this,strong
61,fish,kelp,I am not a giant seaweed,weak
