rank,word,similarity,note
1,seafood,0.48222267,"OpenAI #1, Our rank #115"
2,aquatic,0.43763178,"OpenAI #2, Our rank #252"
3,marine,0.41374001,"OpenAI #3, Our rank #399"
4,piscine,0.36782821,"OpenAI #4, Our rank #972"
5,finned,0.44753421,"OpenAI #5, Our rank #207"
6,gilled,0.38693553,"OpenAI #6, Our rank #651"
7,freshwater,0.42559004,"OpenAI #7, Our rank #325"
8,saltwater,0.40452026,"OpenAI #8, Our rank #468"
9,oceanic,0.31000337,"OpenAI #9, Our rank #4,309"
10,stream,0.36601526,"OpenAI #10, Our rank #1,014"
11,river,0.44422280,"OpenAI #11, Our rank #222"
12,lake,0.36367328,"OpenAI #12, Our rank #1,068"
13,pond,0.47697177,"OpenAI #13, Our rank #128"
14,ocean,0.43035731,"OpenAI #14, Our rank #297"
15,sea,0.43081218,"OpenAI #15, Our rank #291"
16,underwater,0.38087623,"OpenAI #16, Our rank #729"
17,swim,0.48268887,"OpenAI #17, Our rank #114"
18,scale,0.27758484,"OpenAI #18, Our rank #10,410"
19,gill,0.45019673,"OpenAI #19, Our rank #195"
20,hook,0.38489958,"OpenAI #20, Our rank #676"
21,bait,0.46681771,"OpenAI #21, Our rank #146"
22,reel,0.33896182,"OpenAI #22, Our rank #1,937"
23,catch,0.46795326,"OpenAI #23, Our rank #144"
24,angler,0.53644661,"OpenAI #24, Our rank #37"
25,angling,0.48390269,"OpenAI #26, Our rank #109"
26,sushi,0.43045453,"OpenAI #31, Our rank #295"
27,sashimi,0.36309941,"OpenAI #32, Our rank #1,081"
28,salmon,0.50537375,"OpenAI #33, Our rank #73"
29,tuna,0.47294720,"OpenAI #34, Our rank #135"
30,cod,0.48521595,"OpenAI #35, Our rank #104"
31,trout,0.55289244,"OpenAI #36, Our rank #27"
32,mackerel,0.48352342,"OpenAI #37, Our rank #112"
33,herring,0.45879650,"OpenAI #38, Our rank #170"
34,bass,0.45680120,"OpenAI #39, Our rank #177"
35,tilapia,0.49853376,"OpenAI #41, Our rank #85"
36,carp,0.49533723,"OpenAI #42, Our rank #94"
37,shark,0.50517587,"OpenAI #44, Our rank #74"
38,octopus,0.44801957,"OpenAI #45, Our rank #201"
39,squid,0.45863543,"OpenAI #46, Our rank #171"
40,shrimp,0.46446817,"OpenAI #47, Our rank #152"
41,lobster,0.46091798,"OpenAI #48, Our rank #162"
42,crab,0.48396806,"OpenAI #49, Our rank #108"
43,mollusk,0.36930654,"OpenAI #51, Our rank #945"
44,clam,0.41485026,"OpenAI #52, Our rank #391"
45,oyster,0.43489537,"OpenAI #53, Our rank #264"
46,scallop,0.36284927,"OpenAI #54, Our rank #1,086"
47,mussel,0.44798870,"OpenAI #55, Our rank #202"
48,prawn,0.40453766,"OpenAI #56, Our rank #467"
49,crustacean,0.36090807,"OpenAI #57, Our rank #1,144"
50,algae,0.35853973,"OpenAI #58, Our rank #1,202"
51,seaweed,0.36574308,"OpenAI #59, Our rank #1,020"
52,coral,0.35963008,"OpenAI #60, Our rank #1,179"
53,kelp,0.36248762,"OpenAI #61, Our rank #1,090"
54,plankton,0.40408943,"OpenAI #62, Our rank #473"
55,ecosystem,0.30568041,"OpenAI #63, Our rank #4,845"
56,predator,0.41341194,"OpenAI #64, Our rank #404"
57,prey,0.40980149,"OpenAI #65, Our rank #426"
58,school,0.32928410,"OpenAI #66, Our rank #2,563"
59,shoal,0.38554473,"OpenAI #67, Our rank #670"
60,swarm,0.29850954,"OpenAI #68, Our rank #5,915"
61,flock,0.38258506,"OpenAI #69, Our rank #710"
62,group,0.30623672,"OpenAI #70, Our rank #4,772"
63,species,0.00000000,"OpenAI #71, Not in our embeddings"
64,biodiversity,0.25447097,"OpenAI #72, Our rank #18,483"
65,conservation,0.22499668,"OpenAI #73, Our rank #34,838"
66,sustainability,0.19102117,"OpenAI #74, Our rank #61,554"
67,aquaculture,0.40174928,"OpenAI #76, Our rank #496"
68,aquarium,0.45959338,"OpenAI #77, Our rank #167"
69,betta,0.42801194,"OpenAI #79, Our rank #312"
70,guppy,0.42888622,"OpenAI #80, Our rank #307"
71,tetra,0.34886009,"OpenAI #82, Our rank #1,509"
72,cichlid,0.43923111,"OpenAI #83, Our rank #242"
73,discus,0.41970689,"OpenAI #85, Our rank #364"
74,gourami,0.42157322,"OpenAI #86, Our rank #353"
75,loach,0.46782172,"OpenAI #88, Our rank #145"
76,pleco,0.00000000,"OpenAI #89, Not in our embeddings"
77,rasbora,0.38591735,"OpenAI #90, Our rank #666"
78,swordtail,0.33165548,"OpenAI #91, Our rank #2,407"
79,barb,0.34814762,"OpenAI #92, Our rank #1,542"
80,danio,0.42182429,"OpenAI #93, Our rank #349"
81,delicacy,0.24580938,"OpenAI #95, Our rank #22,606"
