rank,secret_word,word,clue,connection_strength
1,flower,flower,This is the *.,secret_word
2,flower,flowerer,,hard_cutoff
3,flower,flowery,,hard_cutoff
4,flower,floweret,,hard_cutoff
5,flower,flowerage,,hard_cutoff
6,flower,floral,,hard_cutoff
7,flower,flowerful,,hard_cutoff
8,flower,wildflower,,hard_cutoff
9,flower,flowerette,,hard_cutoff
10,flower,flowered,,hard_cutoff
11,flower,flowerier,,hard_cutoff
12,flower,flowerlike,,hard_cutoff
13,flower,flowering,,hard_cutoff
14,flower,floweriest,,hard_cutoff
15,flower,blossom,,hard_cutoff
16,flower,beflower,,hard_cutoff
17,flower,floret,,hard_cutoff
18,flower,flowerily,,hard_cutoff
19,flower,windflower,,hard_cutoff
20,flower,florist,,hard_cutoff
21,flower,bloom,,hard_cutoff
22,flower,rose,,hard_cutoff
23,flower,floweriness,,hard_cutoff
24,flower,blooming,,hard_cutoff
25,flower,florescence,,hard_cutoff
26,flower,petal,,hard_cutoff
27,flower,orchid,,hard_cutoff
28,flower,flora,,hard_cutoff
29,flower,freesia,,hard_cutoff
30,flower,florally,,hard_cutoff
31,flower,plant,,hard_cutoff
32,flower,fruit,,hard_cutoff
33,flower,tulip,,hard_cutoff
34,flower,blossomy,,hard_cutoff
35,flower,bouquet,,hard_cutoff
36,flower,beflowering,,hard_cutoff
37,flower,moonflower,,hard_cutoff
38,flower,bloomy,,hard_cutoff
39,flower,floriferous,,hard_cutoff
40,flower,abloom,,hard_cutoff
41,flower,fioritura,,hard_cutoff
42,flower,bloomed,,hard_cutoff
43,flower,outblooming,,hard_cutoff
44,flower,plumeria,,hard_cutoff
45,flower,posy,,hard_cutoff
46,flower,starflower,,hard_cutoff
47,flower,florae,,hard_cutoff
48,flower,blossoming,,hard_cutoff
49,flower,reflower,,hard_cutoff
50,flower,sunflower,,hard_cutoff
51,flower,flowerless,,hard_cutoff
52,flower,petalled,,hard_cutoff
53,flower,blume,,hard_cutoff
54,flower,beflowered,,hard_cutoff
55,flower,floristry,,hard_cutoff
56,flower,gillyflower,,hard_cutoff
57,flower,floriated,,hard_cutoff
58,flower,dayflower,,hard_cutoff
59,flower,reflowered,,hard_cutoff
60,flower,bellflower,,hard_cutoff
61,flower,outbloom,,hard_cutoff
62,flower,bird,,hard_cutoff
63,flower,daisy,,hard_cutoff
64,flower,flow,,hard_cutoff
65,flower,lily,,hard_cutoff
66,flower,leaflet,,hard_cutoff
67,flower,blossomed,,hard_cutoff
68,flower,frangipani,,hard_cutoff
69,flower,gardenia,,hard_cutoff
70,flower,everblooming,,hard_cutoff
71,flower,florescent,,hard_cutoff
72,flower,floriferousness,,hard_cutoff
73,flower,petallike,,hard_cutoff
74,flower,fioriture,,hard_cutoff
75,flower,fern,,hard_cutoff
76,flower,floriation,,hard_cutoff
77,flower,floriculture,,hard_cutoff
78,flower,carnation,,hard_cutoff
79,flower,inflorescence,,hard_cutoff
80,flower,daffodil,,hard_cutoff
81,flower,petaled,,hard_cutoff
82,flower,herb,,hard_cutoff
83,flower,garland,,hard_cutoff
84,flower,strawflower,,hard_cutoff
85,flower,efflorescent,,hard_cutoff
86,flower,peony,,hard_cutoff
87,flower,florigen,,hard_cutoff
88,flower,outbloomed,,hard_cutoff
89,flower,phlox,,hard_cutoff
90,flower,reflowering,,hard_cutoff
91,flower,dahlia,,hard_cutoff
92,flower,flutter,,hard_cutoff
93,flower,primrose,,hard_cutoff
94,flower,florilegia,,hard_cutoff
95,flower,corsage,,hard_cutoff
96,flower,decor,,hard_cutoff
97,flower,roset,,hard_cutoff
98,flower,angiosperm,,hard_cutoff
99,flower,efflorescence,,hard_cutoff
100,flower,flourish,,hard_cutoff
101,flower,hydrangea,,hard_cutoff
102,flower,cornflower,,hard_cutoff
103,flower,nonflowering,,hard_cutoff
104,flower,bloomier,,hard_cutoff
105,flower,fly,,hard_cutoff
106,flower,flu,,hard_cutoff
107,flower,fragrant,,hard_cutoff
108,flower,poppy,,hard_cutoff
109,flower,jasmine,,hard_cutoff
110,flower,globeflower,,hard_cutoff
111,flower,lilac,,hard_cutoff
112,flower,fernery,,hard_cutoff
113,flower,bluming,,hard_cutoff
114,flower,floricultural,,hard_cutoff
115,flower,fresh,,hard_cutoff
116,flower,orchidlike,,hard_cutoff
117,flower,leaf,,hard_cutoff
118,flower,gladiola,,hard_cutoff
119,flower,frangipanis,,hard_cutoff
120,flower,clover,,hard_cutoff
121,flower,garlanding,,hard_cutoff
122,flower,rosed,,hard_cutoff
123,flower,wallflower,,hard_cutoff
124,flower,pansy,,hard_cutoff
125,flower,snowdrop,,hard_cutoff
126,flower,fragrance,,hard_cutoff
127,flower,bluebell,,hard_cutoff
128,flower,roselike,,hard_cutoff
129,flower,dandelion,,hard_cutoff
130,flower,ornament,,hard_cutoff
131,flower,lavender,,hard_cutoff
132,flower,rosery,,hard_cutoff
133,flower,tuberose,,hard_cutoff
134,flower,chrysanthemum,,hard_cutoff
135,flower,plantsmen,,hard_cutoff
136,flower,amaryllis,,hard_cutoff
137,flower,floruit,,hard_cutoff
138,flower,protea,,hard_cutoff
139,flower,pretty,,hard_cutoff
140,flower,florin,,hard_cutoff
141,flower,frangipanni,,hard_cutoff
142,flower,butterfly,,hard_cutoff
143,flower,daylily,,hard_cutoff
144,flower,beautiful,,hard_cutoff
145,flower,garden,,hard_cutoff
146,flower,honeysuckle,,hard_cutoff
147,flower,weet,,hard_cutoff
148,flower,nosegay,,hard_cutoff
149,flower,twinflower,,hard_cutoff
150,flower,flourisher,,hard_cutoff
151,flower,foliage,,hard_cutoff
152,flower,houseplant,,hard_cutoff
153,flower,azalea,,hard_cutoff
154,flower,foamflower,,hard_cutoff
155,flower,flowerpot,,hard_cutoff
156,flower,gladiolus,,hard_cutoff
157,flower,wort,,hard_cutoff
158,flower,corolla,,hard_cutoff
159,flower,flour,,hard_cutoff
160,flower,camelia,,hard_cutoff
161,flower,clematis,,hard_cutoff
162,flower,wisteria,,hard_cutoff
163,flower,anthemion,,hard_cutoff
164,flower,fritillaria,,hard_cutoff
165,flower,vase,,hard_cutoff
166,flower,hyacinth,,hard_cutoff
