rank,secret_word,word,clue,connection_strength
1,fly,fly,This is the *.,secret_word
2,fly,flight,,hard_cutoff
3,fly,flying,,hard_cutoff
4,fly,fliest,,hard_cutoff
5,fly,flyte,,hard_cutoff
6,fly,flew,,hard_cutoff
7,fly,fley,,hard_cutoff
8,fly,outfly,,hard_cutoff
9,fly,housefly,,hard_cutoff
10,fly,flyby,,hard_cutoff
11,fly,flyoff,,hard_cutoff
12,fly,dayfly,,hard_cutoff
13,fly,flied,,hard_cutoff
14,fly,overfly,,hard_cutoff
15,fly,flyable,,hard_cutoff
16,fly,fleying,,hard_cutoff
17,fly,flown,,hard_cutoff
18,fly,flier,,hard_cutoff
19,fly,flyman,,hard_cutoff
20,fly,flyless,,hard_cutoff
21,fly,flyer,,hard_cutoff
22,fly,flite,,hard_cutoff
23,fly,fleyed,,hard_cutoff
24,fly,flit,,hard_cutoff
25,fly,dragonfly,,hard_cutoff
26,fly,flighted,,hard_cutoff
27,fly,flyaway,,hard_cutoff
28,fly,outflying,,hard_cutoff
29,fly,flutter,,hard_cutoff
30,fly,deerfly,,hard_cutoff
31,fly,highflyer,,hard_cutoff
32,fly,horsefly,,hard_cutoff
33,fly,outflew,,hard_cutoff
34,fly,aviate,,hard_cutoff
35,fly,firefly,,hard_cutoff
36,fly,nonflying,,hard_cutoff
37,fly,bird,,hard_cutoff
38,fly,soar,,hard_cutoff
39,fly,reflying,,hard_cutoff
40,fly,flited,,hard_cutoff
41,fly,catchfly,,hard_cutoff
42,fly,flyblew,,hard_cutoff
43,fly,flyted,,hard_cutoff
44,fly,flymen,,hard_cutoff
45,fly,stonefly,,hard_cutoff
46,fly,plane,,hard_cutoff
47,fly,flitter,,hard_cutoff
48,fly,float,,hard_cutoff
49,fly,flytier,,hard_cutoff
50,fly,blackfly,,hard_cutoff
51,fly,fish,,hard_cutoff
52,fly,flow,,hard_cutoff
53,fly,mayfly,,hard_cutoff
54,fly,flypast,,hard_cutoff
55,fly,fugled,,hard_cutoff
56,fly,kite,,hard_cutoff
57,fly,flyblow,,hard_cutoff
58,fly,flightier,,hard_cutoff
59,fly,jump,,hard_cutoff
60,fly,unflyable,,hard_cutoff
61,fly,flightiest,,hard_cutoff
62,fly,flee,,hard_cutoff
63,fly,glowfly,,hard_cutoff
64,fly,floaty,,hard_cutoff
65,fly,unabletofly,,hard_cutoff
66,fly,flyboy,,hard_cutoff
67,fly,aviating,,hard_cutoff
68,fly,flutier,,hard_cutoff
69,fly,refly,,hard_cutoff
70,fly,butterfly,,hard_cutoff
71,fly,overflew,,hard_cutoff
72,fly,muscid,,hard_cutoff
73,fly,butterflyer,,hard_cutoff
74,fly,ferly,,hard_cutoff
75,fly,highflier,,hard_cutoff
76,fly,ail,,hard_cutoff
77,fly,flighting,,hard_cutoff
78,fly,flyover,,hard_cutoff
79,fly,flu,,hard_cutoff
80,fly,fluttered,,hard_cutoff
81,fly,flyway,,hard_cutoff
82,fly,glide,,hard_cutoff
83,fly,jet,,hard_cutoff
84,fly,volant,,hard_cutoff
85,fly,flutterer,,hard_cutoff
86,fly,volery,,hard_cutoff
87,fly,fight,,hard_cutoff
88,fly,fledge,,hard_cutoff
89,fly,flitting,,hard_cutoff
90,fly,floating,,hard_cutoff
91,fly,flyfisher,,hard_cutoff
92,fly,travel,,hard_cutoff
93,fly,angling,,hard_cutoff
94,fly,fug,,hard_cutoff
95,fly,flitted,,hard_cutoff
96,fly,glider,,hard_cutoff
97,fly,fila,,hard_cutoff
98,fly,flyblown,,hard_cutoff
99,fly,trip,,hard_cutoff
100,fly,fling,,hard_cutoff
101,fly,overflying,,hard_cutoff
102,fly,muscae,,hard_cutoff
103,fly,soaring,,hard_cutoff
104,fly,flower,,hard_cutoff
105,fly,whitefly,,hard_cutoff
106,fly,kyte,,hard_cutoff
107,fly,flic,,hard_cutoff
108,fly,flappy,,hard_cutoff
109,fly,fledgy,,hard_cutoff
110,fly,hawk,,hard_cutoff
111,fly,airplane,,hard_cutoff
112,fly,avian,,hard_cutoff
113,fly,flea,,hard_cutoff
114,fly,greenfly,,hard_cutoff
115,fly,air,,hard_cutoff
116,fly,flycatcher,,hard_cutoff
117,fly,ride,,hard_cutoff
118,fly,blowfly,,hard_cutoff
119,fly,flyswatter,,hard_cutoff
120,fly,fled,,hard_cutoff
121,fly,flocky,,hard_cutoff
122,fly,flock,,hard_cutoff
123,fly,falcon,,hard_cutoff
124,fly,fugle,,hard_cutoff
125,fly,hoverer,,hard_cutoff
126,fly,sandfly,,hard_cutoff
127,fly,run,,hard_cutoff
128,fly,swoop,,hard_cutoff
129,fly,flapped,,hard_cutoff
130,fly,medfly,,hard_cutoff
131,fly,shoofly,,hard_cutoff
132,fly,fleer,,hard_cutoff
133,fly,fade,,hard_cutoff
134,fly,cling,,hard_cutoff
135,fly,fleeted,,hard_cutoff
136,fly,flighty,,hard_cutoff
137,fly,wingier,,hard_cutoff
138,fly,soared,,hard_cutoff
139,fly,bee,,hard_cutoff
140,fly,fleeter,,hard_cutoff
141,fly,flightily,,hard_cutoff
142,fly,flip,,hard_cutoff
143,fly,floatier,,hard_cutoff
144,fly,flightless,,hard_cutoff
145,fly,fluttery,,hard_cutoff
146,fly,insect,,hard_cutoff
147,fly,airborne,,hard_cutoff
148,fly,aviated,,hard_cutoff
149,fly,rocket,,hard_cutoff
150,fly,flittered,,hard_cutoff
151,fly,fry,,hard_cutoff
152,fly,outflown,,hard_cutoff
153,fly,feather,,hard_cutoff
154,fly,inflight,,hard_cutoff
155,fly,drosophila,,hard_cutoff
156,fly,move,,hard_cutoff
157,fly,hovered,,hard_cutoff
158,fly,flap,,hard_cutoff
159,fly,levitate,,hard_cutoff
160,fly,musca,,hard_cutoff
161,fly,flittering,,hard_cutoff
162,fly,wing,,hard_cutoff
163,fly,jetlike,,hard_cutoff
164,fly,fighter,,hard_cutoff
165,fly,walk,,hard_cutoff
166,fly,swim,,hard_cutoff
167,fly,beebee,,hard_cutoff
168,fly,ship,,hard_cutoff
169,fly,gnat,,hard_cutoff
170,fly,flyboat,,hard_cutoff
171,fly,sail,,hard_cutoff
172,fly,fast,,hard_cutoff
173,fly,buzz,,hard_cutoff
174,fly,fleetly,,hard_cutoff
175,fly,longdistanceflyer,,hard_cutoff
176,fly,shoot,,hard_cutoff
177,fly,fell,,hard_cutoff
178,fly,botfly,,hard_cutoff
179,fly,kited,,hard_cutoff
180,fly,helicopt,,hard_cutoff
181,fly,syrphid,,hard_cutoff
182,fly,flog,,hard_cutoff
183,fly,fer,,hard_cutoff
184,fly,flick,,hard_cutoff
185,fly,fledged,,hard_cutoff
186,fly,froggy,,hard_cutoff
187,fly,hive,,hard_cutoff
188,fly,dipteran,,hard_cutoff
189,fly,volplane,,hard_cutoff
190,fly,surf,,hard_cutoff
191,fly,skate,,hard_cutoff
192,fly,sing,,hard_cutoff
193,fly,flyblowing,,hard_cutoff
194,fly,swanned,,hard_cutoff
195,fly,migrate,,hard_cutoff
196,fly,fried,,hard_cutoff
197,fly,hang,,hard_cutoff
198,fly,flawy,,hard_cutoff
199,fly,alate,,hard_cutoff
200,fly,hung,,hard_cutoff
201,fly,fledgier,,hard_cutoff
202,fly,fleet,,hard_cutoff
203,fly,ate,,hard_cutoff
204,fly,swift,,hard_cutoff
205,fly,fanjet,,hard_cutoff
206,fly,pilot,,hard_cutoff
207,fly,preflight,,hard_cutoff
208,fly,fare,,hard_cutoff
209,fly,drive,,hard_cutoff
210,fly,winging,,hard_cutoff
211,fly,gadfly,,hard_cutoff
212,fly,frog,,hard_cutoff
213,fly,flapping,,hard_cutoff
