rank,secret_word,word,clue,connection_strength
1,fog,fog,This is the *.,secret_word
2,fog,foggy,,hard_cutoff
3,fog,fogged,,hard_cutoff
4,fog,fogginess,,hard_cutoff
5,fog,fogging,,hard_cutoff
6,fog,fogger,,hard_cutoff
7,fog,fogbow,,hard_cutoff
8,fog,foggage,,hard_cutoff
9,fog,haze,,hard_cutoff
10,fog,foggier,,hard_cutoff
11,fog,foggily,,hard_cutoff
12,fog,foggiest,,hard_cutoff
13,fog,fogbound,,hard_cutoff
14,fog,fogdog,,hard_cutoff
15,fog,smog,,hard_cutoff
16,fog,mistiness,,hard_cutoff
17,fog,fogless,,hard_cutoff
18,fog,defog,,hard_cutoff
19,fog,brume,,hard_cutoff
20,fog,befogged,,hard_cutoff
21,fog,fogfruit,,hard_cutoff
22,fog,haziness,,hard_cutoff
23,fog,befog,,hard_cutoff
24,fog,hazy,,hard_cutoff
25,fog,foziness,,hard_cutoff
26,fog,befogging,,hard_cutoff
27,fog,becloud,,hard_cutoff
28,fog,smoggy,,hard_cutoff
29,fog,cloudiness,,hard_cutoff
30,fog,defogged,,hard_cutoff
31,fog,defogging,,hard_cutoff
32,fog,foghorn,,hard_cutoff
33,fog,cloudy,,hard_cutoff
34,fog,brumous,,hard_cutoff
35,fog,clouded,,hard_cutoff
36,fog,beclouding,,hard_cutoff
37,fog,misted,,hard_cutoff
38,fog,nebulosity,,hard_cutoff
39,fog,fuggy,,hard_cutoff
40,fog,defogger,,hard_cutoff
41,fog,clouding,,hard_cutoff
42,fog,overcast,,hard_cutoff
43,fog,mist,,hard_cutoff
44,fog,mistiest,,hard_cutoff
45,fog,hazed,,hard_cutoff
46,fog,cloudily,,hard_cutoff
47,fog,fuscous,,hard_cutoff
48,fog,smogless,,hard_cutoff
49,fog,frost,,hard_cutoff
50,fog,misty,,hard_cutoff
51,fog,beclouded,,hard_cutoff
52,fog,misting,,hard_cutoff
53,fog,vapor,,hard_cutoff
54,fog,murk,,hard_cutoff
55,fog,dimness,,hard_cutoff
56,fog,fuzziness,,hard_cutoff
57,fog,frowst,,hard_cutoff
58,fog,fogey,,hard_cutoff
59,fog,murkiness,,hard_cutoff
60,fog,fug,,hard_cutoff
61,fog,vapory,,hard_cutoff
62,fog,smoggier,,hard_cutoff
63,fog,mistily,,hard_cutoff
64,fog,fogie,,hard_cutoff
65,fog,vapour,,hard_cutoff
66,fog,nebulose,,hard_cutoff
67,fog,smoggiest,,hard_cutoff
68,fog,bemisted,,hard_cutoff
69,fog,cloudiest,,hard_cutoff
